cm-1,A
4000.0,-0.0016100028013602066
3999.0,-0.0015703591647512351
3998.0,-0.001534557157215935
3997.0,-0.0015055995659068446
3996.0,-0.0015015922973924544
3995.0,-0.0015382519518191127
3994.0,-0.0016080806490275
3993.0,-0.001678911180589809
3992.0,-0.0017169009206413365
3991.0,-0.0017089714861452834
3990.0,-0.0016624210429991657
3989.0,-0.0015927495859861481
3988.0,-0.0015210437424326678
3987.0,-0.0014780356571783208
3986.0,-0.0014882101416541446
3985.0,-0.0015436554851541388
3984.0,-0.0015992756837701397
3983.0,-0.0016084219223022084
3982.0,-0.0015695582760574657
3981.0,-0.00152097860581889
3980.0,-0.0014983509497314448
3979.0,-0.0015023091851273118
3978.0,-0.001509405626538501
3977.0,-0.0015077199969628374
3976.0,-0.0015096402018141312
3975.0,-0.0015356118076112451
3974.0,-0.0015871227649717449
3973.0,-0.0016400652579144318
3972.0,-0.0016637345997478263
3971.0,-0.0016403708700724118
3970.0,-0.001575237139087662
3969.0,-0.0014927704556568907
3968.0,-0.0014244220695392468
3967.0,-0.0013971886984819365
3966.0,-0.0014203155172527538
3965.0,-0.0014748089067151899
3964.0,-0.0015134155662618798
3963.0,-0.001491843805040819
3962.0,-0.0014073473966694369
3961.0,-0.0013095648688711745
3960.0,-0.0012631808755541553
3959.0,-0.0012893292628359655
3958.0,-0.0013616126761355838
3957.0,-0.001435099837981191
3956.0,-0.001471268788951447
3955.0,-0.0014577051163438574
3954.0,-0.001407592996238182
3953.0,-0.0013581040052939464
3952.0,-0.001351664147688856
3951.0,-0.0014116173581638924
3950.0,-0.0015158667884221239
3949.0,-0.001593304645521226
3948.0,-0.0015893375162928307
3947.0,-0.0015224219639597728
3946.0,-0.0014572013763639667
3945.0,-0.0014338137148283195
3944.0,-0.0014343057267816978
3943.0,-0.0014177871521351502
3942.0,-0.0013817113675114252
3941.0,-0.001359687203999557
3940.0,-0.0013549919203803174
3939.0,-0.0013340666896696476
3938.0,-0.0012939182470164848
3937.0,-0.0012685048134226566
3936.0,-0.0012706736096454035
3935.0,-0.0012783161111733397
3934.0,-0.0012669971659261883
3933.0,-0.001247222797398382
3932.0,-0.001255031458828294
3931.0,-0.0013179490316205143
3930.0,-0.0014245019157156924
3929.0,-0.0015215474931178682
3928.0,-0.00155899038915464
3927.0,-0.0015144598540511888
3926.0,-0.001403169467029553
3925.0,-0.0012908294258948197
3924.0,-0.0012577663386767874
3923.0,-0.0013116612962270507
3922.0,-0.0013654918828764876
3921.0,-0.0013610959147382477
3920.0,-0.001337280437294375
3919.0,-0.00132362856868913
3918.0,-0.0012710764368804048
3917.0,-0.0011431096430331682
3916.0,-0.0010052084772801154
3915.0,-0.0009422101977914848
3914.0,-0.0009439127374521472
3913.0,-0.0009581987229624769
3912.0,-0.0009918639245338964
3911.0,-0.0010941147397615328
3910.0,-0.0012767528890625943
3909.0,-0.0014944816716729356
3908.0,-0.0016764187387002696
3907.0,-0.001773871512464555
3906.0,-0.0017649501576458616
3905.0,-0.001674085489485157
3904.0,-0.0015783736836782693
3903.0,-0.0015615671949935235
3902.0,-0.0015982411802590154
3901.0,-0.0015661187623246696
3900.0,-0.0014132767794697478
3899.0,-0.0012334223841445567
3898.0,-0.0011359116688762873
3897.0,-0.0011126870364154646
3896.0,-0.001113830573644365
3895.0,-0.0011657500414875507
3894.0,-0.0013122143033437452
3893.0,-0.0014671586624525927
3892.0,-0.0014630225647670016
3891.0,-0.0013393881835787368
3890.0,-0.0013285856869925353
3889.0,-0.0014664940823393249
3888.0,-0.0015603003541014861
3887.0,-0.0015374472957138412
3886.0,-0.0014695619417838843
3885.0,-0.001458460059720384
3884.0,-0.0015682333039655943
3883.0,-0.0016588031265641757
3882.0,-0.0015462074117963715
3881.0,-0.0012984425678501384
3880.0,-0.00112334695821189
3879.0,-0.0011610285018033928
3878.0,-0.0013233329299006367
3877.0,-0.0013862572178997684
3876.0,-0.0013218849958533919
3875.0,-0.0012887792869231071
3874.0,-0.0013860285117838495
3873.0,-0.0016039389866435538
3872.0,-0.001806721097541012
3871.0,-0.0018126090351351727
3870.0,-0.0016388181266006482
3869.0,-0.001539978872143438
3868.0,-0.001643064195733057
3867.0,-0.0016862014956549331
3866.0,-0.0014742323469028277
3865.0,-0.0012207498954517344
3864.0,-0.0011573855348837678
3863.0,-0.0012695442812791522
3862.0,-0.001407873869124515
3861.0,-0.0014668942824328684
3860.0,-0.0014793298804897765
3859.0,-0.0015153901001279525
3858.0,-0.0015780961215320676
3857.0,-0.0016635359512916453
3856.0,-0.0017564974997158998
3855.0,-0.0017935099159963595
3854.0,-0.0016044153791982246
3853.0,-0.001282513265553246
3852.0,-0.0013280536989250468
3851.0,-0.0016237102514876254
3850.0,-0.0015384987819649601
3849.0,-0.0011430435681461844
3848.0,-0.000899010721222331
3847.0,-0.0008945442373975451
3846.0,-0.000990703211657684
3845.0,-0.001119299743540965
3844.0,-0.0012953688950928964
3843.0,-0.0015017647087971705
3842.0,-0.0016724419693699216
3841.0,-0.0017227290692313141
3840.0,-0.001588647402353318
3839.0,-0.001315760230033386
3838.0,-0.001070424163812251
3837.0,-0.0010123707486389547
3836.0,-0.0011161977621949356
3835.0,-0.0012228868135158938
3834.0,-0.0012356229086827224
3833.0,-0.0011883922432193638
3832.0,-0.0011492177533147618
3831.0,-0.0011595544186353347
3830.0,-0.0011968105156716167
3829.0,-0.0011788061572068564
3828.0,-0.001075676188351209
3827.0,-0.0009818213396352044
3826.0,-0.0010373225238679876
3825.0,-0.0012738682280293788
3824.0,-0.0015362052375046055
3823.0,-0.001657341028008384
3822.0,-0.001635646583378625
3821.0,-0.0016066533092226982
3820.0,-0.0017764756589943467
3819.0,-0.0020514786752580294
3818.0,-0.0019477521717368295
3817.0,-0.0013793297312215238
3816.0,-0.00082809453024671
3815.0,-0.0007107862216067977
3814.0,-0.0009527489470647558
3813.0,-0.0010912179881114698
3812.0,-0.0009418078025740595
3811.0,-0.0007977422109205546
3810.0,-0.0008748002382288355
3809.0,-0.0010492387984221564
3808.0,-0.0011116610445236616
3807.0,-0.0010528509700848156
3806.0,-0.0010976749316536783
3805.0,-0.0013344501204991897
3804.0,-0.001520497168768889
3803.0,-0.0014891157087730603
3802.0,-0.0013300808151619505
3801.0,-0.0012411389458987431
3800.0,-0.001423310461239531
3799.0,-0.0016653861669039289
3798.0,-0.0015447530253845138
3797.0,-0.0011544438856382888
3796.0,-0.000874484247879506
3795.0,-0.0008621787415665596
3794.0,-0.0009912873372239462
3793.0,-0.0010499035732942942
3792.0,-0.0009974606050200646
3791.0,-0.0009309315523699582
3790.0,-0.0009158189919250149
3789.0,-0.0009473377944548252
3788.0,-0.0009934623411034847
3787.0,-0.0010029402750021364
3786.0,-0.0009481919284504735
3785.0,-0.000891996713755709
3784.0,-0.0009572642990321575
3783.0,-0.0011727984149931749
3782.0,-0.0014123025354096039
3781.0,-0.0015270674070998248
3780.0,-0.0014794985094453402
3779.0,-0.0013507470129560956
3778.0,-0.001267278568669642
3777.0,-0.0012484474790625632
3776.0,-0.0012135814716422843
3775.0,-0.001171168122337317
3774.0,-0.0012014812887143063
3773.0,-0.0012997937721579075
3772.0,-0.0013586757110870672
3771.0,-0.001319331424971151
