cm-1,A
4000.0,-0.0006028140812519012
3999.0,-0.0005761418193118021
3998.0,-0.0005111007885577352
3997.0,-0.0004483371320659138
3996.0,-0.00041368110982256245
3995.0,-0.0003936030438096375
3994.0,-0.00034928416932703335
3993.0,-0.0002583179538030384
3992.0,-0.00014497932033770162
3991.0,-6.754247584977481e-05
3990.0,-6.891176903057756e-05
3989.0,-0.00013856294760127962
3988.0,-0.0002257364851343908
3987.0,-0.0002840359300189657
3986.0,-0.0002971420841983031
3985.0,-0.0002713322268200124
3984.0,-0.00022450095603918
3983.0,-0.0001868473302968224
3982.0,-0.00019172956705912868
3981.0,-0.0002475905428094621
3980.0,-0.00032261257368037654
3979.0,-0.0003697466468068093
3978.0,-0.0003690964353303492
3977.0,-0.0003401744950066428
3976.0,-0.0003138539416859855
3975.0,-0.0002996434504930973
3974.0,-0.0002832504036917559
3973.0,-0.0002524645298795274
3972.0,-0.00021783960690641667
3971.0,-0.00020550203056906614
3970.0,-0.0002296238828103309
3969.0,-0.0002741573238135451
3968.0,-0.0003077126852755012
3967.0,-0.00031358281547508044
3966.0,-0.00030012728632134583
3965.0,-0.00028262107316227164
3964.0,-0.0002666770806556175
3963.0,-0.000255115041799211
3962.0,-0.00026080402142391376
3961.0,-0.00029785479323467257
3960.0,-0.00035822157909670346
3959.0,-0.00041046829181947287
3958.0,-0.00042360447479538026
3957.0,-0.0003858973849980643
3956.0,-0.00031268426593322046
3955.0,-0.00024051212977458346
3954.0,-0.00020995192440820092
3953.0,-0.0002373504563388789
3952.0,-0.00030041492871603175
3951.0,-0.0003556704243238896
3950.0,-0.00037464877588301625
3949.0,-0.00037143927848203506
3948.0,-0.0003838107231550962
3947.0,-0.00042383768715321436
3946.0,-0.0004616119651089717
3945.0,-0.0004635231383972086
3944.0,-0.0004276883860738806
3943.0,-0.00037969658443653357
3942.0,-0.0003366026300628284
3941.0,-0.0002730343964964057
3940.0,-0.0001520774920678713
3939.0,-5.754496100090004e-07
3938.0,9.190054839722066e-05
3937.0,6.342018102720257e-05
3936.0,-6.843555124072965e-05
3935.0,-0.00023696228554044617
3934.0,-0.0003807325601776798
3933.0,-0.00045769072582675305
3932.0,-0.0004496400957443307
3931.0,-0.00038260016719607413
3930.0,-0.0003080000502266975
3929.0,-0.000263983629910842
3928.0,-0.0002597462528649728
3927.0,-0.0002755320796489669
3926.0,-0.0002835020569797019
3925.0,-0.00027714762732436275
3924.0,-0.0002727006424062188
3923.0,-0.000274929444990692
3922.0,-0.00028280348897297396
3921.0,-0.00032737291820308847
3920.0,-0.00042750177813489923
3919.0,-0.0005198470984928093
3918.0,-0.0005109268974699027
3917.0,-0.00039920416936206366
3916.0,-0.0002752272522076006
3915.0,-0.00019939624778078776
3914.0,-0.00015445513247989377
3913.0,-0.00010828192743850967
3912.0,-5.781773481037611e-05
3911.0,-2.0295096701277663e-05
3910.0,-3.18802404924972e-05
3909.0,-0.00012331171143364732
3908.0,-0.0002924745344614838
3907.0,-0.0004752023406848602
3906.0,-0.0005732012819691088
3905.0,-0.0005429534202203946
3904.0,-0.00048062938722092047
3903.0,-0.0005222945588620686
3902.0,-0.0006451345811427562
3901.0,-0.0007113494265810448
3900.0,-0.0006713653619105616
3899.0,-0.0005903130323431753
3898.0,-0.0005106081252894208
3897.0,-0.00040510844706458105
3896.0,-0.0002709335624717173
3895.0,-0.00016292741395022544
3894.0,-0.00010195039951500567
3893.0,-3.43501392454414e-05
3892.0,3.621832660518579e-05
3891.0,-1.2165121711500432e-05
3890.0,-0.00021728643872196687
3889.0,-0.0004021972965972628
3888.0,-0.0004291010810509757
3887.0,-0.00034935418984531445
3886.0,-0.0002881323251756277
3885.0,-0.00033582645636605953
3884.0,-0.00043876481955901865
3883.0,-0.0004211760915938372
3882.0,-0.00025851125324247246
3881.0,-0.00011963885397553702
3880.0,-0.00016853341074280284
3879.0,-0.000390982678647817
3878.0,-0.0005757670175879472
3877.0,-0.0005681273151017354
3876.0,-0.0004326811227551449
3875.0,-0.000317232334339404
3874.0,-0.0003267830529629823
3873.0,-0.000449762551667985
3872.0,-0.0005427593818233974
3871.0,-0.0005044057440382796
3870.0,-0.00042773671930326036
3869.0,-0.00046061856677519697
3868.0,-0.0005147899060875382
3867.0,-0.00039729146775150433
3866.0,-0.00018049024513731946
3865.0,-5.519151883414883e-05
3864.0,-4.0855967593633486e-05
3863.0,-5.2802628128958366e-05
3862.0,-4.543406910118659e-05
3861.0,-3.9729533039445115e-05
3860.0,-8.429702148193352e-05
3859.0,-0.0001818177364833009
3858.0,-0.00032539024763483327
3857.0,-0.0005126264681319381
3856.0,-0.000705457085347434
3855.0,-0.0007496318378046704
3854.0,-0.0005470191566415627
3853.0,-0.00046702685308454284
3852.0,-0.0007502578802856502
3851.0,-0.0008773869811583464
3850.0,-0.0005664157759626672
3849.0,-0.00015631602191110844
3848.0,7.157828951168468e-05
3847.0,0.00012203015272151422
3846.0,9.578477804081734e-05
3845.0,5.514574139934463e-05
3844.0,1.713115648207305e-05
3843.0,-2.4812030176310593e-05
3842.0,-7.889146295836022e-05
3841.0,-0.0001335473464757382
3840.0,-0.00018569181120995466
3839.0,-0.00024507186349585156
3838.0,-0.00032319920953004797
3837.0,-0.0003866392221763969
3836.0,-0.0003449268609362335
3835.0,-0.00013718114529693215
3834.0,0.00017770327070307625
3833.0,0.00046781272774400586
3832.0,0.0006239563775959599
3831.0,0.0006180640310195413
3830.0,0.0005119025324644287
3829.0,0.00039520910675531996
3828.0,0.0003036159508142014
3827.0,0.00020375876725974061
3826.0,4.2083208812570584e-05
3825.0,-0.0001679226960992707
3824.0,-0.0003416996169563532
3823.0,-0.0004093420350159047
3822.0,-0.00035548146216502364
3821.0,-0.0002922903874689616
3820.0,-0.00038212711269554507
3819.0,-0.0004573627283338878
3818.0,-0.00027343443280324715
3817.0,6.457369305677522e-05
3816.0,0.000299545624244522
3815.0,0.00030615867893218776
3814.0,0.00024306822738753148
3813.0,0.0003121041945467265
3812.0,0.0004162336534187191
3811.0,0.0003601616032277615
3810.0,0.0001703109658505262
3809.0,3.695486248832085e-05
3808.0,7.772855140990905e-05
3807.0,0.00017832247555301176
3806.0,0.00014451641480032465
3805.0,2.258223463441362e-05
3804.0,-2.9739624194465193e-06
3803.0,0.00010452295707490296
3802.0,0.000265037571955637
3801.0,0.00031523392817398455
3800.0,0.00019472375162676815
3799.0,0.00015020795986170777
3798.0,0.00029626894819743737
3797.0,0.00045317338752365755
3796.0,0.0004883568213466995
3795.0,0.00043721645343515166
3794.0,0.00041292357867073106
3793.0,0.0004541359234107841
