cm-1,A
4000.0,-0.0018296955577214447
3999.0,-0.0017722856839089004
3998.0,-0.0017090014973343945
3997.0,-0.001660479501534116
3996.0,-0.00164360878388151
3995.0,-0.0016638345821401396
3994.0,-0.0017144506311078467
3993.0,-0.001783705381194151
3992.0,-0.0018588667427851245
3991.0,-0.0019213474787075496
3990.0,-0.0019468348986119806
3989.0,-0.0019207895621590936
3988.0,-0.0018555014214313966
3987.0,-0.0017848107346657032
3986.0,-0.0017340634260825539
3985.0,-0.0017055130000710225
3984.0,-0.001690145033054283
3983.0,-0.001684333509115381
3982.0,-0.0016921698297346706
3981.0,-0.0017133561550547376
3980.0,-0.0017410509794465923
3979.0,-0.0017701506387741437
3978.0,-0.0018011499738056476
3977.0,-0.001831468163658827
3976.0,-0.0018463095775828422
3975.0,-0.0018278137192824478
3974.0,-0.0017716509172714607
3973.0,-0.0016900122621634533
3972.0,-0.00159965738456414
3971.0,-0.0015110411107488295
3970.0,-0.0014298710323133496
3969.0,-0.001363714955520708
3968.0,-0.0013278352314275736
3967.0,-0.0013368810920194633
3966.0,-0.0013877552101779263
3965.0,-0.0014552795331414826
3964.0,-0.0015090644305088127
3963.0,-0.001543731862708174
3962.0,-0.0015837434235565543
3961.0,-0.0016501901458722422
3960.0,-0.0017320432759418659
3959.0,-0.001790829127399423
3958.0,-0.001796754176139617
3957.0,-0.0017499577369871752
3956.0,-0.0016699997544118534
3955.0,-0.0015810028985287082
3954.0,-0.0014996748385085166
3953.0,-0.0014412761283411537
3952.0,-0.0014225875454745554
3951.0,-0.0014472337601237773
3950.0,-0.0014955620982968266
3949.0,-0.0015378825026131945
3948.0,-0.0015719610799806872
3947.0,-0.0016149855490847013
3946.0,-0.0016576388048718607
3945.0,-0.0016723003125930233
3944.0,-0.0016468019886564348
3943.0,-0.0015971832163419806
3942.0,-0.001564313077064512
3941.0,-0.0015743216602113906
3940.0,-0.0016187006450024723
3939.0,-0.001671728809152174
3938.0,-0.0017097174533707608
3937.0,-0.0017145162215234733
3936.0,-0.0016737274943167658
3935.0,-0.0016020896080345722
