cm-1,A
4000.0,-0.0005912859038045837
3999.0,-0.0005849489639906428
3998.0,-0.0005887327144659019
3997.0,-0.0005838485213000682
3996.0,-0.0005771884114742738
3995.0,-0.0005854331344674321
3994.0,-0.0006079254239147121
3993.0,-0.0006225570963285361
3992.0,-0.0006115419072572142
3991.0,-0.0005781068078569748
3990.0,-0.0005312825113074388
3989.0,-0.00047023488053003965
3988.0,-0.0003962182708655475
3987.0,-0.000337633124840972
3986.0,-0.00033661218097777023
3985.0,-0.0004036901925871583
3984.0,-0.0004911796005624833
3983.0,-0.0005225873160426298
3982.0,-0.0004595789252072429
3981.0,-0.00033382344228841153
3980.0,-0.00021983498615484097
3979.0,-0.00017071450220621117
3978.0,-0.00018586038428989487
3977.0,-0.00022711844780560824
3976.0,-0.00025294357457333194
3975.0,-0.0002556003161502701
3974.0,-0.00025984371956286177
3973.0,-0.00029584074075033223
3972.0,-0.0003703370065388103
3971.0,-0.0004635649260870888
3970.0,-0.0005439209753028168
3969.0,-0.0005771103215576932
3968.0,-0.0005478133761648218
3967.0,-0.00047261440595374024
3966.0,-0.00039436720430119577
3965.0,-0.00034990893421615795
3964.0,-0.0003399833434793171
3963.0,-0.0003349661853998574
3962.0,-0.0003055422758863513
3961.0,-0.00025360528657294306
3960.0,-0.0002034224831151277
3959.0,-0.00017203836102646606
3958.0,-0.00016420950117309528
3957.0,-0.00016870039949825916
3956.0,-0.00017152015864515467
3955.0,-0.0001756347078017381
3954.0,-0.00020108444519470182
3953.0,-0.0002621938686574414
3952.0,-0.00035511057455889293
3951.0,-0.0004568665511648261
3950.0,-0.0005284343155139787
3949.0,-0.000535922912020073
3948.0,-0.000481970225307748
3947.0,-0.00039767704691205246
3946.0,-0.0003025829197907166
3945.0,-0.00022487786900194067
3944.0,-0.0002082054380664846
3943.0,-0.00027382942571118577
3942.0,-0.00040321827208900264
3941.0,-0.0005126041301355409
3940.0,-0.0004920584280886208
3939.0,-0.000334189738108936
3938.0,-0.00014755333690462966
3937.0,-3.434514790914416e-05
3936.0,-1.631791772513559e-05
3935.0,-5.662303416381658e-05
3934.0,-0.00012367839801142477
3933.0,-0.00019902033794102648
3932.0,-0.0002699667968907658
3931.0,-0.0003444723199378505
3930.0,-0.000418320231383833
3929.0,-0.00047265451407907464
3928.0,-0.0005101341553132284
3927.0,-0.0005344522590631437
3926.0,-0.0005290014931970044
3925.0,-0.00046652382608190215
3924.0,-0.000369339085697751
3923.0,-0.00029708749274098964
3922.0,-0.0002564461880101263
3921.0,-0.00024689361205078417
3920.0,-0.00024837515961343646
3919.0,-0.0001732598539427404
3918.0,-1.9717482337454524e-05
3917.0,7.345741504605571e-05
3916.0,3.28803303950478e-05
3915.0,-2.4186596952815997e-05
3914.0,3.596767580338399e-05
3913.0,0.00016823507083125924
3912.0,0.00023550019326060178
3911.0,0.00019362476024481457
3910.0,8.385115779766081e-05
3909.0,-4.641248333053265e-05
3908.0,-0.00020491318754138765
3907.0,-0.0003991074249519447
3906.0,-0.0005951580315034284
3905.0,-0.0007085884213157839
3904.0,-0.0007192721290522674
3903.0,-0.0007181596381974796
3902.0,-0.0007177392868023313
3901.0,-0.0006452672696081897
3900.0,-0.0005271899769477284
3899.0,-0.0004485666605028569
3898.0,-0.00039655465201114356
3897.0,-0.000293972020287523
3896.0,-0.00017991385396248538
3895.0,-0.00018674475910215204
3894.0,-0.00030395245436366737
3893.0,-0.0003261531216235377
3892.0,-0.00014509581256531346
3891.0,-3.7243914675845816e-05
3890.0,-0.0002225583286485333
3889.0,-0.00038142391872770864
3888.0,-0.0003006096095756121
3887.0,-0.00016685101375308508
3886.0,-0.00011996387951390808
3885.0,-0.00018829541840674867
3884.0,-0.0003436627707710693
3883.0,-0.0003569502996947025
3882.0,-0.0001994260752500876
3881.0,-6.70977401517579e-05
3880.0,-0.00011263297788774107
3879.0,-0.00034238988542508884
3878.0,-0.0004649012971698734
3877.0,-0.0003268062950835762
3876.0,-0.0001915376585029671
3875.0,-0.000283952367919324
3874.0,-0.0005710779110789266
3873.0,-0.0008693393028444653
3872.0,-0.00095113396431537
3871.0,-0.000757867512058228
3870.0,-0.00050150423741254
3869.0,-0.00047122936907691084
3868.0,-0.0005247883689826307
3867.0,-0.00030819004055729983
3866.0,-4.663992235577419e-05
3865.0,-3.833304960564637e-05
3864.0,-0.00010410276365914117
3863.0,-8.396266360031246e-05
3862.0,-2.1225974290553286e-05
3861.0,2.4113028187365546e-05
3860.0,-1.8915568734819698e-05
3859.0,-0.0001647363874739548
3858.0,-0.00040152037612353975
3857.0,-0.0006953540763676859
3856.0,-0.0009984961500741104
3855.0,-0.0011407032740245466
3854.0,-0.0007346464100668775
3853.0,-0.00018623326289952857
3852.0,-0.00044021175714035077
3851.0,-0.0006788133075963448
3850.0,-0.0002818765347518071
3849.0,0.0001257616693305913
3848.0,0.00020717729322716627
3847.0,0.00011716746967266662
3846.0,3.10045688818632e-05
3845.0,-6.745025479083511e-06
3844.0,-1.379553459004046e-05
3843.0,-9.007695851743647e-05
3842.0,-0.0003099538342338117
3841.0,-0.0005857363117511946
3840.0,-0.0007490559234244509
3839.0,-0.0006857981619769606
3838.0,-0.0005476562959222177
3837.0,-0.0005618874985935132
3836.0,-0.0006417302939882748
3835.0,-0.0005318606215810851
3834.0,-0.00019701579303942117
3833.0,0.00019787158161129387
3832.0,0.00045544386574002083
3831.0,0.00048587553294125735
3830.0,0.00038166343041399765
3829.0,0.0003026603162824876
3828.0,0.00029668976909877397
3827.0,0.00028628555501021975
3826.0,0.00019153735591329556
3825.0,7.256047659194576e-05
3824.0,5.344794199098857e-05
3823.0,6.429218096665828e-05
3822.0,-1.0023417021894686e-05
3821.0,-0.00014691212524113505
3820.0,-0.00045475916053898445
3819.0,-0.0005684953028822858
3818.0,-0.00010363302107762817
3817.0,0.0004859345080040525
3816.0,0.0006623180340004566
3815.0,0.0003495543186146197
3814.0,4.3822419613068543e-05
3813.0,0.00017558777926380938
3812.0,0.00045741264516778625
3811.0,0.000501861473803992
3810.0,0.0003970257952525047
3809.0,0.0004057562982180239
3808.0,0.0005944125721122048
3807.0,0.000716424455136324
3806.0,0.00047457149397613405
3805.0,8.428488266580603e-05
3804.0,-6.099028894814862e-05
3803.0,-1.5002033939548686e-05
3802.0,0.00013763729332440589
3801.0,0.00014708906007318562
3800.0,-0.00024260022448282514
3799.0,-0.0004637941097944802
3798.0,-0.00022875979979935157
3797.0,0.00011020068642029962
3796.0,0.0003251857853217506
3795.0,0.00043431425225388953
3794.0,0.0005784604766426995
3793.0,0.0007623960728658348
3792.0,0.0008457634809746763
3791.0,0.0008005936319961342
3790.0,0.0007371085963956925
3789.0,0.0007058233822506664
3788.0,0.0006710675978058018
3787.0,0.0006220748189387753
3786.0,0.000606989409852305
3785.0,0.0006306517632555703
3784.0,0.0006201548324892287
3783.0,0.0005497239431689334
3782.0,0.00048203668049300453
3781.0,0.000445809941638624
3780.0,0.0004584847362756683
3779.0,0.0005242265388370117
3778.0,0.0005924242906379902
3777.0,0.0007100592425285617
