cm-1,A
4000.0,-0.0020143703566070648
3999.0,-0.0020395080640986845
3998.0,-0.0020803898596495406
3997.0,-0.0020898044864165167
3996.0,-0.0020382326044920736
3995.0,-0.0019426625499925365
3994.0,-0.001855247531682768
3993.0,-0.001821128986081152
3992.0,-0.0018477188916731745
3991.0,-0.001897248684610405
3990.0,-0.0019169570587479923
3989.0,-0.0018885301755264638
3988.0,-0.0018424299891313014
3987.0,-0.001825158511639878
3986.0,-0.0018482378093480929
3985.0,-0.0018846991343530667
3984.0,-0.0019067325601457052
3983.0,-0.0019085614980367815
3982.0,-0.0018979021306019968
3981.0,-0.0018778052098692578
3980.0,-0.0018515312714531972
3979.0,-0.00183371056816928
3978.0,-0.0018372097732946876
3977.0,-0.0018458460845762507
3976.0,-0.0018162285933605803
3975.0,-0.0017259427030113545
3974.0,-0.0016059773887309727
3973.0,-0.001515328247424102
3972.0,-0.0014850534971886213
3971.0,-0.0014946562898050686
3970.0,-0.0015037856956539753
3969.0,-0.001490651917537942
3968.0,-0.001471390075697956
3967.0,-0.0014760906026792323
3966.0,-0.0015139300170941771
3965.0,-0.0015664700536221633
3964.0,-0.0016081380069857074
3963.0,-0.0016386895875428603
3962.0,-0.0016794706053534227
3961.0,-0.001733831186509681
3960.0,-0.0017719666437026227
3959.0,-0.0017586800014210543
3958.0,-0.0017005953762497944
3957.0,-0.0016485643660833196
3956.0,-0.0016500012438660466
3955.0,-0.0016934605763529965
3954.0,-0.0017131525867451665
3953.0,-0.0016574779613214804
3952.0,-0.0015451424747921715
3951.0,-0.001451006274680581
3950.0,-0.0014309140842715894
3949.0,-0.0014759921354903635
3948.0,-0.0015291225635904696
3947.0,-0.0015313778840007125
3946.0,-0.0014650729312235267
3945.0,-0.0013755991190758537
3944.0,-0.0013286805010568985
3943.0,-0.0013336529340011102
3942.0,-0.0013523916371091214
3941.0,-0.0013697814333296105
3940.0,-0.0014205944078368004
3939.0,-0.001528631583558172
3938.0,-0.0016474441812400847
3937.0,-0.0016848442701887353
3936.0,-0.0016013668243385266
3935.0,-0.0014668342828480319
3934.0,-0.0013837778725066866
3933.0,-0.0013704288150204504
3932.0,-0.0013488020916538105
3931.0,-0.0012658972070260517
3930.0,-0.0011605211672344907
3929.0,-0.0010935658699121108
3928.0,-0.001086570007235188
3927.0,-0.0011355680028988142
3926.0,-0.0012378410875066945
3925.0,-0.0013372508723952486
3924.0,-0.0013461359126134783
3923.0,-0.0012711412271354434
3922.0,-0.00121529472523534
3921.0,-0.0012604332551962188
3920.0,-0.0013666671723241398
3919.0,-0.0014168905732266201
3918.0,-0.0013751445545277438
3917.0,-0.0013007472002151339
3916.0,-0.001249914629672919
3915.0,-0.0012305205851576174
3914.0,-0.0012493672234152686
3913.0,-0.0013134589211502058
3912.0,-0.00139837260088052
3911.0,-0.0014492701105475896
3910.0,-0.0014670444241073977
3909.0,-0.0014900602029311583
3908.0,-0.0015361747793140165
3907.0,-0.0015826829535565833
3906.0,-0.0016013422688986696
3905.0,-0.0015675050396249486
3904.0,-0.0014414851481523582
3903.0,-0.0012295745014667197
3902.0,-0.0010174089282754422
3901.0,-0.0009120367517142558
3900.0,-0.000943521921127266
3899.0,-0.0010327146382507813
3898.0,-0.001095146851257406
3897.0,-0.001122235685046316
3896.0,-0.0011422144348137916
3895.0,-0.00112475546055506
3894.0,-0.0010249067831382534
3893.0,-0.000893784181338665
3892.0,-0.0009013828939988618
3891.0,-0.0011095301876820874
3890.0,-0.0013388858016931016
3889.0,-0.0013433514989825996
3888.0,-0.001159514118351293
3887.0,-0.0011124553003670438
3886.0,-0.0013343181122152936
3885.0,-0.0015395348609838777
3884.0,-0.001461278672907206
3883.0,-0.00115792269325618
3882.0,-0.0009332514590364403
3881.0,-0.0010058945654030723
3880.0,-0.0012592089915945538
3879.0,-0.0014335489932645333
3878.0,-0.0014015762334053134
3877.0,-0.0012459752549878673
3876.0,-0.0012134520643794638
3875.0,-0.0014279091879728228
3874.0,-0.0016570449086659009
3873.0,-0.0015831341087128008
3872.0,-0.0012555437077576437
3871.0,-0.0010720475000284523
3870.0,-0.0012028126638705483
3869.0,-0.0013304123397201173
3868.0,-0.001178544011900652
3867.0,-0.0008879942781716511
3866.0,-0.0008338673995866083
3865.0,-0.001079844481366253
3864.0,-0.001282554625874346
3863.0,-0.001244530215609914
3862.0,-0.001136853664757733
3861.0,-0.0011203213992160498
3860.0,-0.0012131565508610854
3859.0,-0.0013481663304505962
3858.0,-0.0014344681788340443
3857.0,-0.0013767078361207746
3856.0,-0.0012134564600398711
3855.0,-0.0012440790806958926
3854.0,-0.001534447815313497
3853.0,-0.0016423256555656482
3852.0,-0.0014609264912458502
3851.0,-0.0012216924498403665
3850.0,-0.0010918156399039175
3849.0,-0.0011197678199015464
3848.0,-0.0012122146660720476
3847.0,-0.0012636808389799963
3846.0,-0.001286496607865351
3845.0,-0.0013297159618150698
3844.0,-0.001399710429883193
3843.0,-0.0014380209837349246
3842.0,-0.0013890601179487722
3841.0,-0.0012998529363827107
3840.0,-0.001321297877267017
3839.0,-0.0014859012545379664
3838.0,-0.001631077552890999
3837.0,-0.0015955029301819618
3836.0,-0.0013893188966928064
3835.0,-0.0011267363486236043
3834.0,-0.0009406641198580712
3833.0,-0.0009274687862493871
3832.0,-0.0010559677851079044
3831.0,-0.0011647409239105445
3830.0,-0.0011265878047574253
3829.0,-0.0009736142205909323
3828.0,-0.0009004622652548163
3827.0,-0.0010644459545333163
3826.0,-0.0013599619380800852
3825.0,-0.0014887564853830304
3824.0,-0.0013181955700877152
3823.0,-0.0010861146043272339
3822.0,-0.001125379946877855
3821.0,-0.0013414293747352878
3820.0,-0.0014137350591789965
3819.0,-0.0012165456663445133
3818.0,-0.0009155240518019627
3817.0,-0.0008739879305522197
3816.0,-0.0011129379450825526
3815.0,-0.001245017926612549
3814.0,-0.0011039190258652647
3813.0,-0.0009217899995021454
3812.0,-0.0009372653606888773
3811.0,-0.001099290996718601
3810.0,-0.0011671061240219693
3809.0,-0.001095349208856552
3808.0,-0.0011206703944760554
3807.0,-0.0013380256095873334
3806.0,-0.0014988908336265455
3805.0,-0.0013458643325545377
3804.0,-0.0009671342887802407
3803.0,-0.0007694577901174831
3802.0,-0.0009402373433609766
3801.0,-0.0011231869264318513
3800.0,-0.0010317756725624072
3799.0,-0.0007953839426629296
3798.0,-0.0006833776865525137
3797.0,-0.0008213739996952153
3796.0,-0.001037228157099899
3795.0,-0.0011062010757687082
3794.0,-0.0010263790805075243
3793.0,-0.0009470758419190007
3792.0,-0.0009495376370464102
3791.0,-0.0009877454743348279
3790.0,-0.000991358089982552
3789.0,-0.0009518616567781541
3788.0,-0.0008963259915120203
3787.0,-0.0008449215249568191
3786.0,-0.0008120176954655516
3785.0,-0.0007995481775352903
3784.0,-0.0007811218819675645
3783.0,-0.0007291303581491496
3782.0,-0.0006727384523790367
3781.0,-0.0006849178213561945
3780.0,-0.0007734917937623919
3779.0,-0.0008348479338362349
3778.0,-0.0008134944486135647
3777.0,-0.0007740025714843495
3776.0,-0.0008252092442972929
3775.0,-0.000987086151319927
3774.0,-0.001117080275201953
3773.0,-0.0010647733376835085
3772.0,-0.0008947021085889872
3771.0,-0.0008129939005191451
3770.0,-0.000868333081616956
3769.0,-0.0009093783406376413
3768.0,-0.0008417107290757142
3767.0,-0.0007465094898207442
3766.0,-0.0007387086784860754
3765.0,-0.0007772059956137533
3764.0,-0.0007203092876370716
3763.0,-0.0005332354066067931
3762.0,-0.0003600019048797705
3761.0,-0.0003247657224438082
3760.0,-0.0003462667424338128
3759.0,-0.00032804689138106317
3758.0,-0.000376972776444644
3757.0,-0.0005632332757389198
3756.0,-0.0007357790104770656
3755.0,-0.000752980483772161
3754.0,-0.0006810979180935418
3753.0,-0.0006567140003767251
3752.0,-0.0006303057087267285
3751.0,-0.0005295101482198852
3750.0,-0.0005484131525250596
3749.0,-0.0007428739482751497
3748.0,-0.0007583792363363031
3747.0,-0.00037387892263434264
3746.0,2.2359908576951096e-06
3745.0,-0.00016639372197100244
3744.0,-0.0006098094258163944
3743.0,-0.0007510611837432511
3742.0,-0.0005737893811277486
3741.0,-0.00040039189390576305
3740.0,-0.0004114159473383261
3739.0,-0.0004946401634704113
3738.0,-0.000563398202676786
3737.0,-0.0007259405771072367
3736.0,-0.0009304232567964794
3735.0,-0.0009121664424675804
3734.0,-0.0006671863351069547
3733.0,-0.0005128133401811403
3732.0,-0.0006059080217624415
3731.0,-0.0007704043091570147
3730.0,-0.00077256151423377
3729.0,-0.0006074057482569876
3728.0,-0.00047792031452214537
3727.0,-0.0004990538133772019
3726.0,-0.0005224581877204601
3725.0,-0.0003919961590596793
3724.0,-0.00017080962529220393
3723.0,-7.827881877165875e-06
3722.0,5.0540248510139944e-05
3721.0,6.0552214989966326e-05
3720.0,7.234435460173883e-05
3719.0,7.979030189630672e-05
3718.0,3.450467349189407e-05
3717.0,-4.744581248829617e-05
3716.0,-7.829095790691976e-05
3715.0,-3.835900244486762e-05
3714.0,-1.923586996467998e-05
3713.0,-7.847750109100915e-05
3712.0,-9.789085655045925e-05
3711.0,4.84693384664725e-05
3710.0,0.0002886499376294977
3709.0,0.0005003726597731996
3708.0,0.0006227626510808824
3707.0,0.000653797707721617
3706.0,0.0006458484369378816
3705.0,0.0006506847690699623
3704.0,0.0006683025107639858
3703.0,0.0006747651991974694
3702.0,0.0006916184359554601
3701.0,0.0007590244257307793
3700.0,0.0008764528708463059
3699.0,0.000995188547896841
3698.0,0.0010305232319907545
3697.0,0.0009600562207840251
3696.0,0.000901806582892092
3695.0,0.0009655319780017312
3694.0,0.0011092221622200937
3693.0,0.0012569819429113162
3692.0,0.0014436472880591396
3691.0,0.0017462245530661213
3690.0,0.002067279820023019
3689.0,0.0021835545571241405
3688.0,0.002070010981626742
3687.0,0.0019612353296137013
3686.0,0.00201654515436442
3685.0,0.0021442565920144997
3684.0,0.002205266737725301
3683.0,0.0022117365760654087
3682.0,0.002243056944224822
3681.0,0.002271926279515768
3680.0,0.002273006152209639
3679.0,0.002374662531100249
3678.0,0.0026838821300139365
3677.0,0.002985886250723991
3676.0,0.003064960371394858
3675.0,0.0030683158415951584
3674.0,0.0031673052552899
3673.0,0.0034049784313625433
3672.0,0.003612149052187664
3671.0,0.0035939819088032197
3670.0,0.003600860448731971
3669.0,0.003906437746836533
3668.0,0.004299906524882338
3667.0,0.004546455326667671
3666.0,0.0046305081339331495
3665.0,0.004643167765342166
3664.0,0.0046820129294878055
3663.0,0.0047618598931289296
3662.0,0.004825210983204833
3661.0,0.004846472096057941
3660.0,0.004903326090598365
3659.0,0.005074466507062463
3658.0,0.005325419095690378
3657.0,0.005538797276168214
3656.0,0.005695455998788634
3655.0,0.005876448791445318
3654.0,0.00613955099912889
3653.0,0.006428220012882684
3652.0,0.006605576024128061
3651.0,0.0067577848950354045
3650.0,0.007263138247228221
3649.0,0.008091571252236649
3648.0,0.00865289588221367
3647.0,0.008755985348825624
3646.0,0.008709128612355286
3645.0,0.008754889299985691
3644.0,0.008909688190506594
3643.0,0.009101870243579809
3642.0,0.00930757194787906
3641.0,0.009537504945883962
3640.0,0.009759019796082052
3639.0,0.009925357383196384
3638.0,0.010088728049908494
3637.0,0.010358144705351036
3636.0,0.010733042765619255
3635.0,0.011061920689611319
3634.0,0.01125905787250601
3633.0,0.011447967829749791
3632.0,0.011795587154975749
3631.0,0.012247021153977829
3630.0,0.01257628353089661
3629.0,0.012795286531209699
3628.0,0.013030293698765709
3627.0,0.013252866873496404
3626.0,0.013448593517832487
3625.0,0.013601670686919552
3624.0,0.01373884403041417
3623.0,0.013974132051701288
3622.0,0.014361243546362186
3621.0,0.014807619241565748
3620.0,0.01519815503023323
3619.0,0.015523901517439816
3618.0,0.01582709189834166
3617.0,0.01614766837731683
3616.0,0.0164872119136404
3615.0,0.016778381926207574
3614.0,0.016984903947012967
3613.0,0.017180617252332806
3612.0,0.01745554202704199
3611.0,0.017811528725986393
3610.0,0.018186413344027878
3609.0,0.01854233347222818
3608.0,0.018892553829774197
3607.0,0.019222409464848884
3606.0,0.019488044802981285
3605.0,0.019687327670001562
3604.0,0.019855509532668285
3603.0,0.020034837832601557
3602.0,0.020259192116908218
3601.0,0.02053947661736052
3600.0,0.020875705853605948
3599.0,0.021239998306109422
3598.0,0.021591686000142104
3597.0,0.021907002724644745
3596.0,0.022179589353750626
3595.0,0.022398349630860417
3594.0,0.02258070734952073
3593.0,0.02278748357766708
3592.0,0.02308458435147663
3591.0,0.023487180714375635
3590.0,0.02392421225050263
3589.0,0.024303350143884548
3588.0,0.024631404231513564
3587.0,0.02496126128291882
3586.0,0.02526597928041902
3585.0,0.025508024082413226
3584.0,0.025695669403597732
3583.0,0.025854775091790953
3582.0,0.026031400459788856
3581.0,0.02627271850902739
3580.0,0.026594943150216103
3579.0,0.026964868097135268
3578.0,0.027328618564496997
3577.0,0.027664257494398492
3576.0,0.027996467029659928
3575.0,0.02836067051273883
3574.0,0.02875209719309953
3573.0,0.029120610665812355
3572.0,0.02941769408142373
3571.0,0.029651403820491178
3570.0,0.029869657672742394
3569.0,0.030125429922117378
3568.0,0.030498201160141757
3567.0,0.03101651703654759
3566.0,0.03153538658869751
3565.0,0.03190263106806692
3564.0,0.032140325402524664
3563.0,0.032351095523790056
3562.0,0.032604426156805026
3561.0,0.03291190310697935
3560.0,0.03323752537209907
3559.0,0.033542140173933005
3558.0,0.03382010881770869
3557.0,0.03409890930015175
3556.0,0.03441907189811824
3555.0,0.03480746756230285
3554.0,0.03523952017268343
3553.0,0.03563705772487956
3552.0,0.035936837546272825
3551.0,0.036171962388639206
3550.0,0.03644063722251316
3549.0,0.03678722097305766
3548.0,0.037166478809551824
3547.0,0.03753225901995129
3546.0,0.037911287431445936
3545.0,0.038348475468237476
3544.0,0.038812289037845546
3543.0,0.03921075474082203
3542.0,0.03948485347943746
3541.0,0.03966277659211278
3540.0,0.03982688833203223
3539.0,0.04004260971780009
3538.0,0.04032138923666939
3537.0,0.040632414217414675
3536.0,0.04094196587845225
3535.0,0.04123985189476253
3534.0,0.04153971001904025
3533.0,0.04185418895319053
3532.0,0.042187732526956914
3531.0,0.04254938917663789
3530.0,0.04295684150604169
3529.0,0.04340968063644292
3528.0,0.04386967047888058
3527.0,0.044295742009194485
3526.0,0.044690054784382295
3525.0,0.045088144322728826
3524.0,0.04549959640919467
3523.0,0.04588114539058731
3522.0,0.04618826127653199
3521.0,0.04643828934383583
3520.0,0.04669651489458693
3519.0,0.04701379773704751
3518.0,0.047398369575181905
3517.0,0.0478268904457487
3516.0,0.0482611674173168
3515.0,0.04866073003428088
3514.0,0.049006694586173814
3513.0,0.049313813584730665
3512.0,0.04961657742984669
3511.0,0.049944156880022114
3510.0,0.050307436682659905
3509.0,0.0507001931148761
3508.0,0.05110742143068178
3507.0,0.051517578715563304
3506.0,0.051928772850568815
3505.0,0.05234962687556374
3504.0,0.05279626003334171
3503.0,0.05326498871369459
3502.0,0.05371098132275464
3501.0,0.054086874925158096
3500.0,0.05439512543905595
3499.0,0.05469132622584942
3498.0,0.055045032871931986
3497.0,0.0554869757013263
3496.0,0.05598071489644236
3495.0,0.05644545057427525
3494.0,0.05681583377770258
3493.0,0.05708716591813759
3492.0,0.05731079073172309
3491.0,0.05756167066747154
3490.0,0.0579037516403993
3489.0,0.058353235239420626
3488.0,0.05886316121652533
3487.0,0.05935736366138035
3486.0,0.05978855738511626
3485.0,0.060164332681634514
3484.0,0.060525083287553495
3483.0,0.0609073936772967
3482.0,0.06132672940561498
3481.0,0.061775712392302895
3480.0,0.06223108063789161
3479.0,0.06267559738981937
3478.0,0.06311599085885349
3477.0,0.06357242996726319
3476.0,0.06405168048814981
3475.0,0.06453772638674869
3474.0,0.06501188661790988
3473.0,0.06547187895430677
3472.0,0.06591643066873695
3471.0,0.06632536242149595
3470.0,0.0666804160812409
3469.0,0.06700298974662279
3468.0,0.06734988626522481
3467.0,0.06776269480465372
3466.0,0.06822831471794663
3465.0,0.06869575209729631
3464.0,0.06912957502106233
3463.0,0.06954481753211338
3462.0,0.06998817928902598
3461.0,0.07048332017617835
3460.0,0.07100039994997318
3459.0,0.07148567604831882
3458.0,0.07191789587237561
3457.0,0.0723209946101443
3456.0,0.07272370217059523
3455.0,0.07312544928652345
3454.0,0.07351142162134078
3453.0,0.0738888869189468
3452.0,0.07429582405481244
3451.0,0.07476347887272247
3450.0,0.0752731429933798
3449.0,0.07575994844004101
3448.0,0.07616971518229235
3447.0,0.07651568544803489
3446.0,0.07686412506355306
3445.0,0.07726560583872523
3444.0,0.07771956035673695
3443.0,0.07820372343960724
3442.0,0.07871106369159488
3441.0,0.07923722984827256
3440.0,0.07974478551482803
3439.0,0.08017224820316779
3438.0,0.08049246330397171
3437.0,0.08075131885831735
3436.0,0.08104072292131187
3435.0,0.0814301469699077
3434.0,0.08191906374694541
3433.0,0.08244273888922803
3432.0,0.0829238036482849
3431.0,0.08333323308111114
3430.0,0.08371498113652039
3429.0,0.08414565042366681
3428.0,0.08465793937531915
3427.0,0.0852102035387499
3426.0,0.08573662419002585
3425.0,0.08621622142717413
3424.0,0.08667493921640926
3423.0,0.08712810398432605
3422.0,0.08755415237213544
3421.0,0.08793715936856639
3420.0,0.08830115116610747
3419.0,0.08867179615060836
3418.0,0.08903127136076452
3417.0,0.08934852289249684
3416.0,0.08964155804400832
3415.0,0.08997229955666172
3414.0,0.09037756687737358
3413.0,0.09083703769090036
3412.0,0.09131372151392476
3411.0,0.09179026952760481
3410.0,0.09225010397456164
3409.0,0.09265733729924128
3408.0,0.09298763842795583
3407.0,0.09326803458330932
3406.0,0.09356260786782776
3405.0,0.09391907526992384
3404.0,0.09433351665083951
3403.0,0.09475612560338884
3402.0,0.0951284615883896
3401.0,0.09542706503839937
3400.0,0.09567996464848284
3399.0,0.09593746927230791
3398.0,0.0962246668262591
3397.0,0.0965242159738453
3396.0,0.09680086468975853
3395.0,0.09703506939798175
3394.0,0.0972362298523192
3393.0,0.09743641755139602
3392.0,0.09766834358779213
3391.0,0.09793179217963359
3390.0,0.09818250212014695
3389.0,0.09837389428160663
3388.0,0.09851349455150739
3387.0,0.09865776692997982
3386.0,0.09884211446342035
3385.0,0.09903660096651073
3384.0,0.09918653823346583
3383.0,0.09927711515463805
3382.0,0.09933711513237609
3381.0,0.09939299174632994
3380.0,0.0994434759644321
3379.0,0.09947191787281041
3378.0,0.09946111715533137
3377.0,0.09939490584136362
3376.0,0.09926603563756786
