cm-1,A
4000.0,-0.00047065975277413297
3999.0,-0.00042038706327229836
3998.0,-0.0003744008138898587
3997.0,-0.00035381045870512984
3996.0,-0.00037039510195808773
3995.0,-0.0004152462987151188
3994.0,-0.00045972117235429204
3993.0,-0.00047539665237167437
3992.0,-0.0004542353718249388
3991.0,-0.0004032499948757812
3990.0,-0.00032850225721138375
3989.0,-0.00023609847208295228
3988.0,-0.00014373018987218905
3987.0,-7.987650210573589e-05
3986.0,-5.299570331775919e-05
3985.0,-3.199755632231176e-05
3984.0,2.0858435765175147e-05
3983.0,0.00010593669387711033
3982.0,0.00017550704008249124
3981.0,0.00017745760299850769
3980.0,0.00010358389039801484
3979.0,-8.370315742062436e-06
3978.0,-0.00010624548762189472
3977.0,-0.0001587824744340308
3976.0,-0.00016014798409797176
3975.0,-0.00013012513136717412
3974.0,-0.00010298851787636076
3973.0,-0.00010295323776952046
3972.0,-0.0001229183590292504
3971.0,-0.00012877453340105066
3970.0,-9.011958521881226e-05
3969.0,-2.1333475524101114e-06
3968.0,9.883934882182893e-05
3967.0,0.0001584043243681426
3966.0,0.00014409915749838582
3965.0,6.958036179687769e-05
3964.0,-1.278593600572385e-05
3963.0,-5.708741871364095e-05
3962.0,-5.55030953736475e-05
3961.0,-2.9664090590105288e-05
3960.0,5.753168892921184e-06
3959.0,5.532536278585534e-05
3958.0,0.00010725899954263339
3957.0,0.00013870556767883561
3956.0,0.00013590794824732116
3955.0,9.722068909521e-05
3954.0,2.03928504362641e-05
3953.0,-9.399490448934802e-05
3952.0,-0.00023100339916037708
3951.0,-0.0003445792647758803
3950.0,-0.0003660628534096237
3949.0,-0.0002783239153055436
3948.0,-0.0001710047962033539
3947.0,-0.00015232417337821512
3946.0,-0.00021305114936676865
3945.0,-0.00028575422325192177
3944.0,-0.00032983310866829905
3943.0,-0.0003342704234769369
3942.0,-0.00033220010152080733
3941.0,-0.0003093475231294089
3940.0,-0.00017312470494384004
3939.0,7.55028280496747e-05
3938.0,0.000297730687550307
3937.0,0.0003805423521781393
3936.0,0.00032357380427503607
3935.0,0.00017846663120045687
3934.0,-2.1193051144349252e-05
3933.0,-0.0002157609202380552
3932.0,-0.00030969646179844663
3931.0,-0.00029412020872967605
3930.0,-0.0002396532187731045
3929.0,-0.0001943977624266355
3928.0,-0.00017377675143782564
3927.0,-0.00016962453361198723
3926.0,-0.00017770709436490178
3925.0,-0.00019012375855123349
3924.0,-0.00020312566545600125
3923.0,-0.00019619488507938588
3922.0,-0.00011956529018220538
3921.0,-3.8288384287970406e-05
3920.0,-4.378117353707285e-05
3919.0,-5.007207977564439e-05
3918.0,5.499660493844816e-05
3917.0,0.00021893129493445133
3916.0,0.00032755276439245477
3915.0,0.00041820825112504154
