cm-1,A
4000.0,-0.0014951758259986458
3999.0,-0.0014628474889109497
3998.0,-0.0013859447871514734
3997.0,-0.0013034188753276135
3996.0,-0.0012651366612605854
3995.0,-0.0012832034469598568
3994.0,-0.0013136315299073923
3993.0,-0.0013032621267621875
3992.0,-0.001247583885610398
3991.0,-0.0011928845699782815
3990.0,-0.0011769741355109969
3989.0,-0.0011868217492825512
3988.0,-0.0011865125269288125
3987.0,-0.0011698160471922082
3986.0,-0.0011702616004062635
3985.0,-0.0012214833836793355
3984.0,-0.0013199921168728437
3983.0,-0.0014275784667498299
3982.0,-0.0014986013353911658
3981.0,-0.0015060418180739806
3980.0,-0.001452296815114099
3979.0,-0.0013634379510020825
3978.0,-0.0012768533219399366
3977.0,-0.001220629958274373
3976.0,-0.0012036086236190714
3975.0,-0.001225376511736237
3974.0,-0.0012841226377574865
3973.0,-0.0013681107752575258
3972.0,-0.001442209353640683
3971.0,-0.0014658320668514287
3970.0,-0.0014288330869450666
3969.0,-0.00136016944734161
3968.0,-0.001300815802371011
3967.0,-0.0012695717319515494
3966.0,-0.0012567102530913346
3965.0,-0.0012454735373613373
3964.0,-0.0012291303480430928
3963.0,-0.0012113428621412094
3962.0,-0.001200341280024012
3961.0,-0.0012027874165838155
3960.0,-0.0012205134161650867
3959.0,-0.0012481201969683398
3958.0,-0.00127298944142763
3957.0,-0.0012779488524087752
3956.0,-0.0012529754889803965
3955.0,-0.0012075664585719527
3954.0,-0.0011650536700252914
3953.0,-0.0011486412815554237
3952.0,-0.0011830133660758252
3951.0,-0.001283030441722825
3950.0,-0.0014257468953546375
3949.0,-0.0015464760485814199
3948.0,-0.0015886435466946586
3947.0,-0.0015464201296708307
3946.0,-0.0014595125969918423
3945.0,-0.0013983880351841104
3944.0,-0.0014108937944097787
3943.0,-0.0014649637733827226
3942.0,-0.001476493434466355
3941.0,-0.0013868151395024747
3940.0,-0.0012181668488935116
3939.0,-0.0010657125840643701
3938.0,-0.0010058264875773232
3937.0,-0.0010255272443345578
3936.0,-0.0010650898950877214
3935.0,-0.0011046991551212733
3934.0,-0.0011717289712856451
3933.0,-0.0012654268419602702
3932.0,-0.0013418732622807214
3931.0,-0.0013764193509745335
3930.0,-0.0013770909369915769
3929.0,-0.0013484794231467608
3928.0,-0.0012857063627453925
3927.0,-0.0012050410046328206
3926.0,-0.0011699189550621607
3925.0,-0.0012277708581621
3924.0,-0.001325890513134816
3923.0,-0.0013520434868171923
3922.0,-0.0012750005061657296
3921.0,-0.0011993459995562287
3920.0,-0.001210019890097942
3919.0,-0.0012548817026099474
3918.0,-0.0012559125298276107
3917.0,-0.00121604205826214
3916.0,-0.0011700371426389025
3915.0,-0.0011050832539670624
3914.0,-0.001011099236401887
3913.0,-0.0009558867256225997
3912.0,-0.0009887081712679638
3911.0,-0.0010659415459668832
3910.0,-0.0011187541283303633
3909.0,-0.0011332210823861441
3908.0,-0.0011636626422198044
3907.0,-0.0012613840225860714
3906.0,-0.0014363450761271316
3905.0,-0.0016269511068448459
3904.0,-0.0017381192073101274
3903.0,-0.0017053331639051226
3902.0,-0.0015232164160115347
3901.0,-0.0012733856688583092
3900.0,-0.0010991683103675045
3899.0,-0.0010564348441528962
3898.0,-0.0010585310934402622
3897.0,-0.0010177360472921433
3896.0,-0.0009715435173410672
3895.0,-0.001009101272808378
3894.0,-0.0010937363900492937
3893.0,-0.0011049226748727258
3892.0,-0.0010253974709865644
3891.0,-0.0010253281443363838
3890.0,-0.0011523403626244682
3889.0,-0.0011571478784118548
3888.0,-0.0009943259688941076
3887.0,-0.000900611787055269
3886.0,-0.0009694497905743259
3885.0,-0.0011116377305487317
3884.0,-0.0011975201893374117
3883.0,-0.001132467223565252
3882.0,-0.001065630145029303
3881.0,-0.0011459913050478293
3880.0,-0.0012994529005634704
3879.0,-0.001400882383844928
3878.0,-0.0013289157719307072
3877.0,-0.001140435320221541
3876.0,-0.0010873979215317883
3875.0,-0.0012495889795625312
3874.0,-0.0014484432788182896
3873.0,-0.001467790217801571
3872.0,-0.0012916422558138683
3871.0,-0.0011702616739748361
3870.0,-0.0013259706667596667
3869.0,-0.0016475535558795338
3868.0,-0.0017462418554763388
3867.0,-0.0014933741562586293
3866.0,-0.0012919852147328741
3865.0,-0.0013619521330793568
3864.0,-0.001421592888230045
3863.0,-0.0012818059943416119
3862.0,-0.0010725458512988013
3861.0,-0.0009693889244681551
3860.0,-0.0010094694819184637
3859.0,-0.0011283601094958598
3858.0,-0.0012757083510322698
3857.0,-0.0014088730291316397
3856.0,-0.001479383416238358
3855.0,-0.0013716122694813018
3854.0,-0.0010064894709681691
3853.0,-0.00090551984086621
3852.0,-0.0014118533929095751
3851.0,-0.001675711726919309
3850.0,-0.0013920057616569836
3849.0,-0.0010920409735950306
3848.0,-0.0009810492585574544
3847.0,-0.0009398942142174768
3846.0,-0.0009020550070727214
3845.0,-0.0009196313888915871
3844.0,-0.0010486812168190136
3843.0,-0.0013056848919781618
3842.0,-0.001580263707658139
3841.0,-0.001709033032557116
3840.0,-0.0016506144676925038
3839.0,-0.0014934933072885477
3838.0,-0.0013922895682361685
3837.0,-0.0014137696881740308
3836.0,-0.0014502034893726983
3835.0,-0.0013643877759412016
3834.0,-0.001194624090730694
3833.0,-0.0010807368701486921
3832.0,-0.0010930793430021107
3831.0,-0.0011645561638909036
3830.0,-0.0011668839959173066
3829.0,-0.0010555558844358216
3828.0,-0.0009328217546605575
3827.0,-0.0009401915068713517
3826.0,-0.0010737790661683642
3825.0,-0.0011515490031583698
3824.0,-0.0010487144952650304
3823.0,-0.0008974235138823738
3822.0,-0.0008593353566982119
3821.0,-0.0009828230664687822
3820.0,-0.0012685749715398132
3819.0,-0.0013677654313934136
3818.0,-0.0011564805876616516
3817.0,-0.0010218221936904805
3816.0,-0.0011372483167893562
3815.0,-0.0013232303552099234
3814.0,-0.0012871573995522669
3813.0,-0.0009973116373009402
3812.0,-0.0007891422314872604
3811.0,-0.0008337591559473456
3810.0,-0.0009346365141923651
3809.0,-0.0009148337021852864
3808.0,-0.0008402143396975203
3807.0,-0.0009042206436683338
3806.0,-0.0011344678170620167
3805.0,-0.0012480521414556453
3804.0,-0.0011313547409114659
3803.0,-0.0010891271114807806
3802.0,-0.0012372333589842728
3801.0,-0.0014718601351335016
3800.0,-0.001670086757528555
3799.0,-0.0016018377494003526
3798.0,-0.0013800001126579036
3797.0,-0.0012666972868174494
3796.0,-0.001217108895524183
3795.0,-0.0010823414927281253
3794.0,-0.0008438430443287459
3793.0,-0.0006246046050001485
3792.0,-0.0005295676188314729
3791.0,-0.0005226798649217712
3790.0,-0.0005283199739204319
3789.0,-0.0005561316330421427
3788.0,-0.0006392512121542824
3787.0,-0.0007467811383864041
3786.0,-0.0008210645473329141
3785.0,-0.0008686450406385068
3784.0,-0.0009259297560732613
3783.0,-0.0009678951919364308
3782.0,-0.00094089222252047
3781.0,-0.0008661185882502067
3780.0,-0.0007955993217800663
3779.0,-0.0007632101754753914
3778.0,-0.0007480335691036613
3777.0,-0.0006570435946627973
3776.0,-0.0004956038966074314
3775.0,-0.00040286722564949595
3774.0,-0.000438724180198421
3773.0,-0.0005248829284261671
3772.0,-0.0006002856910846776
3771.0,-0.0006809450281647354
3770.0,-0.000774655753626158
3769.0,-0.0008337246537378673
3768.0,-0.0007909669020012672
3767.0,-0.0006817452188606975
3766.0,-0.0006595449306880437
3765.0,-0.0007704589377912942
3764.0,-0.0008775771760873407
3763.0,-0.0008434418654757378
3762.0,-0.0007511798265870942
3761.0,-0.0007935741088523451
3760.0,-0.0009321163637843
3759.0,-0.0009954906069357848
3758.0,-0.0009842687040624639
3757.0,-0.0009995853947948813
3756.0,-0.0010397061614995343
3755.0,-0.0010656150168133066
3754.0,-0.0011328182829965397
3753.0,-0.001261761003924199
3752.0,-0.001258834572552406
3751.0,-0.001027311913537329
3750.0,-0.0009312425243337974
3749.0,-0.0011417622966801192
3748.0,-0.0012546809777755539
3747.0,-0.0010294238145680625
3746.0,-0.0007414093458670591
3745.0,-0.0006309283864345829
3744.0,-0.0008064515670317925
3743.0,-0.001122132052671049
3742.0,-0.0010407431398280036
3741.0,-0.0006924038596024993
3740.0,-0.0006479971975980815
3739.0,-0.0009437158322970415
3738.0,-0.0013290959358642869
3737.0,-0.0016523428927968725
3736.0,-0.0018181206579336862
3735.0,-0.0017157836859247064
3734.0,-0.0013764777292711394
3733.0,-0.0009953745838872882
3732.0,-0.0007782732037117947
3731.0,-0.0007191898272971608
3730.0,-0.0006144004654454597
3729.0,-0.00040751154784053395
3728.0,-0.00027687735603778825
3727.0,-0.000332093985810029
3726.0,-0.00046442749776455907
3725.0,-0.0005246152039541999
3724.0,-0.0005148256653507962
3723.0,-0.0005470404522278332
3722.0,-0.0006322579675298898
3721.0,-0.0006809449639921961
3720.0,-0.0006351898200691762
3719.0,-0.0005429403495576055
3718.0,-0.0005148172385412578
3717.0,-0.0005838027027910047
3716.0,-0.0006726453312751479
3715.0,-0.0007191478389851277
3714.0,-0.0007473611930065931
3713.0,-0.0007428591032226269
3712.0,-0.0006313307278425456
3711.0,-0.0005106243048316485
3710.0,-0.0005267044022708445
3709.0,-0.0005749968419311107
3708.0,-0.0005432462115849026
3707.0,-0.0004709746383985097
3706.0,-0.0004089798536434032
3705.0,-0.0003488377615252004
3704.0,-0.0002775056658179476
3703.0,-0.00020536872549315995
3702.0,-0.00015695029130927173
3701.0,-0.00017702995853586439
3700.0,-0.00023935063456727561
3699.0,-0.0002411177584085945
3698.0,-0.00017124273824162045
3697.0,-9.000939346570863e-05
3696.0,6.309821588720149e-06
3695.0,0.0001383642622270428
3694.0,0.00022817482493497692
3693.0,0.00016181948513564227
3692.0,-2.953657316215894e-05
3691.0,-0.00014095215790115023
3690.0,-2.771341043712088e-05
3689.0,0.00016259643913359286
3688.0,0.00020192748318297905
3687.0,0.00020617775267750982
3686.0,0.00041101109293449926
3685.0,0.0007350187213273989
3684.0,0.0009536743348307294
3683.0,0.0010168764034678211
3682.0,0.0009962164730467388
3681.0,0.0009146841290889433
3680.0,0.0007271607978102702
3679.0,0.000493283164848337
3678.0,0.00036998318939336205
3677.0,0.0004338900061473315
3676.0,0.0006902145901817652
3675.0,0.0008773275117520212
3674.0,0.0008977520456099988
3673.0,0.0011550471729031265
3672.0,0.0015284959319097954
3671.0,0.0016359920432823865
3670.0,0.0016163994430351738
3669.0,0.0016216286384740713
3668.0,0.0016855393322939647
3667.0,0.0018770999088061945
3666.0,0.002085633639501922
3665.0,0.0022143313333582793
3664.0,0.002316265457327814
3663.0,0.0024377306173741665
3662.0,0.0025304056880919084
3661.0,0.00254019694484103
3660.0,0.0025082413957720527
3659.0,0.0025437912294255516
3658.0,0.0026906252434420975
3657.0,0.0028512173072227885
3656.0,0.002840665765591042
3655.0,0.002639322270716244
3654.0,0.002475481293341651
3653.0,0.0023909306447204163
3652.0,0.002176885468826089
3651.0,0.001893953382560429
3650.0,0.0019342761874215682
3649.0,0.002262306659481794
3648.0,0.00240520082014334
3647.0,0.002352279248212139
3646.0,0.0024143786621058025
3645.0,0.002665835982949138
3644.0,0.0029682268546627295
3643.0,0.0031832025425464535
3642.0,0.003299129830872217
3641.0,0.0033849935036513778
3640.0,0.003465614422747919
3639.0,0.00349259414746525
3638.0,0.003433463062914928
3637.0,0.003363652521628335
3636.0,0.0033771509222928885
3635.0,0.003439938765001865
3634.0,0.00344317667123065
3633.0,0.003373748454542221
3632.0,0.0033248325478208267
3631.0,0.0033174998661676
3630.0,0.003379523047632056
3629.0,0.003566732771275359
3628.0,0.0036534606384200025
3627.0,0.0036605404391332483
3626.0,0.0038863643515483163
3625.0,0.004147551150059117
3624.0,0.004187213456362306
3623.0,0.0040569372316948595
3622.0,0.003909627189667296
3621.0,0.0038337466160480085
3620.0,0.003862343446498476
3619.0,0.003952049680695422
3618.0,0.003996541031268525
3617.0,0.0040358408632660304
3616.0,0.00415961280667561
3615.0,0.004333122534214285
3614.0,0.004504189832608742
3613.0,0.0046695905384538505
3612.0,0.0048413919549514005
3611.0,0.005027453740328186
3610.0,0.0052044112720557815
3609.0,0.005329982699318354
3608.0,0.005389744792998769
3607.0,0.005386802587217158
3606.0,0.005363523752719885
3605.0,0.0053580631091350184
3604.0,0.005345021071936441
3603.0,0.005316106315418579
3602.0,0.005323991422802717
3601.0,0.005418202699286837
3600.0,0.005593171913299172
3599.0,0.005803977595207482
3598.0,0.005988639480969041
3597.0,0.0061094594957795435
3596.0,0.006187298522892595
3595.0,0.006265893572858769
3594.0,0.0063592869670012556
3593.0,0.0064512888304493355
3592.0,0.006532567236761738
3591.0,0.006593071928019764
3590.0,0.006638274657449771
3589.0,0.00673557170299389
3588.0,0.006937513993349305
3587.0,0.007088149767929932
3586.0,0.007051571936649849
3585.0,0.006979219100592311
3584.0,0.007013993495876477
3583.0,0.007132103251935829
3582.0,0.007293747064931801
3581.0,0.00749173312656861
3580.0,0.007705447247418527
3579.0,0.007895291629494514
3578.0,0.008045614217030784
3577.0,0.008177788041321177
3576.0,0.008314164265649682
3575.0,0.008432064462811478
3574.0,0.008492458075350182
3573.0,0.00849430186962087
3572.0,0.008477411049861683
3571.0,0.008476248045060544
3570.0,0.00849961933862957
3569.0,0.008568472402173438
3568.0,0.00873977408235885
3567.0,0.008964308898281918
3566.0,0.009066233849675809
3565.0,0.009048596264928254
3564.0,0.009074776037132101
3563.0,0.009206499922432396
3562.0,0.009411041225441017
3561.0,0.009642582813101064
3560.0,0.009852768948177697
3559.0,0.010014925700813741
3558.0,0.010150476858259743
3557.0,0.010291803772652404
3556.0,0.010439477924058554
3555.0,0.010567469842923961
3554.0,0.010646619567180724
3553.0,0.010663646369265185
3552.0,0.010624884492739971
3551.0,0.010570154128713297
3550.0,0.010558570018980074
3549.0,0.010614626717140035
3548.0,0.01071873106218681
3547.0,0.010846702236603872
3546.0,0.010976332895573605
3545.0,0.011093657535607386
3544.0,0.011222380690121573
3543.0,0.011402300464809285
3542.0,0.011633387468048985
3541.0,0.011865825159294512
3540.0,0.012038410622875736
3539.0,0.012124940921909664
3538.0,0.012159389664139758
3537.0,0.012222664914456477
3536.0,0.012373149960127483
3535.0,0.012590333681408106
3534.0,0.012796812716775248
3533.0,0.012933265953432315
3532.0,0.013009472392039341
3531.0,0.013089319204063215
3530.0,0.01322663415944948
3529.0,0.01340963848401153
3528.0,0.013579681987518358
3527.0,0.013699516229997155
3526.0,0.013787329982677954
3525.0,0.013885876246335346
3524.0,0.014025811303638426
3523.0,0.014209659903613326
3522.0,0.014420975618027857
3521.0,0.01464354213017895
3520.0,0.014863967884558783
3519.0,0.015061873563177685
3518.0,0.015207374900163415
3517.0,0.01527961170680545
3516.0,0.015294429936724755
3515.0,0.015311544669994535
3514.0,0.015404848355898705
3513.0,0.015607774344431672
3512.0,0.0158774914723689
3511.0,0.01612555142850969
3510.0,0.016292642319077972
3509.0,0.01638162234136606
3508.0,0.016427957912868437
3507.0,0.01645599356739913
3506.0,0.016471742910648283
3505.0,0.016497076926430335
3504.0,0.016585768793942142
3503.0,0.016760834854658326
3502.0,0.016961205581655855
3501.0,0.01710042565308491
3500.0,0.017155316545205995
3499.0,0.017180917844551807
3498.0,0.01725182396887949
3497.0,0.017376014325969934
3496.0,0.017479618587020074
3495.0,0.017498335885970263
3494.0,0.017470038884207666
3493.0,0.017505671167337967
3492.0,0.01766673234647023
3491.0,0.017900197826678687
3490.0,0.01809417732041715
3489.0,0.01817228018820562
3488.0,0.018140388163008718
3487.0,0.018073573983967375
3486.0,0.0180679797322448
3485.0,0.018176376263737345
3484.0,0.018355011434474006
3483.0,0.018483607386602045
3482.0,0.018475166881806844
3481.0,0.018376507219693788
3480.0,0.018333677946310262
3479.0,0.01844581287818153
3478.0,0.018679061106156237
3477.0,0.018918880000782953
3476.0,0.019071255532664973
3475.0,0.01911098456302008
3474.0,0.01906716366984843
3473.0,0.018984642935937327
3472.0,0.018896018178342786
3471.0,0.018821394052532275
3470.0,0.018787253430733574
3469.0,0.018830896852384756
3468.0,0.018969723109288135
3467.0,0.019168078888708754
3466.0,0.019352900537528257
3465.0,0.019469880652810374
3464.0,0.019517999483413238
3463.0,0.0195350532913795
3462.0,0.019562170881057998
3461.0,0.01962346754753201
3460.0,0.019722483929092233
3459.0,0.01984105850833194
3458.0,0.01994729948527631
3457.0,0.020019331673229137
3456.0,0.020066361793435954
3455.0,0.020126274791342914
3454.0,0.02022917034241987
