cm-1,A
4000.0,-0.0012930774853192328
3999.0,-0.0012845987283109685
3998.0,-0.0012773141469562647
3997.0,-0.0012682487960492114
3996.0,-0.0012586749823793172
3995.0,-0.0012495385286049295
3994.0,-0.0012392346952261263
3993.0,-0.001227569802552497
3992.0,-0.0012202369724940224
3991.0,-0.0012216090899607448
3990.0,-0.0012251922066072365
3989.0,-0.0012194536281793225
3988.0,-0.0012015899880455745
3987.0,-0.0011834280767724949
3986.0,-0.0011770207918948231
3985.0,-0.0011801770866835103
3984.0,-0.0011831875228393999
3983.0,-0.001182309541761694
3982.0,-0.0011842031313016857
3981.0,-0.0011944023474406342
3980.0,-0.001206803056896643
3979.0,-0.0012104593161687835
3978.0,-0.0012025532382083847
3977.0,-0.001188353849754866
3976.0,-0.001166484607177199
3975.0,-0.0011261720297053761
3974.0,-0.0010626563368411942
3973.0,-0.0009894288899302654
3972.0,-0.0009294467286474328
3971.0,-0.000901268267028554
3970.0,-0.0009084795540557676
3969.0,-0.0009377372000091231
3968.0,-0.0009671222224148738
3967.0,-0.0009747080414175121
3966.0,-0.0009526876468038238
3965.0,-0.0009165783775878181
3964.0,-0.0008980121730445432
3963.0,-0.0009197099085156406
3962.0,-0.0009719810985814696
3961.0,-0.0010163965716243305
3960.0,-0.0010164652890241174
3959.0,-0.0009709293365905564
3958.0,-0.0009088273140265531
3957.0,-0.0008614191561198128
3956.0,-0.0008488609460678446
3955.0,-0.0008805655803990472
3954.0,-0.0009525810738874345
3953.0,-0.0010368099762627812
3952.0,-0.0011020258488747521
3951.0,-0.0011359421400626074
3950.0,-0.0011498582227508578
3949.0,-0.0011658020159464808
3948.0,-0.0011840870680046639
3947.0,-0.0011724197614818741
3946.0,-0.001098471028401912
3945.0,-0.0009917840393784622
3944.0,-0.0009249229218662204
3943.0,-0.0009238807933485884
3942.0,-0.0009477525264315247
3941.0,-0.0009368497015865666
3940.0,-0.000886487143121918
3939.0,-0.0008680776856165896
3938.0,-0.0009268294436005345
3937.0,-0.0010111673801843435
3936.0,-0.001036238433827566
3935.0,-0.000997470775179244
3934.0,-0.0009711012646292996
3933.0,-0.0009937397943501937
3932.0,-0.0010195390638352208
3931.0,-0.0009952833166625352
3930.0,-0.0009259354714618497
3929.0,-0.0008555236830452267
3928.0,-0.0008161271938585705
3927.0,-0.0008127026269286221
3926.0,-0.0008492460881955677
3925.0,-0.0009142312883331453
3924.0,-0.000962003241089914
3923.0,-0.0009482101822195169
3922.0,-0.0008821894938848881
3921.0,-0.0008449092249563275
3920.0,-0.0008701235923228431
3919.0,-0.0008842342600488568
3918.0,-0.0008477284024551073
3917.0,-0.0008167191297943138
3916.0,-0.0008255049405212714
3915.0,-0.000809133535018193
3914.0,-0.0007067345290264395
3913.0,-0.0005735091339852836
3912.0,-0.0004841819017029677
3911.0,-0.0004523592408779923
3910.0,-0.0004649522664283293
3909.0,-0.0005225464230761961
3908.0,-0.0006371981853514567
3907.0,-0.0007940682342265065
3906.0,-0.0009660811031162843
3905.0,-0.00113035526726932
3904.0,-0.0012924169321163461
3903.0,-0.0014432096310365728
3902.0,-0.0015117006804276807
3901.0,-0.0014688316750128792
3900.0,-0.0013928789826539445
3899.0,-0.001330576303478187
3898.0,-0.001223311030251366
3897.0,-0.001029358938797604
3896.0,-0.0008418803618463954
3895.0,-0.0007999226558792526
3894.0,-0.0008864135180708345
3893.0,-0.0009590039905553018
3892.0,-0.0009423849209904559
3891.0,-0.0009720354122360287
3890.0,-0.0010984573326391208
3889.0,-0.001088287374685911
3888.0,-0.0009196937455366178
3887.0,-0.0008434220619739025
3886.0,-0.0009467721991607064
3885.0,-0.0011381670501791827
3884.0,-0.0012883391194034059
3883.0,-0.00129398325733154
3882.0,-0.0012816009024378032
3881.0,-0.0013624087347375875
3880.0,-0.0014387878218598705
3879.0,-0.0014087322133251997
3878.0,-0.001194808337523794
3877.0,-0.000888838396800525
