cm-1,A
4000.0,-0.0023812302466816315
3999.0,-0.002324747762241699
3998.0,-0.0022912458451118866
3997.0,-0.0022727184352788945
3996.0,-0.0022711654103215644
3995.0,-0.0022926459268492495
3994.0,-0.0023272596032484555
3993.0,-0.002347487277695573
3992.0,-0.002337515590819082
3991.0,-0.002313380010266205
3990.0,-0.002304475987301092
3989.0,-0.002321674028130681
3988.0,-0.0023491991247875533
3987.0,-0.0023654612833659775
3986.0,-0.0023594180025863143
3985.0,-0.002326721891006923
3984.0,-0.002271845875933983
3983.0,-0.0022117879284856206
3982.0,-0.002168589369803852
3981.0,-0.002152469100538919
3980.0,-0.0021554036919697005
3979.0,-0.0021687008741699794
3978.0,-0.002195497245708641
3977.0,-0.0022395786954366474
3976.0,-0.002283397650705647
3975.0,-0.002297601366971819
3974.0,-0.0022747581921420974
3973.0,-0.002239732633749921
3972.0,-0.0022152096063783244
3971.0,-0.002193697832786853
3970.0,-0.002153622032177684
3969.0,-0.0020892029293070585
3968.0,-0.002024530572421728
3967.0,-0.0019868582913510433
3966.0,-0.001979773476807797
3965.0,-0.0019859499185252896
3964.0,-0.0019901836661095716
3963.0,-0.0020007319470756414
3962.0,-0.002038422775216298
3961.0,-0.0020994103883804002
3960.0,-0.0021376408295243066
3959.0,-0.002102246050226862
3958.0,-0.0019951382580378936
3957.0,-0.0018697243762892226
3956.0,-0.0017829322705948608
3955.0,-0.0017559891451917505
3954.0,-0.0017846939385734815
3953.0,-0.0018615821312253748
3952.0,-0.0019814179120983535
3951.0,-0.002119819841146938
3950.0,-0.0022233401259957788
3949.0,-0.00225403267142839
3948.0,-0.002239258652277213
3947.0,-0.002232972180239984
3946.0,-0.00223043757616486
3945.0,-0.00219828225454137
3944.0,-0.002131223993781733
3943.0,-0.002058080871762763
3942.0,-0.002026661874903522
3941.0,-0.0020153922934707724
3940.0,-0.0019280056086543786
3939.0,-0.0017482207202416415
3938.0,-0.0015893187795929476
3937.0,-0.001560729855203568
3936.0,-0.0016636760613059085
3935.0,-0.0018164256150614332
3934.0,-0.0019391937256965338
3933.0,-0.001993853051901303
3932.0,-0.001990990438912428
3931.0,-0.0019845617708642137
3930.0,-0.0019963460420829495
3929.0,-0.0019932201654520995
3928.0,-0.001959436776365694
3927.0,-0.0019077346639768964
3926.0,-0.0018604508591269229
3925.0,-0.001833354125327787
3924.0,-0.0018380224591608907
3923.0,-0.0018572391770227568
3922.0,-0.0018388223677115022
3921.0,-0.0018112856567959572
3920.0,-0.0018407822929658165
3919.0,-0.0018756494264784125
3918.0,-0.0018207862105799654
3917.0,-0.0016856421091643505
3916.0,-0.0015646977696985804
3915.0,-0.0014867141618133215
3914.0,-0.0014027396680815329
3913.0,-0.0013160192763987336
3912.0,-0.001271881366703231
3911.0,-0.0012676256589826329
3910.0,-0.0012990011227036642
3909.0,-0.0013954257290154648
3908.0,-0.0016161666376125032
3907.0,-0.0019659876162396294
3906.0,-0.0023579028720827743
3905.0,-0.0026326738028484703
3904.0,-0.002717967869292623
3903.0,-0.002711600150639884
3902.0,-0.0026547374946819064
3901.0,-0.0024667415969282036
3900.0,-0.0021697221807496277
3899.0,-0.0019073155995620204
3898.0,-0.0017417595966757113
3897.0,-0.0016059811609519708
3896.0,-0.001494514592796579
3895.0,-0.0015042422519444057
3894.0,-0.0016171465349761856
3893.0,-0.001628606317319879
3892.0,-0.001430138617957523
3891.0,-0.0013002492740781324
3890.0,-0.0014881349459615958
3889.0,-0.0016953184893243427
3888.0,-0.0016802065384032856
3887.0,-0.001602044024345244
3886.0,-0.0016020988411269777
3885.0,-0.0017329028298020844
3884.0,-0.0020044679431310544
3883.0,-0.002186136292531834
