cm-1,A
4000.0,0.009
3999.0,0.0091
3998.0,0.0091
3997.0,0.0092
3996.0,0.0093
3995.0,0.0093
3994.0,0.0093
3993.0,0.0093
3992.0,0.0093
3991.0,0.0093
3990.0,0.0093
3989.0,0.0092
3988.0,0.0092
3987.0,0.0092
3986.0,0.0093
3985.0,0.0093
3984.0,0.0093
3983.0,0.0092
3982.0,0.0092
3981.0,0.0092
3980.0,0.0092
3979.0,0.0092
3978.0,0.0092
3977.0,0.0092
3976.0,0.0091
3975.0,0.0091
3974.0,0.0091
3973.0,0.0092
3972.0,0.0093
3971.0,0.0093
3970.0,0.0094
3969.0,0.0094
3968.0,0.0094
3967.0,0.0094
3966.0,0.0093
3965.0,0.0093
3964.0,0.0093
3963.0,0.0093
3962.0,0.0094
3961.0,0.0094
3960.0,0.0094
3959.0,0.0093
3958.0,0.0093
3957.0,0.0093
3956.0,0.0093
3955.0,0.0093
3954.0,0.0093
3953.0,0.0092
3952.0,0.0091
3951.0,0.0091
3950.0,0.0091
3949.0,0.0091
3948.0,0.0091
3947.0,0.0091
3946.0,0.0091
3945.0,0.0092
3944.0,0.0093
3943.0,0.0093
3942.0,0.0093
3941.0,0.0093
3940.0,0.0093
3939.0,0.0093
3938.0,0.0093
3937.0,0.0094
3936.0,0.0094
3935.0,0.0094
3934.0,0.0094
3933.0,0.0094
3932.0,0.0094
3931.0,0.0095
3930.0,0.0095
3929.0,0.0095
3928.0,0.0094
3927.0,0.0094
3926.0,0.0093
3925.0,0.0093
3924.0,0.0092
3923.0,0.0092
3922.0,0.0093
3921.0,0.0095
3920.0,0.0096
3919.0,0.0096
3918.0,0.0095
3917.0,0.0094
3916.0,0.0094
3915.0,0.0095
3914.0,0.0096
3913.0,0.0098
3912.0,0.0098
3911.0,0.0098
3910.0,0.0097
3909.0,0.0095
3908.0,0.0094
3907.0,0.0093
3906.0,0.0092
3905.0,0.0091
3904.0,0.0091
3903.0,0.0091
3902.0,0.0091
3901.0,0.0092
3900.0,0.0093
3899.0,0.0094
3898.0,0.0094
3897.0,0.0094
3896.0,0.0093
3895.0,0.0092
3894.0,0.0092
3893.0,0.0092
3892.0,0.0092
3891.0,0.0093
3890.0,0.0093
3889.0,0.0092
3888.0,0.0092
3887.0,0.0092
3886.0,0.0092
3885.0,0.0092
3884.0,0.0091
3883.0,0.0091
3882.0,0.0092
3881.0,0.0094
3880.0,0.0095
3879.0,0.0096
3878.0,0.0096
3877.0,0.0096
3876.0,0.0096
3875.0,0.0096
3874.0,0.0096
3873.0,0.0095
3872.0,0.0095
3871.0,0.0094
3870.0,0.0093
3869.0,0.0092
3868.0,0.0092
3867.0,0.0094
