cm-1,A
4000.0,0.0075
3999.0,0.0075
3998.0,0.0075
3997.0,0.0075
3996.0,0.0076
3995.0,0.0077
3994.0,0.0076
3993.0,0.0076
3992.0,0.0075
3991.0,0.0074
3990.0,0.0074
3989.0,0.0075
3988.0,0.0075
3987.0,0.0075
3986.0,0.0076
3985.0,0.0076
3984.0,0.0076
3983.0,0.0077
3982.0,0.0077
3981.0,0.0077
3980.0,0.0076
3979.0,0.0076
3978.0,0.0076
3977.0,0.0076
3976.0,0.0076
3975.0,0.0077
3974.0,0.0077
3973.0,0.0077
3972.0,0.0077
3971.0,0.0077
3970.0,0.0076
3969.0,0.0076
3968.0,0.0075
3967.0,0.0075
3966.0,0.0075
3965.0,0.0075
3964.0,0.0075
3963.0,0.0075
3962.0,0.0074
3961.0,0.0074
3960.0,0.0074
3959.0,0.0075
3958.0,0.0076
3957.0,0.0077
3956.0,0.0077
3955.0,0.0077
3954.0,0.0076
3953.0,0.0075
3952.0,0.0075
3951.0,0.0074
3950.0,0.0074
3949.0,0.0074
3948.0,0.0074
3947.0,0.0074
3946.0,0.0074
3945.0,0.0074
3944.0,0.0074
3943.0,0.0075
3942.0,0.0075
3941.0,0.0076
3940.0,0.0076
3939.0,0.0077
3938.0,0.0077
3937.0,0.0076
3936.0,0.0076
3935.0,0.0075
3934.0,0.0075
3933.0,0.0074
3932.0,0.0073
3931.0,0.0072
3930.0,0.0073
3929.0,0.0074
3928.0,0.0075
3927.0,0.0075
3926.0,0.0075
3925.0,0.0075
3924.0,0.0074
3923.0,0.0075
3922.0,0.0075
3921.0,0.0075
3920.0,0.0075
3919.0,0.0075
3918.0,0.0076
3917.0,0.0076
3916.0,0.0077
3915.0,0.0077
3914.0,0.0078
3913.0,0.0078
3912.0,0.0079
3911.0,0.0079
3910.0,0.0078
3909.0,0.0078
3908.0,0.0077
3907.0,0.0076
3906.0,0.0076
3905.0,0.0077
3904.0,0.0077
3903.0,0.0077
3902.0,0.0078
3901.0,0.0078
3900.0,0.0079
3899.0,0.0078
3898.0,0.0078
3897.0,0.0078
3896.0,0.0077
3895.0,0.0077
3894.0,0.0076
3893.0,0.0076
3892.0,0.0076
3891.0,0.0076
3890.0,0.0076
3889.0,0.0078
