cm-1,A
4000.0,0.0145
3999.0,0.0146
3998.0,0.0147
3997.0,0.0148
3996.0,0.0148
3995.0,0.0148
3994.0,0.0148
3993.0,0.0147
3992.0,0.0146
3991.0,0.0145
3990.0,0.0145
3989.0,0.0144
3988.0,0.0144
3987.0,0.0144
3986.0,0.0145
3985.0,0.0145
3984.0,0.0145
3983.0,0.0146
3982.0,0.0146
3981.0,0.0146
3980.0,0.0147
3979.0,0.0147
3978.0,0.0147
3977.0,0.0146
3976.0,0.0146
3975.0,0.0146
3974.0,0.0145
3973.0,0.0146
3972.0,0.0146
3971.0,0.0146
3970.0,0.0145
3969.0,0.0145
3968.0,0.0146
3967.0,0.0146
3966.0,0.0147
3965.0,0.0148
3964.0,0.0147
3963.0,0.0147
3962.0,0.0146
3961.0,0.0145
3960.0,0.0145
3959.0,0.0146
3958.0,0.0147
3957.0,0.0147
3956.0,0.0148
3955.0,0.0148
3954.0,0.0148
3953.0,0.0148
3952.0,0.0148
3951.0,0.0148
3950.0,0.0148
3949.0,0.0148
3948.0,0.0148
3947.0,0.0148
3946.0,0.0149
3945.0,0.0148
3944.0,0.0148
3943.0,0.0148
3942.0,0.0147
3941.0,0.0146
3940.0,0.0146
3939.0,0.0146
3938.0,0.0147
3937.0,0.0148
3936.0,0.0148
3935.0,0.0148
3934.0,0.0148
3933.0,0.0149
3932.0,0.0149
3931.0,0.0149
3930.0,0.015
3929.0,0.015
3928.0,0.0151
3927.0,0.0151
3926.0,0.015
3925.0,0.0148
3924.0,0.0147
3923.0,0.0147
3922.0,0.0148
3921.0,0.0148
3920.0,0.0149
3919.0,0.015
3918.0,0.015
3917.0,0.0151
3916.0,0.0152
3915.0,0.0152
3914.0,0.0152
3913.0,0.0151
3912.0,0.015
3911.0,0.0149
3910.0,0.0149
3909.0,0.015
3908.0,0.0151
3907.0,0.0152
3906.0,0.0152
3905.0,0.0152
3904.0,0.0153
3903.0,0.0155
3902.0,0.0155
3901.0,0.0155
3900.0,0.0154
3899.0,0.0153
3898.0,0.0153
3897.0,0.0153
3896.0,0.0152
3895.0,0.0152
3894.0,0.0151
3893.0,0.015
3892.0,0.015
3891.0,0.0151
3890.0,0.0152
3889.0,0.0153
3888.0,0.0153
3887.0,0.0151
3886.0,0.0151
3885.0,0.0151
3884.0,0.0153
3883.0,0.0154
3882.0,0.0154
3881.0,0.0155
3880.0,0.0156
3879.0,0.0157
3878.0,0.0157
3877.0,0.0157
3876.0,0.0156
3875.0,0.0155
3874.0,0.0156
3873.0,0.0156
3872.0,0.0154
3871.0,0.0152
3870.0,0.0151
3869.0,0.0152
3868.0,0.0154
3867.0,0.0155
3866.0,0.0154
3865.0,0.0151
3864.0,0.015
3863.0,0.0149
3862.0,0.015
3861.0,0.0151
3860.0,0.0152
3859.0,0.0153
3858.0,0.0154
3857.0,0.0156
3856.0,0.0158
3855.0,0.016
3854.0,0.0161
3853.0,0.016
3852.0,0.0159
3851.0,0.0157
3850.0,0.0155
3849.0,0.0154
3848.0,0.0154
3847.0,0.0153
3846.0,0.0153
3845.0,0.0154
3844.0,0.0154
3843.0,0.0156
3842.0,0.0157
3841.0,0.0158
3840.0,0.016
3839.0,0.0161
3838.0,0.0161
3837.0,0.016
3836.0,0.0159
3835.0,0.0157
3834.0,0.0155
3833.0,0.0154
3832.0,0.0153
3831.0,0.0153
3830.0,0.0153
3829.0,0.0153
3828.0,0.0153
3827.0,0.0153
3826.0,0.0155
3825.0,0.0157
3824.0,0.0159
3823.0,0.0158
3822.0,0.0157
3821.0,0.0156
3820.0,0.0156
3819.0,0.0154
3818.0,0.0152
3817.0,0.015
3816.0,0.0151
3815.0,0.0153
3814.0,0.0154
3813.0,0.0153
3812.0,0.0153
3811.0,0.0152
3810.0,0.0152
3809.0,0.0152
3808.0,0.0152
3807.0,0.0153
3806.0,0.0156
3805.0,0.0157
3804.0,0.0156
3803.0,0.0155
3802.0,0.0154
3801.0,0.0156
3800.0,0.0157
3799.0,0.0156
3798.0,0.0155
3797.0,0.0153
3796.0,0.0153
3795.0,0.0153
3794.0,0.0153
3793.0,0.0153
3792.0,0.0153
3791.0,0.0153
3790.0,0.0154
3789.0,0.0155
3788.0,0.0155
3787.0,0.0154
3786.0,0.0154
3785.0,0.0154
3784.0,0.0154
3783.0,0.0155
3782.0,0.0155
3781.0,0.0154
3780.0,0.0154
3779.0,0.0155
3778.0,0.0155
3777.0,0.0155
3776.0,0.0154
3775.0,0.0153
3774.0,0.0153
3773.0,0.0152
3772.0,0.0152
3771.0,0.0152
3770.0,0.0153
3769.0,0.0155
3768.0,0.0156
3767.0,0.0155
3766.0,0.0155
3765.0,0.0156
3764.0,0.0157
3763.0,0.0158
3762.0,0.0158
3761.0,0.0157
3760.0,0.0156
3759.0,0.0155
3758.0,0.0154
3757.0,0.0154
3756.0,0.0154
3755.0,0.0154
3754.0,0.0153
3753.0,0.015
3752.0,0.0148
3751.0,0.0147
3750.0,0.0148
3749.0,0.015
3748.0,0.0152
3747.0,0.0154
3746.0,0.0154
3745.0,0.0156
3744.0,0.0159
3743.0,0.016
3742.0,0.0159
3741.0,0.0157
3740.0,0.0156
3739.0,0.0155
3738.0,0.0155
3737.0,0.0154
3736.0,0.0154
3735.0,0.0154
3734.0,0.0152
3733.0,0.015
3732.0,0.0148
3731.0,0.0148
3730.0,0.0148
3729.0,0.0148
3728.0,0.0148
3727.0,0.0148
3726.0,0.015
3725.0,0.015
3724.0,0.0151
3723.0,0.0151
3722.0,0.0151
3721.0,0.0152
3720.0,0.0153
3719.0,0.0153
3718.0,0.0154
3717.0,0.0154
3716.0,0.0155
3715.0,0.0156
3714.0,0.0155
3713.0,0.0154
3712.0,0.0154
3711.0,0.0154
3710.0,0.0154
3709.0,0.0153
3708.0,0.0151
3707.0,0.0149
3706.0,0.0148
3705.0,0.0148
3704.0,0.0147
3703.0,0.0147
3702.0,0.0147
3701.0,0.0149
3700.0,0.015
3699.0,0.0151
3698.0,0.0151
3697.0,0.015
3696.0,0.0151
3695.0,0.0152
3694.0,0.0153
3693.0,0.0153
3692.0,0.0152
3691.0,0.015
3690.0,0.015
3689.0,0.0152
3688.0,0.0154
3687.0,0.0155
3686.0,0.0156
3685.0,0.0155
3684.0,0.0155
3683.0,0.0154
3682.0,0.0155
3681.0,0.0155
3680.0,0.0156
3679.0,0.0157
3678.0,0.0157
3677.0,0.0157
3676.0,0.016
3675.0,0.0163
3674.0,0.0164
3673.0,0.0163
3672.0,0.0161
3671.0,0.016
3670.0,0.016
3669.0,0.0161
3668.0,0.016
3667.0,0.0158
3666.0,0.0157
3665.0,0.0156
3664.0,0.0157
3663.0,0.0157
3662.0,0.0157
3661.0,0.0157
3660.0,0.0157
3659.0,0.0157
3658.0,0.0158
3657.0,0.0159
3656.0,0.0161
3655.0,0.0164
3654.0,0.0166
3653.0,0.0168
3652.0,0.0169
3651.0,0.0168
3650.0,0.0167
3649.0,0.0167
3648.0,0.0166
3647.0,0.0165
3646.0,0.0165
3645.0,0.0164
3644.0,0.0164
3643.0,0.0164
3642.0,0.0164
3641.0,0.0164
3640.0,0.0164
3639.0,0.0164
3638.0,0.0165
3637.0,0.0165
3636.0,0.0165
3635.0,0.0164
3634.0,0.0164
3633.0,0.0165
3632.0,0.0166
3631.0,0.0165
3630.0,0.0165
3629.0,0.0167
3628.0,0.0169
3627.0,0.017
3626.0,0.017
3625.0,0.0169
3624.0,0.0169
3623.0,0.017
3622.0,0.0171
3621.0,0.0172
3620.0,0.0173
3619.0,0.0174
3618.0,0.0175
3617.0,0.0176
3616.0,0.0176
3615.0,0.0176
3614.0,0.0175
3613.0,0.0175
3612.0,0.0176
3611.0,0.0176
3610.0,0.0178
3609.0,0.0179
3608.0,0.0181
3607.0,0.0182
