cm-1,A
4000.0,0.01
3999.0,0.0099
3998.0,0.0099
3997.0,0.0098
3996.0,0.0098
3995.0,0.0098
3994.0,0.0098
3993.0,0.0098
3992.0,0.0099
3991.0,0.0099
3990.0,0.0099
3989.0,0.0099
3988.0,0.0099
3987.0,0.0099
3986.0,0.0099
3985.0,0.01
3984.0,0.01
3983.0,0.01
3982.0,0.0099
3981.0,0.0099
3980.0,0.0099
3979.0,0.0099
3978.0,0.0099
3977.0,0.01
3976.0,0.01
3975.0,0.01
3974.0,0.01
3973.0,0.01
3972.0,0.01
3971.0,0.0099
3970.0,0.0099
3969.0,0.0098
3968.0,0.0098
3967.0,0.0098
3966.0,0.0097
3965.0,0.0098
3964.0,0.0098
3963.0,0.0098
3962.0,0.0099
3961.0,0.0099
3960.0,0.0099
3959.0,0.0099
3958.0,0.0098
3957.0,0.0099
3956.0,0.0099
3955.0,0.01
3954.0,0.0101
3953.0,0.0101
3952.0,0.0102
3951.0,0.0102
3950.0,0.0103
3949.0,0.0104
3948.0,0.0105
3947.0,0.0105
3946.0,0.0104
3945.0,0.0103
3944.0,0.0101
3943.0,0.01
3942.0,0.0099
3941.0,0.01
3940.0,0.0101
3939.0,0.0101
3938.0,0.0101
3937.0,0.01
3936.0,0.0101
3935.0,0.0101
3934.0,0.0102
3933.0,0.0102
3932.0,0.0102
3931.0,0.0102
3930.0,0.0102
3929.0,0.0103
3928.0,0.0104
3927.0,0.0104
3926.0,0.0104
3925.0,0.0103
3924.0,0.0103
3923.0,0.0103
3922.0,0.0103
3921.0,0.0102
3920.0,0.0102
3919.0,0.0102
3918.0,0.0103
3917.0,0.0103
3916.0,0.0103
3915.0,0.0103
3914.0,0.0103
3913.0,0.0103
3912.0,0.0102
3911.0,0.0101
3910.0,0.0101
3909.0,0.0101
3908.0,0.0102
3907.0,0.0103
3906.0,0.0103
3905.0,0.0103
3904.0,0.0102
3903.0,0.0102
3902.0,0.0102
3901.0,0.0103
3900.0,0.0103
3899.0,0.0103
3898.0,0.0103
3897.0,0.0103
3896.0,0.0103
3895.0,0.0103
3894.0,0.0103
3893.0,0.0103
3892.0,0.0103
3891.0,0.0104
3890.0,0.0105
3889.0,0.0106
3888.0,0.0107
3887.0,0.0106
3886.0,0.0105
3885.0,0.0105
3884.0,0.0106
3883.0,0.0106
3882.0,0.0106
3881.0,0.0105
3880.0,0.0104
