nm,Intensity
526.508,829.7
526.645,830.5
526.782,830.3
526.919,830.7
527.055,829.8
527.192,830.5
527.329,830.2
527.465,829.3
527.602,830.3
527.739,829.0
527.875,830.8
528.012,830.5
528.149,830.1
528.285,830.2
528.422,830.4
528.558,830.5
528.695,830.7
528.832,829.5
528.968,830.2
529.105,830.0
529.241,829.6
529.378,830.6
529.514,829.9
529.651,829.8
529.787,830.0
529.924,830.1
530.061,831.5
530.197,828.6
530.334,829.6
530.47,831.4
530.606,830.3
530.743,830.3
530.879,829.6
531.016,831.3
531.152,829.6
531.289,829.0
531.425,829.5
531.562,829.9
531.698,831.0
531.834,830.1
531.971,836.1
532.107,882.0
532.244,907.2
532.38,848.3
532.516,832.2
532.653,830.8
532.789,829.6
532.925,829.5
533.062,830.7
533.198,830.1
533.334,830.1
533.471,830.1
533.607,829.8
533.743,835.0
533.879,861.0
534.016,893.7
534.152,906.3
534.288,904.3
534.424,898.8
534.561,896.6
534.697,891.6
534.833,887.4
534.969,887.1
535.106,883.1
535.242,881.9
535.378,877.0
535.514,873.5
535.65,871.8
535.786,869.7
535.923,871.3
536.059,867.1
536.195,867.3
536.331,866.5
536.467,866.5
536.603,862.3
536.739,862.3
536.876,862.5
537.012,864.0
537.148,861.2
537.284,860.2
537.42,859.4
537.556,861.9
537.692,861.3
537.828,861.4
537.964,860.6
538.1,862.0
538.236,860.2
538.372,860.0
538.508,857.8
538.644,858.8
538.78,857.2
538.916,856.7
539.052,859.4
539.188,859.4
539.324,856.4
539.46,855.1
539.596,854.9
539.732,853.8
539.868,853.2
540.004,854.0
540.14,850.9
540.275,852.4
540.411,851.3
540.547,851.1
540.683,852.3
540.819,851.1
540.955,850.0
541.091,851.6
541.227,851.6
541.362,848.6
541.498,850.4
541.634,849.6
541.77,850.9
541.906,849.3
542.041,850.0
542.177,848.6
542.313,849.9
542.449,850.3
542.585,847.1
542.72,849.2
542.856,850.1
542.992,851.7
543.128,851.8
543.263,851.0
543.399,849.6
543.535,849.4
543.67,848.7
543.806,848.9
543.942,849.3
544.078,848.6
544.213,847.1
544.349,848.9
544.485,849.0
544.62,848.9
544.756,850.0
544.892,847.4
545.027,846.7
545.163,847.7
545.298,847.8
545.434,847.6
545.57,847.3
545.705,846.8
545.841,847.5
545.976,847.5
546.112,845.6
546.248,847.5
546.383,847.4
546.519,847.8
546.654,849.5
546.79,847.2
546.925,847.3
547.061,847.3
547.196,847.4
547.332,848.2
547.467,847.7
547.603,846.0
547.738,847.5
547.874,847.0
548.009,847.6
548.145,844.7
548.28,848.6
548.416,845.7
548.551,844.9
548.686,845.8
548.822,845.0
548.957,847.6
549.093,846.3
549.228,846.1
549.363,847.1
549.499,845.7
549.634,843.4
549.77,846.6
549.905,849.0
550.04,845.5
550.176,846.1
550.311,846.0
550.446,844.9
550.582,846.4
550.717,847.3
550.852,845.2
550.988,847.2
551.123,846.1
551.258,846.0
551.394,847.5
551.529,845.4
551.664,846.8
551.799,847.1
551.935,847.0
552.07,843.7
552.205,847.3
552.34,846.1
552.476,848.0
552.611,846.8
552.746,847.8
552.881,849.2
553.016,846.7
