nm,Intensity
526.508,830.0
526.645,830.2
526.782,829.8
526.919,829.6
527.055,830.7
527.192,829.9
527.329,830.3
527.465,829.8
527.602,829.9
527.739,828.5
527.875,829.1
528.012,831.1
528.149,829.3
528.285,829.5
528.422,830.0
528.558,829.4
528.695,829.2
528.832,829.7
528.968,829.3
529.105,829.0
529.241,830.5
529.378,829.3
529.514,828.6
529.651,830.6
529.787,829.3
529.924,828.9
530.061,829.6
530.197,829.1
530.334,830.6
530.47,830.0
530.606,829.2
530.743,829.0
530.879,831.1
531.016,828.6
531.152,828.3
531.289,828.5
531.425,830.5
531.562,828.8
531.698,830.3
531.834,830.2
531.971,836.4
532.107,881.9
532.244,899.8
532.38,845.3
532.516,832.5
532.653,830.7
532.789,828.8
532.925,827.9
533.062,829.1
533.198,828.7
533.334,830.1
533.471,829.3
533.607,830.9
533.743,837.4
533.879,859.9
534.016,903.5
534.152,917.8
534.288,913.4
534.424,913.2
534.561,907.5
534.697,906.6
534.833,904.2
534.969,897.0
535.106,893.1
535.242,891.9
535.378,888.6
535.514,879.8
535.65,877.1
535.786,872.5
535.923,874.3
536.059,873.7
536.195,870.1
536.331,866.7
536.467,866.2
536.603,866.8
536.739,866.4
536.876,866.9
537.012,864.2
537.148,862.8
537.284,864.3
537.42,862.6
537.556,863.3
537.692,862.2
537.828,864.8
537.964,863.2
538.1,860.3
538.236,861.8
538.372,858.9
538.508,856.9
538.644,858.1
538.78,857.1
538.916,855.7
539.052,856.4
539.188,855.9
539.324,853.5
539.46,854.0
539.596,851.5
539.732,854.0
539.868,851.9
540.004,853.6
540.14,854.4
540.275,853.4
540.411,853.0
540.547,852.6
540.683,850.6
540.819,851.2
540.955,850.4
541.091,851.0
541.227,848.8
541.362,851.4
541.498,848.3
541.634,848.3
541.77,849.6
541.906,849.5
542.041,849.4
542.177,848.2
542.313,849.1
542.449,849.4
542.585,849.2
542.72,847.8
542.856,849.6
542.992,848.9
543.128,848.6
543.263,848.4
543.399,845.5
543.535,848.2
543.67,847.8
543.806,849.5
543.942,850.2
544.078,849.2
544.213,847.3
544.349,847.5
544.485,848.2
544.62,847.4
544.756,847.0
544.892,846.1
545.027,846.4
545.163,847.2
545.298,847.8
545.434,848.2
545.57,846.8
545.705,844.6
545.841,845.9
545.976,845.8
546.112,847.3
546.248,846.4
546.383,847.3
546.519,847.0
546.654,845.9
546.79,844.8
546.925,847.7
547.061,846.7
547.196,845.7
547.332,845.4
547.467,847.4
547.603,845.1
547.738,845.5
547.874,846.0
548.009,847.4
548.145,844.0
548.28,845.2
548.416,846.0
548.551,848.2
548.686,845.0
548.822,844.7
548.957,843.7
549.093,846.6
549.228,845.4
549.363,846.7
549.499,843.8
549.634,845.7
549.77,845.5
549.905,845.4
550.04,844.2
550.176,844.0
550.311,844.6
550.446,845.3
550.582,843.2
550.717,843.7
550.852,845.5
550.988,844.6
551.123,845.1
551.258,844.0
551.394,844.2
551.529,843.3
551.664,846.2
551.799,844.5
551.935,846.3
552.07,845.0
552.205,844.6
552.34,846.1
552.476,844.5
552.611,846.0
552.746,844.6
552.881,844.9
553.016,845.8
553.152,848.8
553.287,849.3
553.422,850.4
553.557,848.9
553.692,849.5
553.827,851.2
553.963,850.1
554.098,847.9
554.233,850.4
554.368,852.1
554.503,848.8
554.638,852.1
554.773,850.7
554.908,852.1
555.043,851.3
555.179,851.2
555.314,852.4
555.449,850.2
555.584,852.8
555.719,851.8
555.854,853.9
555.989,852.1
556.124,854.3
556.259,853.9
556.394,854.4
556.529,853.9
556.664,855.8
556.799,856.7
556.934,854.8
557.069,857.6
557.204,857.8
557.339,856.4
557.474,856.8
557.609,857.8
557.744,860.2
557.879,862.0
558.014,861.6
558.149,863.6
558.284,861.7
558.419,863.4
558.553,861.9
558.688,860.4
558.823,865.6
558.958,862.5
559.093,858.6
559.228,859.3
559.363,858.5
559.498,857.6
559.632,858.3
559.767,858.7
559.902,859.2
560.037,857.3
560.172,856.8
560.307,860.1
560.441,858.8
560.576,857.8
560.711,858.0
560.846,860.1
560.981,859.7
561.115,860.1
561.25,857.5
561.385,860.0
561.52,860.3
561.654,861.1
561.789,861.9
561.924,861.5
562.059,862.2
562.193,862.8
562.328,865.7
562.463,863.0
562.598,865.4
562.732,867.1
562.867,868.8
563.002,870.7
563.136,869.1
563.271,872.6
563.406,872.9
563.54,875.6
563.675,880.6
563.81,890.9
563.944,930.4
564.079,970.2
564.213,940.3
564.348,904.5
564.483,894.0
564.617,891.5
564.752,892.5
564.887,894.6
565.021,889.3
565.156,886.9
565.29,884.1
565.425,879.8
565.559,882.6
565.694,882.4
565.828,891.1
565.963,901.3
566.098,939.4
566.232,952.7
566.367,924.7
566.501,897.7
566.636,885.2
566.77,885.1
566.905,883.5
567.039,881.8
567.174,884.1
567.308,882.7
567.443,891.3
567.577,897.9
567.711,888.0
567.846,884.9
567.98,880.8
568.115,883.6
568.249,881.5
568.384,879.0
568.518,881.4
568.652,882.5
568.787,881.1
568.921,883.6
569.056,883.8
569.19,887.9
569.324,885.8
569.459,890.2
569.593,889.7
569.727,889.3
569.862,889.3
569.996,887.9
570.131,894.1
570.265,890.5
570.399,898.6
570.534,895.4
570.668,902.0
570.802,902.7
570.936,909.7
571.071,910.3
571.205,917.4
571.339,934.4
571.474,1004.0
571.608,1078.2
571.742,1008.1
571.876,955.5
572.011,945.5
572.145,935.8
572.279,929.4
572.413,926.0
572.548,917.9
572.682,916.8
572.816,917.3
572.95,913.6
573.084,920.3
573.219,922.0
573.353,927.5
573.487,922.2
573.621,927.4
573.755,928.6
573.889,933.2
574.024,943.7
574.158,937.4
574.292,935.9
574.426,934.4
574.56,936.5
574.694,935.0
574.828,938.6
574.963,940.1
575.097,941.8
575.231,949.0
575.365,951.9
575.499,979.1
575.633,999.5
