nm,Intensity
528.626,1868.1
528.711,1866.0
528.795,1864.6
528.879,1867.8
528.963,1865.3
529.048,1866.9
529.132,1868.8
529.216,1867.6
529.3,1866.0
529.385,1867.7
529.469,1866.8
529.553,1865.3
529.637,1867.2
529.721,1865.5
529.806,1866.7
529.89,1867.1
529.974,1866.6
530.058,1868.3
530.143,1866.9
530.227,1867.0
530.311,1869.0
530.395,1865.6
530.48,1868.7
530.564,1867.5
530.648,1869.2
530.732,1866.2
530.816,1868.6
530.901,1868.1
530.985,1869.9
531.069,1867.2
531.153,1868.8
531.237,1869.0
531.322,1870.5
531.406,1875.1
531.49,1877.1
531.574,1885.0
531.658,1910.9
531.743,2040.4
531.827,2555.7
531.911,3422.9
531.995,4602.5
532.079,5250.7
532.164,4755.6
532.248,3293.2
532.332,2212.3
532.416,1905.7
532.5,1873.3
532.585,1873.5
532.669,1870.2
532.753,1870.0
532.837,1870.9
532.921,1869.2
533.006,1867.3
533.09,1869.2
533.174,1870.2
533.258,1870.5
533.342,1868.8
533.426,1873.7
533.511,1886.9
533.595,1912.8
533.679,1973.5
533.763,2054.4
533.847,2152.6
533.931,2227.6
534.016,2285.8
534.1,2300.3
534.184,2313.9
534.268,2310.6
534.352,2285.8
534.436,2276.8
534.521,2281.5
534.605,2280.7
534.689,2288.3
534.773,2297.6
534.857,2285.1
534.941,2272.8
535.025,2264.8
535.11,2270.4
535.194,2271.7
535.278,2259.3
535.362,2243.2
535.446,2240.4
535.53,2258.0
535.614,2234.2
535.699,2228.6
535.783,2200.8
535.867,2206.0
535.951,2205.9
536.035,2206.2
536.119,2197.8
536.203,2187.2
536.287,2202.1
536.372,2204.3
536.456,2192.5
536.54,2181.0
536.624,2193.6
536.708,2206.8
536.792,2174.4
536.876,2169.2
536.96,2183.4
537.044,2175.3
537.129,2177.0
537.213,2175.2
537.297,2193.5
537.381,2197.3
537.465,2191.3
537.549,2188.8
537.633,2196.5
537.717,2199.5
537.801,2196.6
537.885,2191.8
537.97,2196.5
538.054,2178.1
538.138,2185.8
538.222,2171.9
538.306,2170.2
538.39,2185.8
538.474,2169.8
538.558,2180.6
538.642,2180.6
538.726,2176.9
538.81,2161.4
538.894,2157.3
538.979,2165.5
539.063,2167.9
539.147,2157.7
539.231,2158.0
539.315,2153.8
539.399,2161.7
539.483,2153.2
539.567,2154.3
539.651,2147.4
539.735,2148.6
539.819,2164.8
539.903,2155.5
539.987,2144.5
540.071,2158.2
540.155,2151.8
540.239,2150.9
540.324,2150.0
540.408,2129.5
540.492,2150.5
540.576,2138.9
540.66,2147.9
540.744,2149.3
540.828,2141.8
540.912,2147.5
540.996,2141.9
541.08,2135.6
541.164,2144.8
541.248,2146.6
541.332,2142.6
541.416,2136.2
541.5,2142.9
541.584,2152.3
541.668,2149.4
541.752,2153.3
541.836,2141.1
541.92,2146.3
542.004,2150.2
542.088,2159.2
542.172,2154.8
542.256,2159.8
542.34,2153.2
542.424,2150.3
542.508,2158.1
542.592,2152.7
542.676,2150.2
542.76,2148.0
542.844,2140.0
542.928,2137.2
543.012,2144.9
543.096,2156.8
543.18,2154.0
543.264,2132.6
543.348,2142.5
543.432,2134.1
543.516,2143.0
543.6,2138.1
543.684,2155.1
543.768,2156.3
543.852,2152.1
543.936,2160.5
544.02,2159.2
544.104,2156.0
544.188,2150.2
544.272,2138.9
544.356,2149.4
544.44,2143.3
544.524,2138.0
544.608,2137.4
544.692,2142.6
544.776,2142.7
544.86,2158.8
544.944,2148.0
545.028,2158.5
545.112,2150.0
545.196,2168.0
545.28,2146.2
545.364,2140.3
545.448,2142.1
545.532,2127.3
545.616,2140.1
545.7,2151.9
545.784,2157.8
545.867,2165.8
545.951,2156.1
546.035,2144.9
546.119,2150.8
546.203,2146.5
546.287,2142.9
546.371,2157.2
546.455,2146.7
546.539,2152.9
546.623,2154.0
546.707,2153.7
546.791,2163.1
546.875,2156.4
546.959,2160.5
547.043,2154.4
547.127,2158.1
547.21,2158.2
547.294,2153.4
547.378,2155.4
547.462,2137.0
547.546,2145.6
547.63,2146.4
547.714,2140.9
547.798,2156.9
547.882,2160.1
547.966,2157.1
548.05,2164.6
548.134,2166.1
548.217,2161.7
548.301,2171.5
548.385,2163.0
548.469,2172.9
548.553,2167.3
548.637,2158.7
548.721,2147.2
548.805,2148.6
548.889,2157.0
548.972,2159.9
549.056,2153.8
549.14,2171.5
549.224,2155.1
549.308,2161.5
549.392,2160.8
549.476,2160.3
549.56,2161.3
549.644,2145.9
549.727,2148.6
549.811,2160.4
549.895,2149.4
549.979,2164.0
550.063,2159.7
550.147,2159.4
550.231,2156.9
550.315,2166.4
550.398,2158.3
550.482,2164.1
550.566,2158.8
550.65,2160.6
550.734,2172.5
550.818,2160.7
550.902,2162.9
550.985,2162.5
551.069,2159.5
551.153,2171.2
551.237,2169.9
551.321,2166.4
551.405,2171.0
551.488,2178.2
551.572,2166.8
551.656,2183.9
551.74,2175.8
551.824,2191.9
551.908,2176.3
551.991,2188.2
552.075,2177.2
552.159,2181.9
552.243,2169.1
552.327,2177.1
552.411,2181.3
552.494,2176.9
552.578,2186.0
552.662,2179.9
552.746,2174.9
552.83,2175.8
552.914,2185.7
552.997,2180.2
553.081,2196.8
553.165,2199.3
553.249,2199.9
553.333,2192.3
553.416,2213.7
553.5,2214.6
553.584,2225.3
553.668,2213.4
553.752,2204.8
553.835,2206.5
553.919,2209.2
554.003,2201.4
554.087,2210.6
554.171,2207.8
554.254,2213.0
554.338,2220.8
554.422,2209.9
554.506,2206.4
554.589,2225.6
554.673,2224.4
554.757,2227.3
554.841,2219.3
554.925,2231.4
555.008,2233.3
555.092,2220.2
555.176,2239.4
555.26,2230.6
555.343,2238.4
555.427,2244.5
555.511,2245.3
555.595,2237.2
555.679,2232.3
555.762,2244.2
555.846,2245.3
555.93,2245.4
556.014,2253.5
556.097,2255.9
556.181,2249.2
556.265,2253.1
556.349,2249.9
556.432,2263.1
556.516,2254.0
556.6,2250.1
556.684,2253.9
556.767,2264.0
556.851,2267.0
556.935,2270.8
557.018,2295.7
557.102,2280.3
557.186,2279.3
557.27,2274.9
557.353,2287.7
557.437,2302.5
557.521,2289.1
557.605,2283.3
557.688,2303.6
557.772,2311.3
557.856,2304.5
557.939,2310.0
558.023,2318.1
558.107,2319.0
558.191,2329.7
558.274,2307.5
558.358,2336.9
558.442,2339.3
558.525,2344.4
558.609,2327.0
558.693,2323.2
558.776,2303.3
558.86,2321.2
558.944,2327.8
559.028,2310.5
559.111,2322.6
559.195,2327.6
559.279,2317.5
559.362,2321.5
559.446,2309.1
559.53,2312.7
559.613,2322.0
559.697,2326.2
559.781,2329.0
559.864,2335.8
559.948,2322.1
560.032,2323.7
560.115,2330.6
560.199,2325.6
560.283,2328.2
560.366,2332.7
560.45,2345.3
560.534,2359.2
560.617,2372.4
560.701,2369.3
560.785,2358.1
560.868,2378.5
560.952,2362.1
561.036,2381.8
561.119,2381.4
561.203,2370.2
561.287,2374.5
561.37,2393.2
561.454,2379.0
561.538,2381.9
561.621,2393.0
561.705,2390.2
561.789,2397.9
561.872,2403.4
561.956,2398.6
562.039,2417.4
562.123,2429.3
562.207,2453.1
562.29,2441.3
562.374,2452.3
562.458,2439.0
562.541,2433.9
562.625,2453.3
562.708,2466.0
562.792,2481.0
562.876,2478.7
562.959,2500.2
563.043,2492.1
563.127,2496.6
563.21,2499.5
563.294,2522.6
563.377,2514.7
563.461,2542.0
563.545,2557.8
563.628,2580.2
563.712,2624.6
563.795,2697.7
563.879,2817.5
563.963,2931.4
564.046,2946.3
564.13,2929.7
564.213,2823.2
564.297,2755.5
564.38,2710.7
564.464,2687.6
564.548,2687.9
564.631,2714.9
564.715,2676.6
564.798,2694.4
564.882,2665.0
564.966,2657.4
565.049,2684.8
565.133,2674.1
565.216,2660.4
565.3,2654.6
565.383,2681.1
565.467,2666.8
565.551,2674.3
565.634,2698.9
565.718,2744.7
565.801,2762.5
565.885,2852.4
565.968,2955.6
566.052,3028.3
566.135,3051.5
566.219,3056.9
566.302,2965.8
566.386,2887.6
566.47,2812.8
566.553,2765.6
566.637,2750.8
566.72,2749.5
566.804,2748.9
566.887,2764.1
566.971,2742.7
567.054,2761.3
567.138,2794.5
567.221,2759.1
567.305,2784.6
567.388,2781.1
567.472,2813.1
567.555,2815.4
567.639,2789.1
567.722,2765.9
567.806,2788.2
567.889,2799.0
567.973,2796.3
568.057,2811.3
568.14,2838.2
568.224,2827.8
568.307,2812.2
568.391,2814.0
568.474,2835.6
568.558,2836.7
568.641,2814.7
568.725,2849.7
568.808,2864.2
568.892,2881.3
568.975,2905.2
569.058,2901.6
569.142,2906.9
569.225,2931.9
569.309,2950.9
569.392,2988.8
569.476,2945.8
569.559,2930.8
569.643,2965.0
569.726,2976.4
569.81,3028.1
569.893,3016.6
569.977,3019.4
570.06,3051.0
570.144,3064.0
570.227,3084.8
570.311,3089.4
570.394,3088.9
570.477,3152.8
570.561,3139.6
570.644,3148.1
570.728,3195.8
570.811,3188.1
570.895,3190.8
570.978,3235.3
571.062,3291.8
571.145,3379.6
571.229,3486.5
571.312,3642.8
571.395,3879.1
571.479,4017.6
571.562,4021.2
571.646,3936.5
571.729,3873.6
571.813,3748.4
571.896,3686.3
571.979,3624.7
572.063,3630.8
572.146,3610.6
572.23,3573.2
572.313,3634.6
572.397,3658.6
572.48,3582.7
572.563,3554.0
572.647,3578.2
572.73,3614.6
572.814,3658.2
572.897,3671.1
572.98,3661.1
573.064,3731.8
573.147,3726.2
573.231,3687.7
573.314,3738.6
573.397,3825.0
573.481,3879.2
573.564,3851.6
573.648,3846.3
573.731,3907.2
573.814,3934.1
573.898,3959.8
573.981,4038.1
574.064,4080.4
574.148,4101.8
574.231,4039.4
574.315,4070.6
574.398,4133.2
574.481,4156.2
574.565,4204.2
574.648,4204.0
574.731,4249.2
574.815,4287.4
574.898,4330.1
574.982,4368.9
575.065,4444.3
575.148,4487.6
575.232,4552.8
575.315,4633.5
575.398,4733.6
575.482,4846.1
575.565,5018.9
575.648,5115.2
575.732,5046.7
575.815,5074.7
575.898,5198.7
575.982,5314.6
576.065,5457.5
576.148,5729.4
576.232,5831.0
576.315,5827.3
576.398,5783.9
576.482,5766.0
576.565,5791.2
576.648,5899.8
576.732,5950.3
576.815,5985.0
576.898,5982.3
576.982,6032.2
577.065,6091.7
577.148,6187.4
577.232,6101.0
577.315,6041.3
577.398,6024.8
577.481,6114.4
577.565,6084.9
577.648,6092.7
577.731,6181.9
577.815,6223.2
577.898,6280.6
577.981,6255.3
578.065,6386.0
578.148,6471.1
578.231,6486.1
578.314,6507.6
578.398,6622.1
578.481,6798.9
578.564,6745.2
578.648,6834.1
578.731,6898.3
578.814,7009.0
578.897,7114.8
578.981,7267.3
579.064,7322.3
579.147,7339.4
579.23,7400.4
579.314,7464.1
579.397,7520.7
579.48,7549.2
579.563,7689.2
579.647,7834.9
579.73,8011.3
579.813,7935.6
579.896,7992.5
579.98,8191.5
580.063,8474.8
580.146,8395.5
580.229,8449.5
580.313,8545.7
580.396,8512.7
580.479,8563.1
580.562,8814.8
580.646,8860.5
580.729,8899.6
580.812,8868.6
580.895,9052.2
580.979,9038.5
581.062,9187.3
581.145,9286.5
581.228,9498.2
581.311,9421.9
581.395,9535.8
581.478,9629.0
581.561,9593.8
581.644,9505.6
581.728,9621.8
581.811,9886.7
581.894,10120.6
581.977,10210.4
582.06,10213.4
582.144,10320.3
582.227,10300.9
582.31,10162.1
582.393,10135.8
582.476,10267.1
582.56,10398.1
582.643,10573.1
582.726,10629.8
582.809,10616.7
582.892,10642.3
582.975,10926.7
583.059,11207.8
583.142,11162.5
583.225,10956.3
583.308,11290.2
583.391,11285.6
583.475,11320.4
583.558,11465.1
583.641,11469.1
583.724,11237.5
583.807,11486.7
583.89,11634.2
583.973,11764.5
584.057,11576.2
584.14,11602.8
584.223,11811.2
584.306,11883.8
584.389,11990.7
584.472,12069.7
584.556,12347.7
584.639,12450.2
584.722,12449.4
584.805,12222.6
584.888,12272.3
584.971,12414.0
585.054,12474.7
585.138,12527.9
585.221,12541.0
585.304,12606.0
585.387,12911.2
585.47,12947.9
585.553,12806.9
585.636,12840.5
585.719,12944.9
585.802,12975.3
585.886,13147.0
585.969,13689.0
586.052,13760.2
586.135,13436.9
586.218,13256.0
586.301,13366.9
586.384,13636.6
586.467,13766.6
586.55,13916.7
586.634,13819.8
586.717,14071.8
586.8,14217.4
586.883,14376.4
586.966,14463.7
587.049,14424.1
587.132,14342.2
587.215,14554.9
587.298,14966.3
587.381,15127.9
587.464,15100.4
587.548,15184.0
587.631,15128.2
587.714,15519.1
587.797,15591.8
587.88,15490.3
587.963,15715.9
588.046,15772.6
588.129,15883.2
588.212,15927.0
588.295,16018.9
588.378,16120.3
588.461,16077.4
588.544,16187.3
588.627,16475.6
588.71,16822.5
588.793,16781.6
588.876,16551.7
588.96,16601.1
589.043,16677.6
589.126,17190.8
589.209,17246.6
589.292,16924.0
589.375,16901.5
589.458,17322.7
589.541,17679.1
589.624,17576.3
589.707,17626.4
589.79,17734.3
589.873,17898.4
589.956,17594.5
590.039,17937.3
590.122,18464.1
590.205,18129.4
590.288,17861.5
590.371,18053.9
590.454,18411.0
590.537,18663.0
590.62,18750.1
590.703,18842.0
590.786,19082.5
590.869,19155.7
590.952,19079.3
591.035,19273.7
591.118,19181.4
591.201,19089.6
591.284,19390.7
591.367,19663.7
591.45,19320.6
591.533,19198.5
591.616,19667.2
591.699,20066.8
591.782,20056.0
591.865,19639.5
591.948,19686.3
592.031,20069.9
592.114,20471.0
592.197,20439.0
592.28,20233.9
592.363,20201.9
592.446,20831.0
592.529,20685.3
592.611,20368.7
592.694,20234.6
592.777,20241.3
592.86,20482.4
592.943,20295.1
593.026,20240.8
593.109,20479.8
593.192,20640.8
593.275,20892.2
593.358,20954.7
593.441,20917.4
593.524,20658.3
593.607,20666.6
593.69,20840.0
593.773,20623.7
593.856,20515.6
593.939,20923.2
594.021,20941.0
594.104,21308.5
594.187,21259.1
594.27,21026.4
594.353,21027.2
594.436,21081.7
594.519,21255.7
594.602,21282.1
594.685,21408.8
594.768,21499.5
594.851,21199.3
594.933,21563.3
595.016,21966.0
595.099,21858.5
595.182,21776.0
595.265,21865.3
595.348,22156.5
595.431,22196.7
595.514,21912.1
595.597,22170.5
595.68,22101.6
595.762,22462.6
595.845,22531.1
595.928,22210.3
596.011,22341.9
596.094,22804.9
596.177,23020.6
596.26,22802.1
596.342,22742.2
596.425,22691.5
596.508,22562.9
596.591,22782.0
596.674,23120.8
596.757,23355.2
596.84,23237.1
596.923,23177.2
597.005,23498.8
597.088,23196.9
597.171,23125.8
597.254,23469.1
597.337,23502.6
597.42,23741.0
597.502,23894.0
597.585,24012.0
597.668,23642.2
597.751,23490.7
597.834,23268.7
597.917,23949.0
597.999,24449.8
