nm,Intensity
528.635,1834.3
528.719,1836.5
528.803,1835.6
528.887,1837.3
528.972,1837.2
529.056,1834.5
529.14,1836.5
529.224,1836.5
529.308,1836.4
529.393,1835.3
529.477,1836.4
529.561,1835.0
529.645,1832.6
529.73,1834.3
529.814,1836.1
529.898,1838.1
529.982,1834.3
530.066,1834.7
530.151,1834.3
530.235,1836.0
530.319,1835.9
530.403,1834.7
530.487,1836.4
530.572,1836.6
530.656,1836.1
530.74,1837.1
530.824,1837.3
530.908,1836.6
530.993,1835.6
531.077,1837.9
531.161,1839.3
531.245,1839.2
531.329,1840.5
531.414,1841.7
531.498,1843.8
531.582,1851.3
531.666,1871.2
531.75,1959.9
531.835,2327.7
531.919,3305.2
532.003,4786.3
532.087,4828.5
532.171,4151.7
532.255,3007.8
532.34,2109.3
532.424,1864.6
532.508,1841.8
532.592,1837.9
532.676,1837.4
532.76,1838.7
532.845,1838.7
532.929,1838.6
533.013,1837.3
533.097,1837.8
533.181,1836.8
533.265,1838.0
533.35,1841.2
533.434,1850.6
533.518,1872.4
533.602,1937.7
533.686,2061.8
533.77,2222.0
533.854,2372.8
533.939,2506.9
534.023,2564.4
534.107,2584.0
534.191,2589.8
534.275,2565.2
534.359,2576.8
534.443,2535.1
534.528,2532.9
534.612,2550.5
534.696,2520.6
534.78,2542.9
534.864,2526.8
534.948,2514.5
535.032,2499.5
535.117,2493.7
535.201,2489.1
535.285,2437.2
535.369,2427.4
535.453,2413.2
535.537,2401.4
535.621,2387.7
535.705,2363.9
535.79,2362.0
535.874,2329.5
535.958,2326.3
536.042,2316.6
536.126,2329.4
536.21,2306.7
536.294,2316.5
536.378,2307.9
536.462,2303.2
536.546,2300.8
536.631,2289.2
536.715,2309.4
536.799,2290.8
536.883,2324.5
536.967,2302.9
537.051,2279.4
537.135,2282.3
537.219,2311.7
537.303,2309.5
537.387,2319.1
537.472,2328.1
537.556,2303.4
537.64,2299.3
537.724,2302.7
537.808,2297.5
537.892,2282.0
537.976,2294.2
538.06,2284.3
538.144,2270.1
538.228,2272.2
538.312,2284.9
538.396,2276.6
538.48,2277.1
538.565,2252.2
538.649,2251.9
538.733,2270.9
538.817,2261.5
538.901,2251.7
538.985,2251.9
539.069,2260.7
539.153,2246.8
539.237,2248.0
539.321,2239.8
539.405,2250.5
539.489,2230.1
539.573,2244.8
539.657,2241.9
539.741,2229.3
539.825,2229.0
539.909,2234.3
539.993,2214.9
540.077,2221.7
540.161,2235.9
540.246,2217.2
540.33,2236.3
540.414,2237.0
540.498,2218.2
540.582,2215.5
540.666,2229.2
540.75,2222.8
540.834,2219.5
540.918,2225.3
541.002,2216.3
541.086,2223.4
541.17,2216.1
541.254,2224.8
541.338,2215.8
541.422,2228.6
541.506,2211.6
541.59,2223.8
541.674,2222.0
541.758,2211.4
541.842,2218.2
541.926,2239.1
542.01,2216.8
542.094,2218.9
542.178,2220.5
542.262,2225.3
542.346,2240.8
542.43,2256.8
542.514,2243.6
542.598,2254.8
542.682,2240.0
542.766,2237.7
542.85,2243.5
542.934,2248.2
543.018,2236.2
543.102,2248.5
543.186,2241.8
543.27,2249.0
543.354,2234.9
543.438,2236.6
543.522,2243.6
543.606,2239.9
543.69,2249.2
543.774,2239.4
543.858,2257.6
543.942,2252.2
544.026,2243.4
544.11,2235.3
544.194,2236.3
544.278,2243.2
544.362,2248.4
544.445,2239.4
544.529,2247.6
544.613,2231.1
544.697,2241.1
544.781,2265.9
544.865,2252.4
544.949,2263.5
545.033,2257.2
545.117,2265.8
545.201,2251.8
545.285,2259.9
545.369,2248.3
545.453,2248.9
545.537,2250.3
545.621,2249.0
545.705,2236.7
545.789,2250.6
545.873,2248.5
545.957,2260.7
546.04,2254.4
546.124,2249.5
546.208,2248.2
546.292,2250.3
546.376,2251.5
546.46,2244.9
546.544,2246.3
546.628,2247.6
546.712,2259.2
546.796,2249.9
546.88,2254.5
546.964,2255.5
547.048,2234.1
547.131,2231.1
547.215,2229.6
547.299,2255.0
547.383,2244.5
547.467,2247.3
547.551,2257.2
547.635,2234.3
547.719,2250.0
547.803,2238.4
547.887,2252.0
547.97,2244.2
548.054,2234.1
548.138,2244.2
548.222,2242.3
548.306,2236.1
548.39,2240.1
548.474,2228.6
548.558,2236.5
548.642,2250.2
548.725,2258.3
548.809,2256.4
548.893,2228.2
548.977,2226.6
549.061,2226.7
549.145,2239.9
549.229,2227.8
549.313,2226.4
549.396,2247.8
549.48,2240.3
549.564,2244.6
549.648,2226.9
549.732,2234.3
549.816,2228.4
549.9,2235.7
549.983,2248.7
550.067,2238.7
550.151,2244.5
550.235,2232.4
550.319,2227.7
550.403,2240.2
550.487,2248.3
550.57,2237.9
550.654,2246.8
550.738,2245.5
550.822,2244.9
550.906,2258.5
550.99,2249.2
551.074,2245.4
551.157,2240.5
551.241,2237.3
551.325,2268.2
551.409,2254.9
551.493,2260.7
551.576,2259.1
551.66,2255.5
551.744,2268.1
551.828,2259.6
551.912,2259.1
551.996,2271.1
552.079,2269.2
552.163,2267.5
552.247,2255.5
552.331,2263.4
552.415,2279.8
552.499,2271.7
552.582,2285.0
552.666,2269.3
552.75,2286.7
552.834,2274.6
552.918,2276.2
553.001,2279.7
553.085,2296.8
553.169,2296.0
553.253,2313.5
553.337,2296.1
553.42,2320.8
553.504,2313.7
553.588,2314.3
553.672,2324.6
553.755,2327.0
553.839,2299.7
553.923,2306.4
554.007,2311.3
554.091,2306.6
554.174,2313.5
554.258,2325.5
554.342,2333.8
554.426,2333.9
554.509,2308.4
554.593,2325.2
554.677,2311.0
554.761,2322.7
554.845,2329.2
554.928,2339.9
555.012,2328.3
555.096,2333.3
555.18,2353.5
555.263,2336.8
555.347,2341.4
555.431,2349.9
555.515,2334.3
