nm,Intensity
528.626,1863.6
528.711,1865.9
528.795,1865.2
528.879,1865.0
528.963,1864.6
529.048,1864.9
529.132,1864.8
529.216,1864.3
529.3,1864.1
529.385,1864.2
529.469,1864.7
529.553,1864.8
529.637,1864.4
529.721,1864.5
529.806,1865.0
529.89,1864.3
529.974,1862.9
530.058,1864.1
530.143,1865.5
530.227,1864.3
530.311,1865.1
530.395,1863.4
530.48,1866.6
530.564,1865.2
530.648,1863.8
530.732,1865.2
530.816,1864.7
530.901,1864.5
530.985,1864.8
531.069,1866.8
531.153,1866.2
531.237,1868.1
531.322,1868.6
531.406,1869.3
531.49,1870.1
531.574,1874.3
531.658,1892.8
531.743,1979.9
531.827,2338.0
531.911,2925.5
531.995,3542.7
532.079,4007.2
532.164,3784.1
532.248,2905.7
532.332,2160.4
532.416,1898.2
532.5,1871.0
532.585,1867.5
532.669,1868.3
532.753,1866.3
532.837,1866.3
532.921,1865.8
533.006,1863.4
533.09,1865.0
533.174,1867.6
533.258,1864.0
533.342,1866.6
533.426,1869.9
533.511,1874.8
533.595,1894.8
533.679,1938.2
533.763,1995.0
533.847,2055.8
533.931,2105.6
534.016,2144.3
534.1,2165.8
534.184,2169.7
534.268,2168.1
534.352,2176.1
534.436,2162.9
534.521,2151.8
534.605,2173.1
534.689,2164.8
534.773,2177.5
534.857,2165.1
534.941,2183.1
535.025,2164.7
535.11,2168.9
535.194,2170.1
535.278,2165.8
535.362,2166.7
535.446,2175.1
535.53,2174.3
535.614,2171.0
535.699,2160.1
535.783,2159.4
535.867,2160.4
535.951,2154.4
536.035,2152.9
536.119,2154.0
536.203,2142.9
536.287,2138.8
536.372,2128.9
536.456,2130.3
536.54,2142.7
536.624,2138.6
536.708,2137.8
536.792,2129.5
536.876,2128.0
536.96,2120.4
537.044,2115.5
537.129,2124.1
537.213,2138.9
537.297,2147.3
537.381,2142.3
537.465,2160.1
537.549,2142.1
537.633,2144.1
537.717,2144.5
537.801,2148.9
537.885,2146.7
537.97,2138.4
538.054,2145.7
538.138,2137.8
538.222,2127.8
538.306,2127.2
538.39,2145.7
538.474,2141.2
538.558,2145.5
538.642,2137.7
538.726,2144.2
538.81,2137.9
538.894,2121.7
538.979,2128.8
539.063,2134.7
539.147,2130.0
539.231,2123.9
539.315,2126.7
539.399,2127.8
539.483,2134.3
539.567,2117.0
539.651,2124.5
539.735,2127.5
539.819,2137.3
539.903,2138.8
539.987,2132.8
540.071,2136.4
540.155,2134.7
540.239,2126.3
540.324,2111.0
540.408,2121.6
540.492,2116.2
540.576,2129.1
540.66,2126.8
540.744,2129.0
540.828,2120.9
540.912,2122.7
540.996,2117.5
541.08,2133.0
541.164,2133.8
541.248,2119.3
541.332,2126.7
541.416,2137.0
541.5,2122.6
541.584,2120.7
541.668,2126.6
541.752,2135.0
541.836,2141.6
541.92,2124.5
542.004,2129.8
542.088,2129.9
542.172,2138.5
542.256,2138.0
542.34,2133.4
542.424,2125.8
542.508,2141.1
542.592,2146.5
542.676,2145.6
542.76,2127.1
542.844,2119.5
542.928,2131.8
543.012,2121.7
543.096,2126.8
543.18,2139.1
543.264,2131.9
543.348,2120.0
543.432,2122.9
543.516,2134.8
543.6,2124.8
543.684,2140.9
543.768,2150.4
543.852,2147.0
543.936,2156.1
544.02,2143.0
544.104,2137.9
544.188,2137.6
544.272,2138.6
544.356,2126.7
544.44,2133.5
544.524,2127.8
544.608,2127.0
544.692,2125.9
544.776,2135.0
544.86,2143.1
544.944,2145.0
545.028,2149.3
545.112,2150.8
545.196,2152.1
545.28,2151.0
545.364,2148.7
545.448,2126.3
545.532,2131.4
545.616,2134.0
545.7,2131.1
545.784,2152.0
545.867,2155.5
545.951,2148.6
546.035,2147.4
546.119,2130.2
546.203,2128.5
546.287,2145.7
546.371,2144.5
546.455,2148.4
546.539,2148.9
546.623,2142.6
546.707,2147.5
546.791,2141.2
546.875,2150.6
546.959,2157.4
547.043,2160.1
547.127,2157.6
547.21,2150.3
547.294,2145.0
547.378,2127.6
547.462,2131.5
547.546,2131.6
547.63,2132.3
547.714,2130.2
547.798,2141.2
547.882,2139.9
547.966,2135.6
548.05,2143.1
548.134,2144.0
548.217,2141.7
548.301,2156.8
548.385,2160.6
548.469,2164.9
548.553,2154.0
548.637,2157.6
548.721,2154.5
548.805,2137.2
548.889,2150.9
548.972,2159.6
549.056,2139.2
549.14,2143.9
549.224,2153.1
549.308,2160.0
549.392,2147.0
549.476,2148.9
549.56,2152.4
549.644,2153.8
549.727,2159.6
549.811,2163.3
549.895,2157.2
549.979,2144.2
550.063,2149.9
550.147,2147.5
550.231,2136.4
550.315,2150.1
550.398,2146.6
550.482,2156.3
550.566,2146.9
550.65,2165.7
550.734,2146.5
550.818,2153.4
550.902,2151.9
550.985,2153.2
551.069,2147.4
551.153,2166.8
551.237,2152.5
551.321,2154.3
551.405,2158.9
551.488,2164.2
551.572,2156.6
551.656,2168.4
551.74,2156.1
551.824,2176.2
551.908,2176.9
551.991,2178.0
552.075,2175.8
552.159,2172.3
552.243,2168.2
552.327,2171.1
552.411,2176.5
552.494,2158.5
552.578,2169.0
552.662,2151.5
552.746,2152.8
552.83,2152.7
552.914,2159.0
552.997,2145.9
553.081,2174.8
553.165,2193.2
553.249,2175.0
553.333,2162.0
553.416,2169.9
553.5,2175.0
553.584,2180.0
553.668,2175.5
553.752,2180.0
