nm,Intensity
526.495,828.6
526.632,829.5
526.768,830.8
526.905,828.8
527.042,827.2
527.179,829.5
527.315,829.3
527.452,828.7
527.589,829.2
527.725,829.8
527.862,830.3
527.999,828.7
528.136,829.4
528.272,829.8
528.409,829.0
528.546,828.9
528.682,830.0
528.819,830.7
528.955,829.4
529.092,829.8
529.229,828.1
529.365,830.3
529.502,828.0
529.639,829.8
529.775,828.9
529.912,829.8
530.048,829.5
530.185,830.0
530.321,829.3
530.458,829.6
530.594,830.4
530.731,829.5
530.867,828.2
531.004,828.5
531.14,828.8
531.277,829.1
531.413,829.4
531.55,827.4
531.686,828.9
531.823,829.9
531.959,834.1
532.096,859.7
532.232,864.4
532.369,839.9
532.505,831.0
532.641,827.9
532.778,829.4
532.914,828.7
533.051,828.5
533.187,830.2
533.323,830.5
533.46,830.2
533.596,830.5
533.732,834.7
533.869,856.3
534.005,893.0
534.141,902.6
534.278,899.3
534.414,895.6
534.55,889.9
534.687,886.4
534.823,888.4
534.959,883.5
535.095,880.3
535.232,877.8
535.368,873.4
535.504,867.5
535.64,866.1
535.777,863.7
535.913,862.5
536.049,859.3
536.185,858.2
536.321,860.2
536.457,860.5
536.594,857.6
536.73,854.2
536.866,856.3
537.002,856.7
537.138,856.3
537.274,856.7
537.41,854.0
537.547,854.9
537.683,856.5
537.819,852.6
537.955,854.6
538.091,855.7
538.227,853.2
538.363,852.6
538.499,853.9
538.635,854.2
538.771,852.2
538.907,853.1
539.043,851.2
539.179,852.0
539.315,851.3
539.451,850.8
539.587,849.4
539.723,849.6
539.859,849.0
539.995,847.2
540.131,847.3
540.267,847.3
540.403,845.1
540.539,845.0
540.675,846.8
540.811,844.2
540.947,846.2
541.083,844.9
541.219,846.1
541.354,845.9
541.49,844.8
541.626,845.1
541.762,844.3
541.898,845.2
542.034,844.9
542.17,844.2
542.305,845.6
542.441,844.7
542.577,844.4
542.713,844.6
542.849,845.5
542.984,845.3
543.12,846.6
543.256,846.2
543.392,847.0
543.528,845.5
543.663,847.1
543.799,843.5
543.935,843.9
544.071,842.8
544.206,845.2
544.342,842.6
544.478,843.8
544.613,842.6
544.749,843.2
544.885,843.0
545.02,842.8
545.156,842.5
545.292,840.7
545.427,843.3
545.563,843.3
545.699,843.2
545.834,842.6
545.97,841.9
546.106,843.2
546.241,840.4
546.377,844.1
546.512,843.0
546.648,843.7
546.784,842.2
546.919,842.6
547.055,843.5
547.19,841.9
547.326,841.1
547.461,843.0
547.597,841.5
547.732,843.9
547.868,840.6
548.003,843.6
548.139,842.0
548.274,842.3
548.41,840.3
548.545,840.8
548.681,840.1
548.816,841.7
548.952,839.8
549.087,841.4
549.223,842.4
549.358,839.9
549.494,842.2
549.629,844.8
549.764,839.8
549.9,841.7
550.035,841.0
550.171,840.0
550.306,840.4
550.441,842.5
550.577,841.2
550.712,842.9
550.847,838.9
550.983,842.2
551.118,840.3
551.253,843.0
551.389,841.7
551.524,840.2
551.659,843.0
551.795,842.0
551.93,842.3
552.065,842.5
552.201,841.3
552.336,840.5
552.471,841.3
552.606,843.0
552.742,841.4
552.877,842.2
553.012,842.8
553.147,842.1
553.283,844.4
553.418,844.2
553.553,842.8
553.688,846.8
553.823,842.9
553.959,844.8
554.094,843.8
554.229,843.6
554.364,844.7
554.499,843.7
554.634,844.4
554.769,846.3
554.905,845.1
555.04,846.1
555.175,843.4
555.31,845.5
555.445,846.1
555.58,845.7
555.715,844.8
555.85,847.5
555.985,847.0
556.121,848.0
556.256,848.2
556.391,847.3
556.526,850.9
556.661,849.5
556.796,846.9
556.931,849.0
557.066,851.7
557.201,850.1
557.336,851.7
557.471,851.9
557.606,854.5
557.741,852.1
557.876,852.3
558.011,854.0
558.146,855.5
558.281,854.4
558.416,855.4
558.551,854.6
558.685,855.3
558.82,856.2
558.955,851.0
559.09,853.2
559.225,852.2
559.36,849.3
559.495,849.2
559.63,851.5
559.765,849.2
559.9,851.2
560.034,851.2
560.169,852.2
560.304,850.3
560.439,849.9
560.574,848.6
560.709,849.5
560.843,851.3
560.978,850.0
561.113,849.8
561.248,850.5
561.383,850.1
561.517,851.7
561.652,850.3
561.787,851.3
561.922,851.1
562.057,852.8
562.191,852.4
562.326,854.6
562.461,854.5
562.596,856.5
562.73,854.4
562.865,856.6
563.0,858.9
563.134,858.4
563.269,859.5
563.404,860.7
563.539,862.2
563.673,866.5
563.808,875.0
563.943,909.7
564.077,936.3
564.212,913.8
564.346,882.3
564.481,877.8
564.616,877.6
564.75,877.0
564.885,876.7
565.02,869.2
565.154,869.4
565.289,867.4
565.423,864.7
565.558,863.8
565.693,868.3
565.827,870.0
565.962,884.5
566.096,923.3
566.231,930.1
566.365,899.1
566.5,877.7
566.634,870.3
566.769,865.7
566.903,860.8
567.038,862.1
567.172,862.3
567.307,862.7
567.441,872.2
567.576,871.6
567.71,869.1
567.845,861.8
567.979,864.3
568.114,860.9
568.248,862.3
568.383,859.9
568.517,861.9
568.652,861.4
568.786,862.0
568.92,862.2
569.055,861.7
569.189,865.8
569.324,863.4
569.458,861.2
569.592,866.7
569.727,866.0
569.861,867.1
569.996,865.6
570.13,868.3
570.264,867.1
570.399,869.2
570.533,873.1
570.667,876.5
570.802,878.3
570.936,877.7
571.07,880.2
571.205,880.4
571.339,899.1
571.473,958.4
571.607,1014.5
571.742,957.6
571.876,918.1
572.01,904.2
572.144,900.0
572.279,892.4
572.413,889.7
572.547,883.1
572.681,884.7
572.816,881.4
572.95,880.2
573.084,878.2
573.218,882.9
573.353,883.7
573.487,881.2
573.621,884.8
573.755,885.2
573.889,892.5
574.023,890.3
574.158,891.4
574.292,889.1
574.426,887.2
574.56,883.7
574.694,883.8
574.828,886.7
574.963,889.5
575.097,892.0
575.231,889.9
575.365,897.0
575.499,918.9
575.633,937.9
575.767,928.8
575.901,930.5
576.035,951.5
576.169,992.9
576.303,1031.5
576.438,1021.0
576.572,992.2
576.706,985.6
576.84,985.4
576.974,983.1
577.108,979.8
577.242,972.1
577.376,954.1
577.51,941.4
577.644,928.0
577.778,925.6
577.912,924.8
578.046,926.7
578.18,927.4
578.314,925.9
578.448,926.0
578.582,927.0
578.716,931.2
578.85,929.8
578.984,930.0
579.117,934.0
579.251,928.7
579.385,936.7
579.519,931.6
579.653,936.9
579.787,937.8
579.921,934.3
580.055,943.8
580.189,944.0
580.323,940.9
580.456,944.6
580.59,943.6
580.724,946.3
580.858,944.1
580.992,946.9
581.126,946.1
581.26,945.5
581.393,953.8
581.527,952.9
581.661,953.9
581.795,954.5
581.929,953.6
582.063,956.0
582.196,962.8
582.33,958.9
582.464,965.4
582.598,957.2
582.731,961.4
582.865,965.9
582.999,967.8
583.133,963.2
583.267,965.6
583.4,966.3
583.534,969.7
583.668,967.3
583.801,971.3
583.935,972.1
584.069,968.6
584.203,971.9
584.336,966.1
584.47,970.3
584.604,968.4
584.737,974.2
584.871,973.3
585.005,970.1
585.138,974.2
585.272,975.8
585.406,974.9
585.539,970.3
585.673,979.3
585.807,976.5
585.94,976.8
586.074,979.4
586.208,980.5
586.341,976.4
586.475,978.1
586.608,982.0
586.742,980.4
586.876,983.6
587.009,987.2
587.143,983.5
587.276,981.9
587.41,987.0
