nm,Intensity
526.495,828.5
526.632,829.9
526.768,827.5
526.905,829.2
527.042,828.1
527.179,829.1
527.315,829.2
527.452,829.2
527.589,829.2
527.725,827.8
527.862,829.5
527.999,830.0
528.136,828.0
528.272,828.8
528.409,829.8
528.546,827.7
528.682,829.7
528.819,827.4
528.955,828.4
529.092,828.8
529.229,829.8
529.365,829.3
529.502,827.9
529.639,830.0
529.775,828.5
529.912,827.5
530.048,827.6
530.185,828.7
530.321,828.4
530.458,828.0
530.594,828.6
530.731,828.3
530.867,827.3
531.004,829.2
531.14,829.3
531.277,828.6
531.413,828.8
531.55,828.8
531.686,828.2
531.823,828.8
531.959,833.5
532.096,860.6
532.232,870.4
532.369,837.0
532.505,828.6
532.641,828.1
532.778,827.4
532.914,828.7
533.051,827.8
533.187,829.1
533.323,829.1
533.46,829.5
533.596,828.2
533.732,833.9
533.869,852.7
534.005,876.9
534.141,895.3
534.278,890.0
534.414,887.2
534.55,886.7
534.687,885.4
534.823,881.0
534.959,881.5
535.095,873.9
535.232,873.7
535.368,872.3
535.504,867.3
535.64,865.3
535.777,863.4
535.913,862.7
536.049,860.0
536.185,861.5
536.321,861.6
536.457,862.0
536.594,858.6
536.73,858.2
536.866,857.2
537.002,856.9
537.138,855.8
537.274,857.8
537.41,857.5
537.547,857.6
537.683,858.2
537.819,856.9
537.955,856.9
538.091,856.0
538.227,853.3
538.363,856.4
538.499,855.3
538.635,855.0
538.771,854.7
538.907,854.9
539.043,855.4
539.179,852.8
539.315,855.4
539.451,854.5
539.587,851.0
539.723,850.9
539.859,851.2
539.995,849.7
540.131,849.9
540.267,850.6
540.403,848.6
540.539,848.2
540.675,849.8
540.811,848.5
540.947,850.8
541.083,848.7
541.219,849.2
541.354,847.8
541.49,848.8
541.626,846.6
541.762,850.1
541.898,849.9
542.034,848.5
542.17,849.7
542.305,849.5
542.441,846.1
542.577,846.9
542.713,846.6
542.849,848.5
542.984,849.1
543.12,849.2
543.256,847.6
543.392,849.1
543.528,845.9
543.663,848.7
543.799,849.5
543.935,844.3
544.071,847.5
544.206,844.8
544.342,845.6
544.478,846.4
544.613,844.9
544.749,846.1
544.885,846.5
545.02,844.6
545.156,845.3
545.292,846.0
545.427,846.5
545.563,846.4
545.699,846.6
545.834,843.7
545.97,846.9
546.106,843.6
546.241,846.6
546.377,844.2
546.512,844.5
546.648,845.7
546.784,844.0
546.919,844.5
547.055,844.4
547.19,842.9
547.326,846.3
547.461,844.4
547.597,845.5
547.732,844.6
547.868,846.9
548.003,845.1
548.139,844.2
548.274,846.8
548.41,844.3
548.545,842.7
548.681,843.2
548.816,845.3
548.952,844.2
549.087,844.2
549.223,841.3
549.358,844.2
549.494,843.9
549.629,843.1
549.764,845.1
549.9,843.1
550.035,843.3
550.171,845.6
550.306,844.1
550.441,844.2
550.577,845.3
550.712,843.8
550.847,843.3
550.983,843.3
551.118,844.1
551.253,845.1
551.389,842.8
551.524,843.6
551.659,844.3
551.795,844.6
