nm,Intensity
526.495,828.8
526.632,830.0
526.768,828.8
526.905,829.4
527.042,828.7
527.179,829.0
527.315,829.9
527.452,829.6
527.589,828.8
527.725,830.1
527.862,828.9
527.999,829.8
528.136,829.9
528.272,828.1
528.409,829.8
528.546,828.0
528.682,830.7
528.819,828.5
528.955,829.0
529.092,829.0
529.229,829.7
529.365,828.9
529.502,829.3
529.639,828.8
529.775,829.6
529.912,829.6
530.048,829.0
530.185,829.3
530.321,829.2
530.458,829.4
530.594,829.5
530.731,828.9
530.867,830.5
531.004,827.8
531.14,829.2
531.277,829.2
531.413,829.9
531.55,830.3
531.686,829.0
531.823,828.9
531.959,828.9
532.096,833.7
532.232,833.7
532.369,831.1
532.505,830.2
532.641,830.2
532.778,827.7
532.914,829.4
533.051,827.8
533.187,829.5
533.323,828.4
533.46,829.1
533.596,830.1
533.732,833.7
533.869,855.6
534.005,881.9
534.141,894.0
534.278,892.2
534.414,887.3
534.55,888.0
534.687,886.0
534.823,885.7
534.959,883.0
535.095,880.8
535.232,875.5
535.368,871.9
535.504,870.1
535.64,867.8
535.777,865.6
535.913,862.6
536.049,863.8
536.185,863.6
536.321,861.0
536.457,862.0
536.594,860.4
536.73,859.6
536.866,857.6
537.002,857.9
537.138,857.9
537.274,859.0
537.41,857.9
537.547,859.2
537.683,857.8
537.819,859.0
537.955,858.0
538.091,858.0
538.227,856.7
538.363,857.7
538.499,852.6
538.635,856.4
538.771,855.5
538.907,854.1
539.043,853.6
539.179,852.0
539.315,852.1
539.451,851.5
539.587,851.5
539.723,850.1
539.859,849.9
539.995,850.9
540.131,852.6
540.267,852.1
540.403,851.4
540.539,850.3
540.675,848.7
540.811,849.4
540.947,850.7
541.083,848.7
541.219,849.3
541.354,850.6
541.49,849.7
541.626,850.6
541.762,848.7
541.898,848.2
542.034,846.9
542.17,849.8
542.305,847.7
542.441,849.4
542.577,849.8
542.713,850.7
542.849,847.6
542.984,848.4
543.12,847.3
543.256,849.2
543.392,849.9
543.528,849.9
543.663,851.2
543.799,849.1
543.935,850.3
544.071,849.0
544.206,849.5
544.342,849.7
544.478,849.6
544.613,849.0
544.749,851.4
544.885,848.3
545.02,848.8
545.156,848.8
545.292,848.4
545.427,848.9
545.563,851.1
545.699,849.3
545.834,848.3
545.97,849.8
546.106,848.0
546.241,849.8
546.377,849.0
546.512,848.9
546.648,851.2
546.784,849.6
546.919,849.1
547.055,850.3
547.19,849.8
547.326,848.7
547.461,848.7
547.597,849.9
547.732,848.3
547.868,850.7
548.003,850.0
548.139,850.6
548.274,851.2
548.41,850.5
548.545,848.3
548.681,849.1
548.816,850.4
548.952,849.8
549.087,848.9
549.223,851.1
549.358,848.7
549.494,848.8
549.629,850.0
549.764,849.5
549.9,849.9
550.035,850.8
550.171,850.9
550.306,850.0
550.441,849.0
550.577,849.7
550.712,850.9
550.847,850.4
550.983,848.7
551.118,852.3
551.253,850.0
551.389,851.6
551.524,852.3
551.659,850.5
551.795,850.6
551.93,850.4
552.065,850.6
552.201,851.8
552.336,849.7
552.471,848.8
552.606,851.7
552.742,851.5
552.877,850.7
553.012,852.4
553.147,851.2
553.283,853.5
553.418,852.3
553.553,854.5
553.688,852.2
553.823,854.0
553.959,852.3
554.094,853.2
554.229,854.3
554.364,853.4
554.499,853.9
554.634,855.1
554.769,856.5
554.905,856.1
555.04,855.5
555.175,855.5
555.31,852.6
555.445,853.2
555.58,853.8
555.715,857.2
555.85,856.3
555.985,854.0
556.121,856.4
556.256,855.9
556.391,858.3
556.526,859.7
556.661,857.1
556.796,858.2
556.931,859.8
557.066,859.3
557.201,859.4
557.336,861.1
557.471,859.8
557.606,861.1
557.741,861.2
557.876,860.7
558.011,864.0
558.146,864.7
558.281,862.7
558.416,865.0
558.551,862.6
558.685,862.0
558.82,862.8
558.955,863.8
559.09,863.4
559.225,862.2
559.36,861.9
559.495,860.9
559.63,861.6
559.765,861.5
559.9,864.2
560.034,863.5
560.169,858.0
560.304,860.2
560.439,861.5
560.574,862.7
560.709,859.5
560.843,861.2
560.978,862.4
561.113,862.3
561.248,863.0
561.383,863.9
561.517,862.8
561.652,860.9
561.787,863.0
561.922,865.7
562.057,862.8
562.191,864.5
562.326,865.0
562.461,864.8
562.596,864.1
562.73,867.6
562.865,868.6
563.0,868.8
563.134,871.4
563.269,872.6
563.404,872.7
563.539,874.7
563.673,880.4
563.808,893.7
563.943,949.6
564.077,1015.3
564.212,966.6
564.346,904.1
564.481,890.6
564.616,891.8
564.75,888.9
564.885,888.3
565.02,881.3
565.154,881.6
565.289,879.6
565.423,882.6
565.558,884.7
565.693,884.8
565.827,893.8
565.962,920.3
566.096,1005.6
566.231,1091.4
566.365,996.1
566.5,908.8
566.634,885.9
566.769,881.2
566.903,877.0
567.038,876.4
567.172,876.4
567.307,880.9
567.441,887.8
567.576,887.2
567.71,876.1
567.845,873.9
567.979,872.2
568.114,874.4
568.248,873.8
568.383,873.1
568.517,876.0
568.652,874.9
568.786,876.4
568.92,874.8
569.055,873.6
569.189,882.0
569.324,876.3
569.458,874.9
569.592,875.1
569.727,878.6
569.861,880.8
569.996,881.5
570.13,880.8
570.264,882.3
570.399,883.6
570.533,887.2
570.667,888.9
570.802,887.2
570.936,894.3
571.07,890.9
571.205,901.4
571.339,922.7
571.473,1029.7
571.607,1124.2
571.742,993.5
571.876,924.5
572.01,911.0
572.144,903.6
572.279,899.2
572.413,894.8
572.547,893.7
572.681,889.2
572.816,890.7
572.95,889.5
573.084,894.0
573.218,888.6
573.353,894.1
573.487,891.5
573.621,894.2
573.755,897.3
573.889,904.7
574.023,909.0
574.158,907.4
574.292,899.0
574.426,892.6
574.56,896.6
574.694,900.2
574.828,901.4
574.963,899.9
575.097,905.3
575.231,909.7
575.365,938.8
575.499,1008.8
575.633,1030.4
575.767,970.8
575.901,955.4
576.035,963.6
576.169,996.3
576.303,1024.9
576.438,1023.0
576.572,997.3
576.706,981.3
576.84,985.0
576.974,985.9
577.108,990.4
577.242,979.8
577.376,962.1
577.51,949.8
577.644,944.2
577.778,941.9
577.912,937.4
578.046,938.3
578.18,936.8
578.314,939.7
578.448,940.6
578.582,939.1
578.716,940.0
578.85,941.1
578.984,946.9
579.117,947.1
579.251,951.2
579.385,950.2
579.519,953.5
579.653,952.3
579.787,952.5
579.921,955.8
580.055,958.0
580.189,957.2
580.323,960.9
580.456,966.6
580.59,965.6
580.724,967.1
580.858,968.1
580.992,972.6
581.126,974.6
581.26,976.3
581.393,978.5
581.527,978.4
581.661,978.9
581.795,980.8
581.929,985.0
582.063,983.3
582.196,986.7
582.33,989.0
582.464,989.0
582.598,989.2
582.731,996.5
582.865,999.2
582.999,998.2
583.133,999.1
583.267,999.6
583.4,998.8
583.534,999.6
583.668,1002.6
583.801,1004.9
583.935,1006.8
584.069,1007.1
584.203,1008.5
584.336,1011.1
584.47,1010.6
584.604,1011.6
584.737,1016.3
584.871,1011.7
585.005,1017.7
585.138,1014.1
585.272,1013.7
585.406,1016.3
585.539,1023.2
585.673,1019.5
585.807,1020.4
585.94,1020.8
586.074,1020.7
586.208,1027.6
586.341,1022.8
586.475,1022.7
586.608,1031.7
586.742,1027.0
586.876,1025.6
587.009,1031.0
587.143,1029.4
587.276,1029.9
587.41,1033.7
587.543,1033.7
587.677,1031.7
587.811,1036.7
587.944,1030.9
588.078,1035.8
588.211,1032.3
588.345,1037.4
588.478,1036.0
588.612,1035.1
588.745,1039.4
588.879,1033.2
589.012,1042.9
589.146,1046.9
589.279,1045.0
589.413,1046.2
589.546,1046.6
589.68,1046.0
589.813,1044.7
