nm,Intensity
526.547,832.0
526.684,833.1
526.821,832.7
526.958,833.15
527.095,832.3
527.232,831.0
527.368,833.5
527.505,832.9
527.642,832.75
527.779,832.3
527.916,832.7
528.052,832.35
528.189,831.95
528.326,832.75
528.463,832.0
528.599,831.3
528.736,831.6
528.873,831.9
529.009,833.1
529.146,832.9
529.283,832.15
529.419,831.8
529.556,832.3
529.693,832.9
529.829,832.45
529.966,832.05
530.103,833.0
530.239,832.15
530.376,831.85
530.512,832.7
530.649,831.95
530.785,832.05
530.922,832.65
531.059,833.05
531.195,832.55
531.332,831.8
531.468,832.1
531.605,832.75
531.741,832.6
531.878,832.9
532.014,843.05
532.151,885.55
532.287,873.7
532.423,839.8
532.56,832.8
532.696,832.0
532.833,831.85
532.969,831.7
533.106,833.0
533.242,832.95
533.378,832.5
533.515,832.05
533.651,832.3
533.787,834.75
533.924,844.35
534.06,853.45
534.196,855.25
534.333,856.85
534.469,854.0
534.605,854.45
534.742,854.9
534.878,852.5
535.014,851.85
535.15,852.35
535.287,852.2
535.423,852.05
535.559,850.9
535.695,850.85
535.832,851.1
535.968,851.75
536.104,850.75
536.24,850.55
536.376,850.7
536.513,852.1
536.649,849.1
536.785,851.4
536.921,850.6
537.057,850.8
537.193,851.75
537.329,851.2
537.465,851.9
537.602,852.15
537.738,850.5
537.874,851.7
538.01,852.45
538.146,850.55
538.282,850.15
538.418,850.8
538.554,850.25
538.69,850.15
538.826,852.65
538.962,852.45
539.098,851.45
539.234,852.2
539.37,851.7
539.506,850.55
539.642,851.35
539.778,850.9
539.914,851.25
540.05,849.65
540.186,849.75
540.322,851.9
540.458,850.65
540.594,850.7
540.729,851.05
540.865,851.65
541.001,851.35
541.137,850.65
541.273,851.8
541.409,851.5
541.545,851.9
541.68,851.1
541.816,852.0
541.952,852.45
542.088,852.3
542.224,851.8
542.36,852.05
542.495,851.95
542.631,851.3
542.767,852.35
542.903,850.3
543.038,850.05
543.174,850.0
543.31,852.3
543.446,849.25
543.581,850.3
543.717,849.75
543.853,851.15
543.988,850.25
544.124,851.4
544.26,850.8
544.395,848.9
544.531,851.4
544.667,849.85
544.802,850.5
544.938,849.95
545.074,851.4
545.209,849.55
545.345,850.2
545.481,848.9
545.616,850.55
545.752,850.15
545.887,850.05
546.023,850.5
546.158,850.15
546.294,851.5
546.43,850.6
546.565,850.6
546.701,852.3
546.836,851.25
546.972,849.1
547.107,850.05
547.243,849.65
547.378,851.3
547.514,848.9
547.649,852.35
547.785,850.65
547.92,850.65
548.056,849.95
548.191,850.45
548.326,851.05
548.462,851.0
548.597,850.5
548.733,850.75
548.868,850.4
549.004,852.25
549.139,851.65
549.274,851.25
549.41,850.45
549.545,851.2
549.68,850.95
549.816,852.2
549.951,850.2
550.086,849.85
550.222,849.85
550.357,850.8
550.492,850.8
550.628,851.6
550.763,848.85
550.898,849.8
551.034,851.9
551.169,851.75
551.304,850.65
551.439,850.2
551.575,851.1
551.71,851.25
551.845,850.65
551.98,851.25
552.116,850.95
552.251,853.05
552.386,852.25
552.521,849.65
552.656,850.45
552.792,850.85
552.927,849.85
553.062,850.85
553.197,851.4
553.332,852.6
553.467,852.85
553.603,851.45
553.738,853.4
553.873,852.3
554.008,852.7
554.143,852.1
554.278,854.2
554.413,852.9
554.548,852.15
554.683,853.85
554.819,852.05
554.954,853.0
555.089,853.75
555.224,852.7
555.359,853.55
555.494,852.65
555.629,850.9
555.764,853.8
555.899,853.55
556.034,853.25
556.169,852.0
556.304,854.35
556.439,855.0
556.574,852.8
556.709,853.5
556.844,854.5
556.979,853.5
557.114,853.55
557.249,852.2
557.384,854.0
557.519,853.1
557.653,853.85
557.788,854.15
557.923,854.2
558.058,856.1
558.193,856.1
558.328,853.55
558.463,855.05
558.598,854.6
558.733,854.0
558.867,854.4
559.002,853.5
559.137,855.45
559.272,853.0
559.407,854.95
559.542,854.35
559.677,853.45
559.811,853.15
559.946,853.65
560.081,853.65
560.216,855.6
560.351,852.45
560.485,854.05
560.62,854.75
560.755,854.35
560.89,856.0
561.024,855.4
561.159,855.6
561.294,855.0
561.429,854.25
561.563,855.55
561.698,854.25
561.833,854.75
561.967,855.05
562.102,854.5
562.237,853.75
562.371,856.1
562.506,857.05
562.641,856.45
562.775,855.6
562.91,857.05
563.045,856.05
563.179,856.25
563.314,856.6
563.449,856.3
563.583,856.95
563.718,857.65
563.853,859.25
563.987,865.3
564.122,868.1
564.256,862.75
564.391,860.45
564.525,859.6
564.66,859.3
564.795,861.1
564.929,859.4
565.064,858.2
565.198,857.65
565.333,858.0
565.467,858.85
565.602,859.05
565.736,858.75
565.871,860.85
566.005,863.2
566.14,868.9
566.274,868.35
566.409,860.95
566.543,859.2
566.678,858.6
566.812,857.95
566.947,857.85
567.081,858.7
567.216,858.0
567.35,857.5
567.484,859.05
567.619,859.35
567.753,857.85
567.888,857.3
568.022,857.4
568.156,855.65
568.291,857.95
568.425,858.05
568.56,857.6
568.694,856.4
568.828,859.1
568.963,857.75
569.097,859.0
569.231,857.35
569.366,857.05
569.5,858.35
569.634,856.8
569.769,858.7
569.903,858.6
570.037,858.7
570.172,858.5
570.306,859.1
570.44,860.25
570.575,857.95
570.709,860.2
570.843,858.85
570.977,860.55
571.112,861.45
571.246,862.75
571.38,865.0
571.514,874.3
571.649,878.9
571.783,870.25
571.917,864.95
572.051,863.85
572.185,864.65
572.32,864.05
572.454,863.8
572.588,861.55
572.722,861.9
572.856,860.15
572.991,859.55
573.125,863.1
573.259,861.95
573.393,861.4
573.527,863.15
573.661,861.8
573.795,862.6
573.93,863.15
574.064,862.85
574.198,863.45
574.332,863.6
574.466,861.6
574.6,863.4
574.734,860.65
574.868,862.8
575.002,862.0
575.136,861.95
575.271,864.15
575.405,867.7
575.539,869.45
575.673,872.2
575.807,870.6
575.941,871.15
576.075,872.15
576.209,876.25
576.343,879.1
576.477,878.85
576.611,873.7
576.745,875.05
576.879,875.65
577.013,875.6
577.147,873.6
577.281,874.6
577.415,872.0
577.549,869.35
577.683,870.3
577.817,869.6
577.951,868.45
578.085,868.6
578.218,869.55
578.352,869.4
578.486,867.55
578.62,869.9
578.754,869.95
578.888,870.9
579.022,872.7
579.156,869.15
579.29,872.75
579.424,869.95
579.557,870.35
579.691,871.0
579.825,874.0
579.959,871.45
580.093,873.95
580.227,873.9
580.361,873.45
580.494,873.55
580.628,874.05
580.762,873.05
580.896,875.4
581.03,875.45
581.164,875.25
581.297,875.5
581.431,876.95
581.565,874.9
581.699,876.3
581.832,876.7
581.966,877.05
582.1,878.75
582.234,877.5
582.368,878.7
582.501,878.2
582.635,879.85
582.769,880.2
582.903,878.9
583.036,880.2
583.17,879.9
583.304,882.85
583.437,882.4
583.571,881.3
583.705,881.85
583.838,883.35
583.972,883.1
584.106,880.8
584.24,882.85
584.373,884.05
584.507,887.05
584.641,887.7
584.774,885.55
584.908,883.95
585.041,885.5
585.175,887.5
585.309,887.2
585.442,885.95
585.576,887.35
585.71,890.5
585.843,886.75
585.977,891.7
586.11,889.5
586.244,889.05
586.378,890.6
586.511,891.95
586.645,890.5
586.778,892.65
586.912,893.6
587.045,893.75
587.179,894.65
587.313,895.45
587.446,896.5
587.58,897.75
587.713,901.1
587.847,900.1
587.98,901.0
588.114,900.3
588.247,899.95
588.381,901.4
588.514,900.55
588.648,901.8
588.781,902.25
588.915,903.05
589.048,904.95
589.182,904.05
589.315,906.1
589.449,904.45
589.582,907.75
589.715,906.25
589.849,908.4
589.982,908.45
590.116,907.3
590.249,910.1
590.383,912.25
590.516,909.7
590.649,911.4
590.783,913.3
590.916,914.55
591.05,915.4
591.183,913.75
591.316,915.75
591.45,916.85
591.583,917.45
591.717,917.95
591.85,919.9
591.983,919.0
592.117,921.9
592.25,918.6
592.383,919.9
592.517,919.95
592.65,920.4
592.783,923.2
592.917,923.15
593.05,922.45
593.183,924.7
593.317,925.7
593.45,924.45
593.583,925.65
593.717,926.95
593.85,929.55
593.983,927.85
594.116,929.8
594.25,928.35
594.383,929.8
594.516,931.9
594.649,934.4
594.783,931.7
594.916,934.4
595.049,935.75
595.182,937.45
595.316,938.25
595.449,938.2
595.582,940.45
595.715,943.2
595.849,941.85
595.982,942.05
596.115,942.25
596.248,942.35
596.381,947.85
596.514,952.55
596.648,949.9
596.781,950.8
596.914,951.0
597.047,953.4
597.18,956.25
597.313,957.7
597.447,958.7
597.58,961.3
597.713,959.65
597.846,960.65
597.979,960.15
598.112,964.8
598.245,963.75
598.379,969.35
598.512,967.3
598.645,971.6
598.778,971.5
598.911,975.35
599.044,972.25
599.177,973.8
599.31,973.4
599.443,974.9
599.576,976.65
599.709,978.0
599.842,975.15
599.975,976.5
600.109,979.35
600.242,981.25
600.375,977.25
600.508,981.1
600.641,979.55
600.774,980.75
600.907,981.15
601.04,980.0
601.173,976.5
601.306,980.4
601.439,978.9
