nm,Intensity
526.547,832.15
526.684,832.0
526.821,832.95
526.958,831.9
527.095,832.8
527.232,832.65
527.368,832.25
527.505,831.8
527.642,832.7
527.779,831.8
527.916,833.05
528.052,832.55
528.189,833.05
528.326,832.45
528.463,832.8
528.599,832.35
528.736,832.1
528.873,832.25
529.009,831.15
529.146,832.05
529.283,833.25
529.419,833.2
529.556,832.65
529.693,832.15
529.829,831.9
529.966,833.0
530.103,832.85
530.239,832.1
530.376,832.4
530.512,832.35
530.649,832.6
530.785,831.45
530.922,832.4
531.059,831.85
531.195,832.9
531.332,832.7
531.468,833.55
531.605,831.9
531.741,832.5
531.878,832.4
532.014,836.2
532.151,843.7
532.287,841.8
532.423,833.55
532.56,831.9
532.696,832.4
532.833,832.5
532.969,832.3
533.106,832.9
533.242,832.5
533.378,832.35
533.515,832.35
533.651,835.1
533.787,844.5
533.924,880.35
534.06,915.25
534.196,923.3
534.333,915.35
534.469,909.9
534.605,908.45
534.742,907.65
534.878,900.65
535.014,895.95
535.15,893.1
535.287,889.1
535.423,886.95
535.559,882.6
535.695,882.65
535.832,878.9
535.968,877.95
536.104,877.6
536.24,873.55
536.376,874.6
536.513,873.1
536.649,870.75
536.785,873.3
536.921,870.65
537.057,870.0
537.193,868.8
537.329,872.0
537.465,869.8
537.602,869.75
537.738,868.5
537.874,869.45
538.01,869.5
538.146,865.95
538.282,867.3
538.418,868.75
538.554,866.3
538.69,867.35
538.826,864.6
538.962,864.4
539.098,863.3
539.234,863.5
539.37,864.2
539.506,862.85
539.642,864.1
539.778,861.3
539.914,857.35
540.05,857.8
540.186,858.9
540.322,858.7
540.458,858.25
540.594,858.3
540.729,856.9
540.865,856.85
541.001,856.05
541.137,856.35
541.273,855.55
541.409,856.9
541.545,856.25
541.68,855.8
541.816,856.0
541.952,854.65
542.088,856.9
542.224,857.2
542.36,856.55
542.495,854.95
542.631,857.05
542.767,855.1
542.903,855.9
543.038,855.25
543.174,856.5
543.31,855.4
543.446,857.05
543.581,855.1
543.717,853.9
543.853,855.1
543.988,855.85
544.124,853.5
544.26,854.1
544.395,854.25
544.531,853.7
544.667,853.9
544.802,854.6
544.938,853.75
545.074,852.65
545.209,851.75
545.345,853.15
545.481,851.85
545.616,852.75
545.752,853.8
545.887,853.9
546.023,853.75
546.158,854.25
546.294,852.3
546.43,852.35
546.565,853.7
546.701,853.1
546.836,853.75
546.972,851.5
547.107,852.5
547.243,851.75
547.378,853.3
547.514,853.8
547.649,852.05
547.785,853.2
547.92,852.4
548.056,852.65
548.191,852.55
548.326,852.5
548.462,852.0
548.597,851.35
548.733,851.45
548.868,850.9
549.004,851.65
549.139,851.35
549.274,850.75
549.41,850.8
549.545,851.85
549.68,850.4
549.816,850.45
549.951,850.6
550.086,850.9
550.222,853.1
550.357,852.2
550.492,852.0
550.628,850.9
550.763,849.9
550.898,851.8
551.034,853.05
551.169,851.25
551.304,851.75
551.439,851.85
551.575,850.9
551.71,852.45
551.845,850.0
551.98,851.0
552.116,850.65
552.251,851.2
552.386,850.95
552.521,852.2
552.656,851.7
552.792,851.55
552.927,851.5
553.062,852.3
553.197,854.8
553.332,854.7
553.467,855.6
553.603,855.4
553.738,855.7
553.873,854.85
554.008,854.0
554.143,856.35
554.278,857.25
554.413,854.8
554.548,854.85
554.683,854.75
554.819,855.65
554.954,856.45
555.089,858.05
555.224,856.4
555.359,856.3
555.494,858.2
555.629,857.4
555.764,858.9
555.899,859.8
556.034,860.7
556.169,859.45
556.304,858.7
556.439,860.85
556.574,861.2
556.709,863.0
556.844,862.15
556.979,862.65
557.114,864.4
557.249,863.9
557.384,864.5
557.519,865.15
557.653,866.9
557.788,866.15
557.923,867.55
558.058,865.65
558.193,868.75
558.328,868.85
558.463,870.0
558.598,867.9
558.733,870.1
558.867,870.2
559.002,867.2
559.137,866.75
559.272,863.8
559.407,864.6
559.542,866.45
559.677,864.3
559.811,864.15
559.946,863.25
560.081,865.1
560.216,864.45
560.351,863.15
560.485,862.75
560.62,863.65
560.755,862.55
560.89,861.2
561.024,864.0
561.159,862.9
561.294,864.3
561.429,862.65
561.563,864.75
561.698,863.95
561.833,864.85
561.967,864.35
562.102,866.15
562.237,868.0
562.371,867.1
562.506,868.45
562.641,870.35
562.775,869.8
562.91,871.5
563.045,872.9
563.179,872.8
563.314,873.9
563.449,876.35
563.583,880.05
563.718,886.85
