cm-1,A
4000.0,-0.45429593073984975
3999.0,-0.4542501553003446
3998.0,-0.45418911387476824
3997.0,-0.45414332717459027
3996.0,-0.45405173929011955
3995.0,-0.4539601320867068
3994.0,-0.45385323258818655
3993.0,-0.4537921353444738
3992.0,-0.45377685969044235
3991.0,-0.45376158349909357
3990.0,-0.45373102950429356
3989.0,-0.45368519448127165
3988.0,-0.4536087920248524
3987.0,-0.45350180600001755
3986.0,-0.45337950397670745
3985.0,-0.4533489230886265
3984.0,-0.45342537127166516
3983.0,-0.45356294409850717
3982.0,-0.45370047335977226
3981.0,-0.45374630677038974
3980.0,-0.45374630677038974
3979.0,-0.45368519448127165
3978.0,-0.4535476603807491
3977.0,-0.45337950397670745
3976.0,-0.4531500948107885
3975.0,-0.4529052580575206
3974.0,-0.4526296516220176
3973.0,-0.4524304936995991
3972.0,-0.45241517007586873
3971.0,-0.4525990178855368
3970.0,-0.4529052580575206
3969.0,-0.45322657799819055
3968.0,-0.45345594677730316
3967.0,-0.45351709133154205
3966.0,-0.45337950397670745
3965.0,-0.45311949776400207
3964.0,-0.4529052580575206
3963.0,-0.4528134086778546
3962.0,-0.4528287182568427
3961.0,-0.4528746437559499
3960.0,-0.45288995117649344
3959.0,-0.4528287182568427
3958.0,-0.4527521649644579
3957.0,-0.4527368526865576
3956.0,-0.45284402729616247
3955.0,-0.4529511754638862
3954.0,-0.4529817843712465
3953.0,-0.4529205643990699
3952.0,-0.4528287182568427
3951.0,-0.4527521649644579
3950.0,-0.45264496767999374
3949.0,-0.4524917827883126
3948.0,-0.4522925616177291
3947.0,-0.45212391844904287
3946.0,-0.45207791348984605
3945.0,-0.4521392523525454
3944.0,-0.45224657452043715
3943.0,-0.4523232169775149
3942.0,-0.45230788956810386
3941.0,-0.4522312444058234
3940.0,-0.45212391844904287
3939.0,-0.4520165659625479
3938.0,-0.4519245284201219
3937.0,-0.4518785023335039
3936.0,-0.45190918693322013
3935.0,-0.45190918693322013
3934.0,-0.4517864355242902
3933.0,-0.4516482987050052
3932.0,-0.4516636494104094
3931.0,-0.4517250468066951
3930.0,-0.4516329474569907
3929.0,-0.4513565321626891
3928.0,-0.4511260516170772
3927.0,-0.451064569474783
3926.0,-0.45107994082636615
3925.0,-0.4511106818974744
3924.0,-0.45129508264268514
3923.0,-0.4515868904569049
3922.0,-0.45170969827134666
3921.0,-0.4514794051248616
3920.0,-0.45117215751254003
3919.0,-0.4511106818974744
3918.0,-0.4512182585137934
3917.0,-0.45123362442678916
3916.0,-0.45117215751254003
3915.0,-0.45127971890404694
3914.0,-0.45155618307642786
3913.0,-0.4518017813479309
3912.0,-0.4519398693651029
3911.0,-0.4520012277265928
3910.0,-0.4520012277265928
3909.0,-0.4518478155656478
3908.0,-0.4516175956663284
3907.0,-0.4513872536625003
3906.0,-0.45117215751254003
3905.0,-0.4508800708072709
3904.0,-0.4504954466594331
3903.0,-0.45024910831936094
3902.0,-0.45024910831936094
3901.0,-0.4503261040614124
3900.0,-0.450279908254263
3899.0,-0.4502183061999889
3898.0,-0.4503261040614124
3897.0,-0.45060317576125675
3896.0,-0.450787792072898
3895.0,-0.45080317322364616
3894.0,-0.4508646923797661
3893.0,-0.45101845215545744
3892.0,-0.45098770455504056
3891.0,-0.4505570094183291
3890.0,-0.45011048157501143
3889.0,-0.450279908254263
3888.0,-0.45083393389100346
3887.0,-0.45091082602872
3886.0,-0.45029530740263457
3885.0,-0.449740593779286
3884.0,-0.4496634941533304
3883.0,-0.4497097555713694
3882.0,-0.44950925382713525
3881.0,-0.44923148312249284
3880.0,-0.44926235530888636
3879.0,-0.44946297104541033
3878.0,-0.44955553167702744
3877.0,-0.4496018045961385
3876.0,-0.4495709565312107
3875.0,-0.449478399187365
3874.0,-0.449478399187365
3873.0,-0.44967891517355074
3872.0,-0.44980226362665476
3871.0,-0.44944754235535767
3870.0,-0.44884539551114067
3869.0,-0.4487217749497212
3868.0,-0.4492777905791563
3867.0,-0.4496172278069608
3866.0,-0.4490616468581412
3865.0,-0.4482578841964684
3864.0,-0.4484280350116361
3863.0,-0.44926235530888636
3862.0,-0.44944754235535767
3861.0,-0.44884539551114067
3860.0,-0.4484589643626373
3859.0,-0.44873722944439054
3858.0,-0.44949382678126026
