cm-1,Intensity
-123.878,1855.05
-120.866,1855.6
-117.855,1854.75
-114.845,1854.6
-111.836,1855.0
-108.828,1854.8
-105.821,1854.65
-102.815,1855.15
-99.8104,1856.3
-96.8065,1854.25
-93.8036,1855.4
-90.8016,1854.3
-87.8007,1855.25
-84.8008,1855.75
-81.8019,1855.9
-78.8039,1855.55
-75.807,1855.15
-72.8111,1855.9
-69.8161,1855.2
-66.8222,1856.15
-63.8293,1854.3
-60.8373,1856.25
-57.8464,1855.4
-54.8564,1856.45
-51.8675,1856.15
-48.8795,1854.65
-45.8926,1856.55
-42.9066,1857.85
-39.9216,1857.15
-36.9377,1856.55
-33.9547,1857.55
-30.9727,1857.75
-27.9917,1856.8
-25.0117,1858.3
-22.0326,1858.65
-19.0546,1861.4
-16.0776,1874.6
-13.1015,1931.4
-10.1265,2134.4
-7.1524,2564.35
-4.17932,2879.85
-1.20723,2949.35
1.76388,2719.7
4.734,2231.0
7.70313,1928.95
10.6713,1862.9
13.6384,1858.0
16.6046,1856.85
19.5698,1858.4
22.534,1857.65
25.4972,1857.25
28.4595,1856.85
31.4207,1857.7
34.381,1861.05
37.3403,1860.05
40.2986,1861.0
43.256,1864.85
46.2123,1877.15
49.1677,1914.95
52.1221,2022.1
55.0755,2219.45
58.0279,2502.05
60.9794,2793.4
63.9299,3020.2
66.8794,3183.75
69.8279,3271.55
72.7754,3342.15
75.722,3380.9
78.6676,3365.2
81.6122,3388.7
84.5559,3376.85
87.4985,3397.45
90.4402,3452.9
93.381,3452.1
96.3207,3478.45
99.2595,3522.35
102.197,3544.15
105.134,3509.95
108.07,3530.55
111.005,3562.05
113.939,3610.25
116.872,3641.9
119.804,3681.85
122.735,3659.55
125.665,3629.9
128.594,3598.2
131.522,3582.65
134.449,3568.4
137.375,3576.35
140.301,3586.65
143.225,3608.8
146.148,3630.2
149.07,3657.4
151.992,3655.5
154.912,3677.9
157.832,3606.85
160.75,3586.0
163.668,3682.05
166.584,3687.4
169.5,3671.05
172.414,3696.9
175.328,3670.1
178.241,3672.3
181.153,3694.3
184.063,3746.55
186.973,3718.5
189.882,3716.1
192.79,3763.8
195.697,3767.85
198.603,3734.0
201.508,3772.15
204.412,3760.3
207.315,3768.45
210.217,3790.05
213.119,3776.85
216.019,3751.05
218.918,3771.4
221.816,3771.4
224.714,3818.25
227.61,3777.85
230.506,3760.55
233.4,3772.8
236.294,3793.0
239.187,3808.5
242.078,3835.3
244.969,3862.6
247.859,3851.15
250.748,3850.15
253.636,3846.45
256.523,3882.55
259.409,3876.25
262.294,3879.3
265.178,3906.5
268.061,3864.2
270.943,3850.2
273.824,3894.9
276.705,3906.35
279.584,3919.4
282.463,3953.7
285.34,3908.1
288.217,3926.05
291.092,3981.75
293.967,3972.6
296.841,3906.25
299.713,3922.4
302.585,3993.25
305.456,4011.05
308.326,4012.45
311.195,3964.95
314.063,3974.4
316.93,3963.75
319.797,3953.1
322.662,3973.55
325.526,3990.75
328.389,3970.15
331.252,3962.85
334.113,3990.25
336.974,4050.0
339.834,4068.35
342.692,4086.45
345.55,4027.15
348.407,4076.55
351.263,4058.65
354.118,4088.35
356.972,4085.55
359.825,4122.35
362.677,4116.25
365.529,4101.55
368.379,4141.35
371.228,4150.9
374.077,4155.5
376.924,4158.0
379.771,4091.1
382.616,4113.55
385.461,4142.8
388.305,4168.8
391.148,4156.45
393.99,4198.7
396.831,4179.15
399.671,4207.25
402.51,4216.4
405.348,4178.4
408.186,4175.2
411.022,4212.05
413.858,4208.7
416.692,4219.15
419.526,4234.05
422.359,4240.2
425.19,4170.6
428.021,4215.0
430.851,4229.7
433.68,4238.8
436.508,4251.25
439.335,4261.45
442.162,4306.1
444.987,4284.2
447.811,4215.6
450.635,4156.75
453.458,4178.2
456.279,4197.65
459.1,4239.35
461.92,4296.5
464.739,4318.55
467.557,4361.45
470.374,4385.0
