nm,Intensity
526.486,830.7
526.622,831.3
526.759,829.6
526.896,830.9
527.033,830.5
527.169,829.3
527.306,830.5
527.443,829.2
527.579,830.9
527.716,830.4
527.853,830.5
527.989,829.6
528.126,830.8
528.263,830.5
528.399,829.2
528.536,830.2
528.672,829.8
528.809,830.1
528.946,829.7
529.082,829.4
529.219,830.7
529.355,829.8
529.492,830.8
529.628,830.8
529.765,830.5
529.901,828.8
530.038,830.5
530.174,829.2
530.311,830.3
530.447,830.4
530.584,829.4
530.72,830.0
530.857,828.9
530.993,829.9
531.13,830.3
531.266,829.7
531.403,830.6
531.539,831.3
531.676,830.5
531.812,830.3
531.948,832.2
532.085,863.6
532.221,882.4
532.358,847.2
532.494,832.1
532.63,829.6
532.767,830.9
532.903,831.5
533.039,829.9
533.176,830.2
533.312,832.0
533.448,829.8
533.585,830.2
533.721,834.1
533.857,860.6
533.993,909.1
534.13,926.5
534.266,933.9
534.402,925.5
534.539,919.1
534.675,919.8
534.811,920.0
534.947,910.0
535.083,904.3
535.22,902.2
535.356,894.8
535.492,885.8
535.628,887.2
535.764,882.6
535.901,876.9
536.037,876.5
536.173,872.2
536.309,871.7
536.445,870.8
536.581,868.8
536.717,867.6
536.854,870.0
536.99,867.6
537.126,867.6
537.262,865.6
537.398,866.7
537.534,866.2
537.67,862.7
537.806,864.8
537.942,865.7
538.078,866.5
538.214,865.0
538.35,861.7
538.486,864.7
538.622,862.9
538.758,861.3
538.894,861.0
539.03,857.1
539.166,858.6
539.302,857.0
539.438,856.3
539.574,856.7
539.71,855.3
539.846,854.2
539.982,853.3
540.118,854.2
540.254,853.3
540.39,851.4
540.526,851.6
540.662,854.3
540.798,850.7
540.933,854.1
541.069,852.3
541.205,851.6
541.341,850.9
541.477,852.1
541.613,851.0
541.749,850.7
541.884,851.3
542.02,852.6
542.156,851.9
542.292,851.7
542.428,850.0
542.563,851.2
542.699,850.2
542.835,852.7
542.971,847.6
543.106,849.1
543.242,848.4
543.378,848.5
543.514,851.5
543.649,849.2
543.785,853.4
543.921,849.6
544.057,848.9
544.192,850.6
544.328,850.1
544.464,850.2
544.599,850.4
544.735,848.9
544.871,849.8
545.006,847.9
545.142,847.5
545.278,850.7
545.413,848.4
545.549,848.9
545.684,847.4
545.82,850.5
545.956,847.7
546.091,847.9
546.227,846.9
546.362,847.1
546.498,846.2
546.634,845.9
546.769,846.8
546.905,845.2
547.04,847.3
547.176,848.1
547.311,848.4
547.447,846.3
547.582,847.8
547.718,846.3
547.853,846.8
547.989,848.9
548.124,846.0
548.26,847.0
548.395,846.7
548.531,844.7
548.666,846.9
548.802,846.6
548.937,847.1
549.072,844.9
549.208,846.4
549.343,846.8
549.479,846.2
549.614,846.3
549.75,844.2
549.885,846.0
550.02,845.7
550.156,845.7
550.291,843.8
550.426,844.2
550.562,842.4
550.697,844.5
550.832,843.1
550.968,845.7
551.103,843.8
551.238,843.5
551.374,844.0
551.509,845.6
551.644,844.3
551.78,846.0
551.915,844.7
552.05,844.1
552.185,845.4
552.321,845.6
552.456,846.6
552.591,846.7
552.726,844.3
552.862,846.9
552.997,846.3
553.132,848.0
553.267,848.3
553.403,852.1
553.538,850.1
553.673,849.4
553.808,848.9
553.943,849.3
554.078,853.1
554.214,849.1
554.349,850.0
554.484,851.7
554.619,852.0
554.754,850.6
554.889,849.5
555.024,851.0
555.16,848.9
555.295,851.9
555.43,849.5
555.565,853.6
555.7,852.2
555.835,852.3
555.97,853.3
556.105,854.0
556.24,854.0
556.375,854.6
556.51,854.9
556.645,855.1
556.78,856.0
556.915,860.0
557.05,858.5
557.185,857.7
557.32,858.8
557.455,860.4
557.59,859.1
557.725,862.0
557.86,861.9
557.995,863.7
558.13,861.2
558.265,862.2
558.4,862.4
558.535,863.5
558.67,865.8
558.805,863.7
558.94,863.9
559.075,862.2
559.21,858.0
559.345,858.1
559.479,861.5
559.614,857.6
559.749,858.9
559.884,856.3
560.019,858.8
560.154,856.5
560.289,857.9
560.424,857.4
560.558,857.2
560.693,855.7
560.828,854.7
560.963,858.4
561.098,858.0
561.232,856.2
561.367,856.8
561.502,857.1
561.637,860.0
561.772,859.8
561.906,861.2
562.041,859.0
562.176,863.7
562.311,864.3
562.445,863.3
562.58,862.6
562.715,865.8
562.85,864.9
562.984,869.4
563.119,868.1
563.254,870.2
563.388,872.3
563.523,874.0
563.658,879.0
563.792,891.9
563.927,928.2
564.062,987.3
564.196,964.4
564.331,914.9
564.466,896.0
564.6,893.0
564.735,901.3
564.87,893.1
565.004,889.9
565.139,883.6
565.273,880.5
565.408,880.1
565.543,878.4
565.677,880.8
565.812,887.6
565.946,907.4
566.081,950.4
566.215,983.2
566.35,946.2
566.485,906.8
566.619,888.6
566.754,881.0
566.888,880.1
567.023,877.1
567.157,875.4
567.292,878.1
567.426,888.5
567.561,892.5
567.695,884.9
567.83,877.0
567.964,877.7
568.099,874.9
568.233,871.6
568.368,874.4
568.502,873.6
568.636,874.7
568.771,875.0
568.905,876.7
569.04,875.5
569.174,875.4
569.309,879.9
569.443,878.5
569.577,877.9
569.712,880.0
569.846,878.3
569.98,880.0
570.115,881.0
570.249,885.2
570.384,884.8
570.518,888.5
570.652,890.1
570.787,894.6
570.921,895.9
571.055,899.5
571.19,905.0
571.324,924.8
571.458,994.7
571.592,1095.0
571.727,1031.3
571.861,957.2
571.995,939.3
572.13,929.5
572.264,919.5
572.398,918.3
572.532,908.7
572.667,904.7
572.801,899.9
572.935,905.6
573.069,905.8
573.204,903.8
573.338,907.1
573.472,902.6
573.606,910.5
573.74,909.9
573.875,915.6
574.009,924.9
574.143,923.3
574.277,916.7
574.411,915.5
574.545,916.7
574.68,917.5
574.814,921.7
574.948,920.7
575.082,923.7
575.216,930.6
575.35,937.3
575.484,967.1
575.619,999.7
575.753,991.7
575.887,987.9
576.021,1010.6
576.155,1064.1
576.289,1123.4
576.423,1126.6
576.557,1084.5
576.691,1059.6
576.825,1063.1
576.959,1062.7
577.093,1072.6
577.227,1057.2
577.361,1039.6
577.495,1015.5
577.629,1004.1
577.763,993.0
577.897,987.6
578.031,992.2
578.165,994.5
578.299,996.0
578.433,1003.2
578.567,1002.5
578.701,1006.9
578.835,1012.2
578.969,1016.9
579.103,1018.8
579.237,1025.0
579.371,1025.9
579.505,1026.4
579.639,1034.7
579.773,1039.9
579.907,1041.8
580.041,1044.5
580.175,1053.4
580.309,1055.7
580.442,1060.8
580.576,1062.1
580.71,1066.0
580.844,1072.2
580.978,1072.7
581.112,1080.9
581.246,1079.0
581.38,1083.8
581.513,1086.9
581.647,1091.4
581.781,1097.5
581.915,1108.8
582.049,1104.0
582.183,1111.7
582.316,1110.0
582.45,1119.0
582.584,1121.8
582.718,1124.3
582.852,1125.4
582.985,1134.1
583.119,1139.6
583.253,1142.2
583.387,1136.4
583.52,1144.7
583.654,1141.2
583.788,1148.4
583.922,1155.0
584.055,1153.9
584.189,1158.4
584.323,1166.6
584.456,1166.0
584.59,1173.5
584.724,1177.3
584.858,1173.7
584.991,1173.3
585.125,1184.6
585.259,1183.1
585.392,1186.3
585.526,1190.8
585.66,1202.6
585.793,1194.3
585.927,1199.2
586.061,1204.5
586.194,1212.6
586.328,1211.2
586.462,1213.7
586.595,1215.4
586.729,1222.7
586.862,1218.1
586.996,1217.3
587.13,1230.8
587.263,1237.3
587.397,1236.2
587.53,1234.7
587.664,1245.5
587.797,1241.6
587.931,1240.8
588.065,1246.7
588.198,1250.3
588.332,1243.0
588.465,1256.6
588.599,1246.4
588.732,1254.9
588.866,1252.4
588.999,1265.2
589.133,1272.8
589.266,1268.1
589.4,1262.5
589.533,1257.4
589.667,1266.8
589.8,1275.3
589.934,1271.1
590.067,1277.0
590.201,1285.2
590.334,1280.5
590.468,1285.4
590.601,1286.6
590.735,1290.3
590.868,1292.8
591.001,1290.5
591.135,1288.7
591.268,1289.9
591.402,1292.6
591.535,1298.1
591.669,1291.5
591.802,1303.2
591.935,1296.4
592.069,1307.5
592.202,1304.4
592.335,1298.8
592.469,1304.2
592.602,1296.0
592.736,1297.4
592.869,1296.4
593.002,1306.6
593.136,1299.5
593.269,1304.3
593.402,1300.2
593.536,1302.4
593.669,1304.6
593.802,1303.3
593.936,1303.3
594.069,1295.6
594.202,1313.5
594.336,1314.4
594.469,1301.7
594.602,1310.4
594.735,1313.0
594.869,1313.2
595.002,1318.9
595.135,1313.4
595.268,1317.3
595.402,1322.3
595.535,1322.9
595.668,1334.9
595.801,1327.7
595.935,1337.0
596.068,1330.8
596.201,1336.2
596.334,1336.2
596.468,1331.3
596.601,1339.1
596.734,1344.1
596.867,1346.5
597.0,1351.1
597.133,1362.6
597.267,1366.6
597.4,1358.3
597.533,1360.0
597.666,1359.9
597.799,1372.5
597.932,1372.7
598.066,1386.6
598.199,1388.5
598.332,1386.7
598.465,1392.7
598.598,1397.7
598.731,1402.3
598.864,1403.9
598.998,1400.8
599.131,1400.7
599.264,1417.4
599.397,1411.3
599.53,1414.7
599.663,1419.8
599.796,1418.6
599.929,1425.2
600.062,1428.1
600.195,1425.0
600.328,1428.2
600.461,1438.2
600.594,1414.8
600.727,1431.5
600.86,1416.1
600.994,1420.5
601.127,1427.1
601.26,1423.2
601.393,1423.0
601.526,1414.8
601.659,1418.5
601.792,1416.2
601.925,1415.6
602.058,1414.7
602.191,1419.4
602.324,1423.7
602.457,1418.0
602.589,1412.1
602.722,1404.2
602.855,1406.4
602.988,1399.5
603.121,1394.3
603.254,1389.9
603.387,1389.5
603.52,1388.8
603.653,1376.5
603.786,1378.9
603.919,1364.5
604.052,1361.4
604.185,1357.7
604.318,1354.5
604.451,1352.8
604.583,1345.2
604.716,1336.6
604.849,1329.6
604.982,1325.4
605.115,1320.5
605.248,1314.7
605.381,1300.9
605.514,1301.4
605.646,1297.5
605.779,1284.0
605.912,1277.0
606.045,1279.3
606.178,1271.2
606.311,1264.3
606.443,1256.2
606.576,1254.9
606.709,1247.2
606.842,1242.3
606.975,1241.2
607.107,1239.1
607.24,1234.3
607.373,1225.3
607.506,1226.1
607.639,1219.7
607.771,1214.3
607.904,1212.9
608.037,1204.7
608.17,1209.9
608.302,1205.1
608.435,1206.1
608.568,1201.3
608.701,1192.4
608.833,1195.8
608.966,1187.2
609.099,1183.5
609.232,1181.8
609.364,1177.3
609.497,1180.2
609.63,1174.3
609.762,1169.0
609.895,1175.6
610.028,1167.0
610.161,1161.2
610.293,1155.8
610.426,1161.4
610.559,1152.3
610.691,1148.2
610.824,1154.8
610.957,1153.2
611.089,1142.2
611.222,1143.7
611.355,1140.7
611.487,1141.2
611.62,1140.5
611.752,1136.4
611.885,1139.3
612.018,1132.4
612.15,1131.3
612.283,1133.1
612.416,1124.1
612.548,1123.5
612.681,1121.5
612.813,1123.1
612.946,1126.8
613.078,1130.8
613.211,1125.6
613.344,1121.4
613.476,1121.2
613.609,1122.5
613.741,1112.4
613.874,1109.1
614.006,1109.2
614.139,1106.4
614.272,1109.3
614.404,1102.6
614.537,1107.5
614.669,1105.0
614.802,1099.6
614.934,1096.7
615.067,1100.3
615.199,1093.3
615.332,1089.7
615.464,1093.0
615.597,1081.9
615.729,1090.1
615.862,1087.6
615.994,1084.8
616.127,1083.3
616.259,1079.9
616.392,1089.0
616.524,1085.0
616.657,1081.0
616.789,1076.8
616.922,1086.1
617.054,1086.0
617.186,1083.7
617.319,1086.2
617.451,1084.1
617.584,1080.6
617.716,1083.2
617.849,1079.6
617.981,1078.9
618.113,1076.4
618.246,1074.8
618.378,1078.7
618.511,1074.9
618.643,1071.6
618.775,1068.9
618.908,1073.3
619.04,1069.4
619.173,1067.7
619.305,1067.5
619.437,1076.0
619.57,1069.1
619.702,1074.8
619.834,1069.2
619.967,1069.6
620.099,1067.9
620.231,1065.3
620.364,1068.0
620.496,1064.6
620.628,1067.9
620.761,1066.4
620.893,1069.9
621.025,1071.1
621.158,1071.1
621.29,1074.4
621.422,1075.5
621.555,1083.3
621.687,1087.7
621.819,1095.2
621.952,1101.7
622.084,1114.4
622.216,1118.2
622.348,1122.7
622.481,1122.1
622.613,1117.9
622.745,1101.2
622.878,1094.0
623.01,1081.2
623.142,1075.7
623.274,1078.8
623.407,1069.7
623.539,1067.4
623.671,1064.9
623.803,1064.7
623.935,1058.8
624.068,1059.4
624.2,1065.0
624.332,1056.3
624.464,1063.0
624.597,1060.8
624.729,1062.4
624.861,1066.6
624.993,1064.7
625.125,1065.2
625.258,1070.1
625.39,1065.3
625.522,1073.6
625.654,1074.9
625.786,1074.9
625.918,1079.6
626.051,1087.1
626.183,1095.6
626.315,1118.5
626.447,1128.5
626.579,1174.1
626.711,1251.5
626.844,1406.3
626.976,1641.2
627.108,1918.3
627.24,2103.0
627.372,2068.6
627.504,1941.5
627.636,1823.7
627.768,1740.9
627.901,1683.4
628.033,1646.8
628.165,1656.8
628.297,1708.5
628.429,1925.2
628.561,2202.1
628.693,2147.0
628.825,1849.0
628.957,1734.8
629.089,1682.2
629.221,1651.0
629.354,1625.1
629.486,1592.4
629.618,1539.8
629.75,1509.6
629.882,1466.8
630.014,1449.1
630.146,1427.9
630.278,1431.1
630.41,1427.2
630.542,1408.6
630.674,1389.8
630.806,1353.5
630.938,1308.2
631.07,1250.4
631.202,1189.5
631.334,1162.4
631.466,1147.0
631.598,1132.0
631.73,1126.0
631.862,1121.0
631.994,1111.0
632.126,1105.5
632.258,1101.8
632.39,1091.2
632.522,1085.2
632.654,1088.0
632.786,1085.4
632.918,1085.5
633.05,1077.6
633.182,1079.0
633.314,1085.7
633.446,1076.0
633.578,1081.9
633.71,1078.3
633.842,1072.1
633.974,1074.6
634.106,1076.5
634.237,1080.5
634.369,1072.8
634.501,1073.5
634.633,1071.6
634.765,1071.5
634.897,1070.3
635.029,1067.8
635.161,1077.0
635.293,1075.9
635.425,1078.6
635.557,1073.2
635.689,1078.1
635.82,1078.4
635.952,1077.0
636.084,1074.8
636.216,1074.4
636.348,1074.0
636.48,1075.8
636.612,1072.8
636.744,1077.8
636.875,1080.2
637.007,1079.1
637.139,1077.1
637.271,1077.6
637.403,1077.4
637.535,1074.0
637.667,1082.1
637.798,1077.8
637.93,1072.5
638.062,1074.6
638.194,1080.6
638.326,1078.2
638.458,1079.8
638.589,1081.1
638.721,1082.7
638.853,1082.4
638.985,1074.7
639.117,1076.3
639.248,1078.4
639.38,1080.0
639.512,1083.7
639.644,1078.2
639.776,1084.0
639.907,1076.7
640.039,1082.5
640.171,1085.7
640.303,1086.0
640.435,1084.9
640.566,1083.7
640.698,1092.4
640.83,1085.8
640.962,1080.7
641.093,1082.1
641.225,1085.5
641.357,1095.5
641.489,1088.9
641.62,1087.6
641.752,1085.9
641.884,1082.9
642.016,1092.6
642.147,1093.8
642.279,1089.3
642.411,1082.3
642.543,1093.6
642.674,1094.6
642.806,1089.8
642.938,1087.2
643.069,1090.2
643.201,1084.9
643.333,1094.1
643.465,1094.2
643.596,1091.3
643.728,1089.8
643.86,1089.8
643.991,1091.4
644.123,1093.7
644.255,1089.9
644.386,1093.1
644.518,1090.0
644.65,1085.7
644.781,1090.8
644.913,1086.0
645.045,1089.7
645.176,1086.7
645.308,1086.1
645.44,1093.8
645.571,1084.8
645.703,1094.0
645.835,1091.3
645.966,1087.8
646.098,1084.7
646.23,1092.7
646.361,1090.1
646.493,1091.1
646.625,1086.8
646.756,1086.3
646.888,1085.1
647.019,1089.1
647.151,1083.5
647.283,1090.6
647.414,1087.6
647.546,1094.1
647.678,1083.4
647.809,1088.9
647.941,1086.8
648.072,1088.4
648.204,1090.8
648.336,1089.0
648.467,1090.9
648.599,1091.8
648.73,1088.0
648.862,1079.6
648.993,1089.4
649.125,1090.5
