nm,Intensity
526.486,829.4
526.622,829.7
526.759,831.4
526.896,829.9
527.033,829.8
527.169,830.2
527.306,830.3
527.443,829.2
527.579,829.9
527.716,831.5
527.853,830.6
527.989,830.1
528.126,830.7
528.263,830.7
528.399,829.2
528.536,830.7
528.672,829.9
528.809,830.8
528.946,829.1
529.082,831.0
529.219,831.0
529.355,830.0
529.492,828.8
529.628,829.5
529.765,830.2
529.901,829.8
530.038,829.8
530.174,829.9
530.311,830.0
530.447,830.0
530.584,830.2
530.72,829.7
530.857,829.1
530.993,828.7
531.13,830.6
531.266,830.4
531.403,829.0
531.539,829.5
531.676,831.6
531.812,830.6
531.948,830.4
532.085,844.6
532.221,860.5
532.358,838.6
532.494,829.0
532.63,829.5
532.767,830.9
532.903,829.6
533.039,830.8
533.176,830.0
533.312,830.6
533.448,830.4
533.585,830.2
533.721,834.5
533.857,856.3
533.993,894.8
534.13,917.8
534.266,916.4
534.402,912.5
534.539,907.6
534.675,904.5
534.811,904.7
534.947,898.9
535.083,891.9
535.22,891.0
535.356,884.3
535.492,882.5
535.628,881.8
535.764,877.9
535.901,875.8
536.037,876.2
536.173,873.4
536.309,873.6
536.445,869.5
536.581,870.2
536.717,871.3
536.854,870.3
536.99,869.3
537.126,865.0
537.262,869.5
537.398,866.7
537.534,867.5
537.67,868.2
537.806,869.1
537.942,868.1
538.078,868.2
538.214,868.7
538.35,867.7
538.486,863.3
538.622,864.9
538.758,865.3
538.894,865.7
539.03,863.2
539.166,865.2
539.302,865.9
539.438,863.8
539.574,860.8
539.71,860.4
539.846,860.1
539.982,859.6
540.118,860.2
540.254,856.7
540.39,857.3
540.526,857.1
540.662,858.6
540.798,860.1
540.933,857.0
541.069,857.1
541.205,857.9
541.341,854.0
541.477,857.0
541.613,856.3
541.749,857.4
541.884,857.0
542.02,857.3
542.156,857.5
542.292,856.2
542.428,857.4
542.563,857.0
542.699,855.2
542.835,855.3
542.971,858.3
543.106,856.9
543.242,854.9
543.378,854.6
543.514,852.6
543.649,855.4
543.785,855.4
543.921,859.7
544.057,856.0
544.192,855.4
544.328,856.2
544.464,854.4
544.599,854.6
544.735,855.9
544.871,851.7
545.006,852.1
545.142,853.1
545.278,851.1
545.413,854.6
545.549,853.6
545.684,852.8
545.82,852.3
545.956,852.7
546.091,852.8
546.227,854.1
546.362,854.2
546.498,852.1
546.634,854.0
546.769,850.9
546.905,853.2
547.04,855.7
547.176,851.3
547.311,855.2
547.447,851.1
547.582,853.5
547.718,853.1
547.853,852.9
547.989,852.3
548.124,851.2
548.26,852.3
548.395,850.8
548.531,854.0
548.666,851.2
548.802,850.6
548.937,849.9
549.072,852.8
549.208,850.6
549.343,850.1
549.479,852.3
549.614,851.4
549.75,849.7
549.885,849.7
550.02,849.6
550.156,849.7
550.291,850.9
550.426,851.3
550.562,852.6
550.697,854.4
550.832,851.5
550.968,850.3
551.103,853.0
551.238,849.9
551.374,849.7
551.509,853.4
551.644,851.0
551.78,852.8
551.915,851.1
552.05,851.6
552.185,850.1
552.321,851.6
552.456,851.6
552.591,852.4
552.726,851.7
552.862,851.5
552.997,850.7
553.132,852.3
553.267,852.6
553.403,854.9
553.538,854.9
553.673,851.6
553.808,854.0
553.943,855.5
554.078,852.6
554.214,853.6
554.349,856.5
554.484,852.8
554.619,856.0
554.754,853.7
554.889,855.4
555.024,854.6
555.16,854.3
555.295,854.7
555.43,853.0
555.565,854.3
555.7,854.6
555.835,855.0
555.97,857.5
556.105,860.2
556.24,857.1
556.375,857.3
556.51,857.2
556.645,857.4
556.78,858.1
556.915,859.4
557.05,857.6
557.185,857.9
557.32,859.6
557.455,861.4
557.59,862.1
557.725,862.7
557.86,862.6
557.995,860.6
558.13,861.8
558.265,861.7
558.4,863.1
558.535,864.5
558.67,864.0
558.805,863.6
558.94,864.4
559.075,860.6
559.21,860.5
559.345,859.4
559.479,860.7
559.614,858.7
559.749,859.2
559.884,859.4
560.019,859.7
560.154,858.7
560.289,858.3
560.424,858.9
560.558,857.0
560.693,860.3
560.828,857.2
560.963,859.9
561.098,860.3
561.232,860.4
561.367,859.1
561.502,858.9
561.637,859.3
561.772,857.8
561.906,857.6
562.041,860.8
562.176,860.3
562.311,859.7
562.445,862.6
562.58,861.3
562.715,863.4
562.85,864.9
562.984,864.3
563.119,866.5
563.254,867.7
563.388,864.9
563.523,870.0
563.658,872.5
563.792,879.0
563.927,911.8
564.062,946.2
564.196,929.5
564.331,895.3
564.466,884.2
564.6,885.8
564.735,887.0
564.87,881.1
565.004,881.8
565.139,876.6
