nm,Intensity
526.5,829.9
526.637,828.9
526.774,830.2
526.91,830.0
527.047,829.6
527.184,829.9
527.32,830.2
527.457,829.4
527.594,828.8
527.73,828.8
527.867,829.0
528.004,829.6
528.14,829.4
528.277,828.5
528.414,831.5
528.55,829.2
528.687,830.1
528.823,829.6
528.96,828.8
529.096,828.3
529.233,829.6
529.37,828.8
529.506,828.6
529.643,831.4
529.779,829.3
529.916,829.4
530.052,829.5
530.189,829.7
530.325,828.0
530.462,829.0
530.598,830.6
530.735,828.3
530.871,828.9
531.008,829.2
531.144,829.6
531.28,827.9
531.417,828.8
531.553,829.3
531.69,828.8
531.826,828.8
531.962,838.0
532.099,910.5
532.235,946.0
532.372,856.2
532.508,832.9
532.644,828.4
532.781,828.6
532.917,829.2
533.053,828.8
533.19,829.6
533.326,829.8
533.462,830.0
533.599,830.4
533.735,831.7
533.871,839.2
534.007,853.6
534.144,859.4
534.28,860.2
534.416,856.5
534.552,854.5
534.689,850.6
534.825,851.6
534.961,849.3
535.097,847.5
535.234,846.7
535.37,846.6
535.506,844.2
535.642,845.8
535.778,842.6
535.914,843.2
536.051,842.3
536.187,840.6
536.323,841.3
536.459,841.2
536.595,839.1
536.731,841.2
536.867,840.6
537.003,840.7
537.14,841.4
537.276,838.8
537.412,839.0
537.548,839.2
537.684,839.7
537.82,839.4
537.956,839.9
538.092,839.1
538.228,841.0
538.364,838.3
538.5,839.1
538.636,839.5
538.772,839.7
538.908,838.6
539.044,837.8
539.18,838.5
539.316,839.5
539.452,836.9
539.588,836.9
539.724,836.7
539.86,836.7
539.996,836.7
540.132,836.5
540.268,836.7
540.403,835.7
540.539,835.8
540.675,835.5
540.811,835.1
540.947,836.3
541.083,833.4
541.219,836.4
541.355,836.3
541.49,834.5
541.626,834.5
541.762,835.1
541.898,832.9
542.034,835.6
542.17,837.1
542.305,835.9
542.441,834.9
542.577,834.4
542.713,836.2
542.848,834.6
542.984,835.3
543.12,834.4
543.256,834.5
543.391,835.7
543.527,834.4
543.663,834.7
543.799,833.7
543.934,836.4
544.07,834.3
544.206,835.5
544.341,835.3
544.477,835.0
544.613,835.0
544.748,834.2
544.884,834.5
545.02,833.9
545.155,835.2
545.291,835.2
545.427,833.7
545.562,835.1
545.698,833.6
545.833,833.4
545.969,833.5
546.105,834.4
546.24,835.4
546.376,833.0
546.511,833.8
546.647,834.6
546.782,833.9
546.918,833.7
547.053,833.3
547.189,833.6
547.325,832.5
547.46,833.1
547.596,834.5
547.731,833.6
547.867,833.9
548.002,832.8
548.137,834.3
548.273,832.9
548.408,833.9
548.544,834.0
548.679,833.3
548.815,832.9
548.95,833.7
549.086,832.0
549.221,833.4
549.356,835.1
549.492,833.7
549.627,833.3
549.763,832.8
549.898,833.7
550.033,833.2
550.169,832.3
550.304,833.8
550.439,832.4
550.575,832.3
550.71,833.2
550.845,833.2
550.981,833.0
551.116,832.0
551.251,834.1
551.387,833.0
551.522,833.7
551.657,834.4
551.793,834.2
551.928,834.6
552.063,833.3
552.198,833.9
552.334,832.9
552.469,832.6
552.604,833.2
552.739,834.5
552.874,832.8
553.01,834.0
553.145,834.6
553.28,833.0
553.415,835.1
553.55,834.8
553.686,833.5
553.821,835.1
553.956,834.2
554.091,834.8
554.226,835.5
554.361,832.7
554.497,834.6
554.632,834.1
554.767,834.0
554.902,833.9
555.037,834.6
555.172,835.3
555.307,836.6
555.442,835.1
555.577,836.3
555.712,835.9
555.848,837.7
555.983,837.3
556.118,834.9
556.253,835.6
556.388,838.4
556.523,836.2
556.658,836.2
556.793,837.6
556.928,836.7
557.063,838.3
557.198,837.5
557.333,837.6
557.468,839.6
557.603,838.1
557.738,838.7
557.873,838.5
558.008,840.6
558.142,839.8
558.277,840.0
558.412,838.6
558.547,838.6
558.682,839.6
558.817,838.6
558.952,839.1
559.087,839.6
559.222,837.9
559.357,837.6
559.492,837.4
559.626,837.4
559.761,838.4
559.896,838.1
560.031,837.9
560.166,836.8
560.301,836.0
560.435,836.7
560.57,837.9
560.705,836.0
560.84,836.3
560.975,836.8
561.109,837.9
561.244,838.2
561.379,839.3
561.514,837.0
561.649,840.4
561.783,835.7
561.918,837.7
562.053,837.2
562.188,839.0
562.322,839.1
562.457,838.3
562.592,837.3
562.726,838.3
562.861,839.2
562.996,840.6
563.131,841.1
563.265,840.5
563.4,842.8
563.535,843.6
563.669,844.7
563.804,848.8
563.939,863.0
564.073,881.8
564.208,870.2
564.342,852.1
564.477,851.3
564.612,849.7
564.746,850.4
564.881,848.4
565.015,846.6
565.15,844.2
565.285,844.2
565.419,844.2
565.554,843.7
565.688,846.0
565.823,849.7
565.957,854.4
566.092,879.5
566.227,885.5
566.361,867.1
566.496,852.5
566.63,847.5
566.765,844.6
566.899,844.1
567.034,844.3
567.168,841.5
567.303,843.0
567.437,842.0
567.572,845.8
567.706,843.2
567.84,840.5
567.975,842.4
568.109,841.1
568.244,841.3
568.378,841.2
568.513,841.7
568.647,842.3
568.781,841.3
568.916,842.9
569.05,839.8
569.185,841.9
569.319,842.2
569.453,842.8
569.588,841.1
569.722,843.2
569.857,843.2
569.991,841.9
570.125,844.1
570.26,842.6
570.394,844.6
570.528,845.5
570.663,846.8
570.797,846.9
570.931,847.7
571.065,846.9
571.2,849.2
571.334,856.9
571.468,887.6
571.603,915.0
571.737,887.3
571.871,866.8
572.005,862.0
572.14,858.9
572.274,855.5
572.408,850.2
572.542,850.5
572.677,848.1
572.811,845.8
572.945,848.1
573.079,848.8
573.213,850.3
573.348,846.5
573.482,849.3
573.616,850.0
573.75,851.4
573.884,854.6
574.018,852.0
574.153,854.2
574.287,848.6
574.421,851.8
574.555,851.5
574.689,850.4
574.823,850.0
574.957,850.6
575.092,851.9
575.226,854.3
575.36,858.3
575.494,869.5
575.628,886.1
575.762,875.1
575.896,872.5
576.03,878.7
576.164,890.4
576.298,900.2
576.432,899.6
576.566,893.9
576.7,886.3
576.834,887.3
576.968,887.6
577.103,886.4
577.237,883.1
577.371,877.0
577.505,871.7
577.639,870.5
577.773,867.5
577.907,865.9
578.04,867.9
578.174,867.6
578.308,866.1
578.442,868.8
578.576,868.2
578.71,869.3
578.844,865.5
578.978,873.5
579.112,872.8
579.246,871.9
579.38,873.4
579.514,875.4
579.648,877.3
579.782,878.6
579.916,875.4
580.049,878.8
580.183,882.1
580.317,880.8
580.451,882.1
580.585,880.9
580.719,884.4
580.853,888.0
580.986,885.5
581.12,889.6
581.254,888.9
581.388,892.0
581.522,891.4
581.656,891.2
581.789,896.8
581.923,896.8
582.057,896.1
582.191,897.3
582.325,896.2
582.458,901.6
582.592,903.3
582.726,902.0
582.86,908.6
582.993,907.3
583.127,905.8
583.261,907.8
583.395,906.1
583.528,912.4
583.662,911.6
583.796,912.9
583.93,913.9
584.063,916.8
584.197,914.9
584.331,922.1
584.464,921.0
584.598,919.2
584.732,924.0
584.865,922.5
584.999,923.9
585.133,925.6
585.266,926.4
585.4,929.3
585.534,927.3
585.667,932.2
585.801,931.1
585.935,928.0
586.068,933.0
586.202,935.3
586.336,938.3
586.469,939.5
586.603,939.3
586.736,940.0
586.87,943.4
587.004,943.8
587.137,950.5
587.271,946.9
587.404,949.1
587.538,951.6
587.671,959.3
587.805,953.4
587.938,957.6
588.072,955.2
588.206,958.2
588.339,960.4
588.473,957.3
588.606,959.7
588.74,964.4
588.873,963.7
589.007,966.8
589.14,964.8
589.274,967.9
589.407,964.6
589.541,965.0
589.674,971.2
589.808,974.8
589.941,977.5
590.074,975.4
590.208,977.5
590.341,974.9
590.475,977.1
590.608,982.5
590.742,979.5
590.875,982.9
591.009,980.6
591.142,979.5
591.275,986.4
591.409,987.2
591.542,987.3
591.676,990.4
591.809,990.0
591.942,990.7
592.076,987.0
592.209,989.2
592.342,993.2
592.476,991.3
592.609,989.5
592.743,994.3
592.876,996.6
593.009,994.8
593.143,990.1
593.276,990.3
593.409,996.5
593.543,994.9
593.676,999.8
593.809,993.9
593.942,994.2
594.076,1002.9
594.209,1000.5
594.342,997.8
594.476,999.1
594.609,998.8
594.742,1004.7
594.875,1005.1
595.009,1006.4
595.142,1002.0
595.275,1006.8
595.408,1003.6
595.542,1000.6
595.675,1006.8
595.808,1008.0
595.941,1008.4
596.075,1006.5
596.208,1007.0
596.341,1008.7
596.474,1007.3
596.607,1010.8
596.741,1017.3
596.874,1012.1
597.007,1014.7
597.14,1015.3
597.273,1014.0
597.406,1016.0
597.54,1011.9
597.673,1022.2
597.806,1016.4
597.939,1022.4
598.072,1022.8
598.205,1023.4
598.338,1017.3
598.472,1023.6
598.605,1023.1
598.738,1025.9
598.871,1031.2
599.004,1024.8
599.137,1029.1
599.27,1022.2
599.403,1027.1
599.536,1030.4
599.67,1026.6
599.803,1033.3
599.936,1030.5
600.069,1032.4
600.202,1032.3
600.335,1030.5
600.468,1028.8
600.601,1029.6
600.734,1030.9
600.867,1029.7
601.0,1031.4
601.133,1031.4
601.266,1033.1
601.399,1029.9
601.532,1027.5
601.665,1030.4
601.798,1022.5
601.931,1031.4
602.064,1025.1
602.197,1022.1
602.33,1025.3
602.463,1025.1
602.596,1027.8
602.729,1028.3
602.862,1022.5
602.995,1021.1
603.128,1020.3
603.261,1016.7
603.394,1011.7
603.527,1015.8
603.66,1011.5
603.793,1011.1
603.925,1013.9
604.058,1011.0
604.191,1012.1
604.324,1002.7
604.457,1002.5
604.59,1000.2
604.723,1002.7
604.856,994.9
604.989,996.4
605.122,992.9
605.254,987.7
605.387,991.1
605.52,984.8
605.653,981.7
605.786,988.8
605.919,981.5
606.052,978.9
606.184,980.0
606.317,973.2
606.45,976.4
606.583,972.9
606.716,969.7
606.849,969.7
606.981,967.4
607.114,965.3
607.247,964.8
607.38,962.4
607.513,961.5
607.645,966.3
607.778,961.6
607.911,963.7
608.044,958.0
608.177,955.9
608.309,957.2
608.442,954.4
608.575,955.7
608.708,954.6
608.84,952.2
608.973,954.0
609.106,950.1
609.239,952.8
609.371,946.9
609.504,946.2
609.637,946.7
609.769,948.5
609.902,943.8
610.035,945.0
610.168,946.4
610.3,938.7
610.433,941.6
610.566,941.7
610.698,939.3
610.831,943.7
610.964,936.8
611.096,937.5
611.229,938.0
611.362,939.8
611.494,934.5
611.627,934.4
611.76,936.6
611.892,934.1
612.025,937.3
612.158,933.5
612.29,934.3
612.423,929.0
612.556,929.5
612.688,931.9
612.821,930.4
612.953,933.5
613.086,930.3
613.219,928.4
613.351,929.1
613.484,926.7
613.616,930.7
613.749,923.5
613.882,929.6
614.014,926.9
614.147,928.4
614.279,925.5
614.412,928.0
614.544,925.9
614.677,927.2
614.809,923.8
614.942,921.7
615.075,927.6
615.207,920.0
