nm,Intensity
526.486,829.2
526.622,830.7
526.759,827.6
526.896,829.2
527.033,828.4
527.169,829.3
527.306,829.5
527.443,828.8
527.579,829.0
527.716,829.3
527.853,829.3
527.989,829.4
528.126,828.5
528.263,829.6
528.399,830.2
528.536,829.8
528.672,828.6
528.809,829.1
528.946,828.9
529.082,829.4
529.219,830.0
529.355,831.4
529.492,830.1
529.628,828.3
529.765,829.6
529.901,828.5
530.038,829.4
530.174,830.1
530.311,830.7
530.447,830.0
530.584,829.7
530.72,830.5
530.857,829.9
530.993,829.5
531.13,829.9
531.266,830.3
531.403,829.4
531.539,829.9
531.676,829.7
531.812,828.2
531.948,831.1
532.085,849.3
532.221,870.3
532.358,840.9
532.494,830.2
532.63,829.3
532.767,829.8
532.903,828.7
533.039,829.3
533.176,829.6
533.312,830.1
533.448,829.0
533.585,829.3
533.721,832.4
533.857,848.3
533.993,882.1
534.13,900.3
534.266,902.4
534.402,899.3
534.539,895.1
534.675,893.0
534.811,888.5
534.947,891.3
535.083,883.7
535.22,881.2
535.356,877.4
535.492,873.7
535.628,872.0
535.764,869.0
535.901,866.2
536.037,864.1
536.173,864.9
536.309,862.7
536.445,862.3
536.581,861.3
536.717,860.2
536.854,858.4
536.99,859.2
537.126,858.6
537.262,858.9
537.398,859.3
537.534,858.7
537.67,857.4
537.806,860.0
537.942,857.2
538.078,857.5
538.214,856.7
538.35,857.2
538.486,857.0
538.622,854.6
538.758,854.8
538.894,855.3
539.03,854.8
539.166,855.5
539.302,853.3
539.438,852.7
539.574,853.2
539.71,854.2
539.846,853.8
539.982,849.9
540.118,853.4
540.254,850.5
540.39,849.4
540.526,848.0
540.662,852.5
540.798,852.0
540.933,849.7
541.069,849.2
541.205,850.6
541.341,847.4
541.477,849.5
541.613,850.5
541.749,848.1
541.884,846.9
542.02,850.7
542.156,848.2
542.292,847.8
542.428,849.5
542.563,848.2
542.699,850.2
542.835,849.8
542.971,847.3
543.106,849.9
543.242,847.9
543.378,850.2
543.514,847.0
543.649,848.8
543.785,846.5
543.921,849.6
544.057,848.8
544.192,847.9
544.328,847.9
544.464,845.9
544.599,846.8
544.735,847.0
544.871,846.4
545.006,849.1
545.142,847.0
545.278,847.2
545.413,848.5
545.549,845.8
545.684,846.8
545.82,845.4
545.956,850.3
546.091,844.8
546.227,847.0
546.362,847.8
546.498,845.9
546.634,846.0
546.769,845.0
546.905,846.4
547.04,847.4
547.176,847.8
547.311,847.7
547.447,847.6
547.582,846.2
547.718,847.0
547.853,847.6
547.989,846.8
548.124,847.2
548.26,845.2
548.395,847.8
548.531,844.2
548.666,845.8
548.802,846.5
548.937,843.4
549.072,843.3
549.208,846.7
549.343,845.0
549.479,844.3
549.614,845.5
549.75,844.6
549.885,846.7
550.02,845.0
550.156,846.4
550.291,843.8
550.426,844.8
550.562,846.2
550.697,845.6
550.832,844.6
550.968,844.3
551.103,844.0
551.238,844.3
551.374,846.0
551.509,844.0
551.644,845.5
551.78,845.0
551.915,845.5
552.05,844.1
552.185,844.8
552.321,845.6
552.456,844.0
552.591,845.5
552.726,844.8
552.862,844.7
552.997,847.1
553.132,845.9
553.267,847.1
553.403,848.0
553.538,848.6
553.673,846.7
553.808,848.1
553.943,848.5
554.078,848.5
554.214,847.1
554.349,847.1
554.484,850.9
554.619,848.4
554.754,846.7
554.889,847.5
555.024,849.9
555.16,847.9
555.295,847.4
555.43,849.3
555.565,849.4
555.7,849.9
555.835,850.5
555.97,850.2
556.105,850.7
556.24,850.4
556.375,849.7
556.51,851.9
556.645,852.9
556.78,852.7
556.915,855.0
557.05,853.0
557.185,853.0
557.32,852.7
557.455,853.4
557.59,853.1
557.725,853.6
557.86,854.2
557.995,857.3
558.13,856.9
558.265,856.8
558.4,854.9
558.535,856.2
558.67,857.4
558.805,859.8
558.94,855.4
559.075,854.4
559.21,856.1
559.345,852.7
559.479,853.4
559.614,854.3
559.749,853.5
559.884,853.8
560.019,853.0
560.154,853.5
560.289,852.7
560.424,853.8
560.558,851.6
560.693,852.8
560.828,853.0
560.963,854.7
561.098,852.9
561.232,852.1
561.367,852.7
561.502,855.5
561.637,853.3
561.772,854.1
561.906,854.3
562.041,856.7
562.176,856.3
562.311,854.1
562.445,855.8
562.58,856.5
562.715,858.7
562.85,857.2
562.984,859.3
563.119,858.0
563.254,862.4
563.388,863.0
563.523,865.5
563.658,867.3
563.792,874.5
563.927,898.9
564.062,931.2
564.196,918.4
564.331,890.9
564.466,879.3
564.6,875.8
564.735,876.5
564.87,875.9
565.004,872.8
565.139,868.5
565.273,868.3
565.408,864.6
565.543,866.0
565.677,868.4
565.812,869.6
565.946,880.8
566.081,906.6
566.215,923.6
566.35,902.8
566.485,879.4
566.619,870.7
566.754,864.9
566.888,864.8
567.023,865.3
567.157,862.8
567.292,865.6
567.426,871.9
567.561,874.8
567.695,868.1
567.83,864.3
567.964,861.2
568.099,863.5
568.233,861.4
568.368,863.1
568.502,862.9
568.636,862.2
568.771,862.4
568.905,863.5
569.04,862.8
569.174,863.7
569.309,862.7
569.443,863.3
569.577,864.0
569.712,865.2
569.846,865.1
569.98,867.9
570.115,865.7
570.249,867.9
570.384,868.6
570.518,871.4
570.652,871.2
570.787,875.8
570.921,876.4
571.055,875.6
571.19,883.9
571.324,890.2
571.458,936.1
571.592,1010.7
571.727,959.3
571.861,917.4
571.995,904.1
572.13,897.3
572.264,891.8
572.398,882.8
572.532,880.7
572.667,880.9
572.801,879.3
572.935,878.6
573.069,875.9
573.204,875.8
573.338,879.5
573.472,879.4
573.606,878.8
573.74,881.0
573.875,885.4
574.009,885.6
574.143,886.6
574.277,885.2
574.411,884.3
574.545,879.6
574.68,884.5
574.814,885.1
574.948,883.9
575.082,885.4
575.216,889.5
575.35,894.7
575.484,909.3
575.619,930.6
575.753,924.4
575.887,923.7
576.021,944.6
576.155,975.4
576.289,1016.7
576.423,1017.1
576.557,992.2
576.691,978.1
576.825,977.4
576.959,979.8
577.093,977.8
577.227,973.5
577.361,960.7
577.495,942.2
577.629,933.5
577.763,928.2
577.897,930.5
578.031,926.3
578.165,928.4
578.299,933.6
578.433,931.4
578.567,933.3
578.701,933.5
578.835,938.2
578.969,945.6
579.103,947.4
579.237,947.1
579.371,949.7
579.505,952.7
579.639,952.2
579.773,957.1
579.907,952.5
580.041,964.1
580.175,960.0
580.309,966.4
580.442,962.7
580.576,965.8
580.71,964.4
580.844,966.6
580.978,976.7
581.112,976.5
581.246,977.6
581.38,975.3
581.513,982.1
581.647,983.4
581.781,980.4
581.915,981.9
582.049,978.2
582.183,984.8
582.316,986.9
582.45,984.4
582.584,983.7
582.718,986.4
582.852,991.5
582.985,991.0
583.119,991.5
583.253,989.1
583.387,989.1
583.52,988.8
583.654,990.2
583.788,989.2
583.922,989.6
584.055,988.2
584.189,994.6
584.323,992.1
584.456,993.1
584.59,987.6
584.724,984.8
584.858,990.2
584.991,987.6
585.125,984.6
585.259,979.6
585.392,984.6
585.526,983.7
585.66,980.6
585.793,986.0
585.927,978.1
586.061,982.0
586.194,980.6
586.328,983.8
586.462,982.9
586.595,983.2
586.729,981.7
586.862,982.4
586.996,977.9
587.13,980.2
587.263,973.1
587.397,980.3
587.53,975.6
587.664,978.4
587.797,982.8
587.931,973.8
588.065,980.5
588.198,977.0
588.332,982.9
588.465,975.1
588.599,974.5
588.732,976.2
588.866,979.7
588.999,976.7
589.133,979.1
589.266,972.2
589.4,972.7
589.533,973.7
589.667,975.8
589.8,971.4
589.934,976.2
590.067,979.1
590.201,977.1
590.334,977.1
590.468,973.9
590.601,976.5
590.735,974.2
590.868,979.4
591.001,976.8
591.135,980.4
591.268,980.5
591.402,986.3
591.535,978.6
591.669,978.9
591.802,975.3
591.935,975.3
592.069,975.6
592.202,980.6
592.335,976.5
592.469,976.4
592.602,973.8
592.736,979.2
592.869,977.7
593.002,976.6
593.136,974.1
593.269,979.4
593.402,975.6
593.536,973.9
593.669,977.5
593.802,977.1
593.936,975.1
594.069,976.9
594.202,976.3
594.336,978.5
594.469,980.5
594.602,978.5
594.735,980.0
594.869,982.6
595.002,985.6
595.135,979.9
595.268,981.7
595.402,983.9
595.535,987.2
595.668,988.3
595.801,990.9
595.935,984.7
596.068,988.9
596.201,985.7
596.334,991.0
596.468,994.2
596.601,996.6
596.734,989.5
596.867,989.6
597.0,993.5
597.133,999.3
597.267,999.5
597.4,999.8
597.533,1000.8
597.666,1007.8
597.799,1003.3
597.932,1008.2
598.066,1005.1
598.199,1012.1
598.332,1008.7
598.465,1013.3
598.598,1013.6
598.731,1014.2
598.864,1020.2
598.998,1023.1
599.131,1017.8
599.264,1021.1
599.397,1023.2
599.53,1026.4
599.663,1022.7
599.796,1026.3
599.929,1020.5
600.062,1026.3
600.195,1023.4
600.328,1028.1
600.461,1024.7
600.594,1025.3
600.727,1027.6
600.86,1024.5
600.994,1026.8
601.127,1022.0
601.26,1029.2
601.393,1021.4
601.526,1023.5
601.659,1022.1
601.792,1019.4
601.925,1021.0
602.058,1024.2
602.191,1025.5
602.324,1025.2
602.457,1020.3
602.589,1020.4
602.722,1017.2
602.855,1015.5
602.988,1014.9
603.121,1011.4
603.254,1003.5
603.387,1015.2
603.52,1013.2
603.653,1010.9
603.786,1008.7
603.919,1007.4
604.052,1005.5
604.185,1001.2
604.318,999.1
604.451,998.3
604.583,997.9
604.716,992.7
604.849,992.9
604.982,990.3
605.115,988.9
605.248,983.7
605.381,982.0
605.514,985.6
605.646,980.6
605.779,988.1
605.912,980.2
606.045,975.0
606.178,973.9
606.311,968.8
606.443,967.9
606.576,969.4
606.709,966.6
606.842,966.1
606.975,965.8
607.107,969.3
607.24,962.4
607.373,966.4
607.506,961.3
607.639,955.0
607.771,959.6
607.904,955.0
608.037,956.1
608.17,957.6
608.302,949.3
608.435,955.0
608.568,956.0
608.701,952.3
608.833,951.2
608.966,949.1
609.099,945.9
609.232,948.3
609.364,944.4
609.497,947.9
609.63,942.8
609.762,941.9
609.895,941.1
610.028,944.9
610.161,942.3
610.293,939.8
610.426,943.7
610.559,940.1
610.691,936.8
610.824,939.9
610.957,936.2
611.089,936.9
611.222,939.9
611.355,935.3
611.487,936.9
611.62,934.5
611.752,933.9
611.885,933.7
612.018,934.8
612.15,934.1
612.283,929.5
612.416,935.0
612.548,929.7
612.681,925.4
612.813,934.7
612.946,929.6
613.078,932.1
613.211,929.2
613.344,932.7
613.476,929.6
613.609,929.3
613.741,927.5
613.874,929.9
614.006,930.3
614.139,924.7
614.272,924.3
614.404,923.7
614.537,927.0
614.669,926.8
614.802,924.2
614.934,926.4
615.067,927.1
615.199,922.3
615.332,926.6
615.464,921.1
615.597,923.3
615.729,923.6
615.862,921.8
615.994,923.2
616.127,922.6
616.259,923.2
616.392,924.2
616.524,923.7
616.657,923.0
616.789,922.9
616.922,923.9
617.054,928.1
617.186,927.4
617.319,925.1
617.451,922.3
617.584,924.5
617.716,927.7
617.849,928.3
617.981,927.9
618.113,926.6
618.246,930.0
618.378,930.2
618.511,929.5
618.643,925.3
618.775,924.2
618.908,928.5
619.04,929.2
619.173,928.0
619.305,925.7
619.437,933.4
619.57,930.1
619.702,929.9
619.834,931.9
619.967,927.2
620.099,931.4
620.231,928.6
620.364,932.4
620.496,932.6
620.628,932.8
620.761,932.4
620.893,931.1
621.025,937.0
621.158,938.9
621.29,940.2
621.422,942.0
621.555,951.8
621.687,955.6
621.819,955.5
621.952,970.7
622.084,973.5
622.216,975.0
622.348,979.2
622.481,980.2
622.613,974.9
622.745,966.0
622.878,959.8
623.01,951.7
623.142,948.0
623.274,946.6
623.407,944.3
623.539,942.1
623.671,940.7
623.803,937.8
623.935,937.6
624.068,943.0
624.2,936.5
624.332,942.3
624.464,937.3
624.597,935.2
624.729,941.0
624.861,934.5
624.993,941.8
625.125,942.4
625.258,942.0
625.39,950.6
625.522,946.5
625.654,949.4
625.786,954.9
625.918,962.7
626.051,960.3
626.183,969.8
626.315,982.9
626.447,994.8
626.579,1035.0
626.711,1093.9
626.844,1205.9
626.976,1387.3
627.108,1594.1
627.24,1738.3
627.372,1722.9
627.504,1621.0
627.636,1521.1
627.768,1465.4
627.901,1412.0
628.033,1386.0
628.165,1400.3
628.297,1453.1
628.429,1603.1
628.561,1800.4
628.693,1757.5
628.825,1555.1
628.957,1457.9
629.089,1415.4
629.221,1391.2
629.354,1380.0
629.486,1349.2
629.618,1322.5
629.75,1296.5
629.882,1252.0
630.014,1229.8
630.146,1223.6
630.278,1225.5
630.41,1224.2
630.542,1214.8
630.674,1194.3
630.806,1166.6
630.938,1130.9
631.07,1090.9
631.202,1050.1
631.334,1023.6
631.466,1018.3
631.598,1006.3
631.73,998.7
631.862,994.3
631.994,989.7
632.126,984.1
632.258,980.7
632.39,976.4
632.522,976.3
632.654,970.1
632.786,968.8
632.918,968.2
633.05,958.7
633.182,964.6
633.314,966.8
633.446,960.0
633.578,953.9
633.71,961.9
633.842,958.7
633.974,954.9
634.106,955.9
634.237,957.9
634.369,956.6
634.501,953.8
634.633,955.6
634.765,955.3
634.897,953.5
635.029,950.9
635.161,948.7
635.293,952.9
635.425,950.1
635.557,947.5
635.689,946.2
635.82,950.3
635.952,947.5
636.084,949.3
636.216,949.0
636.348,946.5
636.48,948.2
636.612,942.8
636.744,942.8
636.875,944.6
637.007,941.6
637.139,939.6
637.271,937.0
637.403,939.3
637.535,942.0
637.667,936.4
637.798,938.8
637.93,937.6
638.062,936.6
638.194,933.4
638.326,938.5
638.458,935.6
638.589,934.2
638.721,932.7
638.853,937.7
638.985,932.9
639.117,931.4
639.248,932.8
639.38,932.3
639.512,931.7
639.644,931.4
639.776,929.2
639.907,931.7
640.039,926.3
640.171,932.2
640.303,929.0
640.435,930.6
640.566,931.3
640.698,928.9
640.83,934.3
640.962,925.0
641.093,931.0
641.225,926.6
641.357,928.5
641.489,926.4
641.62,928.6
641.752,928.5
641.884,930.3
642.016,927.7
642.147,927.7
642.279,928.7
642.411,927.9
642.543,929.5
642.674,921.6
642.806,925.7
642.938,927.0
643.069,926.2
643.201,923.5
643.333,922.2
643.465,922.1
643.596,923.7
643.728,923.4
643.86,915.8
643.991,924.1
644.123,924.6
644.255,920.9
644.386,920.7
644.518,920.9
644.65,920.9
644.781,924.4
644.913,922.0
645.045,919.5
645.176,920.7
645.308,919.0
645.44,920.2
