nm,Intensity
526.486,829.9
526.622,830.1
526.759,828.6
526.896,828.0
527.033,828.0
527.169,829.5
527.306,831.2
527.443,829.3
527.579,828.9
527.716,829.7
527.853,829.0
527.989,829.4
528.126,829.1
528.263,830.0
528.399,828.9
528.536,829.9
528.672,827.8
528.809,830.3
528.946,829.7
529.082,829.1
529.219,828.9
529.355,830.3
529.492,830.0
529.628,828.9
529.765,828.7
529.901,828.5
530.038,829.2
530.174,829.5
530.311,829.5
530.447,830.5
530.584,828.5
530.72,829.1
530.857,829.4
530.993,829.5
531.13,830.1
531.266,828.8
531.403,828.4
531.539,830.5
531.676,832.4
531.812,828.5
531.948,833.3
532.085,865.2
532.221,892.2
532.358,849.2
532.494,830.0
532.63,828.8
532.767,827.8
532.903,828.6
533.039,828.2
533.176,829.3
533.312,829.9
533.448,829.2
533.585,828.9
533.721,833.5
533.857,853.7
533.993,894.1
534.13,913.6
534.266,916.3
534.402,909.2
534.539,908.1
534.675,908.9
534.811,906.9
534.947,901.1
535.083,899.1
535.22,896.2
535.356,891.6
535.492,887.7
535.628,885.0
535.764,884.8
535.901,880.9
536.037,878.1
536.173,880.7
536.309,879.6
536.445,877.7
536.581,876.0
536.717,875.6
536.854,876.5
536.99,875.6
537.126,875.2
537.262,875.9
537.398,876.4
537.534,875.0
537.67,874.2
537.806,871.5
537.942,872.5
538.078,874.0
538.214,872.1
538.35,870.7
538.486,875.0
538.622,870.4
538.758,869.6
538.894,869.1
539.03,868.2
539.166,868.4
539.302,868.0
539.438,871.0
539.574,868.5
539.71,866.9
539.846,867.9
539.982,865.8
540.118,866.7
540.254,865.6
540.39,864.7
540.526,863.5
540.662,865.0
540.798,864.5
540.933,865.3
541.069,863.0
541.205,862.2
541.341,862.8
541.477,864.9
541.613,863.5
541.749,861.2
541.884,863.6
542.02,863.3
542.156,864.0
542.292,863.8
542.428,861.4
542.563,863.0
542.699,862.7
542.835,862.2
542.971,861.1
543.106,861.9
543.242,860.8
543.378,861.3
543.514,862.6
543.649,863.6
543.785,861.1
543.921,860.8
544.057,862.5
544.192,861.9
544.328,861.5
544.464,863.6
544.599,862.6
544.735,861.3
544.871,859.2
545.006,860.5
545.142,860.1
545.278,862.7
545.413,861.6
545.549,860.8
545.684,857.4
545.82,859.8
545.956,859.0
546.091,862.4
546.227,860.6
546.362,858.7
546.498,860.3
546.634,860.2
546.769,860.0
546.905,859.8
547.04,860.4
547.176,860.3
547.311,859.0
547.447,857.8
547.582,859.8
547.718,863.0
547.853,860.7
547.989,856.6
548.124,859.5
548.26,858.9
548.395,862.5
548.531,857.8
548.666,856.3
548.802,857.7
548.937,859.7
549.072,860.6
549.208,859.1
549.343,858.3
549.479,857.5
549.614,859.1
549.75,858.5
549.885,857.7
550.02,861.6
550.156,858.8
550.291,859.2
550.426,858.1
550.562,856.3
550.697,858.2
550.832,857.0
550.968,859.6
551.103,859.3
551.238,857.7
551.374,861.1
551.509,857.0
551.644,858.4
551.78,857.9
551.915,855.2
552.05,860.6
552.185,857.2
552.321,858.4
552.456,857.4
552.591,858.2
552.726,860.0
552.862,856.7
552.997,859.1
553.132,859.9
553.267,858.9
553.403,860.5
553.538,862.6
553.673,862.9
553.808,861.4
553.943,862.2
554.078,860.1
554.214,862.8
554.349,861.1
554.484,861.7
554.619,862.1
554.754,860.4
554.889,861.1
555.024,861.7
555.16,864.9
555.295,863.5
555.43,862.0
555.565,863.0
555.7,862.9
555.835,863.5
555.97,862.6
556.105,867.5
556.24,865.4
556.375,864.2
556.51,867.4
556.645,868.0
556.78,865.4
