nm,Intensity
526.486,830.7
526.622,830.4
526.759,829.8
526.896,831.1
527.033,830.7
527.169,830.9
527.306,829.7
527.443,830.7
527.579,830.8
527.716,829.3
527.853,829.6
527.989,831.8
528.126,829.8
528.263,829.5
528.399,830.2
528.536,830.9
528.672,829.6
528.809,830.2
528.946,829.9
529.082,830.7
529.219,829.5
529.355,830.8
529.492,829.7
529.628,830.7
529.765,829.9
529.901,830.1
530.038,829.9
530.174,831.1
530.311,828.9
530.447,830.9
530.584,830.5
530.72,829.2
530.857,830.8
530.993,831.5
531.13,830.7
531.266,830.0
531.403,830.8
531.539,830.8
531.676,830.8
531.812,830.4
531.948,832.4
532.085,857.7
532.221,884.9
532.358,843.9
532.494,829.8
532.63,829.4
532.767,830.4
532.903,829.8
533.039,830.4
533.176,830.3
533.312,830.5
533.448,831.1
533.585,829.7
533.721,832.3
533.857,838.5
533.993,850.1
534.13,858.2
534.266,857.3
534.402,854.4
534.539,853.6
534.675,855.4
534.811,853.3
534.947,852.2
535.083,854.5
535.22,852.9
535.356,850.1
535.492,850.2
535.628,848.8
535.764,847.0
535.901,845.6
536.037,847.5
536.173,846.8
536.309,845.5
536.445,846.7
536.581,843.8
536.717,845.3
536.854,847.0
536.99,842.7
537.126,843.8
537.262,845.0
537.398,842.9
537.534,845.0
537.67,844.2
537.806,843.4
537.942,843.0
538.078,843.1
538.214,844.5
538.35,843.4
538.486,842.3
538.622,842.5
538.758,844.3
538.894,842.5
539.03,841.5
539.166,840.7
539.302,842.7
539.438,840.7
539.574,842.3
539.71,840.4
539.846,841.9
539.982,839.7
540.118,841.3
540.254,842.3
540.39,841.8
540.526,840.7
540.662,841.6
540.798,841.9
540.933,841.3
541.069,841.5
541.205,842.6
541.341,841.8
541.477,839.8
541.613,841.1
541.749,839.2
541.884,841.7
542.02,844.1
542.156,841.0
542.292,842.1
542.428,840.8
542.563,840.8
542.699,841.7
542.835,842.3
542.971,839.7
543.106,840.0
543.242,841.8
543.378,841.2
543.514,842.3
543.649,842.8
543.785,841.3
543.921,841.0
544.057,842.0
544.192,839.9
544.328,842.8
544.464,841.0
544.599,840.9
544.735,838.8
544.871,842.0
545.006,840.5
545.142,840.3
545.278,841.2
545.413,841.3
545.549,842.3
545.684,840.6
545.82,840.6
545.956,843.1
546.091,841.6
546.227,843.3
546.362,842.1
546.498,842.1
546.634,841.5
546.769,841.2
546.905,840.1
547.04,841.7
547.176,840.9
547.311,841.9
547.447,842.0
547.582,843.2
547.718,839.9
547.853,840.7
547.989,841.4
548.124,843.3
548.26,841.3
548.395,840.4
548.531,842.2
548.666,842.6
548.802,840.8
548.937,841.9
549.072,842.3
549.208,843.3
549.343,840.8
549.479,844.2
549.614,841.1
549.75,842.4
549.885,843.2
550.02,841.2
550.156,841.5
550.291,841.5
550.426,841.1
550.562,841.9
550.697,842.4
550.832,842.3
550.968,840.0
551.103,841.2
551.238,843.3
551.374,843.4
551.509,844.1
551.644,842.9
551.78,843.6
551.915,845.5
552.05,844.5
552.185,843.4
552.321,843.2
552.456,841.8
552.591,844.4
552.726,843.5
552.862,844.0
552.997,843.0
553.132,842.3
553.267,844.9
553.403,845.0
553.538,844.1
553.673,845.0
553.808,846.1
553.943,844.1
554.078,845.4
554.214,842.8
554.349,846.3
554.484,842.1
554.619,844.6
554.754,845.8
554.889,845.5
555.024,844.3
555.16,844.5
555.295,846.5
555.43,843.2
555.565,845.9
555.7,846.2
555.835,842.9
555.97,844.8
556.105,844.8
556.24,844.7
556.375,845.6
556.51,847.0
556.645,845.5
556.78,848.3
556.915,846.5
557.05,848.4
557.185,848.7
557.32,847.3
557.455,844.9
557.59,845.5
557.725,848.3
557.86,847.8
557.995,848.0
558.13,848.9
558.265,847.8
558.4,848.2
558.535,847.9
558.67,849.6
558.805,848.3
558.94,846.5
559.075,846.1
559.21,848.6
559.345,847.7
559.479,847.5
559.614,847.4
559.749,848.9
559.884,847.7
560.019,845.9
560.154,846.6
560.289,847.2
560.424,845.7
560.558,847.5
560.693,848.5
560.828,846.9
560.963,847.8
561.098,848.8
561.232,848.9
561.367,846.3
561.502,849.8
561.637,849.4
561.772,849.4
561.906,848.2
562.041,848.2
562.176,848.9
562.311,850.3
562.445,850.0
562.58,847.6
562.715,849.3
562.85,849.8
562.984,851.9
563.119,850.3
563.254,850.0
563.388,849.7
563.523,853.9
563.658,853.9
563.792,858.7
563.927,878.0
564.062,906.5
564.196,893.8
564.331,865.3
564.466,860.6
564.6,860.7
564.735,860.1
564.87,857.8
565.004,857.2
565.139,854.6
565.273,856.1
565.408,855.0
565.543,855.1
565.677,858.9
565.812,862.0
565.946,869.2
566.081,903.6
566.215,951.1
566.35,921.0
566.485,869.2
566.619,858.9
566.754,852.6
566.888,852.9
567.023,850.8
567.157,854.6
567.292,852.8
567.426,856.3
567.561,858.1
567.695,855.6
567.83,853.6
567.964,851.4
568.099,853.2
568.233,852.8
568.368,852.2
568.502,852.1
568.636,854.8
568.771,852.1
568.905,854.5
569.04,852.6
569.174,851.8
569.309,854.5
569.443,853.4
569.577,854.3
569.712,854.1
569.846,852.3
569.98,853.0
570.115,852.3
570.249,854.5
570.384,857.0
570.518,856.9
570.652,856.8
570.787,858.0
570.921,858.4
571.055,859.0
571.19,858.5
571.324,865.2
571.458,900.5
571.592,955.7
571.727,910.6
571.861,874.8
571.995,865.3
572.13,864.7
572.264,860.4
572.398,860.5
572.532,859.2
572.667,856.1
572.801,854.9
572.935,857.0
573.069,857.0
573.204,855.9
573.338,860.6
573.472,856.0
573.606,858.6
573.74,861.6
573.875,860.8
574.009,866.0
574.143,863.5
574.277,861.7
574.411,859.4
574.545,858.6
574.68,859.8
574.814,860.8
574.948,860.3
575.082,863.6
575.216,861.9
575.35,869.4
575.484,900.7
575.619,921.0
575.753,894.7
575.887,881.1
576.021,886.8
576.155,895.0
576.289,906.9
576.423,905.8
576.557,903.0
576.691,895.6
576.825,892.7
576.959,893.5
577.093,893.8
577.227,887.9
577.361,884.8
577.495,876.7
577.629,869.7
577.763,869.7
577.897,869.4
578.031,868.9
578.165,868.3
578.299,869.5
578.433,868.1
578.567,868.1
578.701,867.6
578.835,869.4
578.969,870.5
579.103,869.0
579.237,867.9
579.371,871.0
579.505,872.3
579.639,868.8
579.773,873.4
579.907,870.4
580.041,871.8
580.175,870.7
580.309,874.1
580.442,871.4
580.576,871.6
580.71,874.2
580.844,870.9
580.978,875.4
581.112,874.4
581.246,876.2
581.38,875.2
581.513,878.2
581.647,875.3
581.781,877.0
581.915,878.2
582.049,877.4
582.183,875.3
582.316,876.8
582.45,880.3
582.584,878.1
582.718,877.9
582.852,878.7
582.985,881.9
583.119,879.2
583.253,882.8
583.387,883.0
583.52,883.9
583.654,885.1
583.788,886.1
583.922,887.9
584.055,885.0
584.189,886.5
584.323,886.4
584.456,886.4
584.59,891.1
584.724,889.1
584.858,889.3
584.991,892.1
585.125,895.0
585.259,891.9
585.392,890.3
585.526,894.1
585.66,893.6
585.793,893.2
585.927,898.1
586.061,897.2
586.194,899.2
586.328,899.0
586.462,899.6
586.595,897.0
586.729,902.2
586.862,896.5
586.996,899.6
