nm,Intensity
526.486,829.9
526.622,830.4
526.759,830.0
526.896,831.4
527.033,830.0
527.169,830.6
527.306,830.3
527.443,830.3
527.579,829.7
527.716,831.0
527.853,828.9
527.989,830.3
528.126,829.7
528.263,830.2
528.399,831.1
528.536,831.0
528.672,830.3
528.809,831.0
528.946,829.0
529.082,830.0
529.219,830.3
529.355,828.8
529.492,829.4
529.628,830.3
529.765,830.2
529.901,830.9
530.038,831.0
530.174,830.0
530.311,829.4
530.447,829.8
530.584,829.4
530.72,830.1
530.857,828.9
530.993,831.2
531.13,829.7
531.266,831.5
531.403,831.1
531.539,831.9
531.676,828.9
531.812,830.1
531.948,833.0
532.085,854.8
532.221,875.5
532.358,842.2
532.494,831.1
532.63,830.0
532.767,829.2
532.903,829.7
533.039,831.1
533.176,830.1
533.312,831.3
533.448,830.2
533.585,830.2
533.721,831.3
533.857,840.8
533.993,853.5
534.13,859.6
534.266,860.8
534.402,858.0
534.539,856.8
534.675,857.5
534.811,853.9
534.947,853.8
535.083,853.1
535.22,849.1
535.356,850.9
535.492,851.8
535.628,850.4
535.764,843.5
535.901,847.5
536.037,846.2
536.173,846.2
536.309,845.9
536.445,846.4
536.581,845.0
536.717,845.4
536.854,843.2
536.99,844.6
537.126,845.4
537.262,845.1
537.398,845.7
537.534,844.9
537.67,845.5
537.806,843.0
537.942,845.1
538.078,845.0
538.214,844.9
538.35,844.5
538.486,845.1
538.622,846.1
538.758,844.1
538.894,845.5
539.03,846.4
539.166,847.7
539.302,848.3
539.438,847.2
539.574,846.2
539.71,842.1
539.846,845.3
539.982,844.2
540.118,842.0
540.254,841.9
540.39,842.2
540.526,842.2
540.662,842.7
540.798,842.5
540.933,839.8
541.069,840.5
541.205,841.3
541.341,840.3
541.477,840.4
541.613,840.8
541.749,842.2
541.884,841.5
542.02,839.6
542.156,841.7
542.292,840.9
542.428,841.3
542.563,841.9
542.699,841.2
542.835,842.2
542.971,841.5
543.106,842.3
543.242,841.2
543.378,841.3
543.514,842.9
543.649,840.6
543.785,840.9
543.921,841.0
544.057,841.7
544.192,841.7
544.328,840.1
544.464,838.9
544.599,840.6
544.735,840.8
544.871,841.3
545.006,839.9
545.142,840.4
545.278,840.8
545.413,840.8
545.549,841.3
545.684,840.3
545.82,839.7
545.956,839.4
546.091,839.0
546.227,838.6
546.362,841.4
546.498,841.0
546.634,840.1
546.769,837.3
546.905,841.1
547.04,839.8
547.176,838.5
547.311,839.9
547.447,840.2
547.582,841.5
547.718,839.7
547.853,839.0
547.989,840.1
548.124,839.7
548.26,840.1
548.395,839.9
548.531,839.5
548.666,840.1
548.802,841.3
548.937,839.5
549.072,840.2
549.208,838.7
549.343,840.4
549.479,841.1
549.614,840.1
549.75,842.2
549.885,840.7
550.02,840.3
550.156,842.2
550.291,841.7
550.426,840.5
550.562,841.5
550.697,841.4
550.832,840.7
550.968,840.5
551.103,842.3
551.238,841.5
551.374,841.5
551.509,840.4
551.644,841.5
551.78,841.3
551.915,840.8
552.05,840.5
552.185,841.0
552.321,841.3
552.456,839.5
552.591,840.3
552.726,841.0
552.862,840.6
552.997,840.9
553.132,838.4
553.267,841.8
553.403,842.4
553.538,841.1
553.673,841.8
553.808,841.3
553.943,841.3
554.078,839.6
554.214,839.7
554.349,839.2
554.484,842.3
554.619,842.0
554.754,840.6
554.889,841.6
555.024,842.1
555.16,840.1
555.295,841.3
555.43,839.9
555.565,843.0
555.7,839.9
555.835,841.6
555.97,842.3
556.105,841.2
556.24,843.6
556.375,843.3
556.51,843.2
556.645,840.6
556.78,843.2
556.915,842.9
557.05,842.0
557.185,842.3
557.32,842.7
557.455,842.8
557.59,843.6
557.725,841.4
557.86,845.1
557.995,843.8
558.13,843.9
558.265,842.9
558.4,844.7
558.535,844.8
558.67,843.0
558.805,842.9
558.94,842.3
559.075,844.8
559.21,843.2
559.345,844.9
559.479,844.6
559.614,843.8
559.749,842.8
559.884,845.0
560.019,844.1
560.154,845.5
560.289,842.7
560.424,844.5
560.558,843.8
560.693,843.1
560.828,844.5
560.963,845.4
561.098,843.0
561.232,845.7
561.367,843.0
561.502,844.9
561.637,843.1
561.772,844.2
561.906,845.0
562.041,845.1
562.176,845.7
562.311,845.2
562.445,846.5
562.58,845.3
562.715,847.4
562.85,846.2
562.984,845.3
563.119,849.6
563.254,846.1
563.388,846.9
563.523,846.6
563.658,849.5
563.792,852.9
563.927,858.4
564.062,867.0
564.196,866.5
564.331,856.3
564.466,854.8
564.6,853.6
564.735,853.3
564.87,851.3
565.004,854.0
565.139,852.8
565.273,851.4
565.408,847.9
565.543,850.7
565.677,851.7
565.812,853.0
565.946,851.5
566.081,861.6
566.215,866.0
566.35,856.9
566.485,853.2
566.619,850.6
566.754,851.2
566.888,850.1
567.023,848.7
567.157,850.9
567.292,852.5
567.426,855.3
567.561,854.5
567.695,850.9
567.83,851.4
567.964,851.2
568.099,852.2
568.233,851.1
568.368,851.8
568.502,851.8
568.636,853.2
568.771,853.0
568.905,851.8
569.04,852.0
569.174,853.9
569.309,853.3
569.443,853.2
569.577,851.7
569.712,853.1
569.846,854.9
569.98,855.8
570.115,856.8
570.249,854.1
570.384,856.3
570.518,855.5
570.652,859.1
570.787,858.2
570.921,858.3
571.055,860.0
571.19,860.6
571.324,864.0
571.458,876.4
571.592,895.1
571.727,884.1
571.861,874.3
571.995,868.6
572.13,869.2
572.264,868.3
572.398,863.9
572.532,864.7
572.667,862.9
572.801,862.0
572.935,862.9
573.069,863.5
573.204,862.2
573.338,862.4
573.472,864.3
573.606,863.2
573.74,862.1
573.875,863.8
574.009,867.0
574.143,865.4
574.277,864.8
574.411,865.5
574.545,864.9
574.68,865.6
574.814,863.8
574.948,862.6
575.082,865.6
575.216,866.2
575.35,868.3
575.484,870.9
575.619,878.8
575.753,873.4
575.887,876.9
576.021,884.0
576.155,899.0
576.289,906.6
576.423,908.9
576.557,899.5
576.691,899.3
576.825,897.7
576.959,896.8
577.093,897.8
577.227,892.4
577.361,886.7
577.495,885.7
577.629,878.2
577.763,880.7
577.897,877.4
578.031,878.6
578.165,880.4
578.299,881.1
578.433,880.2
578.567,877.7
578.701,879.5
578.835,881.7
578.969,883.2
579.103,882.8
579.237,884.7
579.371,883.1
579.505,884.8
579.639,883.9
579.773,885.3
579.907,884.4
580.041,882.0
580.175,884.5
580.309,884.7
580.442,886.8
580.576,887.2
580.71,887.7
580.844,887.0
580.978,890.5
581.112,889.3
581.246,889.9
581.38,890.3
581.513,890.1
581.647,892.3
581.781,888.3
581.915,891.9
582.049,893.5
582.183,892.0
582.316,895.9
582.45,895.3
582.584,895.3
582.718,896.3
582.852,898.9
582.985,897.0
583.119,897.9
583.253,894.1
583.387,902.9
583.52,902.2
583.654,904.8
583.788,902.6
583.922,904.2
584.055,899.3
584.189,903.7
584.323,902.5
584.456,908.0
584.59,905.6
584.724,908.9
584.858,904.8
584.991,910.9
585.125,908.7
585.259,912.5
585.392,909.9
585.526,913.3
585.66,913.2
585.793,914.9
585.927,917.6
586.061,917.7
586.194,920.8
586.328,922.0
586.462,922.1
586.595,924.2
586.729,927.2
586.862,924.4
586.996,925.8
587.13,930.1
587.263,928.8
587.397,932.8
587.53,932.6
587.664,934.9
587.797,937.9
587.931,937.2
588.065,942.6
588.198,938.1
588.332,944.5
588.465,945.4
588.599,939.8
588.732,945.1
588.866,946.1
588.999,947.9
589.133,948.5
589.266,952.5
589.4,951.0
589.533,955.2
589.667,953.8
589.8,957.4
589.934,960.3
590.067,957.5
590.201,963.2
590.334,964.0
590.468,958.5
590.601,966.7
590.735,964.9
590.868,968.9
591.001,969.9
591.135,972.0
591.268,969.6
591.402,975.1
591.535,975.9
591.669,976.4
591.802,972.0
591.935,976.6
592.069,976.0
592.202,979.3
592.335,982.1
592.469,987.1
592.602,988.7
592.736,983.2
592.869,981.8
593.002,986.1
593.136,990.3
593.269,988.3
593.402,989.4
593.536,997.1
593.669,992.9
593.802,996.3
593.936,992.4
594.069,995.4
594.202,1000.6
594.336,1001.4
594.469,1000.4
594.602,1007.3
594.735,1008.9
594.869,1000.8
595.002,1013.7
595.135,1012.1
595.268,1011.4
595.402,1016.7
595.535,1022.2
595.668,1022.0
595.801,1019.7
595.935,1028.1
596.068,1023.3
596.201,1028.0
596.334,1030.3
596.468,1033.9
596.601,1033.7
596.734,1034.6
596.867,1041.6
597.0,1042.6
597.133,1043.0
597.267,1047.5
597.4,1046.8
597.533,1051.6
597.666,1054.8
597.799,1058.2
597.932,1056.5
598.066,1058.7
598.199,1065.1
598.332,1059.8
598.465,1070.5
598.598,1068.6
598.731,1071.4
598.864,1072.8
598.998,1074.5
599.131,1073.9
599.264,1081.7
599.397,1085.5
599.53,1079.8
599.663,1088.0
599.796,1089.7
599.929,1086.9
600.062,1086.7
600.195,1080.9
600.328,1086.0
600.461,1090.3
600.594,1085.2
600.727,1084.5
600.86,1091.9
600.994,1088.2
601.127,1078.7
601.26,1088.8
601.393,1085.1
601.526,1085.8
601.659,1085.4
601.792,1089.0
601.925,1083.4
602.058,1083.5
602.191,1086.2
602.324,1081.6
602.457,1081.4
602.589,1085.1
602.722,1083.0
602.855,1078.1
602.988,1075.5
603.121,1075.7
603.254,1070.9
603.387,1071.5
603.52,1068.3
603.653,1065.6
603.786,1063.2
603.919,1059.1
604.052,1061.2
604.185,1061.6
604.318,1056.3
604.451,1055.6
604.583,1046.5
604.716,1043.7
604.849,1047.1
604.982,1041.1
605.115,1039.7
605.248,1039.6
605.381,1033.9
605.514,1031.1
605.646,1030.7
605.779,1024.8
605.912,1023.9
606.045,1021.0
606.178,1016.8
606.311,1012.2
606.443,1010.2
606.576,1013.5
606.709,1012.4
606.842,1006.2
606.975,1004.4
607.107,1002.6
607.24,996.2
607.373,999.4
607.506,995.8
607.639,997.9
607.771,997.6
607.904,990.1
608.037,993.2
608.17,993.5
608.302,994.5
608.435,991.6
608.568,988.2
608.701,983.0
608.833,992.7
608.966,987.9
609.099,985.5
609.232,980.4
609.364,979.8
609.497,980.3
609.63,980.7
609.762,973.6
609.895,980.8
610.028,972.6
610.161,969.9
610.293,972.9
610.426,974.6
610.559,967.4
610.691,967.4
610.824,972.4
610.957,962.7
611.089,967.7
611.222,965.1
611.355,966.4
611.487,965.0
611.62,964.8
611.752,964.1
611.885,964.7
612.018,961.8
612.15,960.4
612.283,963.5
612.416,960.4
612.548,959.7
612.681,957.2
612.813,960.3
612.946,954.5
613.078,959.2
613.211,954.2
613.344,959.6
613.476,956.7
613.609,958.3
613.741,953.9
613.874,952.5
614.006,952.8
614.139,953.3
614.272,951.9
614.404,953.9
614.537,953.2
614.669,952.0
614.802,948.2
614.934,949.0
615.067,949.3
615.199,947.7
615.332,947.1
615.464,942.4
615.597,948.0
615.729,948.1
615.862,939.6
615.994,947.3
616.127,943.7
616.259,940.9
616.392,944.2
616.524,940.3
616.657,942.4
616.789,942.3
616.922,942.3
617.054,939.8
617.186,941.7
617.319,938.5
617.451,941.2
617.584,942.3
617.716,941.3
617.849,941.5
617.981,936.1
618.113,937.8
618.246,938.7
618.378,939.0
618.511,939.6
618.643,934.4
618.775,932.7
618.908,931.1
619.04,932.4
619.173,931.9
619.305,932.3
619.437,933.7
619.57,934.6
619.702,934.1
619.834,930.5
619.967,931.1
620.099,930.4
620.231,929.5
620.364,929.3
620.496,927.2
620.628,928.3
620.761,926.1
620.893,928.2
621.025,928.5
621.158,927.8
621.29,925.1
621.422,929.5
621.555,927.7
621.687,929.6
621.819,933.8
621.952,932.7
622.084,937.4
622.216,937.0
622.348,936.8
622.481,935.5
622.613,936.3
622.745,931.4
622.878,931.4
623.01,927.5
623.142,926.6
623.274,923.3
623.407,922.8
623.539,924.8
623.671,920.5
623.803,919.6
623.935,921.3
624.068,920.4
624.2,919.5
624.332,922.6
624.464,923.7
624.597,920.0
624.729,921.8
624.861,920.9
624.993,920.1
625.125,923.3
625.258,918.3
625.39,920.8
625.522,918.5
625.654,917.8
625.786,918.6
625.918,915.0
626.051,917.4
626.183,922.9
626.315,926.2
626.447,928.1
626.579,936.6
626.711,953.7
626.844,980.3
626.976,1022.5
627.108,1073.0
627.24,1119.1
627.372,1107.9
627.504,1082.9
627.636,1062.9
627.768,1043.8
627.901,1029.8
628.033,1025.6
628.165,1030.2
628.297,1038.7
628.429,1086.2
628.561,1144.5
628.693,1130.1
628.825,1078.8
628.957,1043.3
629.089,1034.7
629.221,1031.1
629.354,1018.8
629.486,1017.4
629.618,1002.2
629.75,995.3
629.882,988.8
630.014,985.5
630.146,979.9
630.278,981.2
630.41,982.3
630.542,971.7
630.674,972.0
630.806,961.2
630.938,956.9
631.07,941.1
631.202,934.7
631.334,925.8
631.466,921.1
631.598,919.4
631.73,921.4
631.862,915.9
631.994,915.9
632.126,913.0
632.258,914.9
632.39,908.0
632.522,913.1
632.654,909.9
632.786,909.4
632.918,908.2
633.05,911.6
633.182,909.0
633.314,907.2
633.446,904.2
633.578,905.8
633.71,907.5
633.842,909.0
633.974,906.5
634.106,910.6
634.237,906.3
634.369,903.6
634.501,906.6
634.633,905.3
634.765,907.7
634.897,905.8
635.029,908.4
635.161,910.8
635.293,907.1
635.425,905.1
635.557,909.9
635.689,907.6
635.82,911.3
635.952,909.0
636.084,912.4
636.216,911.1
636.348,911.7
636.48,908.3
636.612,907.4
636.744,906.1
636.875,912.5
637.007,912.1
637.139,910.8
637.271,909.5
637.403,911.5
637.535,910.8
637.667,912.1
637.798,911.0
637.93,909.7
638.062,911.9
638.194,911.1
638.326,912.2
638.458,915.9
638.589,913.9
638.721,915.3
638.853,915.3
638.985,912.9
639.117,914.3
639.248,912.8
639.38,912.5
639.512,914.8
639.644,913.8
639.776,916.2
639.907,913.3
640.039,917.1
640.171,918.2
640.303,918.0
640.435,915.3
640.566,916.0
640.698,915.7
640.83,922.5
640.962,919.2
641.093,920.7
641.225,919.9
641.357,919.4
641.489,923.2
641.62,924.4
641.752,920.4
641.884,921.1
642.016,923.4
642.147,928.3
642.279,923.0
642.411,928.0
642.543,922.0
642.674,926.3
642.806,925.1
642.938,928.8
643.069,926.8
643.201,928.0
643.333,923.4
643.465,925.5
643.596,924.8
643.728,924.5
643.86,927.9
643.991,931.8
644.123,929.1
644.255,929.6
644.386,927.4
644.518,930.0
644.65,926.5
644.781,933.6
644.913,928.8
645.045,928.0
645.176,929.5
645.308,930.9
645.44,931.6
645.571,931.3
645.703,933.8
645.835,933.9
645.966,934.4
646.098,934.1
646.23,937.9
646.361,933.3
646.493,934.3
646.625,936.1
646.756,934.0
646.888,935.4
647.019,933.7
647.151,937.6
647.283,937.6
647.414,937.0
647.546,943.9
647.678,939.8
647.809,939.9
647.941,938.1
648.072,935.7
648.204,938.2
648.336,943.1
648.467,942.8
648.599,939.1
648.73,942.3
648.862,942.8
648.993,941.9
649.125,940.7
649.257,943.1
649.388,944.9
649.52,944.1
649.651,942.5
649.783,943.0
649.914,944.6
650.046,941.0
650.178,943.5
650.309,946.0
650.441,942.9
650.572,947.1
650.704,943.6
650.835,945.9
650.967,946.4
651.098,942.9
651.23,947.5
651.361,946.2
651.493,951.2
651.625,949.0
651.756,949.3
651.888,949.3
652.019,951.6
652.151,950.8
652.282,950.0
652.414,952.9
652.545,952.8
652.677,950.5
652.808,953.3
652.94,953.9
653.071,953.3
653.203,956.4
653.334,955.4
653.466,955.2
653.597,951.7
653.729,955.2
653.86,955.5
653.992,954.4
654.123,956.5
654.255,955.2
654.386,951.4
654.518,952.9
654.649,955.0
654.78,954.3
654.912,949.7
655.043,951.3
655.175,951.9
655.306,950.5
655.438,952.3
655.569,953.0
655.701,951.6
655.832,952.5
655.964,950.5
656.095,951.1
656.226,948.9
656.358,950.1
656.489,948.4
656.621,950.9
656.752,945.7
656.884,951.7
657.015,948.9
657.146,945.5
657.278,944.9
657.409,950.4
657.541,947.2
657.672,947.4
657.804,941.2
657.935,946.9
658.066,944.2
658.198,943.2
658.329,945.3
658.461,939.0
658.592,941.2
658.723,941.8
658.855,938.8
658.986,937.2
659.118,939.9
659.249,939.9
659.38,935.8
659.512,935.3
659.643,933.2
659.774,934.6
659.906,931.0
660.037,935.0
660.169,934.4
660.3,927.5
660.431,932.7
660.563,929.4
660.694,926.4
660.825,926.0
660.957,925.1
661.088,923.6
661.22,928.1
661.351,922.3
661.482,918.9
661.614,924.1
661.745,916.5
661.876,919.5
662.008,917.4
662.139,919.0
662.27,916.6
662.402,914.1
662.533,911.6
662.664,915.5
662.796,910.0
662.927,906.3
663.058,909.4
