cm-1,A
4000.0,0.0111
3999.0,0.0111
3998.0,0.0111
3997.0,0.011
3996.0,0.011
3995.0,0.0111
3994.0,0.0112
3993.0,0.0112
3992.0,0.0112
3991.0,0.0111
3990.0,0.0111
3989.0,0.0111
3988.0,0.0111
3987.0,0.0111
3986.0,0.0111
3985.0,0.0111
3984.0,0.0112
3983.0,0.0112
3982.0,0.0112
3981.0,0.0112
3980.0,0.0112
3979.0,0.0112
3978.0,0.0112
3977.0,0.0112
3976.0,0.0112
3975.0,0.0112
3974.0,0.0112
3973.0,0.0112
3972.0,0.0112
3971.0,0.0112
3970.0,0.0112
3969.0,0.0112
3968.0,0.0111
3967.0,0.0111
3966.0,0.0111
3965.0,0.0111
3964.0,0.0111
3963.0,0.0111
3962.0,0.0111
3961.0,0.0111
3960.0,0.0112
3959.0,0.0112
3958.0,0.0113
3957.0,0.0113
3956.0,0.0112
3955.0,0.0112
3954.0,0.0113
3953.0,0.0113
3952.0,0.0113
3951.0,0.0113
3950.0,0.0113
3949.0,0.0113
3948.0,0.0113
3947.0,0.0114
3946.0,0.0114
3945.0,0.0114
3944.0,0.0114
3943.0,0.0114
3942.0,0.0114
3941.0,0.0114
3940.0,0.0114
3939.0,0.0114
3938.0,0.0113
3937.0,0.0112
3936.0,0.0113
3935.0,0.0114
3934.0,0.0115
3933.0,0.0116
3932.0,0.0116
3931.0,0.0116
3930.0,0.0116
3929.0,0.0117
3928.0,0.0117
3927.0,0.0118
3926.0,0.0118
3925.0,0.0118
3924.0,0.0117
3923.0,0.0117
3922.0,0.0116
3921.0,0.0115
3920.0,0.0114
3919.0,0.0114
3918.0,0.0115
3917.0,0.0115
3916.0,0.0115
3915.0,0.0116
3914.0,0.0116
3913.0,0.0115
3912.0,0.0116
3911.0,0.0116
3910.0,0.0116
3909.0,0.0117
3908.0,0.0117
3907.0,0.0116
3906.0,0.0115
3905.0,0.0114
3904.0,0.0113
3903.0,0.0114
3902.0,0.0115
3901.0,0.0115
3900.0,0.0114
3899.0,0.0114
3898.0,0.0114
3897.0,0.0114
3896.0,0.0114
3895.0,0.0115
3894.0,0.0115
3893.0,0.0116
3892.0,0.0116
3891.0,0.0115
3890.0,0.0115
3889.0,0.0116
3888.0,0.0116
3887.0,0.0115
3886.0,0.0113
