cm-1,A
4000.0,0.0001303078917322953
3999.0,0.0001303078917322953
3998.0,8.686758342868472e-05
3997.0,8.686758342868472e-05
3996.0,8.686758342868472e-05
3995.0,8.686758342868472e-05
3994.0,8.686758342868472e-05
3993.0,0.0001303078917322953
3992.0,0.00017375254558760211
3991.0,0.00017375254558760211
3990.0,0.00017375254558760211
3989.0,0.0001303078917322953
3988.0,8.686758342868472e-05
3987.0,0.0
3986.0,0.0
3985.0,0.0
3984.0,0.0
3983.0,4.343161980746579e-05
3982.0,8.686758342868472e-05
3981.0,0.0001303078917322953
3980.0,0.0001303078917322953
3979.0,0.00017375254558760211
3978.0,0.00017375254558760211
3977.0,0.00021720154586435392
3976.0,0.00026065489343207737
3975.0,0.00021720154586435392
3974.0,0.00017375254558760211
3973.0,0.0001303078917322953
3972.0,8.686758342868472e-05
3971.0,8.686758342868472e-05
3970.0,0.0001303078917322953
3969.0,0.00017375254558760211
3968.0,0.00021720154586435392
3967.0,0.00021720154586435392
3966.0,0.00021720154586435392
3965.0,0.00021720154586435392
3964.0,0.00017375254558760211
3963.0,0.0001303078917322953
3962.0,0.0001303078917322953
3961.0,0.0001303078917322953
3960.0,0.0001303078917322953
3959.0,0.0001303078917322953
3958.0,0.0001303078917322953
3957.0,8.686758342868472e-05
3956.0,8.686758342868472e-05
3955.0,4.343161980746579e-05
3954.0,4.343161980746579e-05
3953.0,4.343161980746579e-05
3952.0,4.343161980746579e-05
3951.0,8.686758342868472e-05
3950.0,0.0001303078917322953
3949.0,0.00017375254558760211
3948.0,0.00017375254558760211
3947.0,0.0001303078917322953
3946.0,4.343161980746579e-05
3945.0,0.0
3944.0,0.0
3943.0,4.343161980746579e-05
3942.0,8.686758342868472e-05
3941.0,0.0001303078917322953
3940.0,0.0001303078917322953
3939.0,0.00021720154586435392
3938.0,0.00021720154586435392
3937.0,0.00026065489343207737
3936.0,0.00026065489343207737
3935.0,0.00021720154586435392
3934.0,0.00021720154586435392
3933.0,0.00017375254558760211
3932.0,0.0001303078917322953
3931.0,8.686758342868472e-05
3930.0,8.686758342868472e-05
3929.0,8.686758342868472e-05
3928.0,0.0001303078917322953
3927.0,0.0001303078917322953
3926.0,0.0001303078917322953
3925.0,4.343161980746579e-05
3924.0,0.0
3923.0,-4.3427276862573194e-05
3922.0,-8.685021164911433e-05
3921.0,-4.3427276862573194e-05
3920.0,0.0
3919.0,4.343161980746579e-05
3918.0,4.343161980746579e-05
3917.0,4.343161980746579e-05
3916.0,0.0
3915.0,0.0
3914.0,4.343161980746579e-05
3913.0,0.0001303078917322953
3912.0,0.00017375254558760211
3911.0,0.00021720154586435392
3910.0,0.00017375254558760211
3909.0,0.0001303078917322953
3908.0,4.343161980746579e-05
3907.0,0.0
3906.0,-4.3427276862573194e-05
3905.0,-4.3427276862573194e-05
3904.0,-4.3427276862573194e-05
3903.0,-4.3427276862573194e-05
3902.0,-8.685021164911433e-05
3901.0,-0.00017368305846510168
3900.0,-0.00017368305846510168
3899.0,-0.00017368305846510168
3898.0,-0.00017368305846510168
3897.0,-0.00013026880522692963
3896.0,-0.00013026880522692963
3895.0,-8.685021164911433e-05
3894.0,-8.685021164911433e-05
3893.0,-4.3427276862573194e-05
3892.0,0.0
3891.0,0.0
3890.0,0.0
3889.0,-4.3427276862573194e-05
3888.0,-8.685021164911433e-05
