cm-1,A
4000.0,0.0098
3999.0,0.0097
3998.0,0.0097
3997.0,0.0097
3996.0,0.0098
3995.0,0.0099
3994.0,0.01
3993.0,0.0101
3992.0,0.0102
3991.0,0.0102
3990.0,0.0102
3989.0,0.0101
3988.0,0.01
3987.0,0.01
3986.0,0.01
3985.0,0.0101
3984.0,0.0102
3983.0,0.0102
3982.0,0.0101
3981.0,0.0101
3980.0,0.0101
3979.0,0.0101
3978.0,0.0101
3977.0,0.0101
3976.0,0.0101
3975.0,0.01
3974.0,0.01
3973.0,0.01
3972.0,0.01
3971.0,0.01
3970.0,0.01
3969.0,0.0101
3968.0,0.0101
3967.0,0.0101
3966.0,0.0101
3965.0,0.0101
3964.0,0.0101
3963.0,0.0101
3962.0,0.0101
3961.0,0.0101
3960.0,0.0101
3959.0,0.0101
3958.0,0.01
3957.0,0.01
3956.0,0.01
3955.0,0.0101
3954.0,0.0101
3953.0,0.0101
3952.0,0.0101
3951.0,0.01
3950.0,0.01
3949.0,0.0099
3948.0,0.0099
3947.0,0.01
3946.0,0.0101
3945.0,0.0102
3944.0,0.0102
3943.0,0.0101
3942.0,0.01
3941.0,0.0099
3940.0,0.0099
3939.0,0.0099
3938.0,0.0099
3937.0,0.0099
3936.0,0.01
3935.0,0.01
3934.0,0.01
3933.0,0.0099
3932.0,0.0098
3931.0,0.0098
3930.0,0.0098
3929.0,0.0099
3928.0,0.01
3927.0,0.0102
3926.0,0.0103
3925.0,0.0103
3924.0,0.0102
3923.0,0.0101
3922.0,0.0101
3921.0,0.0101
3920.0,0.0101
3919.0,0.0101
3918.0,0.0102
3917.0,0.0102
3916.0,0.0102
3915.0,0.0102
3914.0,0.0102
3913.0,0.0103
3912.0,0.0103
3911.0,0.0103
3910.0,0.0102
3909.0,0.0102
3908.0,0.0101
3907.0,0.0101
3906.0,0.0101
3905.0,0.01
3904.0,0.0099
3903.0,0.0098
3902.0,0.0097
3901.0,0.0098
3900.0,0.0099
3899.0,0.0099
3898.0,0.01
3897.0,0.0101
3896.0,0.0102
3895.0,0.0102
3894.0,0.0102
3893.0,0.0102
3892.0,0.0102
3891.0,0.0101
3890.0,0.0101
3889.0,0.0102
3888.0,0.0104
3887.0,0.0105
3886.0,0.0104
3885.0,0.0103
3884.0,0.0103
3883.0,0.0104
3882.0,0.0104
3881.0,0.0104
3880.0,0.0103
3879.0,0.0102
3878.0,0.0102
3877.0,0.0103
3876.0,0.0103
3875.0,0.0102
3874.0,0.0101
3873.0,0.0101
3872.0,0.0102
3871.0,0.0103
3870.0,0.0103
3869.0,0.0101
3868.0,0.0102
3867.0,0.0103
3866.0,0.0104
3865.0,0.0104
3864.0,0.0104
3863.0,0.0104
3862.0,0.0104
3861.0,0.0104
3860.0,0.0104
3859.0,0.0104
3858.0,0.0103
3857.0,0.0103
3856.0,0.0103
3855.0,0.0105
3854.0,0.0107
3853.0,0.0106
3852.0,0.0106
3851.0,0.0107
3850.0,0.0109
3849.0,0.0108
3848.0,0.0106
3847.0,0.0105
3846.0,0.0104
3845.0,0.0103
3844.0,0.0101
3843.0,0.01
3842.0,0.0099
3841.0,0.0101
3840.0,0.0103
3839.0,0.0105
3838.0,0.0106
3837.0,0.0105
3836.0,0.0105
3835.0,0.0105
3834.0,0.0105
3833.0,0.0106
3832.0,0.0105
3831.0,0.0105
3830.0,0.0105
3829.0,0.0106
3828.0,0.0106
3827.0,0.0106
3826.0,0.0106
3825.0,0.0106
3824.0,0.0107
3823.0,0.0109
3822.0,0.011
3821.0,0.0109
3820.0,0.0108
3819.0,0.0108
3818.0,0.011
3817.0,0.011
3816.0,0.0109
3815.0,0.0108
3814.0,0.0109
3813.0,0.011
3812.0,0.011
3811.0,0.0109
3810.0,0.0108
3809.0,0.0108
3808.0,0.0108
3807.0,0.0107
3806.0,0.0107
3805.0,0.0107
3804.0,0.0109
3803.0,0.011
3802.0,0.011
3801.0,0.0109
3800.0,0.0108
3799.0,0.0109
3798.0,0.011
3797.0,0.0109
3796.0,0.0108
3795.0,0.0107
3794.0,0.0108
3793.0,0.0108
3792.0,0.0109
3791.0,0.0108
3790.0,0.0107
3789.0,0.0107
3788.0,0.0106
3787.0,0.0106
3786.0,0.0106
3785.0,0.0105
3784.0,0.0105
3783.0,0.0105
3782.0,0.0105
3781.0,0.0106
3780.0,0.0107
3779.0,0.0107
3778.0,0.0107
3777.0,0.0108
3776.0,0.0108
3775.0,0.0108
3774.0,0.0107
3773.0,0.0107
3772.0,0.0107
3771.0,0.0108
3770.0,0.0109
3769.0,0.0109
3768.0,0.0108
3767.0,0.0108
3766.0,0.0108
3765.0,0.0108
3764.0,0.0108
3763.0,0.0108
3762.0,0.0108
3761.0,0.0107
3760.0,0.0105
3759.0,0.0105
3758.0,0.0104
3757.0,0.0105
3756.0,0.0105
3755.0,0.0105
3754.0,0.0104
3753.0,0.0104
3752.0,0.0105
3751.0,0.0108
3750.0,0.011
3749.0,0.0111
3748.0,0.0113
3747.0,0.0115
3746.0,0.0118
3745.0,0.0118
3744.0,0.0114
3743.0,0.0111
3742.0,0.0111
3741.0,0.011
3740.0,0.0107
3739.0,0.0103
3738.0,0.01
3737.0,0.0099
3736.0,0.01
3735.0,0.0102
3734.0,0.0103
3733.0,0.0104
3732.0,0.0104
3731.0,0.0104
3730.0,0.0104
3729.0,0.0105
3728.0,0.0105
3727.0,0.0105
3726.0,0.0104
3725.0,0.0103
3724.0,0.0102
3723.0,0.0102
3722.0,0.0103
3721.0,0.0104
3720.0,0.0106
3719.0,0.0107
3718.0,0.0108
3717.0,0.0108
3716.0,0.0108
3715.0,0.0107
3714.0,0.0107
3713.0,0.0107
3712.0,0.011
3711.0,0.0111
3710.0,0.0111
3709.0,0.011
3708.0,0.0109
3707.0,0.0107
3706.0,0.0106
3705.0,0.0105
3704.0,0.0105
3703.0,0.0104
3702.0,0.0102
3701.0,0.0101
3700.0,0.0101
3699.0,0.0102
3698.0,0.0102
3697.0,0.0102
3696.0,0.0102
3695.0,0.0102
3694.0,0.0102
3693.0,0.0102
3692.0,0.0102
3691.0,0.0102
3690.0,0.0103
3689.0,0.0104
3688.0,0.0105
3687.0,0.0107
3686.0,0.0109
3685.0,0.011
3684.0,0.0111
3683.0,0.0111
3682.0,0.0111
3681.0,0.0111
3680.0,0.0109
3679.0,0.0108
3678.0,0.0108
3677.0,0.0109
3676.0,0.0109
3675.0,0.0106
3674.0,0.0105
3673.0,0.0106
3672.0,0.0108
3671.0,0.0109
3670.0,0.0109
3669.0,0.0107
3668.0,0.0106
3667.0,0.0107
3666.0,0.0108
3665.0,0.0108
3664.0,0.0109
3663.0,0.0109
3662.0,0.0109
3661.0,0.0109
3660.0,0.0109
3659.0,0.011
3658.0,0.0111
3657.0,0.0112
3656.0,0.0111
3655.0,0.0111
3654.0,0.0111
3653.0,0.0112
3652.0,0.0112
3651.0,0.0113
3650.0,0.0116
3649.0,0.0116
3648.0,0.0114
3647.0,0.0113
3646.0,0.0114
3645.0,0.0115
3644.0,0.0117
3643.0,0.0118
3642.0,0.0118
3641.0,0.0118
3640.0,0.0119
3639.0,0.0119
3638.0,0.0119
3637.0,0.0119
3636.0,0.012
3635.0,0.0119
3634.0,0.0118
3633.0,0.0116
3632.0,0.0114
3631.0,0.0115
3630.0,0.0118
3629.0,0.0121
3628.0,0.0121
3627.0,0.0122
3626.0,0.0123
3625.0,0.0123
3624.0,0.0122
3623.0,0.012
3622.0,0.0119
3621.0,0.0119
3620.0,0.012
3619.0,0.0122
3618.0,0.0124
3617.0,0.0125
3616.0,0.0127
3615.0,0.0127
3614.0,0.0128
