nm,Intensity
526.508,830.6
526.645,830.7
526.782,829.1
526.919,830.5
527.055,829.4
527.192,829.5
527.329,828.4
527.465,830.7
527.602,829.7
527.739,829.3
527.875,831.4
528.012,831.0
528.149,830.2
528.285,830.6
528.422,830.4
528.558,831.4
528.695,830.4
528.832,831.7
528.968,830.2
529.105,829.8
529.241,828.6
529.378,830.8
529.514,830.3
529.651,829.8
529.787,830.9
529.924,830.5
530.061,830.2
530.197,828.9
530.334,829.2
530.47,830.9
530.606,829.9
530.743,829.8
530.879,829.4
531.016,829.8
531.152,828.7
531.289,831.4
531.425,829.4
531.562,830.7
531.698,830.1
531.834,830.8
531.971,834.4
532.107,872.3
532.244,883.7
532.38,843.0
532.516,831.6
532.653,829.9
532.789,829.5
532.925,830.0
533.062,828.7
533.198,829.0
533.334,831.4
533.471,829.6
533.607,830.3
533.743,833.8
533.879,845.4
534.016,862.0
534.152,868.3
534.288,866.5
534.424,864.8
534.561,865.5
534.697,862.5
534.833,860.3
534.969,859.8
535.106,856.9
535.242,858.8
535.378,855.2
535.514,852.4
535.65,851.3
535.786,850.9
535.923,849.4
536.059,847.5
536.195,848.4
536.331,848.4
536.467,846.4
536.603,844.5
536.739,846.7
536.876,847.0
537.012,847.0
537.148,845.7
537.284,846.4
537.42,848.0
537.556,849.1
537.692,846.4
537.828,846.4
537.964,845.1
538.1,845.5
538.236,844.4
538.372,844.6
538.508,847.5
538.644,844.8
538.78,844.8
538.916,842.7
539.052,844.4
539.188,844.2
539.324,843.0
539.46,840.6
539.596,844.1
539.732,842.0
539.868,842.3
540.004,843.4
540.14,842.8
540.275,841.5
540.411,840.4
540.547,843.5
540.683,839.2
540.819,841.3
540.955,841.0
541.091,839.7
541.227,843.0
541.362,843.9
541.498,842.1
541.634,844.1
541.77,842.6
541.906,842.5
542.041,842.3
542.177,842.1
542.313,842.6
542.449,842.8
542.585,841.9
542.72,841.1
542.856,841.1
542.992,842.0
543.128,841.5
543.263,842.1
543.399,842.6
543.535,841.7
543.67,841.0
543.806,842.2
543.942,842.7
544.078,841.9
544.213,841.2
544.349,842.5
544.485,840.6
544.62,841.2
544.756,841.0
544.892,841.0
545.027,840.2
545.163,841.8
545.298,840.7
545.434,842.8
545.57,842.5
545.705,842.3
545.841,842.1
545.976,841.7
546.112,843.7
546.248,841.1
546.383,842.7
546.519,843.1
546.654,840.2
546.79,843.4
546.925,843.7
547.061,843.3
547.196,842.6
547.332,844.2
547.467,844.6
547.603,841.4
547.738,841.1
547.874,842.2
548.009,841.6
548.145,842.4
548.28,840.8
548.416,842.4
548.551,842.4
548.686,842.7
548.822,843.2
548.957,842.9
549.093,843.8
549.228,842.7
549.363,843.1
549.499,841.8
549.634,840.7
549.77,842.3
549.905,843.0
550.04,843.0
550.176,841.6
550.311,842.0
550.446,841.7
550.582,843.0
550.717,844.8
550.852,842.6
550.988,843.0
551.123,842.8
551.258,841.7
551.394,843.7
551.529,844.1
551.664,844.4
551.799,842.5
551.935,843.4
552.07,842.8
552.205,844.1
552.34,843.9
552.476,844.6
552.611,842.8
552.746,844.5
552.881,841.9
553.016,842.7
553.152,844.8
553.287,844.9
553.422,844.2
553.557,845.0
553.692,844.8
553.827,844.3
553.963,846.4
554.098,842.5
554.233,845.1
554.368,845.0
554.503,845.0
554.638,845.4
554.773,846.1
554.908,844.5
555.043,843.8
555.179,844.4
555.314,843.0
555.449,844.4
555.584,846.5
555.719,844.9
555.854,843.4
555.989,845.6
556.124,845.0
556.259,846.4
556.394,846.5
556.529,847.1
556.664,847.4
556.799,847.0
556.934,848.1
557.069,847.5
557.204,847.5
557.339,847.9
557.474,847.7
557.609,850.2
557.744,848.6
557.879,848.7
558.014,849.3
558.149,847.7
558.284,851.3
558.419,849.1
558.553,849.1
558.688,849.7
558.823,849.6
558.958,848.5
559.093,847.9
559.228,846.8
559.363,849.9
559.498,847.1
559.632,848.4
