nm,Intensity
526.508,830.4
526.645,829.9
526.782,830.2
526.919,829.0
527.055,829.5
527.192,830.1
527.329,830.8
527.465,830.1
527.602,830.7
527.739,831.1
527.875,830.2
528.012,830.1
528.149,830.4
528.285,831.3
528.422,830.5
528.558,829.5
528.695,829.7
528.832,831.5
528.968,830.0
529.105,829.8
529.241,829.5
529.378,830.4
529.514,830.4
529.651,829.5
529.787,828.9
529.924,831.0
530.061,829.5
530.197,830.9
530.334,829.9
530.47,829.8
530.606,831.0
530.743,829.6
530.879,830.8
531.016,830.2
531.152,830.0
531.289,829.2
531.425,830.3
531.562,831.0
531.698,830.0
531.834,830.4
531.971,835.1
532.107,869.9
532.244,885.7
532.38,844.1
532.516,831.3
532.653,831.0
532.789,830.1
532.925,829.4
533.062,830.1
533.198,830.2
533.334,830.6
533.471,829.6
533.607,831.2
533.743,838.0
533.879,862.5
534.016,904.7
534.152,922.1
534.288,921.3
534.424,915.5
534.561,914.0
534.697,913.7
534.833,907.1
534.969,904.6
535.106,897.4
535.242,898.7
535.378,893.7
535.514,892.8
535.65,890.9
535.786,888.7
535.923,889.2
536.059,886.7
536.195,887.6
536.331,882.7
536.467,881.3
536.603,882.0
536.739,880.7
536.876,884.2
537.012,878.8
537.148,878.8
537.284,881.0
537.42,881.0
537.556,880.0
537.692,877.6
537.828,879.0
537.964,879.0
538.1,878.8
538.236,877.9
538.372,875.6
538.508,876.9
538.644,872.9
538.78,877.6
538.916,874.4
539.052,873.8
539.188,872.7
539.324,873.2
539.46,873.5
539.596,875.0
539.732,873.0
539.868,874.3
540.004,872.0
540.14,871.7
540.275,873.9
540.411,869.7
540.547,873.3
540.683,872.9
540.819,872.5
540.955,873.5
541.091,869.7
541.227,869.9
541.362,870.5
541.498,871.6
541.634,871.2
541.77,874.6
541.906,872.4
542.041,872.3
542.177,872.3
542.313,872.4
542.449,872.7
542.585,874.1
542.72,874.0
542.856,872.2
542.992,870.2
543.128,873.2
543.263,872.9
543.399,873.7
543.535,873.0
543.67,872.3
543.806,874.6
543.942,875.6
544.078,875.3
544.213,873.4
544.349,874.0
544.485,875.0
544.62,874.7
544.756,876.4
544.892,877.5
545.027,875.8
545.163,873.1
545.298,875.6
545.434,876.0
545.57,876.2
545.705,874.1
545.841,878.2
545.976,877.2
546.112,877.1
546.248,878.6
546.383,878.7
546.519,880.3
546.654,877.6
546.79,876.7
546.925,879.5
547.061,879.0
547.196,879.4
547.332,877.4
547.467,877.6
547.603,877.0
547.738,879.9
547.874,879.3
548.009,876.9
548.145,878.3
548.28,877.6
548.416,880.4
548.551,879.1
548.686,879.5
548.822,876.2
548.957,878.2
549.093,880.8
549.228,880.4
549.363,879.0
549.499,876.6
549.634,880.8
549.77,878.2
549.905,881.1
550.04,878.0
550.176,876.2
550.311,879.8
550.446,878.0
550.582,879.0
550.717,877.6
550.852,877.4
550.988,879.1
551.123,880.0
551.258,878.8
551.394,879.0
551.529,877.2
551.664,881.6
551.799,879.7
551.935,878.3
552.07,879.1
552.205,881.8
552.34,880.3
552.476,880.1
552.611,877.5
552.746,879.5
552.881,882.8
553.016,880.7
553.152,882.0
553.287,880.3
553.422,878.7
553.557,882.8
553.692,876.4
553.827,882.3
553.963,880.5
554.098,881.7
554.233,880.2
554.368,883.5
554.503,883.2
554.638,881.6
554.773,881.7
554.908,882.4
555.043,882.6
555.179,880.0
555.314,882.6
555.449,881.7
555.584,883.3
555.719,881.8
555.854,881.3
555.989,882.4
556.124,883.3
556.259,883.4
556.394,882.2
556.529,882.6
556.664,886.0
556.799,888.1
556.934,884.2
557.069,886.9
557.204,887.4
557.339,885.1
557.474,884.8
557.609,890.5
557.744,889.1
557.879,888.3
558.014,891.0
558.149,889.4
558.284,889.3
558.419,892.2
558.553,894.0
558.688,893.5
558.823,891.2
558.958,891.9
559.093,893.2
559.228,892.0
559.363,888.5
559.498,889.4
559.632,892.0
559.767,891.4
559.902,893.2
560.037,890.1
