nm,Intensity
526.508,830.4
526.645,830.9
526.782,829.4
526.919,830.8
527.055,829.4
527.192,830.3
527.329,828.6
527.465,829.2
527.602,830.0
527.739,830.5
527.875,830.7
528.012,830.0
528.149,829.6
528.285,829.4
528.422,830.1
528.558,830.4
528.695,830.0
528.832,827.7
528.968,829.9
529.105,829.6
529.241,830.3
529.378,829.8
529.514,830.1
529.651,829.9
529.787,830.6
529.924,828.6
530.061,829.8
530.197,829.1
530.334,829.8
530.47,828.6
530.606,830.1
530.743,828.7
530.879,830.5
531.016,830.3
531.152,830.0
531.289,829.0
531.425,830.2
531.562,829.8
531.698,829.7
531.834,831.1
531.971,837.1
532.107,912.5
532.244,943.2
532.38,857.9
532.516,831.6
532.653,829.1
532.789,830.7
532.925,829.8
533.062,830.5
533.198,829.0
533.334,830.3
533.471,831.7
533.607,831.2
533.743,833.0
533.879,849.7
534.016,877.5
534.152,885.3
534.288,883.7
534.424,881.2
534.561,876.6
534.697,876.4
534.833,873.0
534.969,872.1
535.106,870.8
535.242,865.6
535.378,864.2
535.514,860.8
535.65,859.2
535.786,858.4
535.923,856.2
536.059,855.8
536.195,852.4
536.331,854.2
536.467,853.9
536.603,850.2
536.739,852.1
536.876,850.3
537.012,849.4
537.148,850.2
537.284,852.8
537.42,851.0
537.556,850.4
537.692,848.1
537.828,848.3
537.964,849.2
538.1,847.6
538.236,849.2
538.372,849.2
538.508,848.8
538.644,848.5
538.78,848.3
538.916,845.0
539.052,846.1
539.188,846.0
539.324,843.7
539.46,844.6
539.596,845.5
539.732,842.9
539.868,846.0
540.004,840.9
540.14,842.1
540.275,842.2
540.411,841.6
540.547,843.3
540.683,842.5
540.819,843.8
540.955,841.9
541.091,844.5
541.227,841.9
541.362,841.2
541.498,842.3
541.634,843.1
541.77,842.1
541.906,841.5
542.041,842.4
542.177,843.1
542.313,843.0
542.449,841.4
542.585,841.9
542.72,843.3
542.856,842.2
542.992,843.9
543.128,841.7
543.263,844.1
543.399,841.4
543.535,842.9
543.67,840.7
543.806,841.9
543.942,843.4
544.078,842.8
544.213,841.7
544.349,839.5
544.485,842.7
544.62,843.2
544.756,838.4
544.892,840.2
545.027,840.8
545.163,843.6
545.298,842.5
545.434,841.3
545.57,841.9
545.705,841.8
545.841,841.5
545.976,842.0
546.112,842.7
546.248,839.5
546.383,841.9
546.519,841.2
546.654,841.3
546.79,841.9
546.925,841.4
547.061,840.7
547.196,840.5
547.332,841.3
547.467,842.3
547.603,841.3
547.738,840.6
547.874,841.3
548.009,841.7
548.145,842.9
548.28,839.8
548.416,840.9
548.551,840.2
548.686,839.8
548.822,841.3
548.957,842.0
549.093,839.6
549.228,840.9
549.363,841.2
549.499,841.0
549.634,841.4
549.77,841.4
549.905,841.5
550.04,840.3
550.176,842.6
550.311,842.4
550.446,839.2
550.582,841.7
550.717,840.3
550.852,838.6
550.988,841.9
551.123,841.5
551.258,840.6
551.394,842.9
551.529,840.4
551.664,838.9
551.799,839.8
551.935,841.4
552.07,841.7
552.205,840.9
552.34,841.4
552.476,842.2
552.611,841.4
552.746,841.7
552.881,839.5
553.016,843.4
553.152,843.1
553.287,843.6
553.422,842.0
553.557,844.2
553.692,842.4
553.827,843.5
553.963,844.2
554.098,844.1
554.233,843.6
554.368,842.9
554.503,844.4
554.638,843.6
554.773,843.1
554.908,844.8
555.043,844.7
555.179,844.9
555.314,842.4
555.449,843.9
555.584,847.2
555.719,845.3
555.854,844.7
555.989,843.4
556.124,845.8
556.259,845.7
556.394,845.2
556.529,844.7
556.664,847.8
556.799,847.3
556.934,847.1
557.069,847.1
557.204,849.5
557.339,848.5
557.474,850.3
557.609,850.4
557.744,850.1
557.879,851.4
558.014,851.5
558.149,849.4
558.284,851.1
558.419,852.3
558.553,853.0
558.688,853.4
558.823,852.8
558.958,852.0
559.093,850.1
559.228,848.6
559.363,850.8
559.498,849.9
559.632,848.8
559.767,848.7
559.902,851.5
560.037,848.2
560.172,849.8
560.307,846.9
560.441,847.6
560.576,848.5
560.711,850.1
560.846,848.3
560.981,846.5
561.115,848.1
561.25,847.9
561.385,848.6
561.52,849.9
561.654,850.4
561.789,849.1
561.924,851.0
562.059,848.7
562.193,849.9
562.328,852.1
562.463,850.9
562.598,851.0
562.732,852.7
562.867,853.4
563.002,856.6
563.136,853.7
563.271,856.0
563.406,856.2
563.54,859.8
563.675,864.9
563.81,876.7
563.944,930.6
564.079,994.2
564.213,951.6
564.348,886.8
564.483,874.8
564.617,873.1
564.752,872.4
564.887,871.3
565.021,866.7
565.156,865.4
565.29,863.3
565.425,863.7
565.559,864.2
565.694,869.6
565.828,881.8
565.963,912.5
566.098,1029.4
566.232,1151.6
566.367,1033.3
566.501,907.3
566.636,872.1
566.77,862.2
566.905,857.6
567.039,857.6
567.174,857.7
567.308,859.3
567.443,858.6
567.577,858.4
567.711,857.5
567.846,853.5
567.98,852.9
568.115,853.7
568.249,852.9
568.384,854.0
568.518,850.8
568.652,852.6
568.787,852.6
568.921,851.0
569.056,855.3
569.19,851.2
569.324,852.0
569.459,852.1
569.593,854.0
569.727,853.1
569.862,855.2
569.996,851.8
570.131,855.6
570.265,855.7
570.399,856.9
570.534,859.6
570.668,862.5
570.802,862.3
570.936,865.3
571.071,865.1
571.205,867.3
571.339,889.2
571.474,1002.4
571.608,1126.0
571.742,979.0
571.876,897.7
572.011,880.0
572.145,870.8
572.279,869.4
572.413,860.8
572.548,857.7
572.682,858.1
572.816,854.9
572.95,853.8
573.084,852.5
573.219,853.5
573.353,852.9
573.487,854.9
573.621,856.0
573.755,856.3
573.889,861.8
574.024,868.8
574.158,862.4
574.292,856.2
574.426,854.3
574.56,852.3
574.694,853.7
574.828,854.4
574.963,854.4
575.097,857.8
575.231,864.8
575.365,890.7
