nm,Intensity
526.494,834.1
526.631,834.8
526.768,834.5
526.904,834.2
527.041,834.8
527.178,834.7
527.315,835.0
527.451,835.4
527.588,834.6
527.725,834.9
527.862,834.0
527.998,833.7
528.135,834.8
528.272,834.0
528.409,835.0
528.545,834.3
528.682,833.5
528.819,835.2
528.955,834.3
529.092,835.1
529.229,833.1
529.365,834.9
529.502,834.8
529.639,834.9
529.775,834.8
529.912,832.8
530.048,835.2
530.185,835.9
530.321,834.6
530.458,834.6
530.595,835.5
530.731,835.0
530.868,833.8
531.004,834.7
531.141,833.9
531.277,835.4
531.414,834.5
531.55,834.0
531.687,835.1
531.823,836.0
531.96,845.7
532.096,922.0
532.233,942.5
532.369,857.4
532.506,837.2
532.642,834.5
532.778,833.5
532.915,834.4
533.051,834.8
533.188,834.0
533.324,834.1
533.46,833.1
533.597,836.0
533.733,838.5
533.869,859.7
534.006,891.7
534.142,909.6
534.278,909.3
534.415,904.3
534.551,911.3
534.687,914.3
534.824,916.7
534.96,914.3
535.096,915.8
535.232,910.7
535.369,903.2
535.505,891.8
535.641,883.0
535.777,877.0
535.914,871.5
536.05,868.8
536.186,866.1
536.322,863.1
536.458,862.5
536.595,862.3
536.731,861.9
536.867,860.6
537.003,862.9
537.139,862.4
537.275,861.3
537.411,861.7
537.548,859.9
537.684,860.7
537.82,860.3
537.956,859.4
538.092,860.1
538.228,857.8
538.364,855.9
538.5,859.2
538.636,856.1
538.772,855.5
538.908,855.2
539.044,853.2
539.18,851.5
539.316,851.5
539.452,852.3
539.588,852.5
539.724,851.0
539.86,852.6
539.996,848.1
540.132,852.4
540.268,849.8
540.404,849.8
540.54,850.1
540.676,850.2
540.812,848.1
540.948,849.8
541.084,850.3
541.22,850.5
541.355,851.7
541.491,848.6
541.627,848.4
541.763,848.8
541.899,849.0
542.035,851.0
542.171,851.3
542.306,851.1
542.442,849.6
542.578,849.7
542.714,850.8
542.85,849.6
542.985,850.3
543.121,848.6
543.257,849.4
543.393,849.0
543.529,849.6
543.664,849.9
543.8,849.7
543.936,850.6
544.072,848.6
544.207,851.7
544.343,848.5
544.479,849.3
544.614,848.5
544.75,849.8
544.886,851.4
545.021,850.0
545.157,851.2
545.293,848.2
545.428,849.9
545.564,849.1
545.7,849.9
545.835,848.3
545.971,849.0
546.106,848.3
546.242,849.6
546.378,847.7
546.513,849.1
546.649,848.2
546.784,851.0
546.92,849.0
547.055,849.8
547.191,851.2
547.327,849.0
547.462,847.9
547.598,847.9
547.733,848.8
547.869,849.7
548.004,850.6
548.14,849.9
548.275,849.1
548.411,848.5
548.546,849.5
548.682,847.4
548.817,848.8
548.952,847.4
549.088,849.2
549.223,850.0
549.359,849.8
549.494,849.0
549.63,849.0
549.765,849.0
549.9,848.6
550.036,848.4
550.171,848.4
550.306,848.7
550.442,850.9
550.577,850.0
550.713,848.7
550.848,850.0
550.983,849.8
551.119,849.3
551.254,849.1
551.389,849.8
551.524,850.9
551.66,846.6
551.795,849.9
551.93,849.2
552.066,850.1
552.201,850.7
552.336,849.4
552.471,848.2
552.607,849.1
552.742,850.3
552.877,849.1
553.012,851.3
553.148,850.6
553.283,854.1
553.418,853.9
553.553,852.0
553.688,852.5
553.823,852.4
553.959,851.1
554.094,853.3
554.229,851.0
554.364,852.1
554.499,851.1
554.634,853.2
554.77,852.4
554.905,853.7
555.04,852.2
555.175,853.9
555.31,852.9
555.445,856.3
555.58,856.7
555.715,855.3
555.85,853.6
555.985,854.4
556.12,854.7
556.255,855.9
556.39,858.3
556.525,854.3
556.661,854.6
556.796,855.4
556.931,857.2
557.066,856.7
557.201,858.5
557.336,856.9
557.471,856.9
557.605,859.1
557.74,861.4
557.875,860.8
558.01,860.7
558.145,858.5
558.28,860.4
558.415,858.2
558.55,861.3
558.685,859.2
558.82,858.7
558.955,858.5
559.09,856.8
559.225,861.1
559.36,858.5
