nm,Intensity
528.626,1868.65
528.711,1868.5
528.795,1869.88
528.879,1869.05
528.963,1868.75
529.048,1868.35
529.132,1870.03
529.216,1868.78
529.3,1869.65
529.385,1869.35
529.469,1868.78
529.553,1869.75
529.637,1869.1
529.721,1868.82
529.806,1869.25
529.89,1868.72
529.974,1868.85
530.058,1869.3
530.143,1868.57
530.227,1869.68
530.311,1868.97
530.395,1869.65
530.48,1870.57
530.564,1869.82
530.648,1870.43
530.732,1868.72
530.816,1869.75
530.901,1869.55
530.985,1869.97
531.069,1870.63
531.153,1869.78
531.237,1871.47
531.322,1872.9
531.406,1874.32
531.49,1875.05
531.574,1879.38
531.658,1895.88
531.743,1959.75
531.827,2203.38
531.911,2672.32
531.995,3360.18
532.079,3559.15
532.164,3190.18
532.248,2638.4
532.332,2108.5
532.416,1899.15
532.5,1873.0
532.585,1870.4
532.669,1870.97
532.753,1869.43
532.837,1869.47
532.921,1870.0
533.006,1870.95
533.09,1869.63
533.174,1871.03
533.258,1870.35
533.342,1871.35
533.426,1873.47
533.511,1879.82
533.595,1900.45
533.679,1937.63
533.763,1999.85
533.847,2069.55
533.931,2127.3
534.016,2170.27
534.1,2200.63
534.184,2210.8
534.268,2210.27
534.352,2216.02
534.436,2213.23
534.521,2217.38
534.605,2221.0
534.689,2224.3
534.773,2233.77
534.857,2231.68
534.941,2231.9
535.025,2233.45
535.11,2241.43
535.194,2248.6
535.278,2242.55
535.362,2251.0
535.446,2238.52
535.53,2238.5
535.614,2239.23
535.699,2236.93
535.783,2227.45
535.867,2226.9
535.951,2229.88
536.035,2221.02
536.119,2219.7
536.203,2224.55
536.287,2226.18
536.372,2225.48
536.456,2230.85
536.54,2226.45
536.624,2223.23
536.708,2226.3
536.792,2226.95
536.876,2235.35
536.96,2234.3
537.044,2234.8
537.129,2232.15
537.213,2235.5
537.297,2237.7
537.381,2238.73
537.465,2250.45
537.549,2254.4
537.633,2255.18
537.717,2254.4
537.801,2251.15
537.885,2251.93
537.97,2252.98
538.054,2243.43
538.138,2239.38
538.222,2237.13
538.306,2248.55
538.39,2247.75
538.474,2244.35
538.558,2252.75
538.642,2251.2
538.726,2259.4
538.81,2257.05
538.894,2260.65
538.979,2266.1
539.063,2264.77
539.147,2260.32
539.231,2269.15
539.315,2273.77
539.399,2270.6
539.483,2274.4
539.567,2271.38
539.651,2275.57
539.735,2274.55
539.819,2281.13
539.903,2276.52
539.987,2277.55
540.071,2279.1
540.155,2287.1
540.239,2290.85
540.324,2294.73
540.408,2299.23
540.492,2293.85
540.576,2301.05
540.66,2314.52
540.744,2316.95
540.828,2321.0
540.912,2327.98
540.996,2332.48
541.08,2341.3
541.164,2346.57
541.248,2347.27
541.332,2338.9
541.416,2340.98
541.5,2340.8
541.584,2340.02
541.668,2345.35
541.752,2343.1
541.836,2341.6
541.92,2352.8
542.004,2350.02
542.088,2353.0
542.172,2359.2
542.256,2368.32
542.34,2364.43
542.424,2360.3
542.508,2365.45
542.592,2366.75
542.676,2366.52
542.76,2364.23
542.844,2377.63
542.928,2377.65
543.012,2375.85
543.096,2377.45
543.18,2370.23
543.264,2355.98
543.348,2350.18
543.432,2343.07
543.516,2344.2
543.6,2336.65
543.684,2336.4
543.768,2358.95
543.852,2359.2
543.936,2357.4
544.02,2358.2
544.104,2364.7
544.188,2376.85
544.272,2365.23
544.356,2359.85
544.44,2364.75
544.524,2360.9
544.608,2368.38
544.692,2376.4
544.776,2378.77
544.86,2383.07
544.944,2385.57
545.028,2380.38
545.112,2387.6
545.196,2391.23
545.28,2385.0
545.364,2383.57
545.448,2396.52
545.532,2382.98
545.616,2372.68
545.7,2371.18
545.784,2360.8
545.867,2364.48
545.951,2359.75
546.035,2363.32
546.119,2357.27
546.203,2367.5
546.287,2359.57
546.371,2354.75
546.455,2361.4
546.539,2343.4
546.623,2352.13
546.707,2354.3
546.791,2348.55
546.875,2347.85
546.959,2346.07
547.043,2351.23
547.127,2360.32
547.21,2364.9
547.294,2359.35
547.378,2361.73
547.462,2357.4
547.546,2364.55
547.63,2350.55
547.714,2335.73
547.798,2336.27
547.882,2333.18
547.966,2332.48
548.05,2333.6
548.134,2331.52
548.217,2332.05
548.301,2336.52
548.385,2334.35
548.469,2347.02
548.553,2345.18
548.637,2345.93
548.721,2339.02
548.805,2344.82
548.889,2350.55
548.972,2354.48
549.056,2356.5
549.14,2355.07
549.224,2348.88
549.308,2348.95
549.392,2351.4
549.476,2354.63
549.56,2343.27
549.644,2334.75
549.727,2323.23
549.811,2320.85
549.895,2324.43
549.979,2332.3
550.063,2339.65
550.147,2336.52
550.231,2335.95
550.315,2339.73
550.398,2334.63
550.482,2332.82
550.566,2323.85
550.65,2318.48
550.734,2322.43
550.818,2324.95
550.902,2326.88
550.985,2326.52
551.069,2318.15
551.153,2316.3
551.237,2317.65
551.321,2324.35
551.405,2319.38
551.488,2323.4
551.572,2329.32
551.656,2322.07
551.74,2331.82
551.824,2332.75
551.908,2319.98
551.991,2322.23
552.075,2323.18
552.159,2324.8
552.243,2309.4
552.327,2313.63
552.411,2315.0
552.494,2311.2
552.578,2304.75
552.662,2306.5
552.746,2307.13
552.83,2305.6
552.914,2312.2
552.997,2305.65
553.081,2310.0
553.165,2307.4
553.249,2303.65
553.333,2308.48
553.416,2303.63
553.5,2316.65
553.584,2311.7
553.668,2299.2
553.752,2293.43
553.835,2299.48
553.919,2302.07
554.003,2303.55
554.087,2308.43
554.171,2305.43
554.254,2298.55
554.338,2304.4
554.422,2310.75
554.506,2308.48
554.589,2299.43
554.673,2304.43
554.757,2309.57
554.841,2304.6
554.925,2310.23
555.008,2307.88
555.092,2311.27
555.176,2300.32
555.26,2296.3
555.343,2301.32
555.427,2310.88
