nm,Intensity
528.635,1837.7
528.719,1836.3
528.803,1838.0
528.887,1837.5
528.972,1835.3
529.056,1835.7
529.14,1836.2
529.224,1837.5
529.308,1837.3
529.393,1836.9
529.477,1834.6
529.561,1836.7
529.645,1838.0
529.73,1838.1
529.814,1837.2
529.898,1837.7
529.982,1838.3
530.066,1838.7
530.151,1837.3
530.235,1837.6
530.319,1835.9
530.403,1838.0
530.487,1839.0
530.572,1838.2
530.656,1838.2
530.74,1838.8
530.824,1837.0
530.908,1839.5
530.993,1839.7
531.077,1838.8
531.161,1839.9
531.245,1842.0
531.329,1843.5
531.414,1844.5
531.498,1843.9
531.582,1850.2
531.666,1878.1
531.75,1990.6
531.835,2485.6
531.919,3805.3
532.003,4735.7
532.087,5596.2
532.171,4593.4
532.255,2809.1
532.34,2001.1
532.424,1853.1
532.508,1840.6
532.592,1842.1
532.676,1839.5
532.76,1839.2
532.845,1837.0
532.929,1837.6
533.013,1839.1
533.097,1838.5
533.181,1837.7
533.265,1840.3
533.35,1841.0
533.434,1846.8
533.518,1861.3
533.602,1902.1
533.686,1984.7
533.77,2093.4
533.854,2203.2
533.939,2291.3
534.023,2332.7
534.107,2347.1
534.191,2345.9
534.275,2343.5
534.359,2345.5
534.443,2343.7
534.528,2347.5
534.612,2341.4
534.696,2352.1
534.78,2356.5
534.864,2375.6
534.948,2387.0
535.032,2366.3
535.117,2342.0
535.201,2314.6
535.285,2270.4
535.369,2231.2
535.453,2190.7
535.537,2167.1
535.621,2150.9
535.705,2133.9
535.79,2108.8
535.874,2103.0
535.958,2076.5
536.042,2089.0
536.126,2087.4
536.21,2069.7
536.294,2072.0
536.378,2069.4
536.462,2061.5
536.546,2064.0
536.631,2057.6
536.715,2041.3
536.799,2038.0
536.883,2045.7
536.967,2041.8
537.051,2040.2
537.135,2046.5
537.219,2046.9
537.303,2045.1
537.387,2040.7
537.472,2053.1
537.556,2055.9
537.64,2063.2
537.724,2043.8
537.808,2051.9
537.892,2040.9
537.976,2046.2
538.06,2023.8
538.144,2029.0
538.228,2027.8
538.312,2020.9
538.396,2006.0
538.48,2018.4
538.565,2021.1
538.649,2008.5
538.733,2006.4
538.817,2007.1
538.901,2004.4
538.985,1998.6
539.069,1990.1
539.153,2001.2
539.237,1987.0
539.321,1999.1
539.405,1987.7
539.489,1977.8
539.573,1984.0
539.657,1980.2
539.741,1973.8
539.825,1986.3
539.909,1983.7
539.993,1975.9
540.077,1971.0
540.161,1973.0
540.246,1973.1
540.33,1981.1
540.414,1966.0
540.498,1973.8
540.582,1971.6
540.666,1967.7
540.75,1967.9
540.834,1969.5
540.918,1969.7
541.002,1970.8
541.086,1969.5
541.17,1962.0
541.254,1964.1
541.338,1959.1
541.422,1966.9
541.506,1966.4
541.59,1964.4
541.674,1968.1
541.758,1974.0
541.842,1955.3
541.926,1973.0
542.01,1977.1
542.094,1964.5
542.178,1968.5
542.262,1960.0
542.346,1968.6
542.43,1956.7
542.514,1963.1
542.598,1961.6
542.682,1966.2
542.766,1959.8
542.85,1962.4
542.934,1960.8
543.018,1962.0
543.102,1957.3
543.186,1959.7
543.27,1962.7
543.354,1955.0
543.438,1966.3
543.522,1955.8
543.606,1967.3
543.69,1952.3
543.774,1957.7
543.858,1957.8
543.942,1962.7
544.026,1961.1
544.11,1958.4
544.194,1949.8
544.278,1949.3
544.362,1952.8
544.445,1954.5
544.529,1951.7
544.613,1959.2
544.697,1956.7
544.781,1962.7
544.865,1955.6
544.949,1961.5
545.033,1958.8
545.117,1955.3
545.201,1956.4
545.285,1957.2
545.369,1952.8
545.453,1947.0
545.537,1952.4
545.621,1942.0
545.705,1951.8
545.789,1954.0
545.873,1962.3
545.957,1958.5
546.04,1947.1
546.124,1954.0
546.208,1951.6
546.292,1948.8
546.376,1953.0
546.46,1952.5
546.544,1950.6
546.628,1945.3
546.712,1959.5
546.796,1951.8
546.88,1954.2
546.964,1952.1
547.048,1961.7
547.131,1954.0
547.215,1952.8
547.299,1949.6
547.383,1956.3
547.467,1954.3
547.551,1966.1
547.635,1958.8
547.719,1955.5
547.803,1957.6
547.887,1964.2
547.97,1954.9
548.054,1949.7
548.138,1955.9
548.222,1944.1
548.306,1947.6
548.39,1948.4
548.474,1951.4
548.558,1959.0
548.642,1957.6
548.725,1951.8
548.809,1946.4
548.893,1949.5
548.977,1945.2
549.061,1948.9
549.145,1949.0
549.229,1955.1
549.313,1946.0
549.396,1952.7
549.48,1947.2
549.564,1950.5
549.648,1948.1
549.732,1943.6
549.816,1948.6
549.9,1947.5
549.983,1952.9
550.067,1948.3
550.151,1945.2
550.235,1954.0
550.319,1951.6
550.403,1943.5
550.487,1948.3
550.57,1947.9
550.654,1947.5
550.738,1953.2
550.822,1941.7
550.906,1948.3
550.99,1946.3
551.074,1950.9
551.157,1947.1
551.241,1950.6
551.325,1952.0
551.409,1953.4
551.493,1959.4
551.576,1946.0
551.66,1954.4
551.744,1941.5
551.828,1952.4
551.912,1949.9
551.996,1949.8
552.079,1954.4
552.163,1956.6
552.247,1945.6
552.331,1946.9
552.415,1946.1
552.499,1950.3
552.582,1951.8
552.666,1952.6
552.75,1946.2
552.834,1957.0
552.918,1957.0
553.001,1963.5
553.085,1957.6
553.169,1971.0
553.253,1975.3
553.337,1981.8
553.42,1971.9
553.504,1971.7
553.588,1977.4
553.672,1973.6
553.755,1977.6
553.839,1975.1
553.923,1974.2
554.007,1976.3
554.091,1981.2
554.174,1977.0
554.258,1975.4
554.342,1984.6
554.426,1984.4
554.509,1980.0
554.593,1979.2
554.677,1983.7
554.761,1975.2
554.845,1980.0
554.928,1985.9
555.012,1978.5
555.096,1979.5
555.18,1984.0
555.263,1983.6
555.347,1982.9
555.431,1990.4
555.515,1986.6
555.598,1994.1
555.682,1995.5
555.766,1987.2
555.85,1994.2
555.933,2005.1
556.017,1996.1
556.101,1997.0
556.185,2007.9
556.268,2002.2
556.352,2001.9
556.436,1999.2
556.52,2015.3
556.603,2006.5
556.687,2002.5
556.771,2013.2
556.854,2014.1
556.938,2023.8
557.022,2008.2
557.106,2018.9
557.189,2021.1
557.273,2024.8
557.357,2032.6
557.44,2036.8
557.524,2029.1
557.608,2037.6
557.692,2035.0
557.775,2043.0
557.859,2042.4
557.943,2052.9
558.026,2064.5
558.11,2062.2
558.194,2054.1
558.278,2061.2
558.361,2056.6
558.445,2055.5
558.529,2053.8
558.612,2066.8
558.696,2063.1
558.78,2048.2
558.863,2037.5
558.947,2042.4
559.031,2036.0
559.114,2044.1
559.198,2047.0
559.282,2046.3
559.365,2031.2
559.449,2035.4
559.533,2038.2
559.616,2033.7
559.7,2022.7
559.784,2025.8
559.867,2030.2
559.951,2036.1
560.035,2033.1
560.118,2027.7
560.202,2025.1
560.286,2019.4
560.369,2020.9
560.453,2017.2
560.537,2022.0
560.62,2032.6
560.704,2027.5
560.788,2024.9
560.871,2024.0
560.955,2019.8
561.039,2027.4
561.122,2016.3
561.206,2021.6
561.29,2035.0
561.373,2029.9
561.457,2026.8
561.54,2033.8
561.624,2037.7
561.708,2029.5
561.791,2036.9
561.875,2036.4
561.959,2036.1
562.042,2037.8
562.126,2048.9
562.209,2059.6
562.293,2056.6
562.377,2056.6
562.46,2064.8
562.544,2067.0
562.628,2067.3
562.711,2068.3
562.795,2085.1
562.878,2077.4
562.962,2072.7
563.046,2068.4
563.129,2087.0
563.213,2094.8
563.296,2095.3
563.38,2106.6
563.464,2120.9
563.547,2178.2
563.631,2271.0
563.714,2443.4
563.798,2693.1
563.881,3017.4
563.965,3288.8
564.049,3362.7
564.132,3099.1
564.216,2772.5
564.299,2445.4
564.383,2306.8
564.467,2290.8
564.55,2288.5
564.634,2272.6
564.717,2257.6
564.801,2242.0
564.884,2229.7
564.968,2218.4
565.052,2190.1
565.135,2184.6
565.219,2162.3
565.302,2161.3
565.386,2169.4
565.469,2181.9
565.553,2190.1
