nm,Intensity
526.532,833.45
526.669,833.6
526.805,833.0
526.942,832.7
527.079,833.7
527.216,833.8
527.352,833.35
527.489,833.15
527.625,834.1
527.762,833.8
527.899,833.35
528.035,833.2
528.172,834.55
528.309,832.55
528.445,832.9
528.582,832.65
528.718,833.2
528.855,833.45
528.992,833.0
529.128,833.35
529.265,832.55
529.401,834.5
529.538,832.9
529.674,832.25
529.811,833.8
529.947,832.6
530.084,833.6
530.22,833.6
530.357,832.95
530.493,832.8
530.63,833.45
530.766,833.25
530.903,833.35
531.039,833.2
531.176,832.65
531.312,833.1
531.449,832.8
531.585,832.7
531.721,833.8
531.858,833.35
531.994,837.65
532.131,850.35
532.267,845.6
532.403,834.7
532.54,833.9
532.676,832.35
532.812,833.15
532.949,834.25
533.085,832.85
533.221,832.3
533.358,833.35
533.494,833.25
533.63,834.15
533.767,841.85
533.903,868.5
534.039,898.5
534.176,906.45
534.312,904.2
534.448,902.25
534.584,902.4
534.721,901.85
534.857,901.95
534.993,899.6
535.129,898.85
535.266,897.45
535.402,889.3
535.538,885.6
535.674,883.55
535.81,877.6
535.947,876.3
536.083,874.5
536.219,873.05
536.355,873.2
536.491,872.6
536.627,872.3
536.764,869.7
536.9,869.35
537.036,870.8
537.172,869.8
537.308,870.4
537.444,871.75
537.58,869.15
537.716,869.2
537.852,870.95
537.988,871.65
538.125,870.55
538.261,871.45
538.397,868.45
538.533,867.55
538.669,868.2
538.805,868.65
538.941,867.15
539.077,866.8
539.213,865.75
539.349,865.9
539.485,865.7
539.621,865.9
539.757,865.15
539.893,866.1
540.029,865.2
540.165,865.65
540.301,866.85
540.437,864.3
540.572,864.55
540.708,863.55
540.844,865.1
540.98,865.25
541.116,864.45
541.252,863.95
541.388,864.3
541.524,865.05
541.66,866.5
541.795,865.45
541.931,863.8
542.067,864.85
542.203,865.7
542.339,865.2
542.475,865.0
542.611,866.0
542.746,865.6
542.882,866.15
543.018,865.0
543.154,867.6
543.289,864.35
543.425,866.8
543.561,866.35
543.697,865.9
543.833,866.45
543.968,865.85
544.104,865.85
544.24,863.75
544.375,866.2
544.511,867.0
544.647,866.35
544.783,869.3
544.918,867.2
545.054,866.35
545.19,867.75
545.325,866.55
545.461,867.3
545.597,866.4
545.732,866.9
545.868,866.1
546.004,868.5
546.139,868.65
546.275,867.3
546.41,867.05
546.546,867.35
546.682,867.3
546.817,868.05
546.953,867.55
547.088,869.0
547.224,868.25
547.36,869.8
547.495,865.7
547.631,868.5
547.766,868.1
547.902,867.15
548.037,868.1
548.173,868.3
548.308,869.85
548.444,868.9
548.579,868.0
548.715,868.75
548.85,869.4
548.986,867.9
549.121,869.9
549.257,868.65
549.392,869.85
549.528,867.75
549.663,869.85
549.798,868.95
549.934,868.25
550.069,868.25
550.205,869.0
550.34,867.55
550.475,868.6
550.611,869.25
550.746,871.35
550.882,868.65
551.017,868.0
551.152,869.5
551.288,868.2
551.423,869.6
551.558,869.45
551.694,869.55
551.829,870.15
551.964,868.1
552.1,869.15
552.235,868.2
552.37,867.75
552.505,870.55
552.641,869.0
552.776,868.1
552.911,870.85
553.047,868.05
553.182,871.35
553.317,871.1
553.452,870.5
553.588,873.35
553.723,870.75
553.858,870.45
553.993,871.15
554.128,872.85
554.264,871.55
554.399,871.2
554.534,872.4
554.669,872.55
554.804,871.9
554.939,870.8
555.075,872.8
555.21,870.55
555.345,869.25
555.48,871.95
555.615,871.6
555.75,872.2
555.885,874.15
556.02,874.3
556.155,872.95
556.291,873.35
556.426,872.15
556.561,873.65
556.696,872.55
556.831,873.15
556.966,875.6
557.101,876.1
557.236,876.35
557.371,876.7
557.506,874.9
557.641,876.1
557.776,876.6
557.911,878.1
558.046,878.0
558.181,876.8
558.316,876.05
558.451,876.3
558.586,877.3
558.721,875.9
558.856,877.35
558.991,875.8
559.126,876.7
559.261,876.9
559.396,876.05
559.531,878.05
559.665,877.35
559.8,877.5
559.935,876.75
560.07,876.9
560.205,877.45
560.34,877.15
560.475,875.5
560.61,876.2
560.745,877.85
560.879,875.65
561.014,879.05
561.149,876.8
561.284,876.85
561.419,878.0
561.553,879.8
561.688,878.15
561.823,879.8
561.958,879.15
562.093,879.4
562.227,880.3
562.362,878.0
562.497,880.85
562.632,881.05
562.767,883.5
562.901,882.5
563.036,884.05
563.171,887.25
563.305,882.8
563.44,885.8
563.575,887.85
563.71,894.7
563.844,917.75
563.979,971.65
564.114,1001.05
564.248,944.4
564.383,903.85
564.518,899.85
564.652,899.65
564.787,898.85
564.922,898.15
565.056,893.95
565.191,893.85
565.325,888.45
565.46,891.0
565.595,891.45
565.729,894.3
565.864,901.5
565.999,923.15
566.133,978.6
566.268,994.55
566.402,935.3
566.537,900.25
566.671,891.7
566.806,887.75
566.94,886.3
567.075,885.85
567.21,888.55
567.344,892.45
567.479,907.45
567.613,903.3
567.748,890.25
567.882,887.65
568.017,886.2
568.151,886.2
568.285,884.05
568.42,887.15
568.554,884.7
568.689,884.45
568.823,884.4
568.958,886.75
569.092,886.85
569.227,886.2
569.361,886.95
569.495,887.05
569.63,888.8
569.764,889.2
569.899,890.7
570.033,891.2
570.167,889.85
570.302,888.25
570.436,891.0
570.571,892.05
570.705,896.65
570.839,897.75
570.974,894.65
571.108,898.35
571.242,906.0
571.377,934.45
571.511,1056.3
571.645,1074.3
571.78,959.2
571.914,919.8
572.048,910.25
572.182,905.6
572.317,901.2
572.451,900.4
572.585,894.45
572.719,895.7
572.854,891.75
572.988,893.85
573.122,893.9
573.256,892.05
573.391,892.3
573.525,893.55
573.659,892.95
573.793,897.3
573.927,900.55
574.062,902.95
574.196,899.55
574.33,895.9
574.464,894.35
574.598,892.4
574.733,894.9
574.867,895.1
575.001,894.85
575.135,897.1
575.269,900.1
575.403,919.4
575.537,961.45
575.671,955.15
575.806,934.05
575.94,933.7
576.074,960.4
576.208,1005.85
576.342,1052.0
576.476,1027.8
576.61,982.2
576.744,975.85
576.878,978.95
577.012,986.2
577.146,982.7
577.28,972.15
577.414,951.7
577.548,932.8
577.682,924.15
577.817,918.8
577.951,917.95
578.085,915.75
578.219,917.0
578.353,916.35
578.486,915.6
578.62,914.25
578.754,915.7
578.888,918.85
579.022,917.6
579.156,919.0
579.29,920.35
579.424,923.2
579.558,922.8
579.692,924.85
579.826,924.0
579.96,929.0
580.094,927.85
580.228,928.1
580.362,932.8
580.496,931.8
580.629,930.7
580.763,935.45
580.897,938.75
581.031,934.95
581.165,937.4
581.299,936.0
581.433,942.05
581.566,944.1
581.7,944.3
581.834,946.3
581.968,945.45
582.102,947.1
582.236,950.4
582.369,952.35
582.503,954.55
582.637,957.4
582.771,959.2
582.905,960.7
583.038,959.05
583.172,964.0
583.306,961.7
583.44,964.8
583.573,965.25
583.707,971.05
583.841,971.15
583.975,972.35
584.108,977.65
584.242,976.1
584.376,975.65
584.509,980.05
584.643,981.7
584.777,984.3
584.911,984.4
585.044,987.9
585.178,989.25
585.312,988.65
585.445,994.85
585.579,996.1
585.713,997.15
585.846,1000.95
585.98,1002.1
586.113,1000.1
586.247,1004.45
586.381,1007.6
586.514,1008.5
586.648,1008.4
586.782,1013.05
586.915,1014.9
587.049,1017.35
587.182,1020.25
587.316,1020.5
587.45,1018.65
587.583,1024.75
587.717,1023.6
587.85,1025.8
587.984,1022.5
588.117,1030.95
588.251,1026.05
588.384,1030.65
588.518,1032.65
588.651,1039.15
588.785,1037.4
588.919,1037.3
589.052,1038.7
589.186,1042.7
589.319,1039.15
589.453,1041.15
589.586,1041.35
589.72,1048.5
589.853,1048.85
589.986,1048.8
590.12,1054.5
590.253,1053.55
590.387,1055.75
590.52,1059.95
590.654,1054.8
590.787,1059.3
590.921,1060.75
591.054,1067.5
591.187,1062.2
591.321,1063.15
591.454,1066.65
591.588,1064.7
591.721,1069.4
591.854,1070.85
591.988,1075.3
592.121,1072.45
592.255,1071.75
592.388,1075.75
592.521,1076.55
592.655,1082.4
592.788,1075.75
592.921,1079.6
593.055,1080.15
593.188,1078.85
593.321,1081.75
593.455,1082.75
593.588,1090.25
593.721,1084.55
593.855,1089.65
593.988,1086.4
