nm,Intensity
526.486,828.1
526.622,828.2
526.759,829.4
526.896,830.2
527.033,830.1
527.169,829.4
527.306,829.0
527.443,827.9
527.579,828.4
527.716,828.5
527.853,828.7
527.989,829.3
528.126,829.0
528.263,829.4
528.399,828.8
528.536,830.2
528.672,828.8
528.809,829.1
528.946,829.1
529.082,830.5
529.219,829.4
529.355,828.9
529.492,831.5
529.628,831.0
529.765,829.9
529.901,830.4
530.038,830.4
530.174,828.5
530.311,828.8
530.447,829.6
530.584,829.3
530.72,829.5
530.857,830.1
530.993,829.3
531.13,829.3
531.266,828.5
531.403,829.0
531.539,830.4
531.676,829.0
531.812,829.4
531.948,835.5
532.085,889.9
532.221,938.2
532.358,864.0
532.494,831.8
532.63,829.8
532.767,828.7
532.903,828.5
533.039,830.5
533.176,829.4
533.312,829.9
533.448,829.6
533.585,829.0
533.721,830.8
533.857,835.0
533.993,846.4
534.13,852.8
534.266,853.9
534.402,854.2
534.539,853.1
534.675,850.0
534.811,850.2
534.947,850.7
535.083,848.7
535.22,847.2
535.356,847.6
535.492,844.4
535.628,841.7
535.764,841.2
535.901,842.1
536.037,839.1
536.173,841.3
536.309,839.3
536.445,838.2
536.581,838.5
536.717,839.6
536.854,840.3
536.99,837.5
537.126,837.9
537.262,837.6
537.398,839.0
537.534,836.2
537.67,837.4
537.806,837.6
537.942,836.6
538.078,836.8
538.214,838.1
538.35,836.1
538.486,837.6
538.622,835.8
538.758,836.8
538.894,838.2
539.03,838.1
539.166,837.5
539.302,835.7
539.438,837.8
539.574,835.9
539.71,836.2
539.846,836.1
539.982,836.1
540.118,836.6
540.254,835.9
540.39,833.9
540.526,834.2
540.662,835.2
540.798,835.9
540.933,834.0
541.069,834.6
541.205,834.3
541.341,835.2
541.477,835.7
541.613,836.7
541.749,834.9
541.884,834.8
542.02,836.7
542.156,835.2
542.292,835.4
542.428,835.1
542.563,834.1
542.699,835.3
542.835,833.1
542.971,834.3
543.106,835.0
543.242,834.3
543.378,835.5
543.514,833.7
543.649,835.7
543.785,836.8
543.921,835.3
544.057,836.0
544.192,835.3
544.328,834.4
544.464,834.2
544.599,835.3
544.735,833.4
544.871,834.5
545.006,835.0
545.142,834.5
545.278,834.4
545.413,836.3
545.549,835.3
545.684,834.4
545.82,834.7
545.956,834.3
546.091,833.1
546.227,834.6
546.362,835.7
546.498,834.9
546.634,834.5
546.769,833.7
546.905,834.7
547.04,834.1
547.176,833.6
547.311,837.1
547.447,834.2
547.582,834.3
547.718,835.4
547.853,833.9
547.989,834.1
548.124,833.7
548.26,836.2
548.395,835.1
548.531,835.0
548.666,835.8
548.802,834.6
548.937,835.5
549.072,833.8
549.208,834.0
549.343,836.4
549.479,835.9
549.614,835.4
549.75,835.6
549.885,835.6
550.02,834.7
550.156,835.9
550.291,834.6
550.426,832.4
550.562,836.0
550.697,836.0
550.832,835.1
550.968,835.9
551.103,836.7
551.238,836.2
551.374,836.2
551.509,836.6
551.644,835.7
551.78,834.8
551.915,834.3
552.05,834.9
552.185,834.5
552.321,835.3
552.456,833.6
552.591,834.2
552.726,834.7
552.862,836.0
552.997,833.6
553.132,835.5
553.267,836.8
553.403,837.2
553.538,836.3
553.673,836.8
553.808,834.8
553.943,834.7
554.078,835.5
554.214,836.6
554.349,840.1
554.484,836.6
554.619,836.0
554.754,835.9
554.889,836.2
555.024,838.3
555.16,835.2
555.295,835.8
555.43,836.7
555.565,837.4
555.7,837.7
555.835,837.5
555.97,837.4
556.105,837.4
556.24,833.9
556.375,836.9
556.51,838.1
556.645,837.3
556.78,836.7
556.915,836.2
557.05,838.0
557.185,837.4
557.32,838.0
557.455,838.0
557.59,837.1
557.725,839.2
557.86,837.7
557.995,838.5
558.13,838.9
558.265,837.8
558.4,837.4
558.535,838.6
558.67,839.8
558.805,838.6
558.94,840.0
559.075,838.5
559.21,837.5
559.345,839.9
559.479,839.3
559.614,835.5
559.749,837.9
559.884,839.3
560.019,837.9
560.154,838.2
560.289,837.9
560.424,838.6
560.558,837.2
560.693,837.2
560.828,837.4
560.963,837.1
561.098,838.2
561.232,837.6
561.367,838.0
561.502,835.2
561.637,837.4
561.772,837.1
561.906,836.9
562.041,839.3
562.176,837.4
562.311,837.7
562.445,838.0
562.58,839.4
562.715,837.8
562.85,839.4
562.984,838.3
563.119,840.0
563.254,837.8
563.388,839.0
563.523,839.9
563.658,839.8
563.792,845.2
563.927,860.1
564.062,876.8
564.196,866.7
564.331,849.1
564.466,848.7
564.6,844.2
564.735,844.3
564.87,847.0
565.004,842.3
565.139,842.6
565.273,842.3
565.408,842.1
565.543,843.4
565.677,841.9
565.812,843.9
565.946,847.1
566.081,862.4
566.215,876.8
566.35,865.7
566.485,849.8
566.619,841.8
566.754,840.8
566.888,839.3
567.023,839.5
567.157,841.3
567.292,842.2
567.426,844.1
567.561,846.2
567.695,843.4
567.83,842.8
567.964,840.6
568.099,839.5
568.233,838.9
568.368,838.4
568.502,839.3
568.636,840.3
568.771,841.0
568.905,839.0
569.04,840.2
569.174,839.4
569.309,841.3
569.443,841.2
569.577,839.7
569.712,840.1
569.846,841.5
569.98,840.7
570.115,839.9
570.249,841.4
570.384,840.6
570.518,842.8
570.652,842.9
570.787,845.1
570.921,843.9
571.055,845.0
571.19,846.1
571.324,850.7
571.458,872.9
571.592,908.2
571.727,882.3
571.861,857.6
571.995,851.5
572.13,848.1
572.264,845.2
572.398,846.6
572.532,843.8
572.667,845.2
572.801,841.8
572.935,841.3
573.069,844.3
573.204,841.4
573.338,842.3
573.472,844.0
573.606,844.3
573.74,843.1
573.875,845.2
574.009,847.7
574.143,848.7
574.277,844.8
574.411,843.8
574.545,842.6
574.68,842.7
574.814,843.9
574.948,843.6
575.082,844.1
575.216,844.0
575.35,847.8
575.484,857.9
575.619,865.9
575.753,860.2
575.887,858.0
576.021,862.9
576.155,876.0
576.289,893.9
576.423,895.1
576.557,882.7
576.691,874.0
576.825,869.5
576.959,873.5
577.093,872.3
577.227,871.8
577.361,866.7
577.495,856.2
577.629,853.9
577.763,850.6
577.897,849.6
578.031,849.7
578.165,848.4
578.299,849.2
578.433,848.8
578.567,851.0
578.701,849.5
578.835,848.6
578.969,851.5
579.103,850.3
579.237,849.2
579.371,850.2
579.505,849.3
579.639,850.8
579.773,852.2
579.907,850.3
580.041,851.5
580.175,852.2
580.309,851.3
580.442,851.7
580.576,850.8
580.71,854.2
580.844,852.6
580.978,853.2
581.112,854.7
581.246,854.3
581.38,853.2
581.513,855.1
581.647,854.5
581.781,856.6
581.915,855.7
582.049,860.1
582.183,857.4
582.316,857.2
582.45,858.7
582.584,858.1
582.718,859.6
582.852,861.2
582.985,859.3
583.119,862.5
583.253,860.7
583.387,860.9
583.52,860.9
583.654,863.5
583.788,861.9
583.922,863.6
584.055,862.1
584.189,865.2
584.323,865.3
584.456,867.0
584.59,867.6
584.724,865.1
584.858,869.1
584.991,868.2
585.125,871.1
585.259,868.7
585.392,869.5
585.526,872.1
