nm,Intensity
526.547,833.2
526.683,833.9
526.82,832.3
526.957,831.8
527.094,831.4
527.23,832.9
527.367,832.6
527.504,832.9
527.641,832.4
527.777,832.4
527.914,832.6
528.051,832.8
528.188,833.5
528.324,830.7
528.461,833.2
528.598,830.8
528.734,832.3
528.871,833.4
529.008,831.7
529.144,833.0
529.281,833.6
529.417,833.5
529.554,832.3
529.691,833.0
529.827,832.1
529.964,832.2
530.1,833.8
530.237,832.4
530.373,832.2
530.51,833.6
530.647,831.7
530.783,833.2
530.92,832.4
531.056,831.1
531.193,833.2
531.329,833.2
531.466,832.0
531.602,832.2
531.738,833.8
531.875,832.5
532.011,841.8
532.148,865.2
532.284,858.7
532.421,835.8
532.557,831.9
532.693,832.3
532.83,831.3
532.966,833.1
533.103,833.0
533.239,834.2
533.375,833.5
533.512,832.1
533.648,834.7
533.784,840.8
533.921,864.0
534.057,888.9
534.193,894.8
534.33,894.7
534.466,892.0
534.602,889.7
534.738,892.2
534.875,889.6
535.011,886.3
535.147,885.9
535.283,880.4
535.42,879.4
535.556,877.6
535.692,876.4
535.828,876.7
535.964,873.6
536.101,875.0
536.237,871.5
536.373,873.8
536.509,865.8
536.645,868.0
536.781,869.6
536.917,867.7
537.054,866.7
537.19,867.6
537.326,867.4
537.462,867.5
537.598,868.9
537.734,867.2
537.87,865.6
538.006,869.9
538.142,867.4
538.278,866.8
538.414,866.0
538.55,863.9
538.686,866.9
538.822,864.8
538.958,862.6
539.094,862.8
539.23,862.6
539.366,861.7
539.502,859.3
539.638,862.3
539.774,864.3
539.91,864.0
540.046,862.2
540.182,864.3
540.318,862.8
540.454,861.7
540.59,859.9
540.726,859.8
540.862,862.6
540.997,860.8
541.133,860.6
541.269,861.7
541.405,860.0
541.541,861.0
541.677,858.7
541.812,858.9
541.948,861.8
542.084,860.4
542.22,860.9
542.356,860.3
542.492,860.0
542.627,859.5
542.763,862.2
542.899,860.2
543.035,863.5
543.17,864.2
543.306,860.4
543.442,859.4
543.578,859.9
543.713,859.1
543.849,861.6
543.985,860.4
544.12,858.9
544.256,860.5
544.392,861.4
544.527,859.9
544.663,862.0
544.799,859.5
544.934,863.4
545.07,860.5
545.206,861.5
545.341,857.8
545.477,858.0
545.612,858.3
545.748,859.3
545.884,860.2
546.019,864.2
546.155,863.0
546.29,860.5
546.426,861.8
546.562,858.5
546.697,858.9
546.833,860.1
546.968,860.3
547.104,860.3
547.239,859.5
547.375,858.4
547.51,859.8
547.646,861.9
547.781,857.0
547.917,861.3
548.052,860.8
548.188,860.3
548.323,858.1
548.458,860.2
548.594,860.2
548.729,859.8
548.865,860.5
549.0,858.0
549.136,858.8
549.271,864.1
549.406,860.7
549.542,859.6
549.677,859.6
549.812,860.1
549.948,860.8
550.083,860.3
550.219,859.9
550.354,859.0
550.489,860.9
550.625,861.8
550.76,862.2
550.895,859.7
551.03,858.6
551.166,859.5
551.301,861.8
551.436,860.3
551.572,858.9
551.707,862.9
551.842,861.0
551.977,862.3
552.113,861.1
552.248,861.5
552.383,860.9
552.518,861.0
552.654,861.5
552.789,859.1
552.924,859.3
553.059,864.0
553.194,860.8
553.329,862.2
553.465,863.9
553.6,862.0
553.735,863.4
553.87,863.3
554.005,865.7
554.14,864.2
554.276,863.8
554.411,862.5
554.546,865.1
554.681,865.0
554.816,866.0
554.951,863.0
555.086,862.9
555.221,864.6
555.356,864.2
555.491,862.4
555.626,864.4
555.761,868.5
555.896,864.1
556.031,863.6
556.167,866.3
556.302,868.3
556.437,862.8
556.572,865.8
556.707,863.3
556.842,866.4
556.977,870.7
557.112,867.4
557.246,870.5
557.381,869.0
557.516,870.0
557.651,867.6
557.786,869.4
557.921,873.0
558.056,869.4
558.191,871.6
558.326,872.1
558.461,871.0
558.596,871.7
558.731,873.5
558.866,869.9
559.0,871.5
559.135,873.0
559.27,870.4
559.405,870.4
559.54,873.6
559.675,872.8
559.81,871.2
559.944,868.2
560.079,871.0
560.214,872.1
560.349,871.7
560.484,872.2
560.618,873.1
560.753,873.0
560.888,871.1
561.023,869.4
561.158,873.0
561.292,870.9
561.427,873.0
561.562,871.3
561.697,874.3
561.831,874.7
561.966,873.1
562.101,873.4
562.235,877.0
562.37,874.6
562.505,877.5
562.64,874.9
562.774,877.0
562.909,877.4
563.044,880.6
563.178,878.4
563.313,879.3
563.448,882.8
563.582,885.0
563.717,890.7
563.852,909.1
563.986,955.3
564.121,988.7
564.255,936.2
564.39,902.0
564.525,898.0
564.659,898.0
564.794,899.1
564.928,894.0
565.063,893.3
565.198,892.9
565.332,891.1
565.467,889.9
565.601,893.0
565.736,891.1
565.87,904.7
566.005,934.8
566.139,1024.3
566.274,1048.0
566.408,956.9
566.543,906.5
566.677,892.4
566.812,894.1
566.946,886.9
567.081,887.0
567.215,889.9
567.35,891.5
567.484,897.3
567.619,893.5
567.753,886.2
567.887,885.5
568.022,886.0
568.156,889.2
568.291,887.6
568.425,886.9
568.56,889.7
568.694,887.1
568.828,889.0
568.963,887.3
569.097,889.0
569.231,890.1
569.366,889.6
569.5,889.2
569.635,893.0
569.769,890.2
569.903,890.2
570.038,890.4
570.172,894.3
570.306,893.6
570.441,896.9
570.575,901.4
570.709,903.3
570.843,905.4
570.978,900.7
571.112,904.1
571.246,911.1
571.381,942.5
571.515,1047.2
571.649,1071.5
571.783,963.5
571.918,928.4
572.052,920.1
572.186,913.0
572.32,915.0
572.455,912.0
572.589,908.4
572.723,906.3
572.857,909.5
572.991,903.8
573.126,908.0
573.26,907.2
573.394,911.2
573.528,910.1
573.662,909.8
573.796,913.2
573.931,916.4
574.065,920.0
574.199,917.5
574.333,914.4
574.467,914.8
574.601,912.7
574.735,917.8
574.869,917.5
575.004,921.2
575.138,920.8
575.272,928.6
575.406,953.1
575.54,1011.5
575.674,1007.8
575.808,972.3
575.942,967.4
576.076,983.0
576.21,1012.5
576.344,1035.7
576.478,1023.8
576.612,1003.3
576.746,998.6
576.88,996.9
577.014,1001.8
577.148,1002.6
577.282,989.2
577.416,981.9
577.55,971.2
577.684,966.4
577.818,959.1
577.952,959.2
578.086,966.2
578.22,959.6
578.354,962.4
578.488,965.0
578.622,970.2
578.756,968.3
578.89,971.5
579.024,979.9
579.158,977.0
579.292,980.6
579.426,987.4
579.559,980.5
579.693,984.4
579.827,989.0
579.961,987.9
580.095,989.7
580.229,996.8
580.363,997.0
580.497,997.5
580.63,1002.1
580.764,1006.7
580.898,1009.5
581.032,1008.0
581.166,1014.8
581.3,1019.3
581.433,1013.7
581.567,1021.4
581.701,1021.7
581.835,1025.3
581.969,1023.0
582.102,1028.7
582.236,1033.9
582.37,1032.9
582.504,1040.6
582.637,1036.8
582.771,1038.4
582.905,1040.7
583.039,1050.8
583.172,1046.1
583.306,1050.2
583.44,1055.1
583.574,1052.9
583.707,1059.4
583.841,1057.8
583.975,1057.8
584.108,1061.0
584.242,1070.2
584.376,1068.9
584.51,1066.2
584.643,1069.7
584.777,1066.2
584.911,1077.2
585.044,1077.9
585.178,1074.0
585.312,1076.2
585.445,1080.7
585.579,1080.0
585.712,1082.2
585.846,1079.7
585.98,1085.7
586.113,1089.8
586.247,1088.3
586.381,1092.5
586.514,1099.1
586.648,1089.4
586.781,1090.4
586.915,1094.1
587.048,1092.7
587.182,1100.1
587.316,1102.9
587.449,1101.5
587.583,1099.2
587.716,1103.9
587.85,1106.9
587.983,1107.1
588.117,1101.8
588.25,1100.9
588.384,1107.1
588.517,1110.5
588.651,1107.8
588.784,1106.5
588.918,1108.2
589.051,1112.4
589.185,1108.0
589.318,1117.0
589.452,1109.3
589.585,1115.9
589.719,1115.2
589.852,1111.6
589.986,1114.0
590.119,1116.3
590.253,1117.9
590.386,1117.8
590.519,1118.9
590.653,1118.3
590.786,1121.1
590.92,1117.5
591.053,1120.7
591.187,1119.7
591.32,1123.5
591.453,1132.0
591.587,1136.4
591.72,1134.6
591.853,1132.5
591.987,1130.5
592.12,1131.5
592.254,1133.3
592.387,1134.4
592.52,1130.4
592.654,1135.7
592.787,1133.1
592.92,1136.3
593.054,1124.9
593.187,1136.0
593.32,1136.6
593.454,1133.3
593.587,1132.0
593.72,1134.7
593.853,1135.0
593.987,1138.5
594.12,1135.7
594.253,1140.7
594.387,1132.2
594.52,1141.0
594.653,1140.0
594.786,1141.3
594.92,1142.1
595.053,1145.6
595.186,1148.2
595.319,1146.3
595.453,1142.5
595.586,1145.6
595.719,1153.1
595.852,1156.9
595.985,1141.2
596.119,1142.5
596.252,1144.9
596.385,1146.7
596.518,1151.3
596.651,1143.8
596.785,1153.7
596.918,1154.3
597.051,1151.2
597.184,1152.7
597.317,1154.1
597.45,1156.4
597.584,1154.1
597.717,1150.8
597.85,1155.6
597.983,1159.7
598.116,1164.5
598.249,1158.6
598.382,1164.1
598.516,1158.3
598.649,1163.8
598.782,1165.4
598.915,1163.5
599.048,1160.2
599.181,1162.6
599.314,1166.6
599.447,1160.2
599.58,1169.5
599.713,1169.4
599.846,1159.4
599.979,1165.9
600.113,1168.1
600.246,1167.5
600.379,1164.1
600.512,1163.2
600.645,1166.6
600.778,1165.8
600.911,1162.9
601.044,1162.7
601.177,1163.5
601.31,1166.0
601.443,1162.5
601.576,1163.2
