nm,Intensity
526.5,830.6
526.637,828.9
526.774,828.9
526.91,830.5
527.047,828.5
527.184,829.1
527.32,827.4
527.457,830.4
527.594,829.6
527.73,829.0
527.867,829.6
528.004,827.9
528.14,830.0
528.277,829.3
528.414,828.7
528.55,829.5
528.687,829.0
528.823,831.0
528.96,829.7
529.096,830.2
529.233,829.2
529.37,829.1
529.506,829.8
529.643,829.3
529.779,828.1
529.916,827.9
530.052,829.3
530.189,829.8
530.325,827.8
530.462,829.3
530.598,830.4
530.735,828.6
530.871,829.5
531.008,829.1
531.144,828.1
531.28,829.3
531.417,829.9
531.553,829.8
531.69,828.9
531.826,830.1
531.962,836.4
532.099,885.1
532.235,907.9
532.372,850.3
532.508,830.3
532.644,829.1
532.781,830.1
532.917,829.5
533.053,830.1
533.19,828.9
533.326,828.3
533.462,829.4
533.599,828.6
533.735,834.4
533.871,856.5
534.007,890.0
534.144,901.7
534.28,901.1
534.416,896.8
534.552,891.2
534.689,886.8
534.825,885.7
534.961,885.6
535.097,883.9
535.234,879.6
535.37,874.3
535.506,870.9
535.642,866.4
535.778,864.4
535.914,861.7
536.051,861.6
536.187,857.8
536.323,857.1
536.459,859.0
536.595,857.9
536.731,853.4
536.867,856.2
537.003,854.8
537.14,853.8
537.276,853.9
537.412,856.1
537.548,853.1
537.684,856.2
537.82,853.7
537.956,854.2
538.092,853.8
538.228,852.0
538.364,851.0
538.5,849.1
538.636,848.4
538.772,848.4
538.908,847.2
539.044,845.1
539.18,845.0
539.316,844.6
539.452,846.7
539.588,844.3
539.724,844.1
539.86,844.9
539.996,845.1
540.132,842.9
540.268,841.0
540.403,841.6
540.539,841.9
540.675,842.7
540.811,843.1
540.947,842.2
541.083,842.3
541.219,842.8
541.355,841.8
541.49,842.1
541.626,841.2
541.762,841.2
541.898,841.0
542.034,841.2
542.17,841.7
542.305,842.1
542.441,840.7
542.577,844.0
542.713,840.4
542.848,840.2
542.984,842.9
543.12,842.5
543.256,840.2
543.391,838.1
543.527,840.4
543.663,839.6
543.799,839.1
543.934,839.7
544.07,838.2
544.206,841.1
544.341,841.5
544.477,839.9
544.613,839.8
544.748,838.4
544.884,841.0
545.02,838.8
545.155,840.0
545.291,839.7
545.427,838.8
545.562,839.2
545.698,840.3
545.833,841.3
545.969,839.6
546.105,839.9
546.24,840.3
546.376,839.0
546.511,839.6
546.647,838.3
546.782,837.4
546.918,838.0
547.053,839.2
547.189,839.9
547.325,839.8
547.46,838.5
547.596,840.6
547.731,839.2
547.867,839.4
548.002,839.0
548.137,838.7
548.273,837.2
548.408,839.8
548.544,838.7
548.679,838.0
548.815,838.6
548.95,840.4
549.086,838.2
549.221,837.5
549.356,839.5
549.492,838.7
549.627,838.7
549.763,839.7
549.898,838.7
550.033,839.3
550.169,837.2
550.304,840.1
550.439,837.8
550.575,838.8
550.71,839.3
550.845,839.0
550.981,838.3
551.116,840.5
551.251,840.5
551.387,839.2
551.522,839.0
551.657,838.8
551.793,839.3
551.928,839.0
552.063,839.2
552.198,841.1
552.334,839.0
552.469,838.3
552.604,838.8
552.739,839.9
552.874,840.1
553.01,841.1
553.145,839.6
553.28,843.3
553.415,843.4
553.55,843.3
553.686,840.9
553.821,841.6
553.956,844.4
554.091,844.8
554.226,843.4
554.361,843.3
554.497,843.3
554.632,843.7
554.767,843.7
554.902,843.6
555.037,842.2
555.172,843.7
555.307,844.8
555.442,841.4
555.577,845.3
555.712,844.6
555.848,845.6
555.983,842.6
556.118,846.8
556.253,846.9
556.388,846.0
556.523,846.7
556.658,845.6
556.793,847.0
556.928,847.0
557.063,846.5
557.198,849.7
557.333,850.4
557.468,848.6
557.603,848.7
557.738,850.3
557.873,850.9
558.008,853.5
558.142,850.6
558.277,852.8
558.412,852.1
558.547,854.5
558.682,853.3
558.817,852.3
558.952,852.4
559.087,850.7
559.222,849.6
559.357,849.8
559.492,852.8
559.626,849.7
559.761,851.0
559.896,850.7
560.031,849.7
560.166,848.7
560.301,848.0
560.435,848.6
560.57,849.3
560.705,849.2
560.84,850.4
560.975,848.0
561.109,848.3
561.244,849.1
561.379,850.9
561.514,848.2
561.649,851.5
561.783,848.8
561.918,852.1
562.053,852.3
562.188,854.1
562.322,854.1
562.457,853.6
562.592,852.9
562.726,856.5
562.861,856.3
562.996,854.7
563.131,855.7
563.265,860.7
563.4,857.5
563.535,862.5
563.669,869.0
563.804,885.7
563.939,955.5
564.073,1039.8
564.208,982.7
564.342,899.0
564.477,884.5
564.612,878.8
564.746,881.2
564.881,876.0
565.015,876.2
565.15,872.4
565.285,869.6
565.419,869.2
565.554,872.0
565.688,876.3
565.823,890.5
565.957,928.5
566.092,1061.5
566.227,1206.0
566.361,1060.4
566.496,913.3
566.63,875.6
566.765,866.7
566.899,864.8
567.034,859.7
567.168,860.7
567.303,860.9
567.437,866.3
567.572,868.3
567.706,857.4
567.84,854.1
567.975,855.1
568.109,853.0
568.244,852.6
568.378,856.5
568.513,853.5
568.647,855.1
568.781,854.1
568.916,856.4
569.05,856.9
569.185,856.1
569.319,855.4
569.453,856.3
569.588,856.9
569.722,854.9
569.857,856.5
569.991,855.9
570.125,856.4
570.26,860.6
570.394,859.6
570.528,864.2
570.663,863.1
570.797,866.4
570.931,867.1
