nm,Intensity
526.532,830.5
526.669,829.867
526.805,831.0
526.942,829.3
527.079,830.4
527.216,829.867
527.352,829.967
527.489,829.2
527.625,830.5
527.762,830.667
527.899,830.2
528.035,829.167
528.172,830.4
528.309,830.367
528.445,829.5
528.582,829.5
528.718,829.733
528.855,830.733
528.992,830.2
529.128,830.5
529.265,830.233
529.401,830.467
529.538,829.333
529.674,829.867
529.811,830.667
529.947,829.467
530.084,830.533
530.22,829.633
530.357,830.3
530.493,829.9
530.63,830.367
530.766,829.5
530.903,830.233
531.039,829.9
531.176,830.067
531.312,830.167
531.449,829.8
531.585,830.667
531.721,830.233
531.858,830.633
531.994,839.833
532.131,881.0
532.267,871.167
532.403,837.533
532.54,830.733
532.676,830.267
532.812,830.3
532.949,830.4
533.085,828.8
533.221,829.033
533.358,830.767
533.494,829.667
533.63,830.8
533.767,838.767
533.903,863.033
534.039,886.333
534.176,891.633
534.312,888.2
534.448,886.4
534.584,883.833
534.721,881.4
534.857,878.0
534.993,877.367
535.129,874.7
535.266,870.533
535.402,868.6
535.538,864.3
535.674,865.1
535.81,861.9
535.947,860.433
536.083,860.833
536.219,859.667
536.355,857.433
536.491,857.567
536.627,857.633
536.764,858.3
536.9,855.7
537.036,856.167
537.172,855.6
537.308,856.567
537.444,856.0
537.58,855.933
537.716,854.8
537.852,854.933
537.988,855.867
538.125,855.5
538.261,854.5
538.397,853.567
538.533,854.7
538.669,854.033
538.805,851.733
538.941,851.0
539.077,850.667
539.213,849.533
539.349,849.367
539.485,849.233
539.621,849.767
539.757,848.833
539.893,849.433
540.029,848.533
540.165,848.233
540.301,847.967
540.437,847.467
540.572,846.833
540.708,847.7
540.844,846.333
540.98,847.467
541.116,846.7
541.252,847.233
541.388,847.4
541.524,846.467
541.66,847.633
541.795,846.8
541.931,845.8
542.067,846.267
542.203,846.0
542.339,847.233
542.475,846.733
542.611,846.1
542.746,847.467
542.882,845.967
543.018,846.733
543.154,845.167
543.289,846.433
543.425,846.3
543.561,847.233
543.697,845.567
543.833,846.467
543.968,847.567
544.104,845.933
544.24,846.867
544.375,845.3
544.511,845.633
544.647,846.633
544.783,845.3
544.918,846.633
545.054,845.867
545.19,846.1
545.325,846.6
545.461,845.4
545.597,845.9
545.732,846.633
545.868,846.433
546.004,845.567
546.139,845.267
546.275,845.067
546.41,845.533
546.546,846.2
546.682,845.8
546.817,846.8
546.953,845.467
547.088,845.533
547.224,846.2
547.36,845.467
547.495,845.967
547.631,845.5
547.766,845.667
547.902,845.3
548.037,845.333
548.173,845.333
548.308,845.667
548.444,845.233
548.579,846.4
548.715,845.5
548.85,844.567
548.986,845.5
549.121,846.233
549.257,846.333
549.392,845.233
549.528,845.7
549.663,845.333
549.798,844.9
549.934,845.833
550.069,846.267
550.205,846.267
550.34,845.533
550.475,846.067
550.611,846.567
550.746,846.533
550.882,845.733
551.017,847.333
551.152,845.167
551.288,845.1
551.423,845.7
551.558,845.0
551.694,845.867
551.829,846.2
551.964,846.333
552.1,845.367
552.235,846.1
552.37,846.233
552.505,846.7
552.641,846.0
552.776,846.533
552.911,846.833
553.047,846.067
553.182,847.133
553.317,847.233
553.452,847.867
553.588,849.067
553.723,848.5
553.858,847.933
553.993,847.8
554.128,848.7
554.264,847.967
554.399,850.033
554.534,847.367
554.669,850.033
554.804,848.967
554.939,848.433
555.075,849.333
555.21,849.667
555.345,849.633
555.48,850.667
555.615,849.6
555.75,851.067
555.885,851.6
556.02,851.033
556.155,852.067
556.291,851.833
556.426,851.1
556.561,850.433
556.696,852.167
556.831,852.967
556.966,852.6
557.101,853.6
557.236,853.533
557.371,854.933
557.506,854.2
557.641,853.833
557.776,855.233
557.911,856.933
558.046,856.0
558.181,858.267
558.316,858.833
558.451,858.067
558.586,860.167
558.721,859.467
558.856,858.633
558.991,857.6
559.126,856.2
559.261,856.267
559.396,856.167
559.531,855.5
559.665,855.733
559.8,855.667
559.935,856.233
560.07,854.333
560.205,855.9
560.34,854.633
560.475,854.067
560.61,855.433
560.745,854.733
560.879,853.633
561.014,854.067
561.149,855.733
561.284,854.833
561.419,856.233
561.553,856.5
561.688,855.467
561.823,855.867
561.958,856.5
562.093,857.867
562.227,857.1
562.362,859.733
562.497,858.6
562.632,860.367
562.767,860.1
562.901,861.7
563.036,860.0
563.171,861.233
563.305,862.767
563.44,863.567
563.575,866.6
563.71,873.167
563.844,896.433
563.979,966.3
564.114,1007.17
564.248,932.733
564.383,888.667
564.518,881.133
564.652,881.033
564.787,880.6
564.922,878.667
565.056,876.2
565.191,873.533
565.325,872.5
565.46,872.767
565.595,874.667
565.729,879.733
565.864,894.467
565.999,941.033
566.133,1069.37
566.268,1110.6
566.402,968.967
566.537,893.7
566.671,876.767
566.806,868.533
566.94,868.667
567.075,867.167
567.21,866.233
567.344,867.033
567.479,872.4
567.613,868.833
567.748,864.6
567.882,863.933
568.017,863.167
568.151,862.233
568.285,861.633
568.42,862.0
568.554,863.233
568.689,862.4
568.823,862.333
568.958,863.067
569.092,863.333
569.227,865.1
569.361,865.567
569.495,864.267
569.63,866.6
569.764,863.633
569.899,865.033
570.033,866.4
570.167,866.633
570.302,869.233
570.436,868.967
570.571,870.967
570.705,874.367
570.839,876.8
570.974,874.2
571.108,877.767
571.242,885.067
571.377,920.9
571.511,1053.2
571.645,1096.6
571.78,952.7
571.914,905.8
572.048,893.5
572.182,887.533
572.317,880.067
572.451,877.333
572.585,873.167
572.719,873.267
572.854,870.433
572.988,870.467
573.122,869.467
573.256,870.5
573.391,871.167
573.525,871.7
573.659,873.0
573.793,875.167
573.927,881.667
574.062,885.767
574.196,879.5
574.33,874.767
574.464,873.767
574.598,873.967
574.733,871.667
574.867,874.4
575.001,875.433
575.135,879.9
575.269,888.733
575.403,932.7
575.537,1035.13
575.671,1026.33
575.806,949.4
575.94,929.1
576.074,937.967
576.208,964.533
576.342,984.867
576.476,970.967
576.61,953.667
576.744,944.633
576.878,944.833
577.012,946.467
577.146,941.0
577.28,932.4
577.414,917.3
577.548,905.667
577.682,900.967
577.817,896.8
577.951,896.733
578.085,895.8
578.219,893.967
578.353,895.867
578.486,894.7
578.62,894.433
578.754,895.633
578.888,897.233
579.022,899.467
579.156,900.933
579.29,899.267
579.424,899.933
579.558,902.467
579.692,902.833
579.826,903.933
579.96,906.2
580.094,905.167
580.228,907.2
580.362,907.367
580.496,908.333
580.629,909.4
580.763,912.933
580.897,914.033
581.031,912.633
581.165,916.567
581.299,916.533
581.433,918.2
581.566,921.8
581.7,921.067
581.834,922.767
581.968,922.4
582.102,925.567
582.236,926.733
582.369,926.3
582.503,929.667
582.637,928.7
582.771,931.267
582.905,933.833
583.038,932.8
583.172,934.6
583.306,934.967
583.44,939.467
583.573,937.633
583.707,940.567
583.841,940.933
583.975,943.433
584.108,942.3
584.242,942.833
584.376,947.6
584.509,944.733
584.643,948.867
584.777,948.667
584.911,951.4
585.044,949.467
585.178,953.8
585.312,952.0
585.445,956.067
585.579,956.667
585.713,955.967
585.846,960.767
585.98,958.567
586.113,960.367
586.247,963.733
586.381,964.933
586.514,966.6
586.648,970.267
586.782,969.667
586.915,970.867
587.049,972.7
587.182,975.367
587.316,976.833
587.45,977.033
587.583,979.533
587.717,980.767
587.85,984.733
587.984,984.8
588.117,984.033
588.251,984.233
588.384,990.6
588.518,988.967
588.651,990.433
588.785,993.1
588.919,993.9
589.052,995.967
589.186,996.833
589.319,998.933
589.453,1001.53
589.586,1002.67
589.72,1006.8
589.853,1006.53
589.986,1010.63
590.12,1012.0
590.253,1015.07
590.387,1016.1
590.52,1017.03
590.654,1020.9
590.787,1021.23
590.921,1023.43
591.054,1024.9
591.187,1027.4
591.321,1028.33
591.454,1028.07
591.588,1030.37
591.721,1028.97
591.854,1031.23
591.988,1032.17
592.121,1033.93
592.255,1034.17
592.388,1039.7
592.521,1038.23
592.655,1038.23
592.788,1037.9
592.921,1039.37
593.055,1037.6
593.188,1041.1
593.321,1042.93
593.455,1041.23
593.588,1042.8
593.721,1044.7
593.855,1045.33
593.988,1044.6
594.121,1045.53
594.255,1044.9
594.388,1045.63
594.521,1046.53
594.654,1048.7
594.788,1048.9
594.921,1048.03
595.054,1048.5
595.187,1045.67
595.321,1054.37
595.454,1051.7
595.587,1050.67
595.72,1053.13
595.854,1051.3
595.987,1053.13
596.12,1055.27
596.253,1058.27
596.387,1054.83
596.52,1056.63
596.653,1055.4
596.786,1053.87
596.919,1062.07
597.052,1058.43
597.186,1062.1
597.319,1063.43
597.452,1061.07
597.585,1062.07
597.718,1064.17
597.851,1065.93
597.985,1067.87
598.118,1064.47
598.251,1069.4
598.384,1070.3
598.517,1077.87
598.65,1075.0
598.783,1079.43
598.916,1076.07
599.049,1077.0
599.183,1078.87
599.316,1079.07
599.449,1081.67
599.582,1081.0
599.715,1081.13
599.848,1085.93
599.981,1085.93
600.114,1084.5
600.247,1083.13
600.38,1079.5
600.513,1081.97
600.646,1083.13
600.779,1081.17
600.912,1082.9
601.045,1080.8
601.178,1080.77
601.311,1083.47
601.444,1083.47
601.577,1084.27
601.71,1081.5
601.843,1082.93
601.976,1079.33
602.109,1081.73
602.242,1081.4
602.375,1079.3
602.508,1082.9
602.641,1078.0
602.774,1077.93
602.907,1077.33
603.04,1074.8
603.173,1075.7
603.306,1072.73
603.439,1076.87
603.572,1075.17
603.705,1070.8
603.838,1069.43
603.971,1069.07
604.103,1068.27
604.236,1066.63
604.369,1061.87
604.502,1060.5
604.635,1061.0
604.768,1055.23
604.901,1056.63
605.034,1054.97
605.167,1050.77
605.299,1047.63
605.432,1043.9
605.565,1045.27
605.698,1044.03
605.831,1039.87
605.964,1039.7
606.096,1038.47
606.229,1036.53
606.362,1033.53
606.495,1032.7
606.628,1030.73
606.761,1029.17
606.893,1027.8
607.026,1027.33
607.159,1026.07
607.292,1026.03
607.425,1023.2
607.557,1021.17
607.69,1018.8
607.823,1023.13
607.956,1018.1
608.088,1016.9
608.221,1019.77
608.354,1018.97
608.487,1015.87
608.619,1014.8
608.752,1014.63
608.885,1011.93
609.018,1011.5
609.15,1008.2
609.283,1011.5
609.416,1005.63
609.548,1005.9
609.681,1008.13
609.814,1005.33
609.947,1004.8
610.079,1005.83
610.212,1001.97
610.345,1001.93
610.477,999.467
610.61,1001.5
610.743,1003.23
610.875,997.467
611.008,1002.57
611.141,1002.0
611.273,1001.37
611.406,1002.2
611.539,996.733
611.671,997.5
611.804,995.267
611.936,993.833
612.069,997.433
612.202,992.833
612.334,993.3
612.467,992.767
612.6,990.667
612.732,991.233
612.865,989.933
612.997,989.7
613.13,991.233
613.263,990.167
613.395,988.667
613.528,989.6
613.66,989.033
613.793,987.033
613.925,985.6
614.058,986.267
614.19,986.467
614.323,983.6
614.456,985.433
614.588,983.367
614.721,982.967
614.853,982.233
614.986,980.267
615.118,979.967
615.251,981.4
615.383,979.533
615.516,976.033
615.648,977.233
615.781,978.7
615.913,974.933
616.046,977.633
616.178,974.4
616.311,972.633
616.443,976.2
616.576,973.5
616.708,975.467
616.841,974.267
616.973,976.233
617.106,973.867
617.238,974.967
617.37,973.533
617.503,974.133
617.635,973.667
617.768,976.833
617.9,973.433
618.033,975.5
618.165,973.533
618.297,973.6
618.43,972.3
618.562,968.967
618.695,969.7
618.827,971.233
618.96,968.4
619.092,968.7
619.224,969.8
619.357,968.1
619.489,971.333
