cm-1,A
4000.0,0.0002
3999.0,0.0003
3998.0,0.0003
3997.0,0.0004
3996.0,0.0004
3995.0,0.0004
3994.0,0.0004
3993.0,0.0003
3992.0,0.0003
3991.0,0.0002
3990.0,0.0002
3989.0,0.0001
3988.0,0.0001
3987.0,0.0
3986.0,0.0
3985.0,0.0001
3984.0,0.0001
3983.0,0.0001
3982.0,0.0001
3981.0,0.0001
3980.0,0.0001
3979.0,0.0002
3978.0,0.0003
3977.0,0.0004
3976.0,0.0004
3975.0,0.0005
3974.0,0.0004
3973.0,0.0004
3972.0,0.0003
3971.0,0.0003
3970.0,0.0003
3969.0,0.0003
3968.0,0.0003
3967.0,0.0003
3966.0,0.0003
3965.0,0.0004
3964.0,0.0004
3963.0,0.0005
3962.0,0.0005
3961.0,0.0005
3960.0,0.0005
3959.0,0.0004
3958.0,0.0004
3957.0,0.0004
3956.0,0.0004
3955.0,0.0004
3954.0,0.0004
3953.0,0.0005
3952.0,0.0005
3951.0,0.0006
3950.0,0.0005
3949.0,0.0005
3948.0,0.0004
3947.0,0.0004
3946.0,0.0005
3945.0,0.0005
3944.0,0.0005
3943.0,0.0005
3942.0,0.0004
3941.0,0.0003
3940.0,0.0003
3939.0,0.0004
3938.0,0.0005
3937.0,0.0005
3936.0,0.0005
3935.0,0.0005
3934.0,0.0004
3933.0,0.0004
3932.0,0.0005
3931.0,0.0005
3930.0,0.0005
3929.0,0.0005
3928.0,0.0005
3927.0,0.0005
3926.0,0.0005
3925.0,0.0005
3924.0,0.0005
3923.0,0.0006
3922.0,0.0006
3921.0,0.0006
3920.0,0.0005
3919.0,0.0003
3918.0,0.0002
3917.0,0.0002
3916.0,0.0003
3915.0,0.0004
3914.0,0.0005
3913.0,0.0006
3912.0,0.0006
3911.0,0.0007
3910.0,0.0006
3909.0,0.0006
3908.0,0.0005
3907.0,0.0004
3906.0,0.0003
3905.0,0.0002
3904.0,0.0002
3903.0,0.0002
3902.0,0.0002
3901.0,0.0003
3900.0,0.0003
3899.0,0.0003
3898.0,0.0004
3897.0,0.0004
3896.0,0.0004
3895.0,0.0004
3894.0,0.0004
3893.0,0.0004
3892.0,0.0005
3891.0,0.0005
3890.0,0.0005
3889.0,0.0005
3888.0,0.0004
3887.0,0.0003
3886.0,0.0002
3885.0,0.0003
3884.0,0.0004
3883.0,0.0005
3882.0,0.0006
3881.0,0.0006
3880.0,0.0006
3879.0,0.0005
3878.0,0.0004
3877.0,0.0003
3876.0,0.0003
3875.0,0.0004
3874.0,0.0005
3873.0,0.0005
3872.0,0.0005
3871.0,0.0005
3870.0,0.0004
3869.0,0.0004
3868.0,0.0005
3867.0,0.0006
3866.0,0.0007
3865.0,0.0007
3864.0,0.0007
3863.0,0.0006
3862.0,0.0005
3861.0,0.0003
3860.0,0.0003
3859.0,0.0003
3858.0,0.0004
3857.0,0.0005
3856.0,0.0005
3855.0,0.0005
3854.0,0.0005
3853.0,0.0005
3852.0,0.0005
3851.0,0.0006
3850.0,0.0006
3849.0,0.0006
3848.0,0.0006
3847.0,0.0006
3846.0,0.0006
3845.0,0.0005
3844.0,0.0004
3843.0,0.0003
3842.0,0.0002
3841.0,0.0002
3840.0,0.0002
3839.0,0.0003
3838.0,0.0004
3837.0,0.0004
3836.0,0.0004
3835.0,0.0004
3834.0,0.0004
3833.0,0.0005
3832.0,0.0005
3831.0,0.0005
3830.0,0.0005
3829.0,0.0005
3828.0,0.0005
3827.0,0.0006
3826.0,0.0007
3825.0,0.0007
3824.0,0.0006
3823.0,0.0005
3822.0,0.0005
3821.0,0.0006
3820.0,0.0006
3819.0,0.0007
3818.0,0.0006
3817.0,0.0006
3816.0,0.0005
3815.0,0.0006
3814.0,0.0006
3813.0,0.0006
3812.0,0.0005
3811.0,0.0003
3810.0,0.0002
3809.0,0.0001
3808.0,0.0002
3807.0,0.0003
3806.0,0.0005
3805.0,0.0006
3804.0,0.0006
3803.0,0.0007
3802.0,0.0008
3801.0,0.0008
3800.0,0.0008
3799.0,0.0006
3798.0,0.0005
3797.0,0.0004
3796.0,0.0004
3795.0,0.0004
3794.0,0.0005
3793.0,0.0005
3792.0,0.0005
3791.0,0.0004
3790.0,0.0003
3789.0,0.0003
3788.0,0.0003
3787.0,0.0004
3786.0,0.0005
3785.0,0.0006
3784.0,0.0006
3783.0,0.0006
3782.0,0.0006
3781.0,0.0006
3780.0,0.0006
3779.0,0.0005
3778.0,0.0005
3777.0,0.0005
3776.0,0.0005
3775.0,0.0005
3774.0,0.0006
3773.0,0.0006
3772.0,0.0007
3771.0,0.0008
3770.0,0.0008
3769.0,0.0008
3768.0,0.0007
3767.0,0.0007
3766.0,0.0006
3765.0,0.0006
3764.0,0.0007
3763.0,0.0007
3762.0,0.0008
3761.0,0.0007
3760.0,0.0007
3759.0,0.0007
3758.0,0.0007
3757.0,0.0007
3756.0,0.0007
3755.0,0.0007
3754.0,0.0007
3753.0,0.0007
3752.0,0.0008
3751.0,0.0007
3750.0,0.0007
3749.0,0.0006
3748.0,0.0007
3747.0,0.0007
3746.0,0.0007
3745.0,0.0007
3744.0,0.0007
3743.0,0.0008
3742.0,0.0009
3741.0,0.0009
3740.0,0.0009
3739.0,0.0009
3738.0,0.0009
3737.0,0.001
3736.0,0.0011
3735.0,0.0011
3734.0,0.001
3733.0,0.0008
3732.0,0.0007
3731.0,0.0006
3730.0,0.0005
3729.0,0.0005
3728.0,0.0004
3727.0,0.0003
3726.0,0.0003
3725.0,0.0003
3724.0,0.0003
3723.0,0.0004
3722.0,0.0006
3721.0,0.0007
3720.0,0.0007
3719.0,0.0007
3718.0,0.0007
3717.0,0.0007
3716.0,0.0007
3715.0,0.0006
3714.0,0.0007
3713.0,0.0008
3712.0,0.001
3711.0,0.0011
3710.0,0.001
3709.0,0.0008
3708.0,0.0007
3707.0,0.0007
3706.0,0.0006
3705.0,0.0005
3704.0,0.0004
3703.0,0.0003
3702.0,0.0003
3701.0,0.0004
3700.0,0.0005
3699.0,0.0005
3698.0,0.0006
3697.0,0.0006
3696.0,0.0007
3695.0,0.0007
3694.0,0.0007
3693.0,0.0007
3692.0,0.0007
3691.0,0.0007
3690.0,0.0007
3689.0,0.0007
3688.0,0.0007
3687.0,0.0007
3686.0,0.0008
3685.0,0.0008
3684.0,0.0009
3683.0,0.001
3682.0,0.0011
3681.0,0.0012
3680.0,0.0012
3679.0,0.0011
3678.0,0.001
3677.0,0.0009
3676.0,0.001
3675.0,0.0009
3674.0,0.0009
3673.0,0.0008
3672.0,0.0007
3671.0,0.0007
3670.0,0.0008
3669.0,0.0009
3668.0,0.001
3667.0,0.0011
3666.0,0.0011
3665.0,0.001
3664.0,0.0009
3663.0,0.0008
3662.0,0.0008
3661.0,0.0008
3660.0,0.0008
3659.0,0.0008
3658.0,0.0008
3657.0,0.0009
3656.0,0.0009
3655.0,0.001
3654.0,0.0011
3653.0,0.0011
3652.0,0.0011
3651.0,0.0012
3650.0,0.0013
3649.0,0.0013
3648.0,0.0013
3647.0,0.0013
3646.0,0.0014
3645.0,0.0014
3644.0,0.0015
3643.0,0.0015
3642.0,0.0014
3641.0,0.0014
3640.0,0.0014
3639.0,0.0014
3638.0,0.0014
3637.0,0.0015
3636.0,0.0015
3635.0,0.0015
3634.0,0.0015
3633.0,0.0015
3632.0,0.0015
3631.0,0.0015
3630.0,0.0016
3629.0,0.0018
3628.0,0.002
3627.0,0.002
3626.0,0.0021
3625.0,0.0021
3624.0,0.002
3623.0,0.0018
3622.0,0.0016
3621.0,0.0014
3620.0,0.0014
3619.0,0.0016
3618.0,0.0018
3617.0,0.002
3616.0,0.0021
3615.0,0.0021
3614.0,0.0022
3613.0,0.0022
3612.0,0.0022
3611.0,0.0022
3610.0,0.0023
3609.0,0.0023
3608.0,0.0024
3607.0,0.0024
3606.0,0.0023
3605.0,0.0023
3604.0,0.0023
3603.0,0.0024
3602.0,0.0025
3601.0,0.0025
3600.0,0.0026
3599.0,0.0027
3598.0,0.0026
3597.0,0.0026
3596.0,0.0027
3595.0,0.0027
3594.0,0.0028
3593.0,0.0028
3592.0,0.0028
3591.0,0.0028
3590.0,0.0027
3589.0,0.0027
3588.0,0.0027
3587.0,0.0027
3586.0,0.0027
3585.0,0.0028
3584.0,0.0029
3583.0,0.003
3582.0,0.003
3581.0,0.0031
3580.0,0.0032
3579.0,0.0033
3578.0,0.0034
3577.0,0.0035
3576.0,0.0035
3575.0,0.0035
3574.0,0.0035
3573.0,0.0035
3572.0,0.0035
3571.0,0.0036
3570.0,0.0038
3569.0,0.004
3568.0,0.0043
3567.0,0.0045
3566.0,0.0046
3565.0,0.0046
3564.0,0.0045
3563.0,0.0043
3562.0,0.0043
3561.0,0.0043
3560.0,0.0044
3559.0,0.0046
3558.0,0.0047
3557.0,0.0047
3556.0,0.0047
3555.0,0.0047
3554.0,0.0048
3553.0,0.0049
3552.0,0.0051
3551.0,0.0051
3550.0,0.0052
3549.0,0.0052
3548.0,0.0052
3547.0,0.0053
3546.0,0.0053
3545.0,0.0053
3544.0,0.0053
3543.0,0.0054
3542.0,0.0054
3541.0,0.0055
3540.0,0.0056
3539.0,0.0056
3538.0,0.0057
3537.0,0.0057
3536.0,0.0058
3535.0,0.0059
3534.0,0.006
3533.0,0.0061
3532.0,0.0062
3531.0,0.0063
3530.0,0.0064
3529.0,0.0065
3528.0,0.0066
3527.0,0.0066
3526.0,0.0066
3525.0,0.0066
3524.0,0.0065
3523.0,0.0065
3522.0,0.0065
