cm-1,A
4000.0,4.343161980746579e-05
3999.0,4.343161980746579e-05
3998.0,4.343161980746579e-05
3997.0,8.686758342868472e-05
3996.0,0.0
3995.0,-8.685021164911433e-05
3994.0,-0.0002604985473904087
3993.0,-0.0003906892499099257
3992.0,-0.0004774613744551459
3991.0,-0.0004774613744551459
3990.0,-0.0004774613744551459
3989.0,-0.0003906892499099257
3988.0,-0.00030389978481260016
3987.0,-0.00013026880522692963
3986.0,0.0
3985.0,4.343161980746579e-05
3984.0,0.0
3983.0,-8.685021164911433e-05
3982.0,-0.00017368305846510168
3981.0,-0.00021709297223004853
3980.0,-0.0002604985473904087
3979.0,-0.0002604985473904087
3978.0,-0.00021709297223004853
3977.0,-0.00013026880522692963
3976.0,-8.685021164911433e-05
3975.0,-8.685021164911433e-05
3974.0,-0.00013026880522692963
3973.0,-0.00021709297223004853
3972.0,-0.00030389978481260016
3971.0,-0.0003472966853634851
3970.0,-0.00030389978481260016
3969.0,-0.00030389978481260016
3968.0,-0.0002604985473904087
3967.0,-0.0002604985473904087
3966.0,-0.00021709297223004853
3965.0,-0.00017368305846510168
3964.0,-8.685021164911433e-05
3963.0,0.0
3962.0,0.0
3961.0,-8.685021164911433e-05
3960.0,-0.0002604985473904087
3959.0,-0.00043407747931878404
3958.0,-0.0005642161653756084
3957.0,-0.0006075870628903246
3956.0,-0.0005642161653756084
3955.0,-0.0004774613744551459
3954.0,-0.00043407747931878404
3953.0,-0.0004774613744551459
3952.0,-0.0005208409361854294
3951.0,-0.00043407747931878404
3950.0,-0.00030389978481260016
3949.0,-0.00017368305846510168
3948.0,-0.00013026880522692963
3947.0,-0.00013026880522692963
3946.0,-0.00013026880522692963
3945.0,-8.685021164911433e-05
3944.0,4.343161980746579e-05
3943.0,0.0001303078917322953
3942.0,8.686758342868472e-05
3941.0,0.0
3940.0,-4.3427276862573194e-05
3939.0,-8.685021164911433e-05
3938.0,-8.685021164911433e-05
3937.0,-8.685021164911433e-05
3936.0,-8.685021164911433e-05
3935.0,0.0
3934.0,4.343161980746579e-05
3933.0,8.686758342868472e-05
3932.0,-4.3427276862573194e-05
3931.0,-0.00017368305846510168
3930.0,-0.00030389978481260016
3929.0,-0.0003472966853634851
3928.0,-0.0003472966853634851
3927.0,-0.00021709297223004853
3926.0,-0.00013026880522692963
3925.0,-8.685021164911433e-05
3924.0,-0.00021709297223004853
3923.0,-0.0003472966853634851
3922.0,-0.00043407747931878404
3921.0,-0.00043407747931878404
3920.0,-0.0003906892499099257
3919.0,-0.00030389978481260016
3918.0,-0.00021709297223004853
3917.0,-0.00021709297223004853
3916.0,-0.00030389978481260016
3915.0,-0.0003472966853634851
3914.0,-0.0003472966853634851
3913.0,-0.0002604985473904087
3912.0,-0.00013026880522692963
3911.0,-8.685021164911433e-05
3910.0,-8.685021164911433e-05
3909.0,-8.685021164911433e-05
3908.0,-0.00021709297223004853
3907.0,-0.0003906892499099257
3906.0,-0.0005642161653756084
