nm,Intensity
528.65,1841.55
528.734,1842.35
528.819,1841.9
528.903,1842.2
528.987,1842.25
529.071,1843.65
529.155,1842.4
529.239,1841.85
529.324,1841.65
529.408,1841.4
529.492,1841.0
529.576,1841.5
529.66,1841.85
529.745,1842.5
529.829,1842.7
529.913,1842.05
529.997,1841.45
530.081,1842.0
530.165,1841.2
530.25,1841.95
530.334,1842.4
530.418,1841.25
530.502,1842.7
530.586,1843.1
530.67,1841.7
530.754,1842.35
530.839,1842.9
530.923,1842.85
531.007,1842.0
531.091,1842.95
531.175,1841.75
531.259,1843.85
531.344,1843.0
531.428,1844.95
531.512,1844.05
531.596,1850.75
531.68,1861.6
531.764,1913.65
531.848,2115.7
531.933,2543.3
532.017,2875.45
532.101,2812.35
532.185,2682.45
532.269,2277.15
532.353,1931.45
532.437,1850.7
532.521,1843.8
532.606,1843.55
532.69,1842.4
532.774,1842.2
532.858,1842.75
532.942,1843.1
533.026,1843.35
533.11,1842.35
533.194,1841.9
533.279,1842.6
533.363,1842.1
533.447,1843.5
533.531,1848.6
533.615,1860.6
533.699,1882.1
533.783,1912.55
533.867,1941.55
533.951,1964.25
534.036,1972.5
534.12,1982.75
534.204,1975.4
534.288,1976.5
534.372,1973.0
534.456,1969.45
534.54,1978.65
534.624,1985.35
534.708,1991.15
534.792,1996.3
534.877,2011.8
534.961,2020.0
535.045,2022.35
535.129,2009.05
535.213,2005.5
535.297,1992.6
535.381,1976.1
535.465,1965.15
535.549,1962.6
535.633,1951.35
535.717,1943.35
535.801,1942.2
535.886,1936.9
535.97,1930.5
536.054,1927.05
536.138,1923.3
536.222,1929.85
536.306,1926.55
536.39,1927.35
536.474,1931.4
536.558,1938.8
536.642,1938.8
536.726,1949.85
536.81,1961.8
536.894,1968.2
536.978,1971.55
537.062,1970.85
537.146,1969.8
537.231,1961.0
537.315,1959.2
537.399,1949.25
537.483,1944.05
537.567,1939.05
537.651,1937.5
537.735,1936.35
537.819,1930.2
537.903,1929.6
537.987,1931.0
538.071,1930.75
538.155,1932.55
538.239,1927.6
538.323,1930.4
538.407,1939.5
538.491,1944.7
538.575,1946.75
538.659,1953.4
538.743,1959.65
538.827,1960.75
538.911,1975.25
538.995,1978.95
539.079,1986.05
539.163,1991.35
539.247,1988.95
539.331,1979.8
539.415,1968.6
539.499,1964.4
539.583,1955.55
539.667,1945.85
539.751,1936.5
539.835,1934.05
539.919,1924.85
540.003,1926.3
540.087,1925.0
540.171,1924.7
540.255,1924.15
540.339,1920.15
540.423,1914.95
540.507,1915.95
540.591,1922.65
540.675,1922.85
540.759,1921.9
540.843,1925.6
540.927,1923.15
541.011,1926.85
541.095,1932.6
541.179,1932.85
541.263,1946.25
541.347,1945.45
541.431,1945.25
541.515,1931.4
541.599,1926.5
541.683,1927.95
541.767,1927.65
541.851,1926.25
541.935,1926.6
542.019,1923.0
542.103,1921.5
542.187,1920.2
542.271,1920.6
542.355,1920.85
542.439,1923.75
542.523,1926.65
542.607,1930.0
542.691,1932.65
542.775,1934.6
542.859,1933.6
542.943,1936.65
543.027,1937.5
543.111,1942.45
543.195,1945.5
543.279,1954.05
543.363,1978.7
543.446,2013.25
543.53,2044.3
543.614,2066.65
543.698,2059.0
543.782,2032.6
543.866,2004.9
543.95,1975.05
544.034,1956.05
544.118,1951.1
544.202,1943.65
544.286,1939.45
544.37,1936.05
544.454,1930.15
544.538,1929.5
544.622,1930.4
544.706,1934.35
544.789,1934.35
544.873,1937.9
544.957,1942.35
545.041,1953.2
545.125,1960.7
545.209,1975.35
545.293,1978.65
545.377,1972.6
545.461,1967.2
545.545,1960.35
545.629,1952.5
545.713,1938.9
545.796,1930.8
545.88,1928.3
545.964,1925.25
546.048,1927.15
546.132,1922.75
546.216,1923.8
546.3,1920.65
546.384,1918.7
546.468,1920.6
546.552,1921.35
546.635,1921.85
546.719,1925.95
546.803,1926.05
546.887,1927.05
546.971,1927.15
547.055,1931.55
547.139,1937.1
547.223,1948.0
547.306,1950.6
547.39,1955.35
547.474,1951.15
547.558,1961.6
547.642,1957.65
547.726,1949.0
547.81,1943.15
547.894,1932.9
547.977,1930.45
