nm,Intensity
528.626,1859.42
528.711,1859.76
528.795,1858.9
528.879,1858.42
528.963,1859.8
529.048,1858.78
529.132,1859.64
529.216,1858.8
529.3,1859.14
529.385,1859.56
529.469,1859.22
529.553,1859.36
529.637,1859.64
529.721,1859.78
529.806,1859.5
529.89,1859.28
529.974,1859.22
530.058,1858.92
530.143,1859.98
530.227,1859.86
530.311,1859.84
530.395,1859.46
530.48,1860.46
530.564,1860.96
530.648,1860.06
530.732,1860.64
530.816,1860.04
530.901,1860.32
530.985,1861.2
531.069,1861.68
531.153,1862.12
531.237,1864.84
531.322,1865.66
531.406,1867.58
531.49,1874.0
531.574,1882.04
531.658,1924.64
531.743,2112.8
531.827,2820.42
531.911,3779.34
531.995,4441.76
532.079,5298.58
532.164,4643.46
532.248,3282.14
532.332,2276.04
532.416,1912.48
532.5,1867.78
532.585,1862.94
532.669,1861.6
532.753,1862.1
532.837,1861.46
532.921,1861.1
533.006,1860.66
533.09,1859.94
533.174,1861.24
533.258,1861.36
533.342,1861.52
533.426,1862.86
533.511,1868.26
533.595,1883.32
533.679,1912.6
533.763,1956.8
533.847,2008.38
533.931,2041.22
534.016,2068.96
534.1,2080.68
534.184,2089.54
534.268,2090.88
534.352,2088.0
534.436,2085.44
534.521,2078.64
534.605,2085.58
534.689,2089.1
534.773,2098.68
534.857,2096.48
534.941,2104.72
535.025,2108.92
535.11,2102.2
535.194,2096.38
535.278,2087.1
535.362,2080.04
535.446,2072.38
535.53,2056.1
535.614,2043.42
535.699,2042.9
535.783,2040.04
535.867,2036.3
535.951,2030.74
536.035,2029.24
536.119,2024.06
536.203,2020.84
536.287,2017.74
536.372,2017.56
536.456,2020.36
536.54,2020.06
536.624,2017.66
536.708,2024.48
536.792,2022.62
536.876,2023.54
536.96,2028.0
537.044,2023.98
537.129,2022.22
537.213,2024.58
537.297,2026.6
537.381,2019.5
537.465,2017.7
537.549,2012.9
537.633,2014.56
537.717,2011.16
537.801,2008.42
537.885,2010.18
537.97,2009.6
538.054,2005.4
538.138,2006.7
538.222,2005.26
538.306,2005.12
538.39,2007.54
538.474,2006.18
538.558,2003.92
538.642,2010.64
538.726,2008.68
538.81,2009.26
538.894,2014.66
538.979,2006.94
539.063,2014.04
539.147,2018.08
539.231,2017.6
539.315,2014.42
539.399,2011.96
539.483,2014.28
539.567,2008.5
539.651,2008.18
539.735,2007.76
539.819,2008.24
539.903,2004.06
539.987,2004.5
540.071,2005.0
540.155,2002.54
540.239,1999.92
540.324,1996.18
540.408,2000.2
540.492,1998.88
540.576,2002.66
540.66,2001.34
540.744,2001.8
540.828,2006.26
540.912,2003.06
540.996,2003.26
541.08,2005.78
541.164,2011.24
541.248,2014.38
541.332,2016.02
541.416,2013.38
541.5,2007.38
541.584,2008.8
541.668,2006.06
541.752,2009.0
541.836,2002.24
541.92,2003.92
542.004,2003.4
542.088,2002.54
542.172,2007.4
542.256,2008.8
542.34,2004.5
542.424,2004.64
542.508,2009.94
542.592,2011.4
542.676,2010.66
