nm,Intensity
526.495,829.7
526.632,828.5
526.768,829.9
526.905,827.8
527.042,829.9
527.179,830.2
527.315,830.2
527.452,829.2
527.589,828.1
527.725,829.5
527.862,828.2
527.999,830.0
528.136,829.5
528.272,828.5
528.409,828.1
528.546,829.5
528.682,828.5
528.819,829.7
528.955,830.1
529.092,829.0
529.229,829.8
529.365,828.3
529.502,829.4
529.639,828.4
529.775,828.2
529.912,829.4
530.048,830.1
530.185,828.1
530.321,829.5
530.458,829.7
530.594,829.5
530.731,829.9
530.867,829.2
531.004,829.2
531.14,827.9
531.277,828.9
531.413,830.4
531.55,829.3
531.686,829.8
531.823,827.9
531.959,832.6
532.096,850.7
532.232,856.4
532.369,837.5
532.505,827.7
532.641,828.6
532.778,830.5
532.914,828.6
533.051,829.8
533.187,830.0
533.323,830.1
533.46,828.6
533.596,829.8
533.732,834.3
533.869,860.2
534.005,893.7
534.141,901.8
534.278,897.2
534.414,895.5
534.55,894.8
534.687,903.1
534.823,917.9
534.959,932.1
535.095,949.1
535.232,958.1
535.368,932.5
535.504,901.3
535.64,879.0
535.777,869.0
535.913,861.5
536.049,857.6
536.185,856.0
536.321,852.7
536.457,852.8
536.594,857.8
536.73,862.9
536.866,872.5
537.002,885.6
537.138,893.5
537.274,889.7
537.41,876.5
537.547,866.4
537.683,854.2
537.819,853.3
537.955,849.8
538.091,850.6
538.227,847.7
538.363,848.5
538.499,847.9
538.635,848.8
538.771,847.6
538.907,848.9
539.043,851.0
539.179,853.6
539.315,857.1
539.451,860.3
539.587,855.4
539.723,853.7
539.859,847.1
539.995,844.9
540.131,843.3
540.267,841.0
540.403,841.3
540.539,840.4
540.675,840.7
540.811,841.3
540.947,843.3
541.083,845.7
541.219,851.9
541.354,856.9
541.49,855.0
541.626,850.1
541.762,843.7
541.898,841.1
542.034,840.6
542.17,840.4
542.305,839.6
542.441,839.0
542.577,838.2
542.713,839.1
542.849,840.5
542.984,841.5
543.12,842.8
543.256,847.2
543.392,856.4
543.528,887.5
543.663,942.7
543.799,932.2
543.935,888.9
544.071,866.6
544.206,854.4
544.342,848.0
544.478,847.7
544.613,844.2
544.749,845.7
544.885,844.0
545.02,845.7
545.156,851.5
545.292,863.8
545.427,868.5
545.563,862.1
545.699,854.3
545.834,845.8
545.97,840.7
546.106,839.5
546.241,840.7
546.377,837.7
546.512,838.6
546.648,837.4
546.784,840.4
546.919,839.7
547.055,840.9
547.19,844.0
547.326,851.2
547.461,859.4
547.597,865.8
547.732,857.9
547.868,848.8
548.003,843.4
548.139,839.2
548.274,836.5
548.41,840.0
548.545,837.8
548.681,837.8
548.816,835.4
548.952,836.3
549.087,834.0
549.223,835.2
549.358,833.3
549.494,835.0
549.629,834.5
549.764,834.0
549.9,834.4
550.035,835.1
550.171,832.3
550.306,834.2
550.441,832.5
550.577,832.3
550.712,833.2
550.847,833.1
550.983,832.8
551.118,832.8
551.253,831.9
551.389,832.9
551.524,833.9
551.659,833.2
551.795,834.3
551.93,834.5
552.065,835.1
552.201,832.3
552.336,833.5
552.471,833.2
552.606,831.9
552.742,833.3
552.877,834.8
553.012,833.6
553.147,834.8
553.283,833.2
553.418,833.5
553.553,833.7
553.688,835.0
553.823,834.8
553.959,834.1
554.094,834.5
554.229,835.7
554.364,834.8
554.499,836.8
554.634,836.6
554.769,839.0
554.905,839.8
555.04,839.1
555.175,840.3
555.31,839.9
555.445,844.4
555.58,850.5
555.715,855.0
555.85,874.8
555.985,932.6
556.121,998.6
556.256,952.5
556.391,888.8
556.526,873.6
556.661,876.8
556.796,885.0
556.931,911.9
557.066,977.4
557.201,987.3
557.336,905.1
557.471,870.7
557.606,857.3
557.741,854.1
557.876,850.4
558.011,846.7
558.146,846.2
558.281,845.5
558.416,841.9
558.551,842.5
558.685,846.6
558.82,852.4
558.955,863.2
559.09,855.4
559.225,843.8
559.36,841.6
559.495,840.7
559.63,841.9
559.765,841.9
559.9,845.2
560.034,850.0
560.169,864.2
560.304,869.4
560.439,855.4
560.574,850.9
560.709,847.6
560.843,850.6
560.978,857.8
561.113,881.1
561.248,910.1
561.383,892.6
561.517,861.0
561.652,852.0
561.787,857.1
561.922,876.9
562.057,902.1
562.191,883.7
562.326,859.7
562.461,852.2
562.596,850.3
562.73,849.7
562.865,851.5
563.0,857.0
563.134,869.8
563.269,883.6
563.404,882.6
563.539,873.4
563.673,861.9
563.808,852.3
563.943,846.8
564.077,845.2
564.212,844.5
564.346,840.9
564.481,842.0
564.616,842.6
564.75,841.5
564.885,843.3
565.02,844.5
565.154,848.5
565.289,853.6
565.423,856.4
565.558,851.2
565.693,846.2
565.827,845.7
565.962,846.9
566.096,844.3
566.231,846.1
566.365,848.9
566.5,852.3
566.634,868.7
566.769,903.7
566.903,960.3
567.038,961.8
567.172,929.2
567.307,909.0
567.441,916.0
567.576,901.4
567.71,867.5
567.845,852.0
567.979,846.1
568.114,846.1
568.248,845.6
568.383,847.0
568.517,850.1
568.652,853.4
568.786,857.1
568.92,871.5
569.055,890.7
569.189,891.7
569.324,873.4
569.458,858.7
569.592,851.4
569.727,847.3
569.861,847.8
569.996,850.7
570.13,850.5
570.264,856.5
570.399,854.7
570.533,847.8
570.667,847.9
570.802,846.8
570.936,845.8
571.07,849.8
571.205,852.0
571.339,854.1
571.473,857.1
571.607,864.2
571.742,865.6
571.876,861.4
572.01,861.0
572.144,862.1
572.279,870.3
572.413,885.2
572.547,932.2
572.681,996.5
572.816,982.7
572.95,918.4
573.084,883.2
573.218,869.2
573.353,867.4
573.487,881.0
573.621,904.1
573.755,912.9
573.889,890.3
574.023,873.6
574.158,871.3
574.292,865.8
574.426,854.3
574.56,847.4
574.694,845.6
574.828,844.3
574.963,841.2
575.097,838.9
575.231,840.0
575.365,841.3
575.499,842.5
575.633,843.5
575.767,844.9
575.901,851.4
576.035,871.4
576.169,909.4
576.303,914.2
576.438,902.9
576.572,911.7
576.706,946.7
576.84,999.8
576.974,1049.5
577.108,1034.6
577.242,959.7
577.376,902.0
577.51,869.4
577.644,854.5
577.778,850.4
577.912,845.7
578.046,845.3
578.18,842.0
578.314,842.8
578.448,840.4
578.582,840.1
578.716,840.4
578.85,839.1
578.984,838.0
579.117,839.3
579.251,838.0
579.385,838.5
579.519,837.0
579.653,838.3
579.787,837.3
579.921,837.7
580.055,837.0
580.189,836.0
580.323,837.5
580.456,836.5
580.59,836.4
580.724,838.0
580.858,837.5
580.992,836.3
581.126,836.7
581.26,837.3
581.393,836.3
581.527,837.6
581.661,838.4
581.795,837.0
581.929,836.6
582.063,838.0
582.196,835.4
582.33,837.1
582.464,836.7
582.598,838.0
582.731,837.6
582.865,838.5
582.999,837.9
583.133,836.8
583.267,838.1
583.4,837.3
583.534,837.9
583.668,838.4
583.801,837.9
583.935,837.6
584.069,836.3
584.203,837.6
584.336,837.2
584.47,838.2
584.604,840.9
584.737,838.4
584.871,837.6
585.005,838.8
585.138,839.3
585.272,840.5
585.406,840.4
585.539,837.9
585.673,837.9
585.807,837.8
585.94,838.3
586.074,836.2
586.208,837.5
586.341,835.4
586.475,836.7
586.608,836.8
586.742,838.2
586.876,836.5
587.009,835.7
587.143,837.1
587.276,835.6
587.41,836.6
587.543,836.8
587.677,837.4
587.811,837.2
587.944,835.4
588.078,835.6
588.211,835.2
588.345,834.7
588.478,837.1
588.612,836.2
588.745,836.2
588.879,836.9
589.012,833.9
589.146,836.7
589.279,833.5
589.413,836.3
589.546,836.7
589.68,834.6
589.813,834.7
589.947,836.8
590.08,835.5
590.214,836.0
590.347,835.0
590.48,835.9
590.614,837.3
590.747,835.3
590.881,837.0
591.014,835.7
591.148,837.0
591.281,836.2
591.414,835.4
591.548,836.2
591.681,838.6
591.815,836.8
