cm-1,A
4000.0,-0.45836585776126126
3999.0,-0.45818443557026267
3998.0,-0.4580180652918542
3997.0,-0.45783649772544166
3996.0,-0.45765485421845975
3995.0,-0.4574731347073584
3994.0,-0.45709430800384654
3993.0,-0.45666962942375733
3992.0,-0.4565482163723926
3991.0,-0.45679100854190446
3990.0,-0.45709430800384654
3989.0,-0.45723072368726925
3988.0,-0.45730649166699733
3987.0,-0.4575034265733051
3986.0,-0.4578062290829772
3985.0,-0.4579726805162072
3984.0,-0.4579726805162072
3983.0,-0.4578970286822841
3982.0,-0.45776082216339953
3981.0,-0.4574882809044376
3980.0,-0.457018502993809
3979.0,-0.4564571343037791
3978.0,-0.4560318318952339
3977.0,-0.4558494318581543
3976.0,-0.45591024038274286
3975.0,-0.4559862390673195
3974.0,-0.4558646347875279
3973.0,-0.4554691855576598
3972.0,-0.45504291407907616
3971.0,-0.4549210453401509
3970.0,-0.4551952019275767
3969.0,-0.45568216450079024
3968.0,-0.4560774199372539
3967.0,-0.4561381965502913
3966.0,-0.45583422839656773
3965.0,-0.45533221534864543
3964.0,-0.45499721730945986
3963.0,-0.45496675012491616
3962.0,-0.4550276823567807
3961.0,-0.45482962133828986
3960.0,-0.4543722124188445
3959.0,-0.4540975356467136
3958.0,-0.4542196356600017
3957.0,-0.45444848070169197
3956.0,-0.45441797499578973
3955.0,-0.45394486234066855
3954.0,-0.4530429957148159
3953.0,-0.4517864355242902
3952.0,-0.45041848093681125
3951.0,-0.4493240930987268
3950.0,-0.44882994486518113
3949.0,-0.448876295154121
3948.0,-0.44879904192412834
3947.0,-0.44790189874971986
3946.0,-0.44652163408907874
3945.0,-0.44611758136797475
3944.0,-0.4474526312269931
3943.0,-0.4495709565312107
3942.0,-0.4505262291297232
3941.0,-0.4497251749490463
3940.0,-0.44890719259877665
3939.0,-0.4498485102659995
3938.0,-0.4516482987050052
3937.0,-0.45210858400411746
3936.0,-0.4505877875255604
3935.0,-0.44836616970071885
3934.0,-0.44690979213460125
3933.0,-0.4464128876388558
3932.0,-0.4463818122224419
3931.0,-0.4463351949282419
3930.0,-0.4458998587126004
3929.0,-0.44494993404981775
3928.0,-0.4438572902023177
