cm-1,A
4000.0,-0.45373102950429356
3999.0,-0.4535935099205206
3998.0,-0.4534712337229361
3997.0,-0.45333363183703934
3996.0,-0.4532112824382226
3995.0,-0.4530123911214554
3994.0,-0.4525530632289252
3993.0,-0.45203190365681234
3992.0,-0.4518631592206126
3991.0,-0.4521392523525454
3990.0,-0.45250710370912994
3989.0,-0.4526755981756092
3988.0,-0.45276747670249984
3987.0,-0.4529817843712465
3986.0,-0.4532724614461636
3985.0,-0.4534100827115841
3984.0,-0.45337950397670745
3983.0,-0.4533030477185829
3982.0,-0.4531500948107885
3981.0,-0.45284402729616247
3980.0,-0.4523232169775149
3979.0,-0.4517250468066951
3978.0,-0.4512489897961376
3977.0,-0.451064569474783
3976.0,-0.4511106818974744
3975.0,-0.4512028920571125
3974.0,-0.4511106818974744
3973.0,-0.45074164535191263
3972.0,-0.4503261040614124
3971.0,-0.45023370753275316
3970.0,-0.4505570094183291
3969.0,-0.4511106818974744
3968.0,-0.4515254735245908
3967.0,-0.45154082857194844
3966.0,-0.4511414207927631
3965.0,-0.4505570094183291
3964.0,-0.450187501895837
3963.0,-0.450187501895837
3962.0,-0.450279908254263
3961.0,-0.45007966962168844
3960.0,-0.4496326504700745
3959.0,-0.4494012529962208
3958.0,-0.44955553167702744
3957.0,-0.449740593779286
3956.0,-0.44955553167702744
3955.0,-0.44892264049683117
3954.0,-0.44790189874971986
3953.0,-0.44655269950267584
3952.0,-0.4450902175983549
3951.0,-0.44390417422135275
3950.0,-0.4433881714278267
3949.0,-0.44354460066335566
3948.0,-0.44362279415700456
3947.0,-0.44280889284628033
3946.0,-0.441459468917794
3945.0,-0.44117649994107566
3944.0,-0.44276189043112213
3943.0,-0.44502787494877305
3942.0,-0.44588430291691106
3941.0,-0.4449187537732562
3940.0,-0.44418537209715714
3939.0,-0.4454796565328807
3938.0,-0.4475456212670106
3937.0,-0.447793497409382
3936.0,-0.4457442756766512
3935.0,-0.443153421877831
3934.0,-0.44169513564071705
3933.0,-0.4413494473341091
3932.0,-0.44144375325505525
3931.0,-0.4415066124941145
3930.0,-0.4411135929003134
3929.0,-0.44007430901763156
3928.0,-0.43874797690222955
3927.0,-0.43813080024310436
3926.0,-0.4388428493591503
3925.0,-0.4399008529834849
3924.0,-0.4394432274492468
3923.0,-0.43725892958345725
3922.0,-0.43562143037485823
3921.0,-0.4359080408591103
3920.0,-0.43697320951926777
3919.0,-0.43795656608131495
3918.0,-0.43979043578963406
3917.0,-0.44271488292848016
3916.0,-0.4449031627954616
3915.0,-0.4453550740644694
3914.0,-0.4456820268526793
3913.0,-0.44742163012184033
3912.0,-0.44946297104541033
3911.0,-0.4498947519812111
3910.0,-0.44794834818543006
3909.0,-0.4439666783745788
3908.0,-0.4386530837157112
3907.0,-0.4329372384383676
3906.0,-0.4280861762536494
3905.0,-0.424799994656599
3904.0,-0.42257342629559647
3903.0,-0.42020337435329624
3902.0,-0.41896383070362253
3901.0,-0.4223107250017959
3900.0,-0.430107319916718
3899.0,-0.43694145123904127
3898.0,-0.4387321628109433
