nm,Intensity
526.508,830.9
526.645,830.9
526.782,829.9
526.919,831.1
527.055,830.2
527.192,830.7
527.329,830.8
527.465,828.6
527.602,830.6
527.739,830.9
527.875,829.8
528.012,830.8
528.149,831.0
528.285,830.1
528.422,830.6
528.558,830.6
528.695,830.1
528.832,830.1
528.968,830.4
529.105,829.3
529.241,831.5
529.378,830.1
529.514,827.7
529.651,830.8
529.787,831.3
529.924,830.0
530.061,829.5
530.197,830.5
530.334,828.5
530.47,829.8
530.606,830.5
530.743,831.1
530.879,829.2
531.016,829.4
531.152,829.3
531.289,830.0
531.425,830.4
531.562,829.8
531.698,830.0
531.834,830.7
531.971,831.9
532.107,851.2
532.244,860.0
532.38,839.0
532.516,829.9
532.653,832.3
532.789,829.9
532.925,831.9
533.062,829.2
533.198,829.5
533.334,830.7
533.471,830.2
533.607,830.3
533.743,836.0
533.879,850.6
534.016,877.0
534.152,883.5
534.288,882.1
534.424,881.4
534.561,880.0
534.697,882.7
534.833,897.6
534.969,900.9
535.106,912.3
535.242,916.0
535.378,900.2
535.514,881.3
535.65,870.5
535.786,859.5
535.923,855.3
536.059,851.0
536.195,849.9
536.331,847.2
536.467,848.0
536.603,851.6
536.739,855.2
536.876,860.2
537.012,867.3
537.148,876.1
537.284,872.3
537.42,863.5
537.556,856.4
537.692,852.4
537.828,849.9
537.964,847.2
538.1,845.7
538.236,846.6
538.372,843.9
538.508,844.8
538.644,847.1
538.78,846.7
538.916,846.9
539.052,846.3
539.188,850.8
539.324,851.7
539.46,849.6
539.596,850.1
539.732,850.7
539.868,846.0
540.004,841.0
540.14,841.1
540.275,841.3
540.411,840.0
540.547,839.4
540.683,840.1
540.819,838.7
540.955,842.1
541.091,844.0
541.227,847.5
541.362,851.8
541.498,852.1
541.634,845.9
541.77,844.3
541.906,841.8
542.041,841.6
542.177,839.9
542.313,838.3
542.449,839.9
542.585,838.6
542.72,837.2
542.856,838.2
542.992,840.5
543.128,839.6
543.263,842.5
543.399,852.3
543.535,872.5
543.67,904.2
543.806,905.5
543.942,872.3
544.078,856.9
544.213,849.3
544.349,844.7
544.485,843.0
544.62,842.4
544.756,842.6
544.892,842.0
545.027,845.1
545.163,846.6
545.298,856.1
545.434,858.7
545.57,854.9
545.705,848.9
545.841,841.4
545.976,841.3
546.112,839.7
546.248,839.2
546.383,838.5
546.519,838.1
546.654,839.5
546.79,839.6
546.925,838.8
547.061,839.1
547.196,841.7
547.332,844.5
547.467,850.7
547.603,853.6
547.738,849.2
547.874,844.5
548.009,842.2
548.145,842.3
548.28,838.9
548.416,838.3
548.551,835.6
548.686,838.7
548.822,836.1
548.957,836.4
549.093,836.1
549.228,834.5
549.363,835.6
549.499,836.0
549.634,835.0
549.77,833.7
549.905,835.5
550.04,835.6
550.176,835.3
550.311,835.1
550.446,836.2
550.582,835.6
550.717,833.0
550.852,836.7
550.988,833.5
551.123,834.6
551.258,835.6
551.394,835.7
551.529,834.5
551.664,835.4
551.799,836.5
551.935,834.9
552.07,835.5
552.205,836.0
552.34,833.8
552.476,834.9
552.611,836.9
552.746,835.9
552.881,836.7
553.016,835.4
553.152,836.1
553.287,835.9
553.422,834.9
553.557,835.6
553.692,836.0
553.827,834.8
553.963,836.6
554.098,835.3
554.233,836.2
554.368,837.4
554.503,835.6
554.638,838.2
554.773,840.0
554.908,839.9
555.043,840.6
555.179,839.9
555.314,841.1
555.449,841.4
555.584,844.1
555.719,852.3
555.854,864.3
555.989,903.7
556.124,952.7
556.259,921.5
556.394,876.5
556.529,864.5
556.664,862.9
556.799,874.3
556.934,889.8
557.069,929.1
557.204,935.1
557.339,888.1
557.474,862.4
557.609,856.2
557.744,849.5
557.879,845.0
558.014,845.4
558.149,843.6
558.284,842.6
558.419,842.6
558.553,842.4
558.688,843.7
558.823,851.0
558.958,854.6
559.093,851.5
559.228,843.3
559.363,842.4
559.498,840.7
559.632,840.2
559.767,842.5
559.902,843.2
560.037,846.9
560.172,857.8
560.307,855.4
560.441,851.4
560.576,845.8
560.711,844.7
560.846,845.7
560.981,851.9
561.115,868.0
561.25,890.9
561.385,879.5
561.52,852.0
561.654,847.4
561.789,852.4
561.924,864.2
562.059,878.2
562.193,865.8
562.328,854.1
562.463,847.3
562.598,847.9
562.732,848.0
562.867,847.2
563.002,853.3
563.136,862.6
563.271,869.1
563.406,868.8
563.54,862.2
563.675,856.6
563.81,848.5
563.944,843.9
564.079,843.1
564.213,842.3
564.348,840.8
564.483,841.3
564.617,842.1
564.752,842.3
564.887,842.0
565.021,842.1
565.156,843.2
565.29,849.3
565.425,850.6
565.559,848.6
565.694,845.0
565.828,842.6
565.963,842.4
566.098,842.8
566.232,843.5
566.367,844.7
566.501,849.6
566.636,858.5
566.77,880.9
566.905,920.7
567.039,925.1
567.174,904.0
567.308,892.1
567.443,894.0
567.577,883.5
567.711,862.1
567.846,847.6
567.98,845.1
568.115,844.8
568.249,842.0
568.384,843.4
568.518,847.7
568.652,847.7
568.787,851.0
568.921,862.0
569.056,872.4
569.19,874.8
569.324,864.0
569.459,851.9
569.593,846.7
569.727,846.7
569.862,846.1
569.996,848.2
570.131,847.8
570.265,850.7
570.399,849.6
570.534,846.3
570.668,843.8
570.802,843.5
570.936,845.4
571.071,845.3
571.205,845.1
571.339,851.4
571.474,852.3
571.608,858.0
571.742,856.8
571.876,854.9
572.011,854.8
572.145,853.2
572.279,859.4
572.413,873.0
572.548,901.5
572.682,944.1
572.816,935.8
572.95,896.2
573.084,870.1
573.219,860.1
573.353,859.6
573.487,865.4
573.621,880.9
573.755,889.6
573.889,874.4
574.024,860.2
574.158,859.3
574.292,857.5
574.426,850.2
574.56,843.8
574.694,842.8
574.828,841.9
574.963,840.2
575.097,841.8
575.231,841.1
575.365,839.8
575.499,840.1
575.633,841.4
575.767,841.4
575.901,845.8
576.035,860.0
576.169,885.8
576.303,891.2
576.437,883.3
576.571,892.1
576.706,911.5
576.84,949.7
576.974,981.1
577.108,971.4
577.242,921.1
577.376,884.3
577.51,863.2
577.644,850.3
577.778,846.9
577.912,844.5
578.046,842.3
578.179,841.1
578.313,839.2
578.447,840.4
578.581,838.2
578.715,839.3
578.849,841.1
578.983,836.7
579.117,839.2
579.251,839.3
579.385,837.5
579.519,837.4
579.653,838.2
579.787,837.3
579.921,839.1
580.054,838.1
580.188,838.6
580.322,837.6
580.456,838.2
580.59,838.2
580.724,837.3
580.858,837.5
580.991,839.1
581.125,838.3
581.259,837.3
581.393,836.3
581.527,836.3
581.661,837.2
581.794,837.2
581.928,836.6
582.062,836.4
582.196,838.3
582.33,838.5
582.463,837.5
582.597,837.9
582.731,837.0
582.865,838.5
582.998,838.7
583.132,839.8
583.266,837.5
583.4,839.3
583.533,838.5
583.667,837.7
583.801,837.9
583.935,837.9
584.068,839.2
584.202,839.0
584.336,837.7
584.469,839.4
584.603,839.1
584.737,839.8
584.87,839.6
585.004,839.3
585.138,838.2
585.271,839.8
585.405,837.1
585.539,837.9
585.672,837.2
585.806,839.2
585.94,837.9
586.073,837.4
586.207,837.6
586.34,837.6
586.474,837.4
586.608,837.1
586.741,835.7
586.875,837.5
587.008,835.8
587.142,840.0
587.276,837.0
587.409,837.3
587.543,836.8
587.676,837.1
587.81,838.8
587.943,838.1
588.077,836.9
588.21,837.4
588.344,835.0
588.478,836.7
588.611,836.4
588.745,837.5
588.878,837.6
589.012,835.9
589.145,837.4
589.279,836.0
589.412,836.9
589.546,836.1
589.679,837.1
589.812,838.3
589.946,836.8
590.079,836.6
590.213,837.3
590.346,837.3
590.48,836.9
590.613,836.1
590.747,837.4
590.88,838.0
591.013,838.3
591.147,836.0
591.28,836.4
591.414,838.1
591.547,837.9
591.68,835.0
591.814,837.3
591.947,837.1
592.081,838.2
592.214,837.1
592.347,836.3
592.481,838.7
592.614,837.3
592.747,838.8
592.881,836.1
593.014,836.2
593.147,837.6
593.281,838.8
593.414,837.5
593.547,836.6
593.681,838.0
593.814,838.7
593.947,837.4
594.081,837.5
594.214,837.2
594.347,835.5
594.48,837.7
594.614,837.0
594.747,836.6
594.88,834.7
595.014,838.6
595.147,837.5
595.28,837.5
595.413,837.5
595.547,835.7
595.68,836.6
595.813,837.2
595.946,837.5
596.079,836.1
596.213,836.9
596.346,838.5
596.479,837.6
596.612,839.8
596.745,837.5
596.879,838.5
597.012,836.8
597.145,836.7
597.278,837.6
597.411,837.6
597.545,838.6
597.678,836.3
597.811,837.2
597.944,837.8
598.077,837.7
598.21,838.1
598.343,838.4
598.476,838.5
598.61,838.7
598.743,836.5
598.876,839.4
599.009,839.2
599.142,838.8
599.275,838.9
599.408,837.6
599.541,837.8
599.674,837.6
599.807,839.1
599.941,837.8
600.074,838.1
600.207,838.6
600.34,839.9
600.473,839.6
600.606,837.4
600.739,839.0
600.872,838.1
601.005,836.5
601.138,839.2
601.271,839.1
601.404,837.6
601.537,836.6
601.67,837.6
601.803,838.6
601.936,838.6
602.069,840.6
602.202,838.7
602.335,838.9
602.468,839.7
602.601,840.3
602.734,838.6
602.867,838.8
603.0,839.8
603.133,840.7
603.266,839.0
603.399,837.4
603.532,838.5
603.664,838.3
603.797,841.5
603.93,840.6
604.063,840.2
604.196,839.3
604.329,840.0
604.462,839.5
604.595,841.0
604.728,840.3
604.861,840.0
604.994,839.2
605.126,839.9
605.259,839.5
605.392,839.7
605.525,839.1
605.658,839.3
605.791,839.8
605.924,840.7
606.056,839.1
606.189,840.5
606.322,838.8
606.455,839.5
606.588,840.0
606.721,840.0
606.853,841.8
606.986,843.1
607.119,840.5
607.252,838.9
607.385,841.2
607.517,840.4
607.65,840.8
607.783,838.2
607.916,840.0
608.049,839.5
608.181,839.7
608.314,838.5
608.447,839.0
608.58,840.3
608.712,838.7
608.845,838.6
608.978,839.2
609.111,839.1
609.243,841.4
609.376,838.8
609.509,838.8
609.641,838.4
609.774,837.5
609.907,838.0
610.04,838.0
610.172,840.2
610.305,838.6
610.438,838.5
610.57,839.5
610.703,839.4
610.836,839.5
610.968,839.3
611.101,838.1
611.234,840.6
611.366,840.2
611.499,839.8
611.632,839.1
611.764,840.7
611.897,836.8
612.03,839.9
612.162,840.4
612.295,840.0
612.428,839.9
612.56,839.1
612.693,839.3
612.825,838.4
612.958,838.3
613.091,839.5
613.223,837.5
613.356,837.1
613.488,838.3
613.621,838.2
613.754,837.8
613.886,837.4
614.019,839.0
614.151,840.5
614.284,839.7
614.416,840.9
614.549,840.0
614.681,840.7
614.814,841.8
614.947,839.8
615.079,840.1
