cm-1,Intensity
-123.878,1854.65
-120.866,1853.95
-117.855,1854.45
-114.845,1855.7
-111.836,1854.3
-108.828,1855.8
-105.821,1855.5
-102.815,1854.5
-99.8104,1853.85
-96.8065,1854.55
-93.8036,1855.0
-90.8016,1855.5
-87.8007,1854.55
-84.8008,1853.9
-81.8019,1853.7
-78.8039,1854.55
-75.807,1854.4
-72.8111,1853.65
-69.8161,1854.15
-66.8222,1854.35
-63.8293,1855.25
-60.8373,1854.1
-57.8464,1854.3
-54.8564,1854.25
-51.8675,1854.15
-48.8795,1855.55
-45.8926,1854.1
-42.9066,1854.75
-39.9216,1855.65
-36.9377,1854.75
-33.9547,1854.5
-30.9727,1857.55
-27.9917,1855.85
-25.0117,1857.25
-22.0326,1859.35
-19.0546,1861.05
-16.0776,1874.8
-13.1015,1937.55
-10.1265,2159.9
-7.1524,2502.7
-4.17932,2824.15
-1.20723,2975.2
1.76388,2791.25
4.734,2298.1
7.70313,1954.75
10.6713,1863.45
13.6384,1856.05
16.6046,1854.6
19.5698,1857.5
22.534,1854.6
25.4972,1855.1
28.4595,1854.05
31.4207,1856.8
34.381,1853.8
37.3403,1854.9
40.2986,1855.25
43.256,1855.45
46.2123,1856.7
49.1677,1862.75
52.1221,1874.8
55.0755,1903.55
58.0279,1934.3
60.9794,1969.6
63.9299,1988.15
66.8794,2003.7
69.8279,2017.6
72.7754,2021.35
75.722,2025.45
78.6676,2014.05
81.6122,2024.75
84.5559,2026.0
87.4985,2031.3
90.4402,2037.4
93.381,2041.75
96.3207,2048.65
99.2595,2050.05
102.197,2054.0
105.134,2053.75
108.07,2047.55
111.005,2044.8
113.939,2038.75
116.872,2026.05
119.804,2023.0
122.735,2022.25
125.665,2014.8
128.594,2011.0
131.522,2011.5
134.449,2009.1
137.375,2009.1
140.301,2009.9
143.225,2000.4
146.148,1997.6
149.07,1999.4
151.992,2010.4
154.912,2009.75
157.832,2003.75
160.75,2016.1
163.668,2017.1
166.584,2018.1
169.5,2015.7
172.414,2023.85
175.328,2024.9
178.241,2014.75
181.153,2016.75
184.063,2015.1
186.973,2011.95
189.882,2011.85
192.79,2009.65
195.697,2010.2
198.603,2015.6
201.508,2010.6
204.412,2009.5
207.315,2009.7
210.217,2014.0
213.119,2007.95
216.019,2000.6
218.918,2009.15
221.816,2012.6
224.714,2012.75
227.61,2012.4
230.506,2015.0
233.4,2018.45
236.294,2018.9
239.187,2027.2
242.078,2021.85
244.969,2024.5
247.859,2027.3
250.748,2032.0
253.636,2017.45
256.523,2024.1
259.409,2022.25
262.294,2015.0
265.178,2011.65
268.061,2015.3
270.943,2019.35
273.824,2016.0
276.705,2017.1
279.584,2020.05
282.463,2013.75
285.34,2015.15
288.217,2020.95
291.092,2021.55
293.967,2025.2
296.841,2031.55
299.713,2025.0
302.585,2024.6
305.456,2039.25
308.326,2045.85
311.195,2039.5
314.063,2036.55
316.93,2041.5
319.797,2045.5
322.662,2043.7
325.526,2045.7
