nm,Intensity
526.508,828.8
526.645,830.0
526.782,830.4
526.919,830.5
527.055,829.9
527.192,831.3
527.329,831.3
527.465,831.7
527.602,829.3
527.739,829.7
527.875,831.8
528.012,830.0
528.149,830.1
528.285,829.8
528.422,829.2
528.558,829.6
528.695,830.5
528.832,831.1
528.968,830.6
529.105,830.3
529.241,828.9
529.378,829.8
529.514,829.4
529.651,830.8
529.787,829.3
529.924,829.5
530.061,830.2
530.197,829.3
530.334,830.4
530.47,829.3
530.606,829.9
530.743,828.4
530.879,830.2
531.016,830.0
531.152,829.5
531.289,830.7
531.425,829.5
531.562,830.7
531.698,829.9
531.834,830.0
531.971,831.3
532.107,854.4
532.244,865.0
532.38,838.7
532.516,830.9
532.653,830.3
532.789,830.8
532.925,830.4
533.062,830.4
533.198,831.2
533.334,830.4
533.471,829.6
533.607,828.9
533.743,836.8
533.879,859.4
534.016,892.7
534.152,902.0
534.288,899.0
534.424,892.3
534.561,893.7
534.697,903.0
534.833,914.3
534.969,927.0
535.106,941.3
535.242,941.2
535.378,922.7
535.514,899.3
535.65,884.4
535.786,870.1
535.923,862.6
536.059,859.2
536.195,856.5
536.331,858.7
536.467,855.5
536.603,856.5
536.739,863.8
536.876,872.1
537.012,881.1
537.148,891.8
537.284,888.7
537.42,875.9
537.556,866.0
537.692,859.3
537.828,855.8
537.964,853.1
538.1,852.9
538.236,851.3
538.372,853.3
538.508,851.8
538.644,850.9
538.78,852.6
538.916,853.0
539.052,853.5
539.188,857.5
539.324,858.9
539.46,862.4
539.596,859.8
539.732,855.7
539.868,851.2
540.004,847.9
540.14,847.1
540.275,846.0
540.411,845.6
540.547,842.0
540.683,844.9
540.819,843.0
540.955,846.4
541.091,848.8
541.227,854.0
541.362,858.5
541.498,858.2
541.634,856.3
541.77,849.9
541.906,847.1
542.041,844.4
542.177,845.2
542.313,842.1
542.449,843.6
542.585,842.4
542.72,841.6
542.856,842.2
542.992,846.9
543.128,847.9
543.263,850.6
543.399,858.3
543.535,884.6
543.67,932.2
543.806,930.0
543.942,889.6
544.078,867.0
544.213,857.4
544.349,852.8
544.485,849.4
544.62,847.6
544.756,845.9
544.892,847.0
545.027,848.8
545.163,852.7
545.298,866.0
545.434,869.3
545.57,864.6
545.705,858.1
545.841,848.5
545.976,844.0
546.112,844.1
546.248,843.5
546.383,843.8
546.519,842.8
546.654,841.2
546.79,841.9
546.925,842.7
547.061,844.9
547.196,847.2
547.332,852.9
547.467,859.9
547.603,863.8
547.738,857.0
547.874,851.9
548.009,847.3
548.145,843.8
548.28,842.3
548.416,841.2
548.551,840.7
548.686,840.9
548.822,841.5
548.957,837.5
549.093,838.8
549.228,839.9
549.363,837.2
549.499,838.7
549.634,838.4
549.77,837.1
549.905,838.1
550.04,837.5
550.176,839.1
550.311,837.6
550.446,836.8
550.582,837.8
550.717,837.2
550.852,836.1
550.988,838.3
551.123,839.1
551.258,836.8
551.394,836.7
551.529,838.8
551.664,838.0
551.799,838.6
551.935,839.2
552.07,839.2
552.205,837.5
552.34,837.1
552.476,839.1
552.611,837.9
552.746,838.0
552.881,838.6
553.016,837.1
553.152,838.5
553.287,837.9
553.422,838.2
553.557,838.1
553.692,839.5
553.827,837.3
553.963,838.5
554.098,838.7
554.233,840.4
554.368,838.9
554.503,842.4
554.638,841.0
