nm,Intensity
526.486,830.267
526.622,829.667
526.759,829.367
526.896,829.867
527.033,828.967
527.169,829.533
527.306,828.933
527.443,829.433
527.579,829.333
527.716,828.967
527.853,828.133
527.989,829.6
528.126,828.833
528.263,829.067
528.399,829.2
528.536,829.5
528.672,828.667
528.809,828.2
528.946,829.167
529.082,829.367
529.219,830.233
529.355,829.167
529.492,829.3
529.628,829.467
529.765,828.967
529.901,828.967
530.038,829.967
530.174,829.2
530.311,829.567
530.447,829.467
530.584,829.133
530.72,828.767
530.857,829.633
530.993,827.6
531.13,829.0
531.266,829.267
531.403,829.2
531.539,829.4
531.676,829.7
531.812,828.767
531.948,832.1
532.085,859.033
532.221,884.2
532.358,847.233
532.494,830.3
532.63,828.867
532.767,829.1
532.903,829.5
533.039,829.1
533.176,829.2
533.312,829.333
533.448,828.633
533.585,828.967
533.721,836.333
533.857,876.1
533.993,955.967
534.13,1007.33
534.266,1021.3
534.402,1017.07
534.539,1016.9
534.675,1026.7
534.811,1029.4
534.947,1025.27
535.083,1022.87
535.22,1023.9
535.356,1025.23
535.492,1027.77
535.628,1028.3
535.764,1031.97
535.901,1032.17
536.037,1030.1
536.173,1032.43
536.309,1032.4
536.445,1032.2
536.581,1033.97
536.717,1030.13
536.854,1035.8
536.99,1033.43
537.126,1039.2
537.262,1038.33
537.398,1037.23
537.534,1035.33
537.67,1036.23
537.806,1037.67
537.942,1036.83
538.078,1040.77
538.214,1040.5
538.35,1042.63
538.486,1042.73
538.622,1043.5
538.758,1039.97
538.894,1041.37
539.03,1040.57
539.166,1042.23
539.302,1046.47
539.438,1044.27
539.574,1043.83
539.71,1041.4
539.846,1040.5
539.982,1047.1
540.118,1046.77
540.254,1043.6
540.39,1048.83
540.526,1045.57
540.662,1047.67
540.798,1045.63
540.933,1048.77
541.069,1046.7
541.205,1051.67
541.341,1048.33
541.477,1044.53
541.613,1050.5
541.749,1048.47
541.884,1048.23
542.02,1048.9
542.156,1051.43
542.292,1050.17
542.428,1052.53
542.563,1049.9
542.699,1052.33
542.835,1050.33
542.971,1054.67
543.106,1053.47
543.242,1056.23
543.378,1052.3
543.514,1054.1
543.649,1059.4
543.785,1060.33
543.921,1056.47
544.057,1053.8
544.192,1055.33
544.328,1056.8
544.464,1057.9
544.599,1055.57
544.735,1054.2
544.871,1057.77
545.006,1061.07
545.142,1058.43
545.278,1056.83
545.413,1059.93
545.549,1061.3
545.684,1063.17
545.82,1059.57
545.956,1057.23
546.091,1057.97
546.227,1059.57
546.362,1058.17
546.498,1057.43
546.634,1059.83
546.769,1056.1
546.905,1060.77
547.04,1061.8
547.176,1060.8
547.311,1058.83
547.447,1061.3
547.582,1064.9
547.718,1061.3
547.853,1057.57
547.989,1060.63
548.124,1057.67
548.26,1056.0
548.395,1063.83
548.531,1062.2
548.666,1063.47
548.802,1063.07
548.937,1059.4
549.072,1061.9
549.208,1061.2
549.343,1062.83
549.479,1060.03
549.614,1061.8
549.75,1063.37
549.885,1060.73
550.02,1061.03
550.156,1064.13
550.291,1057.3
550.426,1059.23
550.562,1060.2
550.697,1061.97
550.832,1060.87
550.968,1063.07
551.103,1061.53
551.238,1063.87
551.374,1063.83
551.509,1058.9
551.644,1061.67
551.78,1064.97
551.915,1063.13
552.05,1063.77
552.185,1065.2
552.321,1063.57
552.456,1066.83
552.591,1066.9
552.726,1059.53
552.862,1063.43
552.997,1061.97
553.132,1063.53
553.267,1061.13
553.403,1063.03
553.538,1061.67
553.673,1067.27
553.808,1066.73
553.943,1065.07
554.078,1064.73
554.214,1065.3
554.349,1068.57
554.484,1066.6
554.619,1065.13
554.754,1067.27
554.889,1065.97
555.024,1069.7
555.16,1065.4
555.295,1064.03
555.43,1064.17
555.565,1064.37
555.7,1064.0
555.835,1065.17
555.97,1068.83
556.105,1075.9
556.24,1071.23
556.375,1067.03
556.51,1066.2
556.645,1066.67
556.78,1069.43
556.915,1068.47
557.05,1073.13
557.185,1071.1
557.32,1068.17
557.455,1063.2
557.59,1063.93
557.725,1068.97
557.86,1066.67
557.995,1066.87
558.13,1066.53
558.265,1064.33
558.4,1064.83
558.535,1067.23
558.67,1062.47
558.805,1067.27
558.94,1066.97
559.075,1067.27
559.21,1068.6
559.345,1068.13
559.479,1069.3
559.614,1069.93
559.749,1073.27
559.884,1071.43
560.019,1073.9
560.154,1075.23
560.289,1072.33
560.424,1073.23
560.558,1073.67
560.693,1075.47
560.828,1074.43
560.963,1076.67
561.098,1079.07
561.232,1075.2
561.367,1080.87
561.502,1077.37
561.637,1075.83
561.772,1074.33
561.906,1073.4
562.041,1078.13
562.176,1079.03
562.311,1082.03
562.445,1076.93
562.58,1075.33
562.715,1083.23
562.85,1084.5
562.984,1085.33
563.119,1086.03
563.254,1088.27
563.388,1089.2
563.523,1090.03
563.658,1086.1
563.792,1090.4
563.927,1091.47
564.062,1091.97
564.196,1094.77
564.331,1096.6
564.466,1094.57
564.6,1098.23
564.735,1097.1
564.87,1103.57
565.004,1097.33
565.139,1101.03
565.273,1098.5
565.408,1096.67
565.543,1097.53
565.677,1102.47
565.812,1102.57
565.946,1101.87
566.081,1100.97
566.215,1098.43
566.35,1101.1
566.485,1103.2
566.619,1102.03
566.754,1102.5
566.888,1107.2
567.023,1106.43
567.157,1108.0
567.292,1104.0
567.426,1111.6
