nm,Intensity
526.532,829.6
526.669,829.471
526.805,829.971
526.942,829.586
527.079,829.571
527.216,829.486
527.352,829.771
527.489,829.671
527.625,829.6
527.762,829.586
527.899,829.429
528.035,830.157
528.172,829.429
528.309,829.586
528.445,829.6
528.582,829.686
528.718,829.8
528.855,829.6
528.992,829.514
529.128,829.371
529.265,829.657
529.401,829.743
529.538,829.171
529.674,829.857
529.811,830.029
529.947,829.557
530.084,829.586
530.22,829.614
530.357,829.514
530.493,829.457
530.63,829.357
530.766,829.614
530.903,829.814
531.039,829.486
531.176,829.471
531.312,829.829
531.449,829.571
531.585,829.357
531.721,829.143
531.858,829.929
531.994,836.786
532.131,865.529
532.267,857.871
532.403,834.786
532.54,830.314
532.676,829.629
532.812,829.214
532.949,829.7
533.085,829.657
533.221,829.357
533.358,829.6
533.494,829.671
533.63,830.071
533.767,835.729
533.903,855.086
534.039,875.729
534.176,884.829
534.312,884.343
534.448,882.714
534.584,882.671
534.721,884.8
534.857,884.157
534.993,884.2
535.129,883.757
535.266,882.671
535.402,879.3
535.538,875.614
535.674,873.129
535.81,871.4
535.947,869.043
536.083,868.343
536.219,867.714
536.355,865.7
536.491,866.157
536.627,866.271
536.764,866.229
536.9,867.329
537.036,868.7
537.172,868.443
537.308,868.086
537.444,865.714
537.58,865.186
537.716,863.9
537.852,864.329
537.988,862.886
538.125,864.229
538.261,862.471
538.397,863.829
538.533,862.8
538.669,864.286
538.805,863.043
538.941,864.157
539.077,865.143
539.213,867.414
539.349,865.871
539.485,865.714
539.621,863.886
539.757,864.114
539.893,863.114
540.029,863.729
540.165,863.229
540.301,861.671
540.437,862.371
540.572,863.343
540.708,865.0
540.844,865.829
540.98,865.4
541.116,867.357
541.252,868.171
541.388,869.814
541.524,869.886
541.66,869.471
541.795,869.314
541.931,868.586
542.067,869.5
542.203,870.943
542.339,871.029
542.475,872.371
542.611,872.329
542.746,873.186
542.882,873.857
543.018,874.629
543.154,877.271
543.289,874.2
543.425,873.271
543.561,875.4
543.697,880.486
543.833,877.829
543.968,873.671
544.104,872.514
544.24,870.829
544.375,871.671
544.511,872.814
544.647,873.429
544.783,874.357
544.918,874.314
545.054,873.457
545.19,874.243
545.325,875.786
545.461,877.571
545.597,875.186
545.732,872.271
545.868,869.8
546.004,869.729
546.139,871.329
546.275,870.8
546.41,871.886
546.546,873.186
546.682,873.243
546.817,874.1
546.953,874.543
547.088,873.343
547.224,873.571
547.36,872.943
547.495,872.9
547.631,871.186
547.766,871.043
547.902,870.414
548.037,867.957
548.173,867.357
548.308,866.743
548.444,866.586
548.579,867.4
548.715,866.829
548.85,866.6
548.986,868.557
549.121,867.943
549.257,868.0
549.392,867.386
549.528,867.2
549.663,866.543
549.798,867.114
549.934,867.214
550.069,866.757
550.205,865.929
550.34,866.414
550.475,866.871
550.611,866.129
550.746,865.557
550.882,866.4
551.017,865.543
551.152,865.614
551.288,865.829
551.423,866.786
551.558,866.1
551.694,866.371
551.829,865.957
551.964,865.929
552.1,866.243
552.235,865.557
552.37,864.671
552.505,864.514
552.641,865.8
552.776,864.243
552.911,865.029
553.047,865.543
553.182,867.071
553.317,864.771
553.452,865.8
553.588,865.329
553.723,865.529
553.858,865.629
553.993,865.971
554.128,864.986
554.264,865.014
554.399,864.943
554.534,865.043
554.669,865.986
554.804,865.686
554.939,866.014
555.075,866.557
555.21,865.971
555.345,866.8
555.48,866.157
555.615,867.129
555.75,868.157
555.885,871.929
556.02,880.029
556.155,887.229
556.291,877.214
556.426,871.743
556.561,870.957
556.696,872.6
556.831,874.271
556.966,877.5
557.101,884.186
557.236,880.814
557.371,872.629
557.506,870.571
557.641,868.5
557.776,869.786
557.911,868.757
558.046,869.014
558.181,869.071
558.316,869.214
558.451,870.571
558.586,872.286
558.721,874.229
558.856,877.971
558.991,878.757
