nm,Intensity
526.5,829.6
526.637,830.0
526.774,828.7
526.91,827.2
527.047,828.7
527.184,828.1
527.32,827.7
527.457,827.9
527.594,830.4
527.73,828.0
527.867,828.8
528.004,827.1
528.14,829.8
528.277,828.6
528.414,828.7
528.55,828.6
528.687,830.1
528.823,827.7
528.96,828.1
529.096,830.0
529.233,828.8
529.37,827.8
529.506,829.1
529.643,828.8
529.779,829.5
529.916,828.1
530.052,829.5
530.189,829.8
530.325,828.9
530.462,830.1
530.598,828.4
530.735,828.6
530.871,829.1
531.008,830.3
531.144,828.9
531.28,827.3
531.417,829.2
531.553,827.5
531.69,828.5
531.826,828.9
531.962,834.0
532.099,864.8
532.235,871.9
532.372,839.7
532.508,828.6
532.644,828.3
532.781,828.3
532.917,828.8
533.053,829.4
533.19,828.7
533.326,828.9
533.462,830.8
533.599,828.5
533.735,830.7
533.871,832.2
534.007,838.5
534.144,837.2
534.28,838.9
534.416,836.5
534.552,838.3
534.689,840.7
534.825,840.7
534.961,841.6
535.097,843.5
535.234,843.3
535.37,841.2
535.506,836.6
535.642,836.1
535.778,836.3
535.914,835.4
536.051,832.7
536.187,832.6
536.323,835.2
536.459,832.1
536.595,833.8
536.731,836.2
536.867,834.5
537.003,835.9
537.14,838.5
537.276,838.0
537.412,838.0
537.548,834.6
537.684,834.6
537.82,834.0
537.956,834.0
538.092,833.8
538.228,832.8
538.364,832.9
538.5,833.7
538.636,833.3
538.772,833.0
538.908,835.1
539.044,835.8
539.18,832.9
539.316,834.5
539.452,832.9
539.588,832.7
539.724,835.7
539.86,832.4
539.996,831.4
540.132,832.1
540.268,831.8
540.403,832.6
540.539,831.7
540.675,831.9
540.811,832.0
540.947,833.4
541.083,833.0
541.219,833.9
541.355,832.4
541.49,834.2
541.626,833.2
541.762,832.3
541.898,833.2
542.034,832.7
542.17,831.9
542.305,831.7
542.441,832.8
542.577,831.5
542.713,832.7
542.848,831.6
542.984,831.1
543.12,831.8
543.256,833.4
543.391,835.8
543.527,838.0
543.663,840.3
543.799,841.3
543.934,836.8
544.07,835.7
544.206,834.9
544.341,834.4
544.477,832.6
544.613,833.9
544.748,833.9
544.884,831.8
545.02,832.2
545.155,833.3
545.291,833.4
545.427,834.3
545.562,834.6
545.698,834.5
545.833,833.7
545.969,831.6
546.105,833.6
546.24,831.9
546.376,832.3
546.511,833.3
546.647,832.5
546.782,833.1
546.918,833.1
547.053,830.7
547.189,834.5
547.325,834.0
547.46,833.0
547.596,833.9
547.731,833.5
547.867,833.0
548.002,832.1
548.137,831.9
548.273,833.7
548.408,830.7
548.544,831.5
548.679,831.9
548.815,831.3
548.95,831.5
549.086,831.5
549.221,832.9
549.356,832.4
549.492,832.7
549.627,831.4
549.763,833.0
549.898,831.8
550.033,832.7
550.169,832.3
550.304,832.9
550.439,832.6
550.575,832.5
