nm,Intensity
526.5,828.6
526.637,828.8
526.774,828.9
526.91,829.6
527.047,829.5
527.184,829.6
527.32,827.2
527.457,829.2
527.594,828.5
527.73,828.6
527.867,829.3
528.004,829.7
528.14,828.0
528.277,828.4
528.414,829.6
528.55,829.6
528.687,829.0
528.823,829.8
528.96,829.5
529.096,829.8
529.233,829.3
529.37,830.2
529.506,828.9
529.643,830.3
529.779,829.3
529.916,829.0
530.052,829.3
530.189,829.7
530.325,829.1
530.462,829.0
530.598,829.9
530.735,830.1
530.871,829.3
531.008,829.0
531.144,829.0
531.28,827.9
531.417,828.2
531.553,829.5
531.69,829.9
531.826,828.6
531.962,835.3
532.099,874.2
532.235,892.5
532.372,845.8
532.508,829.7
532.644,828.8
532.781,829.9
532.917,829.3
533.053,829.2
533.19,828.9
533.326,829.9
533.462,828.4
533.599,829.2
533.735,830.4
533.871,843.8
534.007,862.4
534.144,871.9
534.28,866.0
534.416,866.6
534.552,866.6
534.689,866.4
534.825,869.0
534.961,873.1
535.097,873.5
535.234,877.6
535.37,871.2
535.506,860.5
535.642,854.1
535.778,850.0
535.914,849.5
536.051,847.2
536.187,843.7
536.323,846.1
536.459,844.2
536.595,847.1
536.731,847.3
536.867,852.2
537.003,856.8
537.14,860.3
537.276,859.3
537.412,852.8
537.548,847.8
537.684,846.1
537.82,845.6
537.956,845.3
538.092,845.0
538.228,844.2
538.364,843.9
538.5,843.9
538.636,844.1
538.772,844.7
538.908,848.4
539.044,846.5
539.18,849.9
539.316,856.6
539.452,856.0
539.588,851.7
539.724,848.5
539.86,844.8
539.996,843.3
540.132,841.1
540.268,840.2
540.403,838.3
540.539,840.0
540.675,838.8
540.811,839.6
540.947,838.5
541.083,841.0
541.219,841.6
541.355,845.2
541.49,847.5
541.626,841.0
541.762,838.2
541.898,838.9
542.034,840.1
542.17,839.6
542.305,838.3
542.441,837.5
542.577,838.0
542.713,838.7
542.848,838.4
542.984,838.5
543.12,838.3
543.256,842.8
543.391,848.2
543.527,861.0
543.663,889.1
543.799,888.6
543.934,868.5
544.07,854.2
544.206,845.9
544.341,844.1
544.477,841.0
544.613,842.8
544.748,840.0
544.884,841.4
545.02,844.0
545.155,849.7
545.291,854.2
545.427,856.5
545.562,855.4
545.698,848.2
545.833,842.3
545.969,839.2
546.105,838.9
546.24,838.5
546.376,840.2
546.511,839.0
546.647,838.1
546.782,837.5
546.918,838.0
547.053,840.1
547.189,841.2
547.325,844.5
547.46,849.2
547.596,851.4
547.731,847.4
547.867,844.6
548.002,841.9
548.137,840.6
548.273,839.0
548.408,837.3
548.544,836.5
548.679,839.2
548.815,838.4
548.95,837.8
549.086,836.1
549.221,836.8
549.356,835.1
549.492,835.5
549.627,835.6
549.763,837.9
549.898,837.1
550.033,835.1
550.169,835.7
550.304,836.0
550.439,834.8
550.575,835.6
550.71,837.2
550.845,836.6
550.981,837.2
551.116,837.3
551.251,836.1
551.387,836.9
551.522,835.6
551.657,836.8
551.793,838.8
551.928,838.2
552.063,836.3
552.198,836.9
552.334,838.1
552.469,836.6
552.604,838.5
552.739,837.3
552.874,836.1
553.01,837.9
553.145,836.6
553.28,836.7
553.415,836.5
553.55,835.9
553.686,836.3
553.821,836.8
553.956,836.7
554.091,836.4
554.226,839.5
554.361,836.5
554.497,837.3
554.632,839.9
554.767,840.2
554.902,841.2
555.037,839.4
555.172,841.5
555.307,841.4
555.442,842.3
555.577,846.5
555.712,852.2
555.848,864.1
555.983,911.8
556.118,973.9
556.253,938.3
556.388,878.6
556.523,862.5
556.658,863.5
556.793,869.3
556.928,875.8
557.063,893.1
557.198,893.5
557.333,871.1
557.468,858.4
557.603,850.8
557.738,849.9
557.873,847.7
558.008,847.5
558.142,843.7
558.277,845.7
558.412,843.1
558.547,843.5
558.682,845.8
558.817,846.1
558.952,849.6
559.087,847.0
559.222,845.5
559.357,844.8
559.492,844.0
559.626,842.1
559.761,843.0
559.896,845.5
560.031,851.1
560.166,856.3
560.301,860.5
560.435,851.7
560.57,850.9
560.705,848.6
560.84,853.3
560.975,861.7
561.109,883.2
561.244,917.9
561.379,895.2
561.514,861.8
561.649,852.5
561.783,847.7
561.918,858.6
562.053,861.2
562.188,859.5
562.322,853.2
562.457,850.8
562.592,850.8
562.726,851.3
562.861,849.9
562.996,853.9
563.131,861.2
563.265,869.4
563.4,867.8
563.535,862.5
563.669,855.9
563.804,853.0
563.939,850.3
564.073,850.0
564.208,848.2
564.342,848.1
564.477,847.2
564.612,849.5
564.746,847.8
564.881,846.5
565.015,852.3
565.15,851.8
565.285,854.6
565.419,857.8
565.554,853.3
565.688,854.3
565.823,851.2
565.957,853.0
566.092,852.9
566.227,853.7
566.361,853.7
566.496,858.6
566.63,863.1
566.765,877.5
566.899,898.8
567.034,908.6
567.168,904.9
567.303,918.1
567.437,936.9
567.572,925.4
567.706,886.6
567.84,865.4
567.975,859.7
568.109,857.9
568.244,859.9
568.378,862.0
568.513,863.7
568.647,863.2
568.781,868.5
568.916,874.0
569.05,884.5
569.185,888.0
569.319,876.9
569.453,870.5
569.588,867.4
569.722,863.9
569.857,867.0
569.991,869.5
570.125,874.6
570.26,883.6
570.394,880.1
570.528,874.2
570.663,870.2
570.797,870.1
570.931,874.5
571.065,873.8
571.2,871.9
571.334,877.2
571.468,880.8
571.603,884.6
571.737,885.3
571.871,892.5
572.005,891.7
572.14,887.6
572.274,888.6
572.408,900.5
572.542,922.8
572.677,953.5
572.811,949.2
572.945,922.0
573.079,902.6
573.213,897.0
573.348,900.1
573.482,905.6
573.616,925.0
573.75,927.0
573.884,914.3
574.018,910.0
574.153,911.1
574.287,908.1
574.421,904.0
574.555,899.9
574.689,900.9
574.823,900.2
574.957,902.2
575.092,900.7
575.226,902.0
575.36,906.8
575.494,906.7
575.628,909.5
575.762,912.1
575.896,917.7
576.03,931.2
576.164,954.3
576.298,962.4
576.432,956.4
576.566,959.5
576.7,976.5
576.834,1007.9
576.968,1037.6
577.103,1034.4
577.237,996.2
577.371,968.7
577.505,949.3
577.639,949.5
577.773,948.8
577.907,947.5
578.04,944.1
578.174,943.8
578.308,944.0
578.442,947.1
578.576,949.5
578.71,951.6
578.844,951.9
578.978,949.5
579.112,955.1
579.246,957.5
579.38,958.0
579.514,960.8
579.648,962.7
579.782,962.7
579.916,960.3
580.049,965.3
580.183,962.3
580.317,964.4
580.451,965.0
580.585,961.2
580.719,958.1
580.853,961.3
580.986,967.9
581.12,961.8
581.254,962.3
581.388,964.4
581.522,963.6
581.656,968.4
581.789,963.0
581.923,961.5
582.057,963.6
582.191,965.9
582.325,966.5
582.458,960.6
582.592,962.7
582.726,963.3
582.86,959.2
582.993,962.8
583.127,959.2
583.261,956.9
583.395,956.3
583.528,956.5
583.662,957.1
583.796,957.7
583.93,953.2
584.063,952.6
584.197,954.6
584.331,953.2
584.464,948.5
584.598,946.5
584.732,947.3
584.865,945.9
584.999,946.2
585.133,944.1
585.266,944.2
585.4,938.1
585.534,941.7
585.667,939.4
585.801,933.8
585.935,931.2
586.068,933.9
586.202,933.3
586.336,932.7
586.469,933.4
586.603,933.9
586.736,931.0
586.87,926.9
587.004,926.0
587.137,924.0
587.271,925.0
587.404,922.9
587.538,921.7
587.671,920.6
587.805,918.5
587.938,923.8
588.072,916.2
588.206,916.4
588.339,916.3
588.473,914.9
588.606,912.7
588.74,912.6
588.873,911.2
589.007,912.5
589.14,909.3
589.274,909.0
589.407,907.8
589.541,902.1
589.674,912.1
589.808,907.0
589.941,904.4
590.074,901.7
590.208,902.5
590.341,902.9
590.475,903.5
590.608,900.6
590.742,901.3
590.875,900.5
591.009,901.5
591.142,901.9
591.275,896.4
591.409,896.3
591.542,898.7
591.676,900.3
591.809,895.4
591.942,897.6
592.076,895.7
592.209,893.6
592.342,894.4
592.476,891.9
592.609,892.2
592.743,893.9
592.876,890.4
593.009,893.9
593.143,892.3
593.276,889.9
593.409,889.5
593.543,886.4
593.676,890.6
593.809,890.1
593.942,889.0
594.076,889.5
594.209,887.8
594.342,889.7
594.476,886.7
594.609,885.3
594.742,888.7
594.875,885.9
595.009,887.8
595.142,884.7
595.275,887.5
595.408,888.5
595.542,885.9
595.675,886.4
595.808,886.2
595.941,885.4
596.075,884.6
596.208,885.9
596.341,882.2
596.474,884.8
596.607,883.5
596.741,886.5
596.874,885.0
597.007,880.5
597.14,882.3
597.273,882.0
597.406,879.1
597.54,881.1
597.673,879.9
597.806,882.4
597.939,880.8
598.072,883.4
598.205,879.3
598.338,881.9
598.472,882.5
598.605,881.6
598.738,879.3
598.871,882.0
599.004,880.4
599.137,881.3
599.27,879.6
599.403,881.1
599.536,880.7
599.67,881.4
599.803,878.8
599.936,878.4
600.069,878.6
600.202,876.9
600.335,879.7
600.468,878.6
600.601,878.7
600.734,876.8
600.867,879.0
601.0,876.1
601.133,874.9
601.266,875.2
601.399,877.8
601.532,876.6
601.665,875.5
601.798,874.2
601.931,873.6
602.064,875.4
602.197,874.1
602.33,873.4
602.463,873.5
602.596,873.8
602.729,875.8
602.862,873.6
602.995,872.8
603.128,873.1
603.261,874.8
603.394,874.0
603.527,874.1
603.66,871.8
603.793,872.7
603.925,872.9
604.058,872.4
604.191,873.3
604.324,874.2
604.457,870.7
604.59,874.0
604.723,872.5
604.856,869.1
604.989,867.7
605.122,871.0
605.254,870.8
605.387,865.4
605.52,869.8
605.653,868.3
605.786,866.1
605.919,867.3
606.052,863.8
606.184,870.9
606.317,867.5
606.45,867.7
606.583,865.8
606.716,867.2
606.849,866.3
606.981,868.7
607.114,864.8
607.247,866.5
607.38,868.3
607.513,864.8
607.645,863.7
607.778,865.5
607.911,866.1
608.044,861.7
608.177,861.5
608.309,861.8
608.442,863.7
608.575,863.0
608.708,862.8
608.84,860.7
608.973,860.0
609.106,863.7
609.239,860.4
609.371,860.3
609.504,862.7
609.637,862.2
609.769,859.9
609.902,861.3
610.035,864.1
610.168,864.2
610.3,861.2
610.433,858.3
610.566,858.6
610.698,862.3
610.831,862.4
610.964,858.4
611.096,861.2
611.229,859.7
611.362,860.7
611.494,862.2
611.627,859.8
611.76,863.4
611.892,859.4
612.025,859.9
612.158,859.2
612.29,861.4
612.423,861.4
612.556,858.6
612.688,859.1
612.821,861.2
612.953,859.8
613.086,861.4
613.219,857.9
613.351,862.5
613.484,861.2
613.616,860.3
613.749,858.5
613.882,858.8
614.014,856.4
614.147,861.4
614.279,861.3
614.412,862.8
614.544,860.3
614.677,860.8
614.809,862.2
614.942,862.8
615.075,862.1
615.207,861.5
