cm-1,A
4000.0,0.0095
3999.0,0.0096
3998.0,0.0097
3997.0,0.0097
3996.0,0.0097
3995.0,0.0096
3994.0,0.0096
3993.0,0.0095
3992.0,0.0095
3991.0,0.0095
3990.0,0.0095
3989.0,0.0096
3988.0,0.0096
3987.0,0.0097
3986.0,0.0096
3985.0,0.0095
3984.0,0.0095
3983.0,0.0094
3982.0,0.0094
3981.0,0.0094
3980.0,0.0095
3979.0,0.0096
3978.0,0.0096
3977.0,0.0096
3976.0,0.0095
3975.0,0.0095
3974.0,0.0094
3973.0,0.0094
3972.0,0.0094
3971.0,0.0094
3970.0,0.0094
3969.0,0.0094
3968.0,0.0095
3967.0,0.0095
3966.0,0.0095
3965.0,0.0095
3964.0,0.0094
3963.0,0.0094
3962.0,0.0094
3961.0,0.0094
3960.0,0.0095
3959.0,0.0095
3958.0,0.0095
3957.0,0.0095
3956.0,0.0095
3955.0,0.0095
3954.0,0.0096
3953.0,0.0096
3952.0,0.0095
3951.0,0.0095
3950.0,0.0095
3949.0,0.0096
3948.0,0.0096
3947.0,0.0097
3946.0,0.0097
3945.0,0.0096
3944.0,0.0094
3943.0,0.0093
3942.0,0.0093
3941.0,0.0093
3940.0,0.0094
3939.0,0.0095
3938.0,0.0095
3937.0,0.0096
3936.0,0.0096
3935.0,0.0096
3934.0,0.0095
3933.0,0.0094
3932.0,0.0093
3931.0,0.0093
3930.0,0.0093
3929.0,0.0094
3928.0,0.0095
3927.0,0.0095
3926.0,0.0094
3925.0,0.0094
3924.0,0.0093
3923.0,0.0093
3922.0,0.0095
3921.0,0.0097
3920.0,0.0099
3919.0,0.01
3918.0,0.01
3917.0,0.0099
3916.0,0.0098
3915.0,0.0097
3914.0,0.0097
3913.0,0.0097
3912.0,0.0098
3911.0,0.0098
3910.0,0.0099
3909.0,0.0099
3908.0,0.0098
3907.0,0.0098
3906.0,0.0097
3905.0,0.0097
3904.0,0.0097
3903.0,0.0097
3902.0,0.0098
3901.0,0.0097
3900.0,0.0096
3899.0,0.0096
3898.0,0.0096
3897.0,0.0096
3896.0,0.0097
3895.0,0.0097
3894.0,0.0097
3893.0,0.0097
3892.0,0.0097
3891.0,0.0097
3890.0,0.0097
3889.0,0.0098
3888.0,0.0098
3887.0,0.0098
3886.0,0.0097
3885.0,0.0097
3884.0,0.0097
3883.0,0.0096
3882.0,0.0095
3881.0,0.0094
3880.0,0.0094
3879.0,0.0095
3878.0,0.0096
3877.0,0.0097
3876.0,0.0096
3875.0,0.0095
3874.0,0.0095
3873.0,0.0095
3872.0,0.0095
3871.0,0.0094
3870.0,0.0094
3869.0,0.0094
3868.0,0.0096
3867.0,0.0097
3866.0,0.0096
3865.0,0.0094
3864.0,0.0093
3863.0,0.0092
3862.0,0.0093
3861.0,0.0094
3860.0,0.0095
3859.0,0.0096
3858.0,0.0097
3857.0,0.0099
3856.0,0.0101
3855.0,0.0103
3854.0,0.0101
3853.0,0.0096
3852.0,0.0093
3851.0,0.0094
3850.0,0.0095
3849.0,0.0095
3848.0,0.0096
3847.0,0.0096
3846.0,0.0096
3845.0,0.0096
3844.0,0.0096
3843.0,0.0096
3842.0,0.0095
3841.0,0.0094
3840.0,0.0092
3839.0,0.009
3838.0,0.009
3837.0,0.0091
3836.0,0.0094
3835.0,0.0096
3834.0,0.0097
3833.0,0.0097
3832.0,0.0096
3831.0,0.0095
3830.0,0.0095
3829.0,0.0095
3828.0,0.0095
3827.0,0.0095
3826.0,0.0096
3825.0,0.0098
3824.0,0.0098
3823.0,0.0097
3822.0,0.0096
3821.0,0.0094
3820.0,0.0094
3819.0,0.0095
3818.0,0.0096
3817.0,0.0096
3816.0,0.0096
3815.0,0.0097
3814.0,0.0099
3813.0,0.01
3812.0,0.01
3811.0,0.0101
3810.0,0.0101
3809.0,0.0102
3808.0,0.0101
3807.0,0.01
3806.0,0.01
3805.0,0.0099
3804.0,0.0098
3803.0,0.0096
3802.0,0.0094
3801.0,0.0094
3800.0,0.0096
3799.0,0.0097
