cm-1,A
4000.0,0.0086
3999.0,0.0086
3998.0,0.0086
3997.0,0.0086
3996.0,0.0087
3995.0,0.0087
3994.0,0.0088
3993.0,0.0089
3992.0,0.009
3991.0,0.0089
3990.0,0.0089
3989.0,0.0089
3988.0,0.0088
3987.0,0.0088
3986.0,0.0088
3985.0,0.0088
3984.0,0.0088
3983.0,0.0088
3982.0,0.0088
3981.0,0.0088
3980.0,0.0088
3979.0,0.0087
3978.0,0.0087
3977.0,0.0087
3976.0,0.0087
3975.0,0.0086
3974.0,0.0086
3973.0,0.0085
3972.0,0.0085
3971.0,0.0085
3970.0,0.0086
3969.0,0.0086
3968.0,0.0086
3967.0,0.0086
3966.0,0.0086
3965.0,0.0085
3964.0,0.0085
3963.0,0.0084
3962.0,0.0085
3961.0,0.0086
3960.0,0.0087
3959.0,0.0087
3958.0,0.0088
3957.0,0.0087
3956.0,0.0087
3955.0,0.0086
3954.0,0.0086
3953.0,0.0087
3952.0,0.0087
3951.0,0.0088
3950.0,0.0088
3949.0,0.0087
3948.0,0.0087
3947.0,0.0087
3946.0,0.0088
3945.0,0.0088
3944.0,0.0088
3943.0,0.0088
3942.0,0.0088
3941.0,0.0088
3940.0,0.0089
3939.0,0.0089
3938.0,0.0089
3937.0,0.0089
3936.0,0.0089
3935.0,0.0089
3934.0,0.0089
3933.0,0.0089
3932.0,0.009
3931.0,0.0091
3930.0,0.0091
3929.0,0.0091
3928.0,0.0091
3927.0,0.0091
3926.0,0.0091
3925.0,0.0091
3924.0,0.0091
3923.0,0.0091
3922.0,0.0091
3921.0,0.0091
3920.0,0.009
3919.0,0.009
3918.0,0.009
3917.0,0.0089
3916.0,0.0089
3915.0,0.0089
3914.0,0.009
3913.0,0.009
3912.0,0.0091
3911.0,0.0091
3910.0,0.0092
3909.0,0.0092
3908.0,0.0092
3907.0,0.0092
3906.0,0.0092
3905.0,0.0092
3904.0,0.0092
3903.0,0.0092
3902.0,0.0092
3901.0,0.009
3900.0,0.0089
3899.0,0.0089
3898.0,0.0089
3897.0,0.009
3896.0,0.0091
3895.0,0.0092
3894.0,0.0093
3893.0,0.0093
3892.0,0.0092
3891.0,0.009
3890.0,0.009
3889.0,0.009
3888.0,0.009
3887.0,0.009
3886.0,0.009
3885.0,0.0091
3884.0,0.0092
3883.0,0.0094
3882.0,0.0094
3881.0,0.0092
3880.0,0.0091
3879.0,0.0091
3878.0,0.0092
3877.0,0.0093
3876.0,0.0093
3875.0,0.0093
3874.0,0.0093
3873.0,0.0094
3872.0,0.0094
3871.0,0.0093
3870.0,0.0092
3869.0,0.0091
3868.0,0.0091
3867.0,0.0091
3866.0,0.009
3865.0,0.009
3864.0,0.0092
3863.0,0.0093
3862.0,0.0093
3861.0,0.0092
3860.0,0.0092
3859.0,0.0091
3858.0,0.0091
3857.0,0.009
3856.0,0.009
3855.0,0.009
3854.0,0.009
3853.0,0.009
3852.0,0.0091
3851.0,0.0091
3850.0,0.0091
3849.0,0.0092
3848.0,0.0092
3847.0,0.0093
3846.0,0.0094
3845.0,0.0094
3844.0,0.0094
3843.0,0.0095
3842.0,0.0095
3841.0,0.0096
3840.0,0.0097
3839.0,0.0097
3838.0,0.0097
3837.0,0.0096
3836.0,0.0095
3835.0,0.0095
3834.0,0.0094
3833.0,0.0094
3832.0,0.0093
3831.0,0.0093
3830.0,0.0094
3829.0,0.0095
3828.0,0.0096
3827.0,0.0096
3826.0,0.0096
3825.0,0.0097
3824.0,0.0098
3823.0,0.0097
3822.0,0.0096
3821.0,0.0095
3820.0,0.0095
3819.0,0.0096
3818.0,0.0095
3817.0,0.0093
3816.0,0.0092
3815.0,0.0092
3814.0,0.0093
3813.0,0.0093
3812.0,0.0093
3811.0,0.0093
3810.0,0.0093
3809.0,0.0092
3808.0,0.0092
3807.0,0.0091
3806.0,0.0092
3805.0,0.0094
3804.0,0.0096
3803.0,0.0096
3802.0,0.0096
3801.0,0.0096
3800.0,0.0097
3799.0,0.0098
3798.0,0.0097
3797.0,0.0096
3796.0,0.0095
3795.0,0.0094
3794.0,0.0094
3793.0,0.0094
3792.0,0.0094
3791.0,0.0094
3790.0,0.0095
3789.0,0.0095
3788.0,0.0095
3787.0,0.0096
3786.0,0.0096
3785.0,0.0096
3784.0,0.0095
3783.0,0.0096
3782.0,0.0096
3781.0,0.0096
3780.0,0.0095
3779.0,0.0095
3778.0,0.0095
3777.0,0.0095
3776.0,0.0095
3775.0,0.0095
3774.0,0.0095
3773.0,0.0096
3772.0,0.0096
3771.0,0.0095
3770.0,0.0095
3769.0,0.0096
3768.0,0.0097
3767.0,0.0097
3766.0,0.0097
3765.0,0.0097
3764.0,0.0097
3763.0,0.0099
3762.0,0.0099
3761.0,0.0099
3760.0,0.0099
3759.0,0.0099
3758.0,0.0099
3757.0,0.0098
3756.0,0.0097
3755.0,0.0096
3754.0,0.0095
3753.0,0.0093
3752.0,0.0092
3751.0,0.0093
3750.0,0.0094
3749.0,0.0095
3748.0,0.0097
3747.0,0.0098
3746.0,0.0097
3745.0,0.0095
3744.0,0.0095
3743.0,0.0096
3742.0,0.0098
3741.0,0.0099
3740.0,0.0099
3739.0,0.0099
3738.0,0.0101
3737.0,0.0103
3736.0,0.0104
3735.0,0.0105
3734.0,0.0104
3733.0,0.0102
3732.0,0.01
3731.0,0.01
3730.0,0.0101
3729.0,0.0101
3728.0,0.0101
3727.0,0.01
3726.0,0.0101
3725.0,0.0101
3724.0,0.0102
3723.0,0.0102
3722.0,0.0102
3721.0,0.0101
3720.0,0.0101
3719.0,0.01
3718.0,0.0099
3717.0,0.0098
3716.0,0.0098
3715.0,0.0098
3714.0,0.0098
3713.0,0.0098
3712.0,0.01
3711.0,0.0102
3710.0,0.0102
3709.0,0.0102
3708.0,0.0102
3707.0,0.0102
3706.0,0.0102
3705.0,0.0102
3704.0,0.0102
3703.0,0.0101
3702.0,0.01
3701.0,0.01
3700.0,0.0101
3699.0,0.0101
3698.0,0.0101
3697.0,0.01
3696.0,0.0099
3695.0,0.01
3694.0,0.0101
3693.0,0.0101
3692.0,0.0102
3691.0,0.0102
3690.0,0.0101
3689.0,0.01
3688.0,0.01
3687.0,0.01
3686.0,0.01
3685.0,0.01
3684.0,0.01
3683.0,0.01
3682.0,0.01
3681.0,0.01
3680.0,0.0101
3679.0,0.0102
3678.0,0.0103
3677.0,0.0102
3676.0,0.01
3675.0,0.0098
3674.0,0.0098
3673.0,0.0098
3672.0,0.0099
3671.0,0.0099
3670.0,0.0099
3669.0,0.0098
3668.0,0.0098
3667.0,0.0097
3666.0,0.0096
3665.0,0.0096
3664.0,0.0095
3663.0,0.0095
3662.0,0.0095
3661.0,0.0095
3660.0,0.0095
3659.0,0.0095
3658.0,0.0096
3657.0,0.0096
3656.0,0.0097
3655.0,0.0099
3654.0,0.01
3653.0,0.0101
3652.0,0.0101
3651.0,0.0099
3650.0,0.0099
3649.0,0.01
3648.0,0.0101
3647.0,0.01
3646.0,0.0099
3645.0,0.0098
3644.0,0.0098
3643.0,0.0097
3642.0,0.0097
3641.0,0.0098
3640.0,0.0099
3639.0,0.01
3638.0,0.01
3637.0,0.0101
3636.0,0.0102
3635.0,0.0102
3634.0,0.0102
3633.0,0.0103
3632.0,0.0103
3631.0,0.0103
3630.0,0.0102
3629.0,0.0101
3628.0,0.0101
3627.0,0.0103
3626.0,0.0104
3625.0,0.0105
3624.0,0.0105
3623.0,0.0105
3622.0,0.0104
3621.0,0.0103
3620.0,0.0102
3619.0,0.0101
3618.0,0.0101
3617.0,0.0102
3616.0,0.0102
3615.0,0.0103
3614.0,0.0103
3613.0,0.0102
3612.0,0.0102
3611.0,0.0101
3610.0,0.0102
3609.0,0.0104
3608.0,0.0106
3607.0,0.0107
3606.0,0.0108
3605.0,0.0107
3604.0,0.0106
3603.0,0.0106
3602.0,0.0106
3601.0,0.0106
3600.0,0.0106
3599.0,0.0106
3598.0,0.0106
3597.0,0.0106
3596.0,0.0107
3595.0,0.0108
3594.0,0.0108
3593.0,0.0108
3592.0,0.0107
3591.0,0.0105
3590.0,0.0104
3589.0,0.0103
3588.0,0.0103
3587.0,0.0104
3586.0,0.0106
3585.0,0.0106
3584.0,0.0106
3583.0,0.0106
3582.0,0.0105
3581.0,0.0105
3580.0,0.0106
3579.0,0.0107
3578.0,0.0107
3577.0,0.0107
3576.0,0.0107
3575.0,0.0106
3574.0,0.0106
3573.0,0.0107
3572.0,0.0107
3571.0,0.0108
3570.0,0.0109
3569.0,0.011
3568.0,0.011
3567.0,0.0111
3566.0,0.0111
3565.0,0.0111
3564.0,0.011
3563.0,0.0109
3562.0,0.0109
3561.0,0.0108
3560.0,0.0107
3559.0,0.0107
3558.0,0.0107
3557.0,0.0107
3556.0,0.0108
3555.0,0.0108
3554.0,0.0109
3553.0,0.0109
3552.0,0.0109
3551.0,0.0109
3550.0,0.0108
3549.0,0.0108
3548.0,0.0108
3547.0,0.0108
3546.0,0.0109
3545.0,0.0109
3544.0,0.0109
3543.0,0.011
3542.0,0.011
3541.0,0.011
3540.0,0.011
3539.0,0.0109
3538.0,0.0108
3537.0,0.0108
3536.0,0.0109
3535.0,0.0109
3534.0,0.0109
3533.0,0.0109
3532.0,0.0108
3531.0,0.0107
3530.0,0.0107
3529.0,0.0108
3528.0,0.0109
3527.0,0.011
3526.0,0.0111
3525.0,0.0111
3524.0,0.011
3523.0,0.011
3522.0,0.011
3521.0,0.0111
3520.0,0.0111
3519.0,0.0111
3518.0,0.011
3517.0,0.011
3516.0,0.0111
3515.0,0.0111
3514.0,0.0111
3513.0,0.0111
3512.0,0.0112
3511.0,0.0112
3510.0,0.0113
3509.0,0.0113
3508.0,0.0112
3507.0,0.0112
3506.0,0.0112
3505.0,0.0112
3504.0,0.0113
3503.0,0.0113
3502.0,0.0113
3501.0,0.0113
3500.0,0.0114
3499.0,0.0114
3498.0,0.0114
3497.0,0.0114
3496.0,0.0114
3495.0,0.0114
3494.0,0.0113
3493.0,0.0113
3492.0,0.0112
3491.0,0.0112
3490.0,0.0112
3489.0,0.0112
3488.0,0.0113
3487.0,0.0115
3486.0,0.0117
3485.0,0.0118
3484.0,0.0119
3483.0,0.0118
3482.0,0.0117
3481.0,0.0116
3480.0,0.0116
3479.0,0.0115
3478.0,0.0114
3477.0,0.0114
3476.0,0.0114
3475.0,0.0114
3474.0,0.0115
3473.0,0.0115
3472.0,0.0115
3471.0,0.0114
3470.0,0.0114
3469.0,0.0115
3468.0,0.0115
3467.0,0.0115
3466.0,0.0114
3465.0,0.0114
3464.0,0.0114
3463.0,0.0114
3462.0,0.0114
3461.0,0.0114
3460.0,0.0114
3459.0,0.0114
3458.0,0.0114
3457.0,0.0116
3456.0,0.0117
3455.0,0.0118
3454.0,0.0118
3453.0,0.0118
3452.0,0.0118
3451.0,0.0118
3450.0,0.0118
3449.0,0.0118
3448.0,0.0117
3447.0,0.0116
3446.0,0.0116
3445.0,0.0116
3444.0,0.0116
3443.0,0.0116
3442.0,0.0116
3441.0,0.0117
3440.0,0.0118
3439.0,0.0118
3438.0,0.0118
3437.0,0.0119
3436.0,0.0119
3435.0,0.0119
3434.0,0.0119
3433.0,0.0119
3432.0,0.0118
3431.0,0.0118
3430.0,0.0118
3429.0,0.0117
3428.0,0.0117
3427.0,0.0117
3426.0,0.0116
3425.0,0.0116
3424.0,0.0115
3423.0,0.0115
3422.0,0.0116
3421.0,0.0116
3420.0,0.0117
3419.0,0.0118
3418.0,0.0119
3417.0,0.0119
3416.0,0.0119
3415.0,0.0119
3414.0,0.0119
