cm-1,A
4000.0,-0.0006943158663546001
3999.0,-0.0006509536295951079
3998.0,-0.0006075870628903246
3997.0,-0.0005642161653756084
3996.0,-0.0005642161653756084
3995.0,-0.0006075870628903246
3994.0,-0.0007810273534953893
3993.0,-0.0008677215312267172
3992.0,-0.0009543984064577238
3991.0,-0.0009543984064577238
3990.0,-0.0009543984064577238
3989.0,-0.0009110621312231615
3988.0,-0.0008677215312267172
3987.0,-0.0008677215312267172
3986.0,-0.0007810273534953893
3985.0,-0.0007376737740329986
3984.0,-0.0006943158663546001
3983.0,-0.0006943158663546001
3982.0,-0.0007376737740329986
3981.0,-0.0007810273534953893
3980.0,-0.0007810273534953893
3979.0,-0.0007810273534953893
3978.0,-0.0007810273534953893
3977.0,-0.0008243766056055257
3976.0,-0.0009110621312231615
3975.0,-0.0009110621312231615
3974.0,-0.0009110621312231615
3973.0,-0.0009110621312231615
3972.0,-0.0009110621312231615
3971.0,-0.0009977303577937136
3970.0,-0.0011277002770349043
3969.0,-0.00121432528617893
3968.0,-0.001257631312230778
3967.0,-0.00121432528617893
3966.0,-0.0011710149414008164
3965.0,-0.0010843812922201046
3964.0,-0.001041057986093552
3963.0,-0.0009977303577937136
3962.0,-0.0009977303577937136
3961.0,-0.0009977303577937136
3960.0,-0.0009977303577937136
3959.0,-0.0009977303577937136
3958.0,-0.0009977303577937136
3957.0,-0.0009977303577937136
3956.0,-0.001041057986093552
3955.0,-0.0011277002770349043
3954.0,-0.001257631312230778
3953.0,-0.001344230411601366
3952.0,-0.0014308122463981832
3951.0,-0.0014308122463981832
3950.0,-0.0014308122463981832
3949.0,-0.0014308122463981832
3948.0,-0.0015173768235041685
3947.0,-0.0015606526425728795
3946.0,-0.0015606526425728795
3945.0,-0.001474096691732818
3944.0,-0.001344230411601366
3943.0,-0.00121432528617893
3942.0,-0.001257631312230778
3941.0,-0.001344230411601366
3940.0,-0.0013875234866409514
3939.0,-0.0013875234866409514
3938.0,-0.001344230411601366
3937.0,-0.0013875234866409514
3936.0,-0.001474096691732818
3935.0,-0.0015606526425728795
3934.0,-0.0016471913460383014
3933.0,-0.0016471913460383014
3932.0,-0.0016039241497978196
3931.0,-0.0015173768235041685
3930.0,-0.001474096691732818
3929.0,-0.0014308122463981832
3928.0,-0.001474096691732818
3927.0,-0.0015173768235041685
3926.0,-0.0015173768235041685
3925.0,-0.001474096691732818
3924.0,-0.0013875234866409514
3923.0,-0.001344230411601366
3922.0,-0.001344230411601366
3921.0,-0.001344230411601366
3920.0,-0.0013875234866409514
3919.0,-0.0014308122463981832
3918.0,-0.0014308122463981832
3917.0,-0.0015173768235041685
3916.0,-0.0015606526425728795
3915.0,-0.0016039241497978196
3914.0,-0.0015173768235041685
3913.0,-0.001344230411601366
3912.0,-0.0011710149414008164
3911.0,-0.0010843812922201046
3910.0,-0.00121432528617893
3909.0,-0.0013875234866409514
3908.0,-0.0016039241497978196
3907.0,-0.001733712809000476
3906.0,-0.0018634626925240205
3905.0,-0.0019499410842680476
3904.0,-0.0021660617565077978
3903.0,-0.0023820749327607693
3902.0,-0.0025116312849080558
3901.0,-0.0024684501283323
3900.0,-0.0022524799205383417
3899.0,-0.0021228462251614566
3898.0,-0.0020796263931210923
3897.0,-0.0021228462251614566
3896.0,-0.0021228462251614566
3895.0,-0.0021228462251614566
3894.0,-0.0021660617565077978
3893.0,-0.0021228462251614566
3892.0,-0.0021228462251614566
3891.0,-0.0022524799205383417
3890.0,-0.0025116312849080558
3889.0,-0.0027274726898296464
3888.0,-0.0026411490000399773
3887.0,-0.0024252646779014952
3886.0,-0.0022956825549340643
3885.0,-0.0023820749327607693
3884.0,-0.0026411490000399773
3883.0,-0.002684312989729598
3882.0,-0.0024252646779014952
3881.0,-0.0020364022595291686
3880.0,-0.0018202170383281313
3879.0,-0.0019499410842680476
3878.0,-0.0021228462251614566
3877.0,-0.0021228462251614566
3876.0,-0.0020796263931210923
3875.0,-0.0021228462251614566
3874.0,-0.002338880892056583
3873.0,-0.002597980719908577
3872.0,-0.0026411490000399773
3871.0,-0.0024252646779014952
3870.0,-0.0021660617565077978
3869.0,-0.0021660617565077978
3868.0,-0.0022956825549340643
3867.0,-0.0022092729880145434
3866.0,-0.0019931738235303698
3865.0,-0.0019067040408846658
3864.0,-0.0019499410842680476
3863.0,-0.0020796263931210923
3862.0,-0.0021228462251614566
3861.0,-0.0020796263931210923
3860.0,-0.0020796263931210923
3859.0,-0.0022092729880145434
3858.0,-0.0025548081484823015
3857.0,-0.003029470553618019
3856.0,-0.0033743540197499478
3855.0,-0.0032450548131470747
3854.0,-0.002684312989729598
3853.0,-0.0023820749327607693
3852.0,-0.0025548081484823015
3851.0,-0.002597980719908577
3850.0,-0.0022956825549340643
3849.0,-0.0021228462251614566
3848.0,-0.0021660617565077978
3847.0,-0.0023820749327607693
3846.0,-0.0025548081484823015
3845.0,-0.0026411490000399773
3844.0,-0.0027274726898296464
3843.0,-0.002856926061120646
3842.0,-0.003029470553618019
3841.0,-0.003201946521692367
3840.0,-0.0032450548131470747
3839.0,-0.003115717099805959
3838.0,-0.003029470553618019
3837.0,-0.0029432068763250996
3836.0,-0.0028137792246734072
3835.0,-0.002597980719908577
3834.0,-0.002338880892056583
3833.0,-0.0020796263931210923
3832.0,-0.0019499410842680476
3831.0,-0.0020364022595291686
3830.0,-0.0022524799205383417
3829.0,-0.0023820749327607693
3828.0,-0.0024252646779014952
3827.0,-0.0023820749327607693
3826.0,-0.0025116312849080558
3825.0,-0.0028137792246734072
3824.0,-0.003158833950862139
3823.0,-0.0032450548131470747
3822.0,-0.003115717099805959
3821.0,-0.003029470553618019
3820.0,-0.0032450548131470747
3819.0,-0.0034605321095062536
3818.0,-0.0032881588260753603
3817.0,-0.002900068611387585
3816.0,-0.0024684501283323
3815.0,-0.0022956825549340643
3814.0,-0.0022956825549340643
3813.0,-0.0022524799205383417
3812.0,-0.0022524799205383417
3811.0,-0.0025116312849080558
3810.0,-0.002856926061120646
3809.0,-0.003029470553618019
3808.0,-0.0029863408567849525
3807.0,-0.002900068611387585
3806.0,-0.0029863408567849525
3805.0,-0.003115717099805959
3804.0,-0.003029470553618019
3803.0,-0.0027274726898296464
3802.0,-0.0024684501283323
3801.0,-0.0026411490000399773
3800.0,-0.003115717099805959
3799.0,-0.0033312585613267665
3798.0,-0.003201946521692367
3797.0,-0.0029432068763250996
3796.0,-0.0028137792246734072
3795.0,-0.002856926061120646
3794.0,-0.002900068611387585
3793.0,-0.002900068611387585
3792.0,-0.002900068611387585
3791.0,-0.002856926061120646
3790.0,-0.002900068611387585
3789.0,-0.002900068611387585
3788.0,-0.002900068611387585
3787.0,-0.002900068611387585
3786.0,-0.002856926061120646
3785.0,-0.002856926061120646
3784.0,-0.0029432068763250996
3783.0,-0.003029470553618019
3782.0,-0.0030725959676747294
3781.0,-0.003029470553618019
3780.0,-0.0029432068763250996
3779.0,-0.0029432068763250996
3778.0,-0.003029470553618019
3777.0,-0.003029470553618019
3776.0,-0.0029432068763250996
3775.0,-0.002856926061120646
3774.0,-0.0029432068763250996
3773.0,-0.003201946521692367
3772.0,-0.0034174452021935586
3771.0,-0.0034605321095062536
3770.0,-0.0034605321095062536
3769.0,-0.003503614742536687
3768.0,-0.0034605321095062536
3767.0,-0.0033312585613267665
3766.0,-0.003201946521692367
3765.0,-0.003158833950862139
3764.0,-0.0032450548131470747
3763.0,-0.0032881588260753603
3762.0,-0.0032881588260753603
3761.0,-0.003201946521692367
3760.0,-0.0032450548131470747
3759.0,-0.0033743540197499478
3758.0,-0.0035897671891400584
3757.0,-0.0038481220342978517
3756.0,-0.0039772418455368275
3755.0,-0.004063300397667113
3754.0,-0.004106323279658319
3753.0,-0.004020273253241502
3752.0,-0.003805073565025019
3751.0,-0.0035897671891400584
3750.0,-0.003546693102131737
3749.0,-0.0037189638231147626
3748.0,-0.0038481220342978517
3747.0,-0.003805073565025019
3746.0,-0.003632837004408529
3745.0,-0.0034174452021935586
3744.0,-0.0035897671891400584
3743.0,-0.0039772418455368275
3742.0,-0.004106323279658319
3741.0,-0.003891166236910326
3740.0,-0.0038481220342978517
3739.0,-0.004192356259714369
3738.0,-0.0045792939022115675
3737.0,-0.004837060938309712
3736.0,-0.004965887106823441
3735.0,-0.005137595908863979
3734.0,-0.005309236848516363
3733.0,-0.005266332972768684
3732.0,-0.005051749993995713
3731.0,-0.004837060938309712
3730.0,-0.004665233247877154
3729.0,-0.004536317851322913
3728.0,-0.004493337547274212
3727.0,-0.004493337547274212
3726.0,-0.004536317851322913
3725.0,-0.004622265700782613
3724.0,-0.004665233247877154
3723.0,-0.0045792939022115675
3722.0,-0.004536317851322913
3721.0,-0.004493337547274212
3720.0,-0.004364371107751008
3719.0,-0.004192356259714369
3718.0,-0.004063300397667113
3717.0,-0.0039772418455368275
3716.0,-0.0039772418455368275
3715.0,-0.004063300397667113
3714.0,-0.004106323279658319
3713.0,-0.004063300397667113
3712.0,-0.003934206173708432
3711.0,-0.003762020828246282
3710.0,-0.0035897671891400584
3709.0,-0.0033743540197499478
3708.0,-0.003115717099805959
3707.0,-0.0029863408567849525
3706.0,-0.003029470553618019
3705.0,-0.003115717099805959
3704.0,-0.003201946521692367
3703.0,-0.003158833950862139
3702.0,-0.003029470553618019
3701.0,-0.002900068611387585
3700.0,-0.0028137792246734072
3699.0,-0.0027274726898296464
3698.0,-0.0026411490000399773
3697.0,-0.0026411490000399773
3696.0,-0.0027274726898296464
3695.0,-0.002856926061120646
3694.0,-0.0029863408567849525
3693.0,-0.0030725959676747294
3692.0,-0.003158833950862139
3691.0,-0.003115717099805959
3690.0,-0.0030725959676747294
3689.0,-0.003029470553618019
3688.0,-0.0029863408567849525
3687.0,-0.0027706281011936618
3686.0,-0.0023820749327607693
3685.0,-0.0019499410842680476
3684.0,-0.001733712809000476
3683.0,-0.001776967077439462
3682.0,-0.0020364022595291686
3681.0,-0.002338880892056583
3680.0,-0.0026411490000399773
3679.0,-0.002900068611387585
3678.0,-0.0029432068763250996
3677.0,-0.0025548081484823015
3676.0,-0.0019499410842680476
3675.0,-0.0018634626925240205
3674.0,-0.0022524799205383417
3673.0,-0.0024252646779014952
3672.0,-0.0022524799205383417
3671.0,-0.0018634626925240205
3670.0,-0.0015173768235041685
3669.0,-0.0014308122463981832
3668.0,-0.0014308122463981832
3667.0,-0.00121432528617893
3666.0,-0.0008677215312267172
3665.0,-0.0006075870628903246
3664.0,-0.0003906892499099257
3663.0,-0.00021709297223004853
3662.0,-0.00013026880522692963
3661.0,-0.00013026880522692963
3660.0,-0.00021709297223004853
3659.0,-0.00030389978481260016
3658.0,-0.00017368305846510168
3657.0,0.00017375254558760211
3656.0,0.0003910410285830057
3655.0,0.0003475746339209884
3654.0,0.00017375254558760211
3653.0,0.0
3652.0,-4.3427276862573194e-05
3651.0,0.0001303078917322953
3650.0,0.000521466320689834
3649.0,0.000869458712629001
3648.0,0.0011306361176557367
3647.0,0.0013919706849057079
3646.0,0.0016970599014589638
3645.0,0.0020023635919956817
3644.0,0.002351545103793873
3643.0,0.0026573093983774942
3642.0,0.0029195645282691363
3641.0,0.0031382315093266833
3640.0,0.0032257291386954545
3639.0,0.0033132443998284966
3638.0,0.0033570086445275926
3637.0,0.0034007772998332353
3636.0,0.0035758960449088217
3635.0,0.0038825238627120395
3634.0,0.004101676353562844
3633.0,0.004145520125434121
3632.0,0.004101676353562844
3631.0,0.004189368323957332
3630.0,0.004671990922590297
3629.0,0.0052870145684298375
3628.0,0.005462895701502157
3627.0,0.00541891874010525
3626.0,0.005682847330363394
3625.0,0.006079041198713275
3624.0,0.006387442061109638
3623.0,0.006475596832934416
3622.0,0.006519680930003435
3621.0,0.006607862550997545
3620.0,0.006872514894289861
3619.0,0.007181479933320523
3618.0,0.007358130121602358
3617.0,0.007490664932224611
3616.0,0.007711646202907652
3615.0,0.008109696063975047
3614.0,0.008596697419959609
3613.0,0.008995559669244813
3612.0,0.009217308196862062
3611.0,0.009350411681145587
3610.0,0.009572341514736404
3609.0,0.009883233932095559
3608.0,0.01023881228122181
3607.0,0.010550182333308289
3606.0,0.01077272626946324
3605.0,0.011039929609661936
3604.0,0.011307297450183107
3603.0,0.011574829993696856
3602.0,0.011797899741219142
3601.0,0.012021084124518078
3600.0,0.012199714248127602
3599.0,0.012289056869694281
3598.0,0.012378417874516323
3597.0,0.012467797270160563
3596.0,0.01264661126420652
3595.0,0.012959713020733288
3594.0,0.013317820220494436
3593.0,0.013586594534531482
3592.0,0.01372104409400876
3591.0,0.01372104409400876
3590.0,0.01381070026317599
3589.0,0.014124642691606404
3588.0,0.014663358264387139
3587.0,0.015067833932588037
3586.0,0.015202742910707112
3585.0,0.015292705517326866
3584.0,0.015517693597737248
3583.0,0.015832872853011715
3582.0,0.016238439713835096
3581.0,0.016599261819461697
3580.0,0.016870075265299933
3579.0,0.017095882207371904
3578.0,0.017321806616515723
3577.0,0.017547848615010242
3576.0,0.017864505196230507
3575.0,0.018181392829336396
3574.0,0.01845319495476394
3573.0,0.018634490921455527
3572.0,0.018634490921455527
3571.0,0.01845319495476394
3570.0,0.018226681372252695
3569.0,0.018271974638383703
3568.0,0.018725167293411005
3567.0,0.019451260640229506
3566.0,0.01995115493504329
3565.0,0.02022406727031445
3564.0,0.020542681902151694
3563.0,0.020861530453190058
3562.0,0.02122621566987748
3561.0,0.02159120737696063
3560.0,0.021910826943857264
3559.0,0.02227639471115217
3558.0,0.02255077261765881
3557.0,0.02277955336461468
3556.0,0.02296266477531872
3555.0,0.02314585342378117
3554.0,0.023374947949272418
3553.0,0.023741750742954926
3552.0,0.02406295751688936
3551.0,0.024292536462819925
3550.0,0.024430342106337877
3549.0,0.024568191490736968
3548.0,0.02475205875931885
3547.0,0.025074013910237447
3546.0,0.02544225514642018
3545.0,0.025810808881832736
3544.0,0.02613355016462182
3543.0,0.026456531467510258
3542.0,0.02677975314776626
3541.0,0.027056991894431892
3540.0,0.027334407733889066
3539.0,0.02751945012352408
3538.0,0.0277045713888604
3537.0,0.02798240132598462
3536.0,0.028353117935693284
3535.0,0.028816959143838528
3534.0,0.029188389127482228
3533.0,0.029467170231675777
3532.0,0.029653123769906697
3531.0,0.029746130405213123
3530.0,0.029885677714903025
3529.0,0.030118356253500123
3528.0,0.030490901403433135
3527.0,0.03081714076773867
3526.0,0.031143625385307683
3525.0,0.03142366482450232
3524.0,0.03170388495374454
3523.0,0.031984286006358165
3522.0,0.032218091924200776
3521.0,0.03245202378113787
3520.0,0.03273290844021437
3519.0,0.03310770413286357
3518.0,0.03357665405630694
3517.0,0.03399914237121604
3516.0,0.03432802877989327
3515.0,0.03461012978487776
3514.0,0.03479829897408804
3513.0,0.03503362516890207
3512.0,0.03526907894637077
3511.0,0.03559892883726867
3510.0,0.03597620715996652
3509.0,0.03625938114211591
3508.0,0.036401037402758574
3507.0,0.036401037402758574
3506.0,0.03658998431977123
3505.0,0.03701541568300293
3504.0,0.03763066432997886
3503.0,0.03824678581321739
3502.0,0.038721320914956836
3501.0,0.039006291057664066
3500.0,0.03924390909822728
3499.0,0.03957679292217042
3498.0,0.039909932095080425
3497.0,0.04019568349166214
3496.0,0.040529297924893015
3495.0,0.04086316882962593
3494.0,0.04124505013091051
3493.0,0.04172287445230238
3492.0,0.042201225070002124
3491.0,0.04263219156847242
3490.0,0.04301563225723992
3489.0,0.0433514207947967
3488.0,0.04359142880416744
3487.0,0.04383156952463674
3486.0,0.04411991377462465
3485.0,0.04440844959427559
3484.0,0.04484161307420642
3483.0,0.04537162249272897
3482.0,0.04595055323640551
3481.0,0.04643358574299339
3480.0,0.04682039893436585
3479.0,0.04715914332429838
3478.0,0.04749815213697639
3477.0,0.047885915093007325
3476.0,0.04832256265669943
3475.0,0.048808242065293994
3474.0,0.049294465226138895
3473.0,0.04978123335813667
3472.0,0.050414848673348
3471.0,0.05100054597304693
3470.0,0.0515870342213991
3469.0,0.052027420754219955
3468.0,0.05237025261564554
3467.0,0.05266432405126009
3466.0,0.05295859474477971
3465.0,0.05325306496641513
3464.0,0.05369514500652506
3463.0,0.05428528594013993
3462.0,0.0549747987575373
3461.0,0.05566540802921782
3460.0,0.056159373598738904
3459.0,0.05650548409389744
3458.0,0.05685187064143715
3457.0,0.05724807957018618
3456.0,0.05769424710410598
3455.0,0.058190526991161784
3454.0,0.05868737463933793
3453.0,0.05923456436878238
3452.0,0.05973260855398799
3451.0,0.060081579630943294
3450.0,0.060430831344098435
3449.0,0.06078036414518184
3448.0,0.06123017721688262
3447.0,0.06173051653708872
3446.0,0.06223143295006417
3445.0,0.06263258248271053
3444.0,0.06313454102437754
3443.0,0.06378795567975115
3442.0,0.06454311928839007
3441.0,0.06519865825346338
3440.0,0.06575411897692884
3439.0,0.06620911585658007
3438.0,0.06671522765130522
3437.0,0.06722192993944942
3436.0,0.06777998612288094
3435.0,0.06844043290919477
3434.0,0.06915280831750303
3433.0,0.06986635415888243
3432.0,0.07042782092345012
3431.0,0.0710411591191702
3430.0,0.07160414774328627
3429.0,0.07227044022834539
3428.0,0.07288638806623937
3427.0,0.07350321072677968
3426.0,0.07412091069849924
3425.0,0.07463633264589853
3424.0,0.07515236702446293
3423.0,0.07566901529132153
3422.0,0.07628980560343712
3421.0,0.07701518429111709
3420.0,0.07779372256098371
3419.0,0.07852161962430992
3418.0,0.079094395835976
3417.0,0.07961575782164254
3416.0,0.08008551934056851
3415.0,0.08060807322614072
3414.0,0.08118360963962057
3413.0,0.08181233864107451
3412.0,0.08249449044745338
3411.0,0.08312512146131668
3410.0,0.08375666953466032
3409.0,0.08438913733853282
3408.0,0.08496970974083906
3407.0,0.0854453014823664
3406.0,0.08581556657675371
3405.0,0.086239113587677
3404.0,0.0867160982395816
3403.0,0.08735289378168276
3402.0,0.08793744441149753
3401.0,0.0884695376928375
3400.0,0.08889568219596411
3399.0,0.0892689019566193
3398.0,0.08964244272712252
3397.0,0.0900163050601559
3396.0,0.09028354676565531
3395.0,0.09065796163869155
3394.0,0.09113982698272349
3393.0,0.0917831469106074
3392.0,0.09248115389337075
3391.0,0.09296504751658308
3390.0,0.09328794305703592
3389.0,0.09344948089854999
3388.0,0.0935572061829677
3387.0,0.09366495819490939
3386.0,0.09388054245443844
3385.0,0.09420411963213149
3384.0,0.09452793807529569
3383.0,0.09479797133768142
3382.0,0.09506817260434741
3381.0,0.09528445472131919
3380.0,0.09550084460218011
3379.0,0.09560907998763835
3378.0,0.09566320779750503
3377.0,0.09566320779750503
3376.0,0.09560907998763835
3375.0,0.0955549589230904
3374.0,0.09550084460218011
3373.0,0.0955549589230904
3372.0,0.09566320779750503
3371.0,0.0957714836599215
3370.0,0.09582563171583658
3369.0,0.09571734235437201
3368.0,0.09560907998763835
3367.0,0.09550084460218011
3366.0,0.09544673702322726
3365.0,0.09539263618455207
3364.0,0.09533854208447545
3363.0,0.09528445472131919
3362.0,0.09523037409340485
3361.0,0.09517630019905599
3360.0,0.09512223303659528
3359.0,0.0950141189006366
3358.0,0.09479797133768142
3357.0,0.09452793807529569
3356.0,0.09431203228814788
3355.0,0.09420411963213149
3354.0,0.09415017335768128
3353.0,0.09409623378338305
3352.0,0.09404230090757282
3351.0,0.09388054245443844
3350.0,0.09371884422784693
3349.0,0.0935572061829677
3348.0,0.09344948089854999
3347.0,0.09334178232840018
3346.0,0.09334178232840018
3345.0,0.09334178232840018
3344.0,0.09323411045927221
3343.0,0.09307265269104414
3342.0,0.09291125492570451
3341.0,0.09274991711867164
3340.0,0.09258863922541383
3339.0,0.09237369515673355
3338.0,0.09215885741705532
3337.0,0.0919441259012328
3336.0,0.09167586072382083
3335.0,0.09140776115243066
3334.0,0.0910326995816122
3333.0,0.09076499663169257
3332.0,0.09060445403289452
3331.0,0.09049745859458458
3330.0,0.09049745859458458
3329.0,0.09044397075882471
3328.0,0.09033701484598189
3327.0,0.09017663034908807
3326.0,0.08985603893548699
3325.0,0.08953568400438638
3324.0,0.08916223500731646
3323.0,0.08894897967187343
3322.0,0.08878910686244668
3321.0,0.08862929288386212
3320.0,0.08841629901892434
3319.0,0.0881502035005799
3318.0,0.08783110394037297
3317.0,0.08751223866767632
3316.0,0.08719360733870762
3315.0,0.08687520961044104
3314.0,0.08661005636824437
3313.0,0.08645104209348209
3312.0,0.08639805027084257
3311.0,0.08634506491338012
3310.0,0.086239113587677
3309.0,0.0861331881037608
3308.0,0.08602728844902896
3307.0,0.08592141461088798
3306.0,0.08581556657675371
3305.0,0.08570974433405087
3304.0,0.08549817717268593
3303.0,0.08523386307414738
3302.0,0.08496970974083906
3301.0,0.08465293767580806
3300.0,0.08438913733853282
