nm,Intensity
791.377,6786.44
791.652,6712.36
791.927,6685.64
792.202,6571.18
792.477,6612.5
792.752,6486.46
793.027,6603.62
793.301,6648.46
793.576,6427.1
793.851,6416.6
794.126,6303.84
794.401,6335.96
794.676,6344.3
794.951,6284.76
795.225,6293.94
795.5,6272.88
795.775,6236.58
796.05,6374.72
796.325,6363.02
796.599,6164.5
796.874,6140.74
797.149,6021.02
797.424,6004.4
797.698,6020.48
797.973,6073.28
798.248,6072.06
798.523,5833.14
798.797,5882.4
799.072,5893.68
799.347,5784.14
799.622,5839.22
799.896,5877.2
800.171,5778.04
800.446,5858.86
800.72,5788.06
800.995,5733.88
801.27,5707.1
801.544,5609.08
801.819,5537.16
802.094,5578.28
802.368,5569.86
802.643,5579.12
802.918,5578.38
803.192,5449.0
803.467,5509.8
803.742,5514.64
804.016,5436.66
804.291,5463.24
804.565,5425.56
804.84,5350.0
805.114,5412.42
805.389,5419.26
805.664,5401.78
805.938,5345.2
806.213,5321.42
806.487,5286.84
806.762,5274.32
807.036,5215.22
807.311,5219.78
807.585,5314.02
807.86,5279.62
808.134,5238.7
808.409,5228.62
808.683,5101.7
808.958,5171.34
809.232,5160.28
809.507,5123.6
809.781,5173.68
810.056,5281.26
810.33,5221.62
810.605,5166.32
810.879,5153.76
811.153,5091.22
811.428,5051.46
811.702,5082.3
811.977,5064.0
812.251,5044.38
812.525,5000.26
812.8,5053.9
813.074,5045.46
813.349,5024.04
813.623,5043.82
813.897,5007.56
814.172,4978.88
814.446,4934.12
814.72,4940.78
814.995,4949.52
815.269,4941.86
815.543,4913.28
815.818,4903.3
816.092,4875.64
816.366,4882.44
816.64,4858.78
816.915,4852.8
817.189,4883.68
817.463,4879.36
817.737,4840.86
818.012,4831.18
818.286,4810.18
818.56,4819.6
818.834,4837.84
819.109,4838.14
819.383,4816.26
819.657,4788.46
819.931,4786.12
820.205,4788.86
820.48,4770.84
820.754,4788.56
821.028,4753.96
821.302,4722.4
821.576,4692.78
821.85,4727.48
822.125,4717.7
822.399,4704.12
822.673,4679.36
822.947,4689.22
